filename,mol_index,smiles,inchi,inchikey
11-O-galloylbergenin_CID_56680102.sdf,0,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](COC(=O)c3cc(O)c(O)c(O)c3)[C@@H](O)[C@H](O)[C@H]1OC2=O,"InChI=1S/C21H20O13/c1-31-17-10(24)4-7-12(15(17)27)18-19(34-21(7)30)16(28)14(26)11(33-18)5-32-20(29)6-2-8(22)13(25)9(23)3-6/h2-4,11,14,16,18-19,22-28H,5H2,1H3/t11-,14-,16+,18+,19-/m1/s1",CDRRULDABVKKHU-YQBPHPIXSA-N
COU_(7-Hydroxy-2-oxo-2H-chromen-3-yl)_acetic_acid_CID_22167456.sdf,0,O=C(O)Cc1cc2ccc(O)cc2oc1=O,"InChI=1S/C11H8O5/c12-8-2-1-6-3-7(4-10(13)14)11(15)16-9(6)5-8/h1-3,5,12H,4H2,(H,13,14)",UYEOESMZNPTWBZ-UHFFFAOYSA-N
COU_3-Acetyl-7-hydroxy-chromen-2-one_CID_5392139.sdf,0,CC(=O)c1cc2ccc(O)cc2oc1=O,"InChI=1S/C11H8O4/c1-6(12)9-4-7-2-3-8(13)5-10(7)15-11(9)14/h2-5,13H,1H3",BRQZHMHHZLRXOO-UHFFFAOYSA-N
"COU_5,7-Dihydroxy-4-methylcoumarin_CID_5354284.sdf",0,Cc1cc(=O)oc2cc(O)cc(O)c12,"InChI=1S/C10H8O4/c1-5-2-9(13)14-8-4-6(11)3-7(12)10(5)8/h2-4,11-12H,1H3",QNVWGEJMXOQQPM-UHFFFAOYSA-N
COU_Ethyl 3-coumarincarboxylate_CID_15800.sdf,0,CCOC(=O)c1cc2ccccc2oc1=O,"InChI=1S/C12H10O4/c1-2-15-11(13)9-7-8-5-3-4-6-10(8)16-12(9)14/h3-7H,2H2,1H3",XKHPEMKBJGUYCM-UHFFFAOYSA-N
COU_Fraxetin_CID_5273569.sdf,0,COc1cc2ccc(=O)oc2c(O)c1O,"InChI=1S/C10H8O5/c1-14-6-4-5-2-3-7(11)15-10(5)9(13)8(6)12/h2-4,12-13H,1H3",HAVWRBANWNTOJX-UHFFFAOYSA-N
COU_Maraniol_CID_66595.sdf,0,CCOc1ccc2c(C)cc(=O)oc2c1,"InChI=1S/C12H12O3/c1-3-14-9-4-5-10-8(2)6-12(13)15-11(10)7-9/h4-7H,3H2,1-2H3",NKRISXMDKXBVRJ-UHFFFAOYSA-N
COU_Scopoletin_CID_5280460.sdf,0,COc1cc2ccc(=O)oc2cc1O,"InChI=1S/C10H8O4/c1-13-9-4-6-2-3-10(12)14-8(6)5-7(9)11/h2-5,11H,1H3",RODXRVNMMDRFIK-UHFFFAOYSA-N
COU_Umbelliferone_CID_5281426.sdf,0,O=c1ccc2ccc(O)cc2o1,"InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H",ORHBXUUXSCNDEV-UHFFFAOYSA-N
FAT_(Z)-11-hexadecenoic_acid_CID_5312414.sdf,0,CCCC/C=C\CCCCCCCCCC(=O)O,"InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h5-6H,2-4,7-15H2,1H3,(H,17,18)/b6-5-",JGMYDQCXGIMHLL-WAYWQWQTSA-N
FAT_3-tert-Butyladipic_acid_CID_98967.sdf,0,CC(C)(C)[C@@H](CCC(=O)O)CC(=O)O,"InChI=1S/C10H18O4/c1-10(2,3)7(6-9(13)14)4-5-8(11)12/h7H,4-6H2,1-3H3,(H,11,12)(H,13,14)/t7-/m0/s1",LHSCNQRBIIDZCB-ZETCQYMHSA-N
"FAT_5-Dodecyl-1,3-benzenediol_CID_17826784.sdf",0,CCCCCCCCCCCCc1cc(O)cc(O)c1,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-16-13-17(19)15-18(20)14-16/h13-15,19-20H,2-12H2,1H3",VXCBVCVQEPHVDJ-UHFFFAOYSA-N
"FAT_8(S)-Hydroxy-(5Z,9E,11Z,14Z)-eicosatetraenoic_acid_CID_5283154.sdf",0,CCCCC/C=C\C/C=C\C=C\[C@@H](O)C/C=C\CCCC(=O)O,"InChI=1S/C20H32O3/c1-2-3-4-5-6-7-8-9-10-13-16-19(21)17-14-11-12-15-18-20(22)23/h6-7,9-11,13-14,16,19,21H,2-5,8,12,15,17-18H2,1H3,(H,22,23)/b7-6-,10-9-,14-11-,16-13+/t19-/m1/s1",NLUNAYAEIJYXRB-VYOQERLCSA-N
FAT_Alpha-Linolenic_acid_CID_5280934.sdf,0,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H,19,20)/b4-3-,7-6-,10-9-",DTOSIQBPPRVQHS-PDBXOOCHSA-N
FAT_Anacardic_acid_CID_167551.sdf,0,CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O,"InChI=1S/C22H36O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-17-15-18-20(23)21(19)22(24)25/h15,17-18,23H,2-14,16H2,1H3,(H,24,25)",ADFWQBGTDJIESE-UHFFFAOYSA-N
FAT_Azelaic_acid_CID_2266.sdf,0,O=C(O)CCCCCCCC(=O)O,"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)",BDJRBEYXGGNYIS-UHFFFAOYSA-N
FAT_DL-Malic_acid_CID_525.sdf,0,O=C(O)C[C@H](O)C(=O)O,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/t2-/m0/s1",BJEPYKJPYRNKOW-REOHCLBHSA-N
FAT_Dodecanedioic_acid_CID_12736.sdf,0,O=C(O)CCCCCCCCCCC(=O)O,"InChI=1S/C12H22O4/c13-11(14)9-7-5-3-1-2-4-6-8-10-12(15)16/h1-10H2,(H,13,14)(H,15,16)",TVIDDXQYHWJXFK-UHFFFAOYSA-N
FAT_Ethyl _gallate_CID_13250.sdf,0,CCOC(=O)c1cc(O)c(O)c(O)c1,"InChI=1S/C9H10O5/c1-2-14-9(13)5-3-6(10)8(12)7(11)4-5/h3-4,10-12H,2H2,1H3",VFPFQHQNJCMNBZ-UHFFFAOYSA-N
