filename,mol_index,smiles,inchi,inchikey,herb
COU_3-angeloxycoladonin_CID_102571658.sdf,0,C=C1CC[C@H]2C(C)(C)[C@H](OC(=O)/C(C)=C\C)CC[C@]2(C)[C@@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C29H36O5/c1-7-18(2)27(31)34-25-14-15-29(6)22(19(3)8-12-24(29)28(25,4)5)17-32-21-11-9-20-10-13-26(30)33-23(20)16-21/h7,9-11,13,16,22,24-25H,3,8,12,14-15,17H2,1-2,4-6H3/b18-7-/t22-,24+,25-,29-/m1/s1",RXCOPEUPNGTASP-DZISGZPQSA-N,°¢Îº
COU_actylfekrynol_CID_59052606.sdf,0,CC(=O)OCCC[C@H]1C(=C(C)C)CC[C@H](C)[C@]1(C)COc1ccc2ccc(=O)oc2c1,"InChI=1S/C26H34O5/c1-17(2)22-12-8-18(3)26(5,23(22)7-6-14-29-19(4)27)16-30-21-11-9-20-10-13-25(28)31-24(20)15-21/h9-11,13,15,18,23H,6-8,12,14,16H2,1-5H3/t18-,23-,26-/m0/s1",RXZXZUBVBUVUGS-WMDMVVLCSA-N,°¢Îº
COU_Asacoumarin_A_CID_14313756.sdf,0,CC(C)=CC[C@H](O)/C(C)=C/[C@@H](O)C/C(C)=C/COc1ccc2ccc(=O)oc2c1,"InChI=1S/C24H30O5/c1-16(2)5-9-22(26)18(4)14-20(25)13-17(3)11-12-28-21-8-6-19-7-10-24(27)29-23(19)15-21/h5-8,10-11,14-15,20,22,25-26H,9,12-13H2,1-4H3/b17-11+,18-14+/t20-,22-/m0/s1",NFXNEAJDYTXPLG-LAVZSXCBSA-N,°¢Îº
COU_asimafoetida_CID_163184174.sdf,0,C=C1CC[C@H](O)C(C)(C)[C@@H]1C/C=C(\C)CCOc1ccc2ccc(=O)oc2c1,"InChI=1S/C24H30O4/c1-16(5-10-20-17(2)6-11-22(25)24(20,3)4)13-14-27-19-9-7-18-8-12-23(26)28-21(18)15-19/h5,7-9,12,15,20,22,25H,2,6,10-11,13-14H2,1,3-4H3/b16-5+/t20-,22+/m1/s1",XAVIREWPAKWRMG-YBIAHDMJSA-N,°¢Îº
COU_assafoetidin_CID_131751454.sdf,0,CC1=C(CC/C(C)=C\COc2ccc3ccc(=O)oc3c2)C(C)(C)[C@H](O)CC1,"InChI=1S/C24H30O4/c1-16(5-10-20-17(2)6-11-22(25)24(20,3)4)13-14-27-19-9-7-18-8-12-23(26)28-21(18)15-19/h7-9,12-13,15,22,25H,5-6,10-11,14H2,1-4H3/b16-13-/t22-/m1/s1",FDKWXRYTMNZMOF-ORYIKVKISA-N,°¢Îº
COU_assafoetidnolA_CID_12041593.sdf,0,C=C1C[C@@H](O)[C@@H]2C(C)(C)[C@H](O)CC[C@@]2(C)[C@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C24H30O5/c1-14-11-18(25)22-23(2,3)20(26)9-10-24(22,4)17(14)13-28-16-7-5-15-6-8-21(27)29-19(15)12-16/h5-8,12,17-18,20,22,25-26H,1,9-11,13H2,2-4H3/t17-,18+,20+,22+,24-/m0/s1",DPUIHKUQXKLJMN-AVPXBJHFSA-N,°¢Îº
COU_assafoetidnolB_CID_636584.sdf,0,C=C1[C@H](O)[C@@H](O)[C@@H]2C(C)(C)[C@@H](OC(C)=O)CC[C@@]2(C)[C@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C26H32O7/c1-14-18(13-31-17-8-6-16-7-9-21(28)33-19(16)12-17)26(5)11-10-20(32-15(2)27)25(3,4)24(26)23(30)22(14)29/h6-9,12,18,20,22-24,29-30H,1,10-11,13H2,2-5H3/t18-,20-,22-,23+,24+,26-/m0/s1",CKPWNMFJQJVNER-DVITTYBWSA-N,°¢Îº
COU_badrakemin_acetate_CID_1771505.sdf,0,C=C1CC[C@@H]2C(C)(C)[C@@H](OC(C)=O)CC[C@@]2(C)[C@@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C26H32O5/c1-16-6-10-22-25(3,4)23(30-17(2)27)12-13-26(22,5)20(16)15-29-19-9-7-18-8-11-24(28)31-21(18)14-19/h7-9,11,14,20,22-23H,1,6,10,12-13,15H2,2-5H3/t20-,22-,23+,26+/m1/s1",MNGYOFNIAOWXIT-XQJVOIGCSA-N,°¢Îº
COU_badrakemin_CID_6993357.sdf,0,C=C1CC[C@@H]2C(C)(C)[C@@H](O)CC[C@@]2(C)[C@@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C24H30O4/c1-15-5-9-20-23(2,3)21(25)11-12-24(20,4)18(15)14-27-17-8-6-16-7-10-22(26)28-19(16)13-17/h6-8,10,13,18,20-21,25H,1,5,9,11-12,14H2,2-4H3/t18-,20-,21+,24+/m1/s1",FCWYNTDTQPCVPG-HWXYTADMSA-N,°¢Îº
COU_badrakemone_CID_101793077.sdf,0,C=C1CC[C@@H]2C(C)(C)C(=O)CC[C@@]2(C)[C@@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C24H28O4/c1-15-5-9-20-23(2,3)21(25)11-12-24(20,4)18(15)14-27-17-8-6-16-7-10-22(26)28-19(16)13-17/h6-8,10,13,18,20H,1,5,9,11-12,14H2,2-4H3/t18-,20-,24+/m1/s1",PJXNPYBRJFKRPB-FPGHNAPASA-N,°¢Îº
COU_cauferoside_CID_50899957.sdf,0,C=C1C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2C(C)(C)[C@@H](O)CC[C@@]2(C)[C@@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C30H40O10/c1-15-11-20(39-28-26(36)25(35)24(34)21(13-31)40-28)27-29(2,3)22(32)9-10-30(27,4)18(15)14-37-17-7-5-16-6-8-23(33)38-19(16)12-17/h5-8,12,18,20-22,24-28,31-32,34-36H,1,9-11,13-14H2,2-4H3/t18-,20-,21-,22+,24-,25+,26-,27-,28-,30+/m1/s1",QXUYLJHWIGWKRJ-UXUGAFIPSA-N,°¢Îº
COU_coladin_CID_1765141.sdf,0,C=C1CC[C@@H]2C(C)(C)[C@H](OC(C)=O)CC[C@@]2(C)[C@@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C26H32O5/c1-16-6-10-22-25(3,4)23(30-17(2)27)12-13-26(22,5)20(16)15-29-19-9-7-18-8-11-24(28)31-21(18)14-19/h7-9,11,14,20,22-23H,1,6,10,12-13,15H2,2-5H3/t20-,22-,23-,26+/m1/s1",MNGYOFNIAOWXIT-DNRBGDKYSA-N,°¢Îº
COU_conferol_CID_11892267.sdf,0,CC1=CC[C@@H]2C(C)(C)[C@@H](O)CC[C@@]2(C)[C@@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C24H30O4/c1-15-5-9-20-23(2,3)21(25)11-12-24(20,4)18(15)14-27-17-8-6-16-7-10-22(26)28-19(16)13-17/h5-8,10,13,18,20-21,25H,9,11-12,14H2,1-4H3/t18-,20-,21+,24+/m1/s1",MCTDXPDDZLFJHR-HWXYTADMSA-N,°¢Îº
COU_conferone_CID_3108117.sdf,0,CC1=CC[C@@H]2C(C)(C)C(=O)CC[C@@]2(C)[C@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C24H28O4/c1-15-5-9-20-23(2,3)21(25)11-12-24(20,4)18(15)14-27-17-8-6-16-7-10-22(26)28-19(16)13-17/h5-8,10,13,18,20H,9,11-12,14H2,1-4H3/t18-,20+,24-/m0/s1",VPAXJOUATWLOPR-NRYAXDJKSA-N,°¢Îº
COU_conferoside_CID_70698299.sdf,0,CC1=C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2C(C)(C)C(=O)CC[C@@]2(C)[C@@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C30H38O10/c1-15-11-20(39-28-26(36)25(35)24(34)21(13-31)40-28)27-29(2,3)22(32)9-10-30(27,4)18(15)14-37-17-7-5-16-6-8-23(33)38-19(16)12-17/h5-8,11-12,18,20-21,24-28,31,34-36H,9-10,13-14H2,1-4H3/t18-,20-,21-,24-,25+,26-,27-,28-,30+/m1/s1",RZYSMVMKUYBYJF-PSXFUJINSA-N,°¢Îº
COU_epi-Conferdione_CID_11875353.sdf,0,CC1=CC(=O)[C@@H]2C(C)(C)C(=O)CC[C@@]2(C)[C@@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C24H26O5/c1-14-11-18(25)22-23(2,3)20(26)9-10-24(22,4)17(14)13-28-16-7-5-15-6-8-21(27)29-19(15)12-16/h5-8,11-12,17,22H,9-10,13H2,1-4H3/t17-,22-,24+/m1/s1",DXVHSOMRFHJYQX-BSDZUQITSA-N,°¢Îº
COU_farnesiferol_A_CID_7067262.sdf,0,C=C1CC[C@@H]2C(C)(C)[C@H](O)CC[C@@]2(C)[C@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C24H30O4/c1-15-5-9-20-23(2,3)21(25)11-12-24(20,4)18(15)14-27-17-8-6-16-7-10-22(26)28-19(16)13-17/h6-8,10,13,18,20-21,25H,1,5,9,11-12,14H2,2-4H3/t18-,20+,21+,24-/m0/s1",FCWYNTDTQPCVPG-WTMJVXIESA-N,°¢Îº
COU_farnesiferol_B_CID_1779468.sdf,0,C=C1CC[C@H](O)C(C)(C)[C@@H]1CC/C(C)=C/COc1ccc2ccc(=O)oc2c1,"InChI=1S/C24H30O4/c1-16(5-10-20-17(2)6-11-22(25)24(20,3)4)13-14-27-19-9-7-18-8-12-23(26)28-21(18)15-19/h7-9,12-13,15,20,22,25H,2,5-6,10-11,14H2,1,3-4H3/b16-13+/t20-,22+/m1/s1",XXKXCRGLMFAXTK-NOWJHPSZSA-N,°¢Îº
COU_farnesiferol_C_CID_15559239.sdf,0,C/C(=C\COc1ccc2ccc(=O)oc2c1)CC[C@@H]1C(C)(C)[C@H]2CC[C@]1(C)O2,"InChI=1S/C24H30O4/c1-16(5-9-20-23(2,3)21-11-13-24(20,4)28-21)12-14-26-18-8-6-17-7-10-22(25)27-19(17)15-18/h6-8,10,12,15,20-21H,5,9,11,13-14H2,1-4H3/b16-12+/t20-,21-,24+/m1/s1",OCHZHKVSLMBEJP-QYQYHAIPSA-N,°¢Îº
COU_feselol_CID_179577.sdf,0,CC1=CC[C@@H]2C(C)(C)[C@H](O)CC[C@@]2(C)[C@@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C24H30O4/c1-15-5-9-20-23(2,3)21(25)11-12-24(20,4)18(15)14-27-17-8-6-16-7-10-22(26)28-19(16)13-17/h5-8,10,13,18,20-21,25H,9,11-12,14H2,1-4H3/t18-,20-,21-,24+/m1/s1",MCTDXPDDZLFJHR-XLRKYUMYSA-N,°¢Îº
COU_feshurin_acetate_CID_11908387.sdf,0,CC(=O)O[C@H]1CC[C@]2(C)[C@H](CC[C@](C)(O)[C@H]2COc2ccc3ccc(=O)oc3c2)C1(C)C,"InChI=1S/C26H34O6/c1-16(27)31-22-11-12-25(4)20(24(22,2)3)10-13-26(5,29)21(25)15-30-18-8-6-17-7-9-23(28)32-19(17)14-18/h6-9,14,20-22,29H,10-13,15H2,1-5H3/t20-,21+,22+,25-,26+/m1/s1",RIPKCRCUFJSKKD-AWFZIUMBSA-N,°¢Îº
COU_feshurin_CID_11873225.sdf,0,CC1(C)[C@H]2CC[C@](C)(O)[C@@H](COc3ccc4ccc(=O)oc4c3)[C@]2(C)CC[C@@H]1O,"InChI=1S/C24H32O5/c1-22(2)18-9-12-24(4,27)19(23(18,3)11-10-20(22)25)14-28-16-7-5-15-6-8-21(26)29-17(15)13-16/h5-8,13,18-20,25,27H,9-12,14H2,1-4H3/t18-,19+,20+,23-,24+/m1/s1",WNANPKYNOALKIV-XJRISUEFSA-N,°¢Îº
COU_fesumtuorin_C_CID_10674925.sdf,0,CC(C)(O)[C@@H](COc1c2occc2cc2ccc(=O)oc12)OC(C)(C)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12,"InChI=1S/C32H30O11/c1-31(2,36)24(16-40-30-27-18(9-11-38-27)13-17-5-7-26(35)42-28(17)30)43-32(3,4)23(33)15-39-29-19-6-8-25(34)41-22(19)14-21-20(29)10-12-37-21/h5-14,23-24,33,36H,15-16H2,1-4H3/t23-,24-/m1/s1",IIVLKXAGPYYIDA-DNQXCXABSA-N,°¢Îº
COU_fesumtuorin_D_CID_483512.sdf,0,CC1(C)O[C@H]1COc1c2c(cc3ccoc13)C=C[C@]1(O2)O[C@@H](COc2c3occc3cc3ccc(=O)oc23)C(C)(C)O1,"InChI=1S/C32H28O10/c1-30(2)21(39-30)15-37-29-25-20(9-12-35-25)14-18-7-10-32(41-27(18)29)40-22(31(3,4)42-32)16-36-28-24-19(8-11-34-24)13-17-5-6-23(33)38-26(17)28/h5-14,21-22H,15-16H2,1-4H3/t21-,22-,32+/m0/s1",DGFLEVFPESLTBR-DRSMIVCTSA-N,°¢Îº
COU_fesumtuorin_E_CID_10578982.sdf,0,CC1(C)O[C@H]1COc1c2c(cc3ccoc13)C=C[C@]1(O2)O[C@H](COc2c3occc3cc3ccc(=O)oc23)C(C)(C)O1,"InChI=1S/C32H28O10/c1-30(2)21(39-30)15-37-29-25-20(9-12-35-25)14-18-7-10-32(41-27(18)29)40-22(31(3,4)42-32)16-36-28-24-19(8-11-34-24)13-17-5-6-23(33)38-26(17)28/h5-14,21-22H,15-16H2,1-4H3/t21-,22+,32+/m0/s1",DGFLEVFPESLTBR-TUSYCDLHSA-N,°¢Îº
COU_fesumtuorin_F_CID_101062475.sdf,0,CC(C)(O)[C@H](O)COc1c2c(cc3ccoc13)C=C[C@]1(O2)O[C@@H](COc2c3occc3cc3ccc(=O)oc23)C(C)(C)O1,"InChI=1S/C32H30O11/c1-30(2,35)21(33)15-38-29-25-20(9-12-37-25)14-18-7-10-32(42-27(18)29)41-22(31(3,4)43-32)16-39-28-24-19(8-11-36-24)13-17-5-6-23(34)40-26(17)28/h5-14,21-22,33,35H,15-16H2,1-4H3/t21-,22+,32-/m1/s1",RQSPCDMBNUXDLD-QJTKOPTISA-N,°¢Îº
COU_fesumtuorin_H_CID_11731479.sdf,0,CC1(C)O[C@H]1COc1c2c(cc3occc13)O[C@@]1(C=C2)O[C@H](COc2c3ccoc3cc3oc(=O)ccc23)C(C)(C)O1,"InChI=1S/C32H28O10/c1-30(2)25(40-30)15-36-29-18-7-10-32(39-24(18)14-22-20(29)9-12-35-22)41-26(31(3,4)42-32)16-37-28-17-5-6-27(33)38-23(17)13-21-19(28)8-11-34-21/h5-14,25-26H,15-16H2,1-4H3/t25-,26+,32-/m0/s1",ZQFRUXRHVIYIEM-BKQYKDOASA-N,°¢Îº
COU_fnarthexone_CID_102138446.sdf,0,C=C1C=C[C@H]2C(C)(C)C(=O)CC[C@]2(C)[C@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C24H26O4/c1-15-5-9-20-23(2,3)21(25)11-12-24(20,4)18(15)14-27-17-8-6-16-7-10-22(26)28-19(16)13-17/h5-10,13,18,20H,1,11-12,14H2,2-4H3/t18-,20-,24+/m0/s1",XGQPCBYDVVIEFY-VAXXYWNWSA-N,°¢Îº
COU_fukanefuromarin_A_CID_5324512.sdf,0,CC(C)=CC(=O)/C=C(\C)CCC[C@@]1(C)Oc2c(c(=O)oc3cc(O)ccc23)[C@@H]1C,"InChI=1S/C24H28O5/c1-14(2)11-18(26)12-15(3)7-6-10-24(5)16(4)21-22(29-24)19-9-8-17(25)13-20(19)28-23(21)27/h8-9,11-13,16,25H,6-7,10H2,1-5H3/b15-12+/t16-,24+/m0/s1",NWTCYOAKBSTWBB-RHUXRCPJSA-N,°¢Îº
COU_fukanefuromarin_B_CID_10340706.sdf,0,CC(C)=CC(=O)/C=C(\C)CCC[C@@]1(C)Oc2c(c(=O)oc3cc(O)ccc23)[C@H]1C,"InChI=1S/C24H28O5/c1-14(2)11-18(26)12-15(3)7-6-10-24(5)16(4)21-22(29-24)19-9-8-17(25)13-20(19)28-23(21)27/h8-9,11-13,16,25H,6-7,10H2,1-5H3/b15-12+/t16-,24-/m1/s1",NWTCYOAKBSTWBB-NDIQIQBTSA-N,°¢Îº
COU_fukanefuromarin_H_CID_71662335.sdf,0,C/C(=C\CC/C(C)=C/CC[C@@]1(C)Oc2c(c(=O)oc3cc(O)ccc23)[C@@H]1C)CO,"InChI=1S/C24H30O5/c1-15(7-5-8-16(2)14-25)9-6-12-24(4)17(3)21-22(29-24)19-11-10-18(26)13-20(19)28-23(21)27/h8-11,13,17,25-26H,5-7,12,14H2,1-4H3/b15-9+,16-8+/t17-,24+/m0/s1",CFGLDEBHXZYNQN-XEBRWEDCSA-N,°¢Îº
COU_fukanefuromarin_I_CID_71662336.sdf,0,C/C(=C\CC/C(C)=C/CC[C@@]1(C)Oc2c(c(=O)oc3cc(O)ccc23)[C@H]1C)CO,"InChI=1S/C24H30O5/c1-15(7-5-8-16(2)14-25)9-6-12-24(4)17(3)21-22(29-24)19-11-10-18(26)13-20(19)28-23(21)27/h8-11,13,17,25-26H,5-7,12,14H2,1-4H3/b15-9+,16-8+/t17-,24-/m1/s1",CFGLDEBHXZYNQN-LRKLOTKHSA-N,°¢Îº
COU_fukanefuromarin_J_CID_71662337.sdf,0,CC1=C[C@H](C/C(C)=C/CC[C@@]2(C)Oc3c(c(=O)oc4cc(O)ccc34)[C@@H]2C)OC1=O,"InChI=1S/C24H26O6/c1-13(10-17-11-14(2)22(26)28-17)6-5-9-24(4)15(3)20-21(30-24)18-8-7-16(25)12-19(18)29-23(20)27/h6-8,11-12,15,17,25H,5,9-10H2,1-4H3/b13-6+/t15-,17-,24+/m0/s1",QZBUJGPGJAQWIM-SGDVRIIUSA-N,°¢Îº
COU_fukanefuromarin_M_CID_71662491.sdf,0,CC(C)=CCC/C(C)=C/CC[C@]1(C)Oc2c(c(=O)oc3cc(O)ccc23)C[C@H]1O,"InChI=1S/C24H30O5/c1-15(2)7-5-8-16(3)9-6-12-24(4)21(26)14-19-22(29-24)18-11-10-17(25)13-20(18)28-23(19)27/h7,9-11,13,21,25-26H,5-6,8,12,14H2,1-4H3/b16-9+/t21-,24+/m1/s1",KEFAFXLFWOQAQF-BSLRQFNJSA-N,°¢Îº
COU_Galbanic_acid_CID_7082474.sdf,0,CC(C)=C1CC[C@H](C)[C@](C)(COc2ccc3ccc(=O)oc3c2)[C@H]1CCC(=O)O,"InChI=1S/C24H30O5/c1-15(2)19-9-5-16(3)24(4,20(19)10-11-22(25)26)14-28-18-8-6-17-7-12-23(27)29-21(17)13-18/h6-8,12-13,16,20H,5,9-11,14H2,1-4H3,(H,25,26)/t16-,20-,24-/m0/s1",CVWWNYPTZYQCSE-YFBXQHAESA-N,°¢Îº
COU_gummosin_CID_7092581.sdf,0,C=C1CC[C@@H]2C(C)(C)[C@@H](O)CC[C@@]2(C)[C@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C24H30O4/c1-15-5-9-20-23(2,3)21(25)11-12-24(20,4)18(15)14-27-17-8-6-16-7-10-22(26)28-19(16)13-17/h6-8,10,13,18,20-21,25H,1,5,9,11-12,14H2,2-4H3/t18-,20+,21-,24-/m0/s1",FCWYNTDTQPCVPG-UQWVPHONSA-N,°¢Îº
COU_Gumoside_A_CID_50899871.sdf,0,C=C1C[C@@H](O[C@@H]2O[C@H](CO[C@@H]3OC[C@](O)(CO)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2C(C)(C)[C@H](O)CC[C@@]2(C)[C@@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C35H48O14/c1-17-11-22(48-31-28(41)27(40)26(39)23(49-31)14-45-32-30(42)35(43,15-36)16-46-32)29-33(2,3)24(37)9-10-34(29,4)20(17)13-44-19-7-5-18-6-8-25(38)47-21(18)12-19/h5-8,12,20,22-24,26-32,36-37,39-43H,1,9-11,13-16H2,2-4H3/t20-,22-,23-,24-,26-,27+,28-,29-,30+,31-,32-,34+,35-/m1/s1",NYTFNIAPHAVHOA-ORYSZERHSA-N,°¢Îº
COU_Gumoside_B_CID_53316970.sdf,0,C=C1C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2C(C)(C)[C@H](O)CC[C@@]2(C)[C@@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C30H40O10/c1-15-11-20(39-28-26(36)25(35)24(34)21(13-31)40-28)27-29(2,3)22(32)9-10-30(27,4)18(15)14-37-17-7-5-16-6-8-23(33)38-19(16)12-17/h5-8,12,18,20-22,24-28,31-32,34-36H,1,9-11,13-14H2,2-4H3/t18-,20-,21-,22-,24-,25+,26-,27-,28-,30+/m1/s1",QXUYLJHWIGWKRJ-SZGIIFIUSA-N,°¢Îº
COU_isofeterin_CID_16093742.sdf,0,C=C1C[C@@H](OC(C)=O)[C@@H]2C(C)(C)[C@@H](O)CC[C@@]2(C)[C@@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C26H32O6/c1-15-12-21(31-16(2)27)24-25(3,4)22(28)10-11-26(24,5)19(15)14-30-18-8-6-17-7-9-23(29)32-20(17)13-18/h6-9,13,19,21-22,24,28H,1,10-12,14H2,2-5H3/t19-,21-,22+,24-,26+/m1/s1",WONFHYBZDPWLNC-CKCDNNJMSA-N,°¢Îº
COU_Isosamarcandin_CID_102571657.sdf,0,C/C=C(/C)C(=O)O[C@@H]1CC[C@]2(C)[C@@H](COc3ccc4ccc(=O)oc4c3)[C@](C)(O)CC[C@H]2C1(C)C,"InChI=1S/C29H38O6/c1-7-18(2)26(31)35-24-13-14-28(5)22(27(24,3)4)12-15-29(6,32)23(28)17-33-20-10-8-19-9-11-25(30)34-21(19)16-20/h7-11,16,22-24,32H,12-15,17H2,1-6H3/b18-7-/t22-,23+,24+,28-,29+/m0/s1",UFPQYBAJCMMCRR-VVIJBFFYSA-N,°¢Îº
COU_kamolonol_acetate_CID_59052605 (1).sdf,0,CC(=O)O[C@H]1C[C@H](C)[C@](C)(COc2ccc3ccc(=O)oc3c2)[C@H]2CCC(=O)[C@@H](C)[C@]12C,"InChI=1S/C26H32O6/c1-15-12-23(31-17(3)27)26(5)16(2)20(28)9-10-22(26)25(15,4)14-30-19-8-6-18-7-11-24(29)32-21(18)13-19/h6-8,11,13,15-16,22-23H,9-10,12,14H2,1-5H3/t15-,16+,22+,23-,25-,26-/m0/s1",PIGAODQEDMJGTF-JKKHFKIPSA-N,°¢Îº
COU_karatavicinol_CID_44386968.sdf,0,C/C(=C\COc1ccc2ccc(=O)oc2c1)CC/C=C(\C)CC[C@@H](O)C(C)(C)O,"InChI=1S/C24H32O5/c1-17(8-12-22(25)24(3,4)27)6-5-7-18(2)14-15-28-20-11-9-19-10-13-23(26)29-21(19)16-20/h6,9-11,13-14,16,22,25,27H,5,7-8,12,15H2,1-4H3/b17-6+,18-14+/t22-/m1/s1",SOTUFGKJQVSOCT-PKAURPTQSA-N,°¢Îº
COU_lehmannolol_CID_16093743.sdf,0,C[C@@H]1[C@@H](O)CC[C@H]2[C@@]1(C)CC[C@H](C)[C@]2(C)COc1ccc2ccc(=O)oc2c1,"InChI=1S/C24H32O4/c1-15-11-12-23(3)16(2)19(25)8-9-21(23)24(15,4)14-27-18-7-5-17-6-10-22(26)28-20(17)13-18/h5-7,10,13,15-16,19,21,25H,8-9,11-12,14H2,1-4H3/t15-,16+,19-,21-,23-,24-/m0/s1",VZHMLYJMPGDZPE-IKZGVGPJSA-N,°¢Îº
COU_lehmannolone _CID_101418600.sdf,0,C[C@@H]1C(=O)CC[C@H]2[C@@]1(C)CC[C@H](C)[C@]2(C)COc1ccc2ccc(=O)oc2c1,"InChI=1S/C24H30O4/c1-15-11-12-23(3)16(2)19(25)8-9-21(23)24(15,4)14-27-18-7-5-17-6-10-22(26)28-20(17)13-18/h5-7,10,13,15-16,21H,8-9,11-12,14H2,1-4H3/t15-,16+,21-,23-,24-/m0/s1",RMXJARGUSLRHBH-URVVQCBASA-N,°¢Îº
COU_lehmferidin_CID_101316453.sdf,0,C=C1C=C[C@H]2C(C)(C)[C@H](O)CC[C@]2(C)[C@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C24H28O4/c1-15-5-9-20-23(2,3)21(25)11-12-24(20,4)18(15)14-27-17-8-6-16-7-10-22(26)28-19(16)13-17/h5-10,13,18,20-21,25H,1,11-12,14H2,2-4H3/t18-,20-,21+,24+/m0/s1",MUMYUQSSYNRAFL-IKQBDLNTSA-N,°¢Îº
COU_Ligupersin_A_CID_11876038.sdf,0,CC1=CC(=O)[C@@H]2C(C)(C)[C@H](O)CC[C@@]2(C)[C@@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C24H28O5/c1-14-11-18(25)22-23(2,3)20(26)9-10-24(22,4)17(14)13-28-16-7-5-15-6-8-21(27)29-19(15)12-16/h5-8,11-12,17,20,22,26H,9-10,13H2,1-4H3/t17-,20-,22-,24+/m1/s1",HIQLOIOGTRDMIW-QSOCRCLWSA-N,°¢Îº
COU_Methyl_galbanate_CID_7075765.sdf,0,COC(=O)CC[C@H]1C(=C(C)C)CC[C@H](C)[C@]1(C)COc1ccc2ccc(=O)oc2c1,"InChI=1S/C25H32O5/c1-16(2)20-10-6-17(3)25(4,21(20)11-13-23(26)28-5)15-29-19-9-7-18-8-12-24(27)30-22(18)14-19/h7-9,12,14,17,21H,6,10-11,13,15H2,1-5H3/t17-,21-,25-/m0/s1",LWKZASDDSMSRFV-ADSMNUKGSA-N,°¢Îº
COU_persicaoside_B_CID_101840039.sdf,0,C=C1C[C@H](O)[C@@H]2C(C)(C)[C@H](O[C@@H]3O[C@H](CO[C@@H]4OC[C@](O)(CO)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)CC[C@@]2(C)[C@H]1COc1ccc2ccc(=O)oc2c1,"InChI=1S/C35H48O14/c1-17-11-21(37)29-33(2,3)24(9-10-34(29,4)20(17)13-44-19-7-5-18-6-8-25(38)47-22(18)12-19)49-31-28(41)27(40)26(39)23(48-31)14-45-32-30(42)35(43,15-36)16-46-32/h5-8,12,20-21,23-24,26-32,36-37,39-43H,1,9-11,13-16H2,2-4H3/t20-,21-,23+,24+,26+,27-,28+,29+,30-,31-,32+,34-,35+/m0/s1",VOUHCFIAAIDHES-HHJVWFPFSA-N,°¢Îº
COU_Rivulobirin_D_CID_10769724.sdf,0,CC(C)(O)[C@H](O)COc1c2c(cc3ccoc13)C=C[C@]1(O2)O[C@H](COc2c3occc3cc3ccc(=O)oc23)C(C)(C)O1,"InChI=1S/C32H30O11/c1-30(2,35)21(33)15-38-29-25-20(9-12-37-25)14-18-7-10-32(42-27(18)29)41-22(31(3,4)43-32)16-39-28-24-19(8-11-36-24)13-17-5-6-23(34)40-26(17)28/h5-14,21-22,33,35H,15-16H2,1-4H3/t21-,22-,32-/m1/s1",RQSPCDMBNUXDLD-VOSQCMCKSA-N,°¢Îº
COU_samarcandin_acetate_CID_11908387.sdf,0,CC(=O)O[C@H]1CC[C@]2(C)[C@H](CC[C@](C)(O)[C@H]2COc2ccc3ccc(=O)oc3c2)C1(C)C,"InChI=1S/C26H34O6/c1-16(27)31-22-11-12-25(4)20(24(22,2)3)10-13-26(5,29)21(25)15-30-18-8-6-17-7-9-23(28)32-19(17)14-18/h6-9,14,20-22,29H,10-13,15H2,1-5H3/t20-,21+,22+,25-,26+/m1/s1",RIPKCRCUFJSKKD-AWFZIUMBSA-N,°¢Îº
