filename,mol_index,smiles,inchi,inchikey
ALK_folinic_acid_CID_135403648.sdf,0,Nc1nc2c(c(=O)[nH]1)N(C=O)[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)27(9-28)12(8-23-16)7-22-11-3-1-10(2-4-11)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,12-13,22H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,23,25,26,32)/t12-,13-/m0/s1",VVIAGPKUTFNRDU-STQMWFEESA-N
ALK_Hydracetin_CID_8247.sdf,0,CC(=O)NNc1ccccc1,"InChI=1S/C8H10N2O/c1-7(11)9-10-8-5-3-2-4-6-8/h2-6,10H,1H3,(H,9,11)",UICBCXONCUFSOI-UHFFFAOYSA-N
ALK_Nicotinic_acid_CID_938.sdf,0,O=C(O)c1cccnc1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",PVNIIMVLHYAWGP-UHFFFAOYSA-N
ALK_Perlolyrine_CID_160179.sdf,0,OCc1ccc(-c2nccc3c2[nH]c2ccccc23)o1,"InChI=1S/C16H12N2O2/c19-9-10-5-6-14(20-10)16-15-12(7-8-17-16)11-3-1-2-4-13(11)18-15/h1-8,18-19H,9H2",KFUCYPGCMLPUMT-UHFFFAOYSA-N
ALK_Tetramethylpyrazine_CID_14296.sdf,0,Cc1nc(C)c(C)nc1C,InChI=1S/C8H12N2/c1-5-6(2)10-8(4)7(3)9-5/h1-4H3,FINHMKGKINIASC-UHFFFAOYSA-N
COU_scopoletin_CID_5280460.sdf,0,COc1cc2ccc(=O)oc2cc1O,"InChI=1S/C10H8O4/c1-13-9-4-6-2-3-10(12)14-8(6)5-7(9)11/h2-5,11H,1H3",RODXRVNMMDRFIK-UHFFFAOYSA-N
"FAT_9,12-Octadecadienoic_acid_CID_3931.sdf",0,CCCCCC=CCC=CCCCCCCCC(=O)O,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)",OYHQOLUKZRVURQ-UHFFFAOYSA-N
FAT_linoleic_acid_CID_5280450.sdf,0,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",OYHQOLUKZRVURQ-HZJYTTRNSA-N
FAT_Methyl_linoleate_CID_5284421.sdf,0,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,"InChI=1S/C19H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h7-8,10-11H,3-6,9,12-18H2,1-2H3/b8-7-,11-10-",WTTJVINHCBCLGX-NQLNTKRDSA-N
FAT_Methyl_pentadecanoate_CID_23518.sdf,0,CCCCCCCCCCCCCCC(=O)OC,"InChI=1S/C16H32O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18-2/h3-15H2,1-2H3",XIUXKAZJZFLLDQ-UHFFFAOYSA-N
FAT_Nonanal_CID_31289.sdf,0,CCCCCCCCC=O,"InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h9H,2-8H2,1H3",GYHFUZHODSMOHU-UHFFFAOYSA-N
FAT_oleic_acid_CID_445639.sdf,0,CCCCCCCC/C=C\CCCCCCCC(=O)O,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-",ZQPPMHVWECSIRJ-KTKRTIGZSA-N
FAT_palmitic_acid_CID_985.sdf,0,CCCCCCCCCCCCCCCC(=O)O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N
FLA_APIGENIN_CID_5280443.sdf,0,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N
FLA_astragalin_CID_5282102.sdf,0,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,"InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2/t13-,15-,17+,18-,21+/m1/s1",JPUKWEQWGBDDQB-QSOFNFLRSA-N
FLA_daidzein_CID_5281708.sdf,0,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,"InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H",ZQSIJRDFPHDXIC-UHFFFAOYSA-N
FLA_daidzin_CID_107971.sdf,0,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12,"InChI=1S/C21H20O9/c22-8-16-18(25)19(26)20(27)21(30-16)29-12-5-6-13-15(7-12)28-9-14(17(13)24)10-1-3-11(23)4-2-10/h1-7,9,16,18-23,25-27H,8H2/t16-,18-,19+,20-,21-/m1/s1",KYQZWONCHDNPDP-QNDFHXLGSA-N
FLA_quercetin_CID_5280343.sdf,0,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N
"OTH_1,1-Diethoxybutane_CID_77225.sdf",0,CCCC(OCC)OCC,"InChI=1S/C8H18O2/c1-4-7-8(9-5-2)10-6-3/h8H,4-7H2,1-3H3",UVHXZFGCCJLFMX-UHFFFAOYSA-N
"OTH_1,1-Dimethylcyclopentane_CID_15421.sdf",0,CC1(C)CCCC1,"InChI=1S/C7H14/c1-7(2)5-3-4-6-7/h3-6H2,1-2H3",QWHNJUXXYKPLQM-UHFFFAOYSA-N
OTH_2-Methylbenzoxazole_CID_7225.sdf,0,Cc1nc2ccccc2o1,"InChI=1S/C8H7NO/c1-6-9-7-4-2-3-5-8(7)10-6/h2-5H,1H3",DQSHFKPKFISSNM-UHFFFAOYSA-N
OTH_2-Propionylfuran_CID_76662.sdf,0,CCC(=O)c1ccco1,"InChI=1S/C7H8O2/c1-2-6(8)7-4-3-5-9-7/h3-5H,2H2,1H3",HCPORNAVHSWTOJ-UHFFFAOYSA-N
OTH_3-Cyclohexen-1-ol_CID_556685.sdf,0,O[C@@H]1CC=CCC1,"InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-2,6-7H,3-5H2/t6-/m1/s1",ABZZOPIABWYXSN-ZCFIWIBFSA-N
OTH_4-Vinylguaiacol_CID_332.sdf,0,C=Cc1ccc(O)c(OC)c1,"InChI=1S/C9H10O2/c1-3-7-4-5-8(10)9(6-7)11-2/h3-6,10H,1H2,2H3",YOMSJEATGXXYPX-UHFFFAOYSA-N
OTH_Adenine_CID_190.sdf,0,Nc1ncnc2nc[nH]c12,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",GFFGJBXGBJISGV-UHFFFAOYSA-N
OTH_adenosine_CID_60961.sdf,0,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",OIRDTQYFTABQOQ-KQYNXXCUSA-N
OTH_aurantiamide_acetate_CID_10026486.sdf,0,CC(=O)OC[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1,"InChI=1S/C27H28N2O4/c1-20(30)33-19-24(17-21-11-5-2-6-12-21)28-27(32)25(18-22-13-7-3-8-14-22)29-26(31)23-15-9-4-10-16-23/h2-16,24-25H,17-19H2,1H3,(H,28,32)(H,29,31)/t24-,25-/m0/s1",VZPAURMDJZOGHU-DQEYMECFSA-N
OTH_Butylphthalide_CID_61361.sdf,0,CCCC[C@H]1OC(=O)c2ccccc21,"InChI=1S/C12H14O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h4-7,11H,2-3,8H2,1H3/t11-/m1/s1",HJXMNVQARNZTEE-LLVKDONJSA-N
OTH_CARVEOL_CID_7438.sdf,0,C=C(C)[C@@H]1CC=C(C)[C@H](O)C1,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9-11H,1,5-6H2,2-3H3/t9-,10-/m1/s1",BAVONGHXFVOKBV-NXEZZACHSA-N
OTH_choline_CID_305.sdf,0,C[N+](C)(C)CCO,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",OEYIOHPDSNJKLS-UHFFFAOYSA-N
OTH_Furfural_CID_7362.sdf,0,O=Cc1ccco1,InChI=1S/C5H4O2/c6-4-5-2-1-3-7-5/h1-4H,HYBBIBNJHNGZAN-UHFFFAOYSA-N
OTH_Globulol_CID_12304985.sdf,0,C[C@@H]1CC[C@@H]2[C@@H]1[C@H]1[C@@H](CC[C@@]2(C)O)C1(C)C,"InChI=1S/C15H26O/c1-9-5-6-10-12(9)13-11(14(13,2)3)7-8-15(10,4)16/h9-13,16H,5-8H2,1-4H3/t9-,10-,11-,12-,13-,15-/m1/s1",AYXPYQRXGNDJFU-QTPLKFIXSA-N
