filename,mol_index,smiles,inchi,inchikey
"ALK_1-(9H-pyrido[3,4-b]indol-1-yl)ethanone_CID_638667.sdf",0,CC(=O)c1nccc2c1[nH]c1ccccc12,"InChI=1S/C13H10N2O/c1-8(16)12-13-10(6-7-14-12)9-4-2-3-5-11(9)15-13/h2-7,15H,1H3",NXZSUJKPVSDFNF-UHFFFAOYSA-N
ALK_adenosine_CID_60961.sdf,0,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",OIRDTQYFTABQOQ-KQYNXXCUSA-N
ALK_allantoin_CID_204.sdf,0,NC(=O)N[C@H]1NC(=O)NC1=O,"InChI=1S/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)/t1-/m0/s1",POJWUDADGALRAB-SFOWXEAESA-N
ALK_harman_CID_5281404.sdf,0,Cc1nccc2c1[nH]c1ccccc12,"InChI=1S/C12H10N2/c1-8-12-10(6-7-13-8)9-4-2-3-5-11(9)14-12/h2-7,14H,1H3",PSFDQSOCUJVVGF-UHFFFAOYSA-N
ALK_N-butylbenzenesulfonamide_CID_19241.sdf,0,CCCCNS(=O)(=O)c1ccccc1,"InChI=1S/C10H15NO2S/c1-2-3-9-11-14(12,13)10-7-5-4-6-8-10/h4-8,11H,2-3,9H2,1H3",IPRJXAGUEGOFGG-UHFFFAOYSA-N
COU_6-methoxycoumarin_CID_11240776.sdf,0,COc1ccc2oc(=O)ccc2c1,"InChI=1S/C10H8O3/c1-12-8-3-4-9-7(6-8)2-5-10(11)13-9/h2-6H,1H3",VKVCJIMMVPXDQD-UHFFFAOYSA-N
COU_Decursin_CID_442126.sdf,0,CC(C)=CC(=O)O[C@H]1Cc2cc3ccc(=O)oc3cc2OC1(C)C,"InChI=1S/C19H20O5/c1-11(2)7-18(21)23-16-9-13-8-12-5-6-17(20)22-14(12)10-15(13)24-19(16,3)4/h5-8,10,16H,9H2,1-4H3/t16-/m0/s1",CUKSFECWKQBVED-INIZCTEOSA-N
COU_eleutheroside_B1_CID_12302278.sdf,0,COc1cc2ccc(=O)oc2c(OC)c1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C17H20O10/c1-23-8-5-7-3-4-10(19)26-14(7)16(24-2)15(8)27-17-13(22)12(21)11(20)9(6-18)25-17/h3-5,9,11-13,17-18,20-22H,6H2,1-2H3/t9-,11-,12+,13-,17-/m1/s1",IKUQEFGEUOOPGY-FMKPUTLISA-N
FLA_hyperoside_CID_5281643.sdf,0,O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,"InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15+,17+,18-,21+/m1/s1",OVSQVDMCBVZWGM-DTGCRPNFSA-N
GLU_icariside F2_CID_14079045.sdf,0,OC[C@@]1(O)CO[C@@H](OC[C@H]2O[C@@H](OCc3ccccc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H]1O,"InChI=1S/C18H26O10/c19-8-18(24)9-27-17(15(18)23)26-7-11-12(20)13(21)14(22)16(28-11)25-6-10-4-2-1-3-5-10/h1-5,11-17,19-24H,6-9H2/t11-,12-,13+,14-,15+,16-,17-,18-/m1/s1",NJMQSVWMCODQIP-FQXXIRCGSA-N
GLU_maltose_CID_6255.sdf,0,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11-,12-/m1/s1",GUBGYTABKSRVRQ-QUYVBRFLSA-N
