filename,mol_index,smiles,inchi,inchikey
COU_Isoimperatorin_CID_68081.sdf,0,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,"InChI=1S/C16H14O4/c1-10(2)5-7-19-16-11-3-4-15(17)20-14(11)9-13-12(16)6-8-18-13/h3-6,8-9H,7H2,1-2H3",IGWDEVSBEKYORK-UHFFFAOYSA-N
FLA_FLAIsoquercitrin_CID_5280804.sdf,0,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,"InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15-,17+,18-,21+/m1/s1",OVSQVDMCBVZWGM-QSOFNFLRSA-N
FLA_FLAQuercetin_CID_5280343.sdf,0,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N
FLA_FLARutin_CID_5280805.sdf,0,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m0/s1",IKGXIBQEEMLURG-NVPNHPEKSA-N
OTH_(-)-20-deoxocarnosol_CID_625394.sdf,0,CC(C)c1cc2c(c(O)c1O)[C@]13CCCC(C)(C)[C@@H]1C[C@H]2OC3,"InChI=1S/C20H28O3/c1-11(2)12-8-13-14-9-15-19(3,4)6-5-7-20(15,10-23-14)16(13)18(22)17(12)21/h8,11,14-15,21-22H,5-7,9-10H2,1-4H3/t14-,15+,20+/m1/s1",XCVWKCGUFCXDHN-SIFCLUCFSA-N
"OTH_(1R,7S)-1,6,6-trimethyl-1,2,6,7,8,9-hexahydrophenanthro-[1,2-b]furan-7,10,11-triol_CID_129892404.sdf",0,C[C@H]1COc2c1c(O)c(O)c1c3c(ccc21)C(C)(C)[C@@H](O)CC3,"InChI=1S/C19H22O4/c1-9-8-23-18-11-4-6-12-10(5-7-13(20)19(12,2)3)15(11)17(22)16(21)14(9)18/h4,6,9,13,20-22H,5,7-8H2,1-3H3/t9-,13-/m0/s1",CAZUYKFRKNTFPQ-ZANVPECISA-N
"OTH_(3S,4aS,10aS)-3-(acetyloxy)-2,3,4,4a,10,10a-hexahydro-6-hydroxy-1,1,4a-trimethyl-7-(1-methylethyl)-9(1H)-phenanthrenone_CID_11624647.sdf",0,CC(=O)O[C@H]1CC(C)(C)[C@@H]2CC(=O)c3cc(C(C)C)c(O)cc3[C@@]2(C)C1,"InChI=1S/C22H30O4/c1-12(2)15-7-16-17(8-18(15)24)22(6)11-14(26-13(3)23)10-21(4,5)20(22)9-19(16)25/h7-8,12,14,20,24H,9-11H2,1-6H3/t14-,20-,22+/m0/s1",LVRUFBJYFAGDRK-PRPYNDMISA-N
"OTH_(7S,8R)-1,7,8-trihydroxy-2-((R)-1-hydroxypropan-2-yl)-8-methyl-5,6,7,8-tetrahydrophenanthrene-3,4-dione_CID_129807513.sdf",0,C[C@@H](CO)C1=C(O)c2ccc3c(c2C(=O)C1=O)CC[C@H](O)[C@]3(C)O,"InChI=1S/C18H20O6/c1-8(7-19)13-15(21)10-3-5-11-9(14(10)17(23)16(13)22)4-6-12(20)18(11,2)24/h3,5,8,12,19-21,24H,4,6-7H2,1-2H3/t8-,12-,18+/m0/s1",OBOQAQNFRFABKR-LQICSGGHSA-N
"OTH_2, 10, 11-trihydroxy-8-methoxy-1,6,7,8-tetrahydro-2H-benzo [ e]azecine-3,5-dione_CID_9971720.sdf",0,CO[C@@H]1CCC(=O)NC(=O)[C@@H](O)Cc2cc(O)c(O)cc21,"InChI=1S/C14H17NO6/c1-21-12-2-3-13(19)15-14(20)11(18)5-7-4-9(16)10(17)6-8(7)12/h4,6,11-12,16-18H,2-3,5H2,1H3,(H,15,19,20)/t11-,12+/m0/s1",WJFJWQGKFWQXLB-NWDGAFQWSA-N
OTH_B-Sitostero_CID_222284.sdf,0,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",KZJWDPNRJALLNS-VJSFXXLFSA-N
