filename,mol_index,smiles,inchi,inchikey
AMI_Hydroxytyrosol_CID_82755.sdf,0,OCCc1ccc(O)c(O)c1,"InChI=1S/C8H10O3/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,9-11H,3-4H2",JUUBCHWRXWPFFH-UHFFFAOYSA-N
AMI_Uridine_CID_6029.sdf,0,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1",DRTQHJPVMGBUCF-XVFCMESISA-N
FLA_(-)-Catechin_CID_73160.sdf,0,Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@H](O)C2,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m1/s1",PFTAWBLQPZVEMU-HIFRSBDPSA-N
FLA_citrusinB_CID_11972318.sdf,0,COc1cc([C@@H](O)[C@@H](CO)Oc2c(OC)cc(/C=C/CO)cc2OC)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C27H36O13/c1-35-17-11-15(6-7-16(17)39-27-25(34)24(33)23(32)21(13-30)40-27)22(31)20(12-29)38-26-18(36-2)9-14(5-4-8-28)10-19(26)37-3/h4-7,9-11,20-25,27-34H,8,12-13H2,1-3H3/b5-4+/t20-,21-,22-,23-,24+,25-,27-/m1/s1",XMGKCJUCYBLMBY-IMPOEWHJSA-N
FLA_Cuneataside_C_CID_11503277.sdf,0,OC[C@@]1(O)CO[C@@H](OC[C@H]2O[C@@H](OCCc3ccc(O)c(O)c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H]1O,"InChI=1S/C19H28O12/c20-7-19(27)8-30-18(16(19)26)29-6-12-13(23)14(24)15(25)17(31-12)28-4-3-9-1-2-10(21)11(22)5-9/h1-2,5,12-18,20-27H,3-4,6-8H2/t12-,13-,14+,15-,16+,17-,18-,19-/m1/s1",LBHKVQMODMELAS-OTCFHACESA-N
FLA_epicatechin_CID_72276.sdf,0,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m1/s1",PFTAWBLQPZVEMU-UKRRQHHQSA-N
FLA_Quercetin_CID_5280343.sdf,0,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N
GLU_(-)-Isolariciresinol_9'-O-glucoside_CID_44560003.sdf,0,COc1cc([C@@H]2c3cc(O)c(OC)cc3C[C@H](CO)[C@H]2CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)ccc1O,"InChI=1S/C26H34O11/c1-34-19-6-12(3-4-17(19)29)22-15-8-18(30)20(35-2)7-13(15)5-14(9-27)16(22)11-36-26-25(33)24(32)23(31)21(10-28)37-26/h3-4,6-8,14,16,21-33H,5,9-11H2,1-2H3/t14-,16-,21-,22-,23-,24+,25-,26-/m1/s1",AHYOMNWKYGMYMB-PBJGOBETSA-N
GLU_calceolariosideB_CID_5273567.sdf,0,O=C(/C=C/c1ccc(O)c(O)c1)OC[C@H]1O[C@@H](OCCc2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,"InChI=1S/C23H26O11/c24-14-4-1-12(9-16(14)26)3-6-19(28)33-11-18-20(29)21(30)22(31)23(34-18)32-8-7-13-2-5-15(25)17(27)10-13/h1-6,9-10,18,20-27,29-31H,7-8,11H2/b6-3+/t18-,20-,21+,22-,23-/m1/s1",LFKQVVDFNHDYNK-FOXCETOMSA-N
GLU_daucosterol_CID_5742590.sdf,0,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,"InChI=1S/C35H60O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h10,20-22,24-33,36-39H,7-9,11-19H2,1-6H3/t21-,22-,24+,25+,26-,27+,28+,29-,30-,31+,32-,33-,34+,35-/m1/s1",NPJICTMALKLTFW-OFUAXYCQSA-N
