filename,mol_index,smiles,inchi,inchikey
"FLA_5,3'-Dihydroxy-7,4'-dimethoxyflavone_CID_5320496.sdf",0,COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(O)c3)oc2c1,"InChI=1S/C17H14O6/c1-21-10-6-12(19)17-13(20)8-15(23-16(17)7-10)9-3-4-14(22-2)11(18)5-9/h3-8,18-19H,1-2H3",UDBHJDTXPDRDNS-UHFFFAOYSA-N
FLA_Astragalin_CID_5282102.sdf,0,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,"InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2/t13-,15-,17+,18-,21+/m1/s1",JPUKWEQWGBDDQB-QSOFNFLRSA-N
FLA_Emodin-3-methyl ether_CID_10639.sdf,0,COc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,"InChI=1S/C16H12O5/c1-7-3-9-13(11(17)4-7)16(20)14-10(15(9)19)5-8(21-2)6-12(14)18/h3-6,17-18H,1-2H3",FFWOKTFYGVYKIR-UHFFFAOYSA-N
"FLA_Kaempferol-7, 4 '-dimethyl ether_CID_5378823.sdf",0,COc1ccc(-c2oc3cc(OC)cc(O)c3c(=O)c2O)cc1,"InChI=1S/C17H14O6/c1-21-10-5-3-9(4-6-10)17-16(20)15(19)14-12(18)7-11(22-2)8-13(14)23-17/h3-8,18,20H,1-2H3",KZBAXKKOXPLOBX-UHFFFAOYSA-N
FLA_Kaempferol_CID_5280863.sdf,0,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N
FLA_Neolancerin_CID_92029590.sdf,0,O=c1c2cc(O)ccc2oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,"InChI=1S/C19H18O10/c20-5-11-15(24)17(26)18(27)19(29-11)12-8(22)4-10-13(16(12)25)14(23)7-3-6(21)1-2-9(7)28-10/h1-4,11,15,17-22,24-27H,5H2/t11-,15-,17+,18-,19+/m1/s1",KRCBALDMBZQTIQ-ZJKJAXBQSA-N
FLA_Polygalin C_CID_145874178.sdf,0,COc1cc(O)c2c(=O)c(O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O[C@@H]3OC[C@](O)(CO)[C@H]3O)c(-c3ccc(OC)c(O)c3)oc2c1,"InChI=1S/C28H32O16/c1-38-12-6-14(32)18-16(7-12)41-22(11-3-4-15(39-2)13(31)5-11)23(20(18)34)43-26-24(21(35)19(33)17(8-29)42-26)44-27-25(36)28(37,9-30)10-40-27/h3-7,17,19,21,24-27,29-33,35-37H,8-10H2,1-2H3/t17-,19+,21+,24-,25+,26+,27+,28-/m1/s1",WEUAMJXXXHKXGE-DORMBUOXSA-N
FLA_Quercetin_CID_5280343.sdf,0,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N
FLA_Rhamnetin_CID_5281691.sdf,0,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc2c1,"InChI=1S/C16H12O7/c1-22-8-5-11(19)13-12(6-8)23-16(15(21)14(13)20)7-2-3-9(17)10(18)4-7/h2-6,17-19,21H,1H3",JGUZGNYPMHHYRK-UHFFFAOYSA-N
FLA_Sibiricaxanthone A_CID_21581292.sdf,0,O=c1c2cc(O)ccc2oc2cc(O)c([C@@H]3O[C@H](CO[C@@H]4OC[C@](O)(CO)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,"InChI=1S/C24H26O14/c25-6-24(34)7-36-23(22(24)33)35-5-13-17(29)19(31)20(32)21(38-13)14-10(27)4-12-15(18(14)30)16(28)9-3-8(26)1-2-11(9)37-12/h1-4,13,17,19-23,25-27,29-34H,5-7H2/t13-,17-,19+,20-,21+,22+,23-,24-/m1/s1",RQGJKXKUUWCQNK-ZBQXNOHASA-N
GLU_sibiricose A5_CID_6326020.sdf,0,COc1cc(/C=C/C(=O)O[C@H]2[C@H](O)[C@@H](CO)O[C@@]2(CO)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)ccc1O,"InChI=1S/C22H30O14/c1-32-12-6-10(2-4-11(12)26)3-5-15(27)34-20-17(29)14(8-24)35-22(20,9-25)36-21-19(31)18(30)16(28)13(7-23)33-21/h2-6,13-14,16-21,23-26,28-31H,7-9H2,1H3/b5-3+/t13-,14-,16-,17-,18+,19-,20+,21-,22+/m1/s1",ZPEADZHVGOCGKH-YQTDNFGYSA-N
GLU_sibiricose A6_CID_6326021.sdf,0,COc1cc(/C=C/C(=O)O[C@H]2[C@H](O)[C@@H](CO)O[C@@]2(CO)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O,"InChI=1S/C23H32O15/c1-33-11-5-10(6-12(34-2)16(11)28)3-4-15(27)36-21-18(30)14(8-25)37-23(21,9-26)38-22-20(32)19(31)17(29)13(7-24)35-22/h3-6,13-14,17-22,24-26,28-32H,7-9H2,1-2H3/b4-3+/t13-,14-,17-,18-,19+,20-,21+,22-,23+/m1/s1",WTCVROXOIQEIRC-IBVGEFGBSA-N
GLU_Tenuifoliside A_CID_46933844.sdf,0,COc1cc(/C=C/C(=O)O[C@H]2[C@H](O)[C@@H](CO)O[C@@]2(CO)O[C@H]2O[C@H](COC(=O)c3ccc(O)cc3)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1OC,"InChI=1S/C31H38O17/c1-41-18-10-15(11-19(42-2)27(18)43-3)4-9-22(35)46-28-24(37)20(12-32)47-31(28,14-33)48-30-26(39)25(38)23(36)21(45-30)13-44-29(40)16-5-7-17(34)8-6-16/h4-11,20-21,23-26,28,30,32-34,36-39H,12-14H2,1-3H3/b9-4+/t20-,21-,23-,24-,25+,26-,28+,30-,31+/m1/s1",BBUQNXDJRVCZTI-FNUXIAMKSA-N
PHE_4-Hydroxybenzoic acid_CID_135.sdf,0,O=C(O)c1ccc(O)cc1,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",FJKROLUGYXJWQN-UHFFFAOYSA-N
