filename,mol_index,smiles,inchi,inchikey
FLA_Quercetin_CID_5280343.sdf,0,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N
GLU_Abietin_CID_5280372.sdf,0,COc1cc(/C=C/CO)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C16H22O8/c1-22-11-7-9(3-2-6-17)4-5-10(11)23-16-15(21)14(20)13(19)12(8-18)24-16/h2-5,7,12-21H,6,8H2,1H3/b3-2+/t12-,13-,14+,15-,16-/m1/s1",SFLMUHDGSQZDOW-FAOXUISGSA-N
GLU_alpha_Spinasterol_glucoside_CID_12960505.sdf,0,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,"InChI=1S/C35H58O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h8-9,11,20-24,26-33,36-39H,7,10,12-19H2,1-6H3/b9-8+/t21-,22-,23+,24+,26-,27+,28+,29-,30-,31+,32-,33-,34+,35-/m1/s1",ITYGLICZKGWOPA-FDZHQVDOSA-N
GLU_Daucosterol_CID_5742590.sdf,0,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,"InChI=1S/C35H60O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h10,20-22,24-33,36-39H,7-9,11-19H2,1-6H3/t21-,22-,24+,25+,26-,27+,28+,29-,30-,31+,32-,33-,34+,35-/m1/s1",NPJICTMALKLTFW-OFUAXYCQSA-N
GLU_Inositol_CID_892.sdf,0,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,"InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3-,4+,5-,6-",CDAISMWEOUEBRE-GPIVLXJGSA-N
GLU_Prosapogenin_1_CID_10462472.sdf,0,C=C1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O)C[C@@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,"InChI=1S/C38H58O12/c1-17-8-11-38(46-15-17)18(2)28-26(50-38)14-24-22-7-6-20-12-21(39)13-27(37(20,5)23(22)9-10-36(24,28)4)48-35-33(30(42)25(40)16-45-35)49-34-32(44)31(43)29(41)19(3)47-34/h6,18-19,21-35,39-44H,1,7-16H2,2-5H3/t18-,19-,21+,22+,23-,24-,25-,26-,27+,28-,29-,30-,31+,32+,33+,34-,35-,36-,37-,38+/m0/s1",URTQATADKAKTAX-RFJPXPNDSA-N
OTH_cyclohexane_CID_8078.sdf,0,C1CCCCC1,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,XDTMQSROBMDMFD-UHFFFAOYSA-N
OTH_Tetradecane_CID_12389.sdf,0,CCCCCCCCCCCCCC,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",BGHCVCJVXZWKCC-UHFFFAOYSA-N
PHE_Syringic_acid_CID_10742.sdf,0,COc1cc(C(=O)O)cc(OC)c1O,"InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)",JMSVCTWVEWCHDZ-UHFFFAOYSA-N
PPP_(+)_lyoniresinol_CID_11711453.sdf,0,COc1cc([C@H]2c3c(cc(OC)c(O)c3OC)C[C@@H](CO)[C@@H]2CO)cc(OC)c1O,"InChI=1S/C22H28O8/c1-27-15-7-12(8-16(28-2)20(15)25)18-14(10-24)13(9-23)5-11-6-17(29-3)21(26)22(30-4)19(11)18/h6-8,13-14,18,23-26H,5,9-10H2,1-4H3/t13-,14-,18+/m0/s1",ZDVZKBOFCHOPLM-SUNYJGFJSA-N
PPP_(-)_lariciresinol_CID_23815394.sdf,0,COc1cc(C[C@@H]2CO[C@@H](c3ccc(O)c(OC)c3)[C@@H]2CO)ccc1O,"InChI=1S/C20H24O6/c1-24-18-8-12(3-5-16(18)22)7-14-11-26-20(15(14)10-21)13-4-6-17(23)19(9-13)25-2/h3-6,8-9,14-15,20-23H,7,10-11H2,1-2H3/t14-,15-,20+/m1/s1",MHXCIKYXNYCMHY-SXGZJXTBSA-N
PPP_(-)_Syringaresinol_CID_11604108.sdf,0,COc1cc([C@@H]2OC[C@@H]3[C@H]2CO[C@H]3c2cc(OC)c(O)c(OC)c2)cc(OC)c1O,"InChI=1S/C22H26O8/c1-25-15-5-11(6-16(26-2)19(15)23)21-13-9-30-22(14(13)10-29-21)12-7-17(27-3)20(24)18(8-12)28-4/h5-8,13-14,21-24H,9-10H2,1-4H3/t13-,14-,21+,22+/m1/s1",KOWMJRJXZMEZLD-WRMVBYCNSA-N
PTH_n_Octadecane_CID_11635.sdf,0,CCCCCCCCCCCCCCCCCC,"InChI=1S/C18H38/c1-3-5-7-9-11-13-15-17-18-16-14-12-10-8-6-4-2/h3-18H2,1-2H3",RZJRJXONCZWCBN-UHFFFAOYSA-N
PTH_Trimethylgallic_acid_methyl_ester_CID_15956.sdf,0,COC(=O)c1cc(OC)c(OC)c(OC)c1,"InChI=1S/C11H14O5/c1-13-8-5-7(11(12)16-4)6-9(14-2)10(8)15-3/h5-6H,1-4H3",KACHFMOHOPLTNX-UHFFFAOYSA-N
TER_Eucalyptone_CID_91885002.sdf,0,CC(=O)CC[C@@H]1[C@H]([C@@H]2C(=O)CC[C@]2(C)[C@H](CC(C)C)c2c(O)c(C=O)c(O)c(C=O)c2O)C1(C)C,"InChI=1S/C28H38O7/c1-14(2)11-19(21-25(34)16(12-29)24(33)17(13-30)26(21)35)28(6)10-9-20(32)23(28)22-18(27(22,4)5)8-7-15(3)31/h12-14,18-19,22-23,33-35H,7-11H2,1-6H3/t18-,19-,22-,23+,28-/m1/s1",KGPNGYABEKLGJP-FXYQFJFOSA-N
