filename,mol_index,smiles,inchi,inchikey
FLA_Apigenin_CID_5280443.sdf,0,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N
GLU_diosmetin_7_O_b_d_glucoside_CID_11016019.sdf,0,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,"InChI=1S/C22H22O11/c1-30-14-3-2-9(4-11(14)24)15-7-13(26)18-12(25)5-10(6-16(18)32-15)31-22-21(29)20(28)19(27)17(8-23)33-22/h2-7,17,19-25,27-29H,8H2,1H3/t17-,19-,20+,21-,22-/m1/s1",WKUHPOMCLBLCOV-MIUGBVLSSA-N
GLU_juniperoside_CID_15690607.sdf,0,COc1cc(/C=C/CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1OC,"InChI=1S/C18H26O9/c1-23-11-7-10(8-12(24-2)17(11)25-3)5-4-6-26-18-16(22)15(21)14(20)13(9-19)27-18/h4-5,7-8,13-16,18-22H,6,9H2,1-3H3/b5-4+/t13-,14-,15+,16-,18-/m1/s1",SGVIOKXMBPTKTD-BJKOHBGFSA-N
GLU_luteolin_7_O_sophoroside_CID_25104522.sdf,0,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,"InChI=1S/C27H30O16/c28-7-17-20(34)22(36)24(38)26(41-17)43-25-23(37)21(35)18(8-29)42-27(25)39-10-4-13(32)19-14(33)6-15(40-16(19)5-10)9-1-2-11(30)12(31)3-9/h1-6,17-18,20-32,34-38H,7-8H2/t17-,18-,20-,21-,22+,23+,24-,25-,26+,27-/m1/s1",QCVPRHKLLVFRHV-BYJQLNSESA-N
GLU_Plantamajoside_CID_5281788.sdf,0,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](OCCc2ccc(O)c(O)c2)O[C@@H]1CO,"InChI=1S/C29H36O16/c30-11-19-22(37)23(38)24(39)29(42-19)45-27-25(40)28(41-8-7-14-2-5-16(33)18(35)10-14)43-20(12-31)26(27)44-21(36)6-3-13-1-4-15(32)17(34)9-13/h1-6,9-10,19-20,22-35,37-40H,7-8,11-12H2/b6-3+/t19-,20-,22-,23+,24-,25-,26-,27-,28-,29+/m1/s1",KFEFLPDKISUVNR-QJEHNBJNSA-N
OTH_vanillin_CID_1183.sdf,0,COc1cc(C=O)ccc1O,"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3",MWOOGOJBHIARFG-UHFFFAOYSA-N
PHE_4_hydroxy_benzoic_acid_CID_135.sdf,0,O=C(O)c1ccc(O)cc1,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",FJKROLUGYXJWQN-UHFFFAOYSA-N
PHE_protocatechuic_acid_CID_72.sdf,0,O=C(O)c1ccc(O)c(O)c1,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",YQUVCSBJEUQKSH-UHFFFAOYSA-N
PHE_vanillic_acid_CID_8468.sdf,0,COc1cc(C(=O)O)ccc1O,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)",WKOLLVMJNQIZCI-UHFFFAOYSA-N
PPP_caffeic_acid_CID_689043.sdf,0,O=C(O)/C=C/c1ccc(O)c(O)c1,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+",QAIPRVGONGVQAS-DUXPYHPUSA-N
PPP_p_coumaric_acid_CID_637542.sdf,0,O=C(O)/C=C/c1ccc(O)cc1,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+",NGSWKAQJJWESNS-ZZXKWVIFSA-N
