filename,mol_index,smiles,inchi,inchikey
COU_Dalbergin_CID_442768.sdf,0,COc1cc2oc(=O)cc(-c3ccccc3)c2cc1O,"InChI=1S/C16H12O4/c1-19-15-9-14-12(7-13(15)17)11(8-16(18)20-14)10-5-3-2-4-6-10/h2-9,17H,1H3",AZELSOYQOIUPBZ-UHFFFAOYSA-N
COU_isodalbergin_CID_5318543.sdf,0,COc1cc2c(-c3ccccc3)cc(=O)oc2cc1O,"InChI=1S/C16H12O4/c1-19-15-7-12-11(10-5-3-2-4-6-10)8-16(18)20-14(12)9-13(15)17/h2-9,17H,1H3",JHRWCFFXJIFILI-UHFFFAOYSA-N
COU_melanettin_CID_442808.sdf,0,COc1cc2oc(=O)cc(-c3ccc(O)cc3)c2cc1O,"InChI=1S/C16H12O5/c1-20-15-8-14-12(6-13(15)18)11(7-16(19)21-14)9-2-4-10(17)5-3-9/h2-8,17-18H,1H3",HUGUGFBIYQBLCS-UHFFFAOYSA-N
COU_stevenin_CID_5321501.sdf,0,COc1cc2oc(=O)cc(-c3cccc(O)c3)c2cc1O,"InChI=1S/C16H12O5/c1-20-15-8-14-12(6-13(15)18)11(7-16(19)21-14)9-3-2-4-10(17)5-9/h2-8,17-18H,1H3",MYVNFPJTNYAPDH-UHFFFAOYSA-N
FAT_hexadecanoic acid_CID_985.sdf,0,CCCCCCCCCCCCCCCC(=O)O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N
FAT_hexanoic acid_CID_8892.sdf,0,CCCCCC(=O)O,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",FUZZWVXGSFPDMH-UHFFFAOYSA-N
FAT_palmitic acid_CID_985 (1).sdf,0,CCCCCCCCCCCCCCCC(=O)O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N
FLA_(+)-duartin _CID_127790.sdf,0,COc1ccc([C@@H]2COc3c(ccc(O)c3OC)C2)c(OC)c1O,"InChI=1S/C18H20O6/c1-21-14-7-5-12(17(22-2)15(14)20)11-8-10-4-6-13(19)18(23-3)16(10)24-9-11/h4-7,11,19-20H,8-9H2,1-3H3/t11-/m0/s1",QVVPJFBYFYYVDM-NSHDSACASA-N
FLA_(+)-isoduartin _CID_10065329.sdf,0,COc1ccc([C@@H]2COc3c(ccc(O)c3OC)C2)c(O)c1OC,"InChI=1S/C18H20O6/c1-21-14-7-5-12(15(20)18(14)23-3)11-8-10-4-6-13(19)17(22-2)16(10)24-9-11/h4-7,11,19-20H,8-9H2,1-3H3/t11-/m0/s1",BHZCUYWXAHPWFV-NSHDSACASA-N
FLA_(2S)-liquiritigenin_CID_114829.sdf,0,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21,"InChI=1S/C15H12O4/c16-10-3-1-9(2-4-10)14-8-13(18)12-6-5-11(17)7-15(12)19-14/h1-7,14,16-17H,8H2/t14-/m0/s1",FURUXTVZLHCCNA-AWEZNQCLSA-N
FLA_(2S)-pinostrobin_CID_73201.sdf,0,COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,"InChI=1S/C16H14O4/c1-19-11-7-12(17)16-13(18)9-14(20-15(16)8-11)10-5-3-2-4-6-10/h2-8,14,17H,9H2,1H3/t14-/m0/s1",ORJDDOBAOGKRJV-AWEZNQCLSA-N
FLA_(3R)-claussequinone_CID_332771.sdf,0,COC1=CC(=O)C([C@@H]2COc3cc(O)ccc3C2)=CC1=O,"InChI=1S/C16H14O5/c1-20-16-7-13(18)12(6-14(16)19)10-4-9-2-3-11(17)5-15(9)21-8-10/h2-3,5-7,10,17H,4,8H2,1H3/t10-/m0/s1",PDAKXMIQFUHWQC-JTQLQIEISA-N
FLA_(3R)-sativanone _CID_5321142.sdf,0,COc1ccc([C@@H]2COc3cc(O)ccc3C2=O)c(OC)c1,"InChI=1S/C17H16O5/c1-20-11-4-6-12(15(8-11)21-2)14-9-22-16-7-10(18)3-5-13(16)17(14)19/h3-8,14,18H,9H2,1-2H3/t14-/m0/s1",JOVYBWHPTQRVNZ-AWEZNQCLSA-N
FLA_(3R)-vestitol _CID_182259.sdf,0,COc1ccc([C@@H]2COc3cc(O)ccc3C2)c(O)c1,"InChI=1S/C16H16O4/c1-19-13-4-5-14(15(18)8-13)11-6-10-2-3-12(17)7-16(10)20-9-11/h2-5,7-8,11,17-18H,6,9H2,1H3/t11-/m0/s1",XRVFNNUXNVWYTI-NSHDSACASA-N
