filename,mol_index,smiles,inchi,inchikey
ALK_1-Methoxy-3-methyl-9H-carbazole_CID_375150.sdf,0,COc1cc(C)cc2c1[nH]c1ccccc12,"InChI=1S/C14H13NO/c1-9-7-11-10-5-3-4-6-12(10)15-14(11)13(8-9)16-2/h3-8,15H,1-2H3",HDETUOZJFUNSKG-UHFFFAOYSA-N
ALK_7-methoxy-8-(3-methyl-5-oxo-2H-furan-4-yl)chromen-2-one_CID_5319827.sdf,0,COc1ccc2ccc(=O)oc2c1C1=C(C)COC1=O,"InChI=1S/C15H12O5/c1-8-7-19-15(17)12(8)13-10(18-2)5-3-9-4-6-11(16)20-14(9)13/h3-6H,7H2,1-2H3",AZYVCLJYWIHOAD-UHFFFAOYSA-N
ALK_Girinimbine_CID_96943.sdf,0,Cc1cc2c([nH]c3ccccc32)c2c1OC(C)(C)C=C2,"InChI=1S/C18H17NO/c1-11-10-14-12-6-4-5-7-15(12)19-16(14)13-8-9-18(2,3)20-17(11)13/h4-10,19H,1-3H3",GAEQWKVGMHUUKO-UHFFFAOYSA-N
ALK_Indole-3-carboxaldehyde_CID_10256.sdf,0,O=Cc1c[nH]c2ccccc12,"InChI=1S/C9H7NO/c11-6-7-5-10-9-4-2-1-3-8(7)9/h1-6,10H",OLNJUISKUQQNIM-UHFFFAOYSA-N
ALK_koenimbine_CID_97487.sdf,0,COc1ccc2[nH]c3c4c(c(C)cc3c2c1)OC(C)(C)C=C4,"InChI=1S/C19H19NO2/c1-11-9-15-14-10-12(21-4)5-6-16(14)20-17(15)13-7-8-19(2,3)22-18(11)13/h5-10,20H,1-4H3",OSERHKINMDLESD-UHFFFAOYSA-N
ALK_Mahanimbine_CID_167963.sdf,0,CC(C)=CCC[C@@]1(C)C=Cc2c(c(C)cc3c2[nH]c2ccccc23)O1,"InChI=1S/C23H25NO/c1-15(2)8-7-12-23(4)13-11-18-21-19(14-16(3)22(18)25-23)17-9-5-6-10-20(17)24-21/h5-6,8-11,13-14,24H,7,12H2,1-4H3/t23-/m0/s1",HTNVFUBCWIYPJN-QHCPKHFHSA-N
ALK_Nordentatin_CID_5320206.sdf,0,C=CC(C)(C)c1c(O)c2c(c3ccc(=O)oc13)OC(C)(C)C=C2,"InChI=1S/C19H20O4/c1-6-18(2,3)14-15(21)11-9-10-19(4,5)23-16(11)12-7-8-13(20)22-17(12)14/h6-10,21H,1H2,2-5H3",FREXEHTVBRSRGJ-UHFFFAOYSA-N
ALK_Xanthyletin_CID_65188.sdf,0,CC1(C)C=Cc2cc3ccc(=O)oc3cc2O1,"InChI=1S/C14H12O3/c1-14(2)6-5-10-7-9-3-4-13(15)16-11(9)8-12(10)17-14/h3-8H,1-2H3",QOTBQNVNUBKJMS-UHFFFAOYSA-N
ALK_Yuehchukene_CID_126009.sdf,0,CC1=C[C@H]2c3c([nH]c4ccccc34)[C@H](c3c[nH]c4ccccc34)[C@H]2C(C)(C)C1,"InChI=1S/C26H26N2/c1-15-12-18-22-17-9-5-7-11-21(17)28-25(22)23(24(18)26(2,3)13-15)19-14-27-20-10-6-4-8-16(19)20/h4-12,14,18,23-24,27-28H,13H2,1-3H3/t18-,23+,24-/m0/s1",CZJCZWZKBWLSQX-GLYQVZKVSA-N
Caryophyllene epoxide_CID_1742210.sdf,0,C=C1CC[C@H]2O[C@]2(C)CC[C@@H]2[C@@H]1CC2(C)C,"InChI=1S/C15H24O/c1-10-5-6-13-15(4,16-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3/t11-,12-,13-,15-/m1/s1",NVEQFIOZRFFVFW-RGCMKSIDSA-N
"COU_(-)-8-[(S)-2,3-Dihydroxy-3-methylbutyl]-7-methoxy-2H-1-benzopyran-2-one_CID_821434.sdf",0,COc1ccc2ccc(=O)oc2c1C[C@H](O)C(C)(C)O,"InChI=1S/C15H18O5/c1-15(2,18)12(16)8-10-11(19-3)6-4-9-5-7-13(17)20-14(9)10/h4-7,12,16,18H,8H2,1-3H3/t12-/m0/s1",KGGUASRIGLRPAX-LBPRGKRZSA-N
"COU_3,11-Dihydro-3,3,5-trimethylpyrano[3,2-a]carbazol-8-ol_CID_5318827.sdf",0,Cc1cc2c([nH]c3ccc(O)cc32)c2c1OC(C)(C)C=C2,"InChI=1S/C18H17NO2/c1-10-8-14-13-9-11(20)4-5-15(13)19-16(14)12-6-7-18(2,3)21-17(10)12/h4-9,19-20H,1-3H3",VISKLVOLGCYFCW-UHFFFAOYSA-N
COU_7-Hydroxycoumarin_CID_5281426.sdf,0,O=c1ccc2ccc(O)cc2o1,"InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H",ORHBXUUXSCNDEV-UHFFFAOYSA-N
COU_Auraptene_CID_1550607.sdf,0,CC(C)=CCC/C(C)=C/COc1ccc2ccc(=O)oc2c1,"InChI=1S/C19H22O3/c1-14(2)5-4-6-15(3)11-12-21-17-9-7-16-8-10-19(20)22-18(16)13-17/h5,7-11,13H,4,6,12H2,1-3H3/b15-11+",RSDDHGSKLOSQFK-RVDMUPIBSA-N
COU_cis-Dehydroosthol_CID_13917397.sdf,0,C=C(C)/C=C\c1c(OC)ccc2ccc(=O)oc12,"InChI=1S/C15H14O3/c1-10(2)4-7-12-13(17-3)8-5-11-6-9-14(16)18-15(11)12/h4-9H,1H2,2-3H3/b7-4-",PJCYDTKNZVGNGP-DAXSKMNVSA-N
COU_Isomahanine _CID_375148.sdf,0,CC(C)=CCC[C@@]1(C)C=Cc2c(ccc3c2[nH]c2cc(O)c(C)cc23)O1,"InChI=1S/C23H25NO2/c1-14(2)6-5-10-23(4)11-9-17-21(26-23)8-7-16-18-12-15(3)20(25)13-19(18)24-22(16)17/h6-9,11-13,24-25H,5,10H2,1-4H3/t23-/m0/s1",WWXYBSVWYPHUPZ-QHCPKHFHSA-N
COU_IsoMeranzin_CID_473252.sdf,0,COc1ccc2ccc(=O)oc2c1CC(=O)C(C)C,"InChI=1S/C15H16O4/c1-9(2)12(16)8-11-13(18-3)6-4-10-5-7-14(17)19-15(10)11/h4-7,9H,8H2,1-3H3",OMOYQLRHKFGVGN-UHFFFAOYSA-N
