filename,mol_index,smiles,inchi,inchikey
OTH-myrrhanol-A_CID_42608309.sdf,0,C/C(=C\CC/C(C)=C/CC/C(C)=C/CC[C@@H]1[C@@]2(C)CC[C@H](O)C(C)(C)[C@@H]2CC[C@@]1(C)O)CO,"InChI=1S/C30H52O3/c1-22(13-9-15-24(3)21-31)11-8-12-23(2)14-10-16-26-29(6)19-18-27(32)28(4,5)25(29)17-20-30(26,7)33/h11,14-15,25-27,31-33H,8-10,12-13,16-21H2,1-7H3/b22-11+,23-14+,24-15+/t25-,26+,27-,29-,30+/m0/s1",KKOJENOIJUTRDK-RDIXPVEOSA-N
PHE- ellagic-acid_CID_5281855.sdf,0,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,"InChI=1S/C14H6O8/c15-5-1-3-7-8-4(14(20)22-11(7)9(5)17)2-6(16)10(18)12(8)21-13(3)19/h1-2,15-18H",AFSDNFLWKVMVRB-UHFFFAOYSA-N
PPP-(+)-diayangambin_CID_167452.sdf,0,COc1cc([C@@H]2OC[C@H]3[C@@H]2CO[C@H]3c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,"InChI=1S/C24H30O8/c1-25-17-7-13(8-18(26-2)23(17)29-5)21-15-11-32-22(16(15)12-31-21)14-9-19(27-3)24(30-6)20(10-14)28-4/h7-10,15-16,21-22H,11-12H2,1-6H3/t15-,16-,21-,22-/m0/s1",HRLFUIXSXUASEX-QDGJQWLKSA-N
PPP-(+)-epi-magnolin_CID_13889713.sdf,0,COc1ccc([C@H]2OC[C@H]3[C@@H]2CO[C@H]3c2cc(OC)c(OC)c(OC)c2)cc1OC,"InChI=1S/C23H28O7/c1-24-17-7-6-13(8-18(17)25-2)21-15-11-30-22(16(15)12-29-21)14-9-19(26-3)23(28-5)20(10-14)27-4/h6-10,15-16,21-22H,11-12H2,1-5H3/t15-,16-,21+,22-/m0/s1",MFIHSKBTNZNJIK-FRMGNDQPSA-N
PPP-diasesartemin_CID_73118.sdf,0,COc1cc([C@@H]2OC[C@H]3[C@@H]2CO[C@H]3c2cc(OC)c3c(c2)OCO3)cc(OC)c1OC,"InChI=1S/C23H26O8/c1-24-16-5-12(6-17(25-2)22(16)27-4)20-14-9-29-21(15(14)10-28-20)13-7-18(26-3)23-19(8-13)30-11-31-23/h5-8,14-15,20-21H,9-11H2,1-4H3/t14-,15-,20-,21-/m0/s1",DHWUVPPRBIJJKS-PBFVBANWSA-N
PPP-sesamin_CID_72307.sdf,0,c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2,"InChI=1S/C20H18O6/c1-3-15-17(25-9-23-15)5-11(1)19-13-7-22-20(14(13)8-21-19)12-2-4-16-18(6-12)26-10-24-16/h1-6,13-14,19-20H,7-10H2/t13-,14-,19+,20+/m0/s1",PEYUIKBAABKQKQ-AFHBHXEDSA-N
"STE-20R,22R-dihydroxycholest-4-en-3-one_CID_125155.sdf",0,CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,"InChI=1S/C27H44O3/c1-17(2)6-11-24(29)27(5,30)23-10-9-21-20-8-7-18-16-19(28)12-14-25(18,3)22(20)13-15-26(21,23)4/h16-17,20-24,29-30H,6-15H2,1-5H3/t20-,21-,22-,23-,24+,25-,26-,27+/m0/s1",DCHUFDLUIZXFQS-ITWQDKSZSA-N
STE-b-sitostenone_CID_5484202.sdf,0,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,"InChI=1S/C29H48O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h18-21,24-27H,7-17H2,1-6H3/t20-,21-,24+,25-,26+,27+,28+,29-/m1/s1",RUVUHIUYGJBLGI-XJZKHKOHSA-N
STE-b-sitosterol_CID_22012.sdf,0,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",KZJWDPNRJALLNS-VJSFXXLFSA-N
STE-cholesterol_CID_5997.sdf,0,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,"InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1",HVYWMOMLDIMFJA-DPAQBDIFSA-N
