filename,mol_index,smiles,inchi,inchikey
"FAT_(2E,4E) -N-(2-methylbutyl) deca-23572742144-dienamide_records.sdf",0,CCCCC/C=C/C=C/C(=O)NC[C@H](C)CC,"InChI=1S/C15H27NO/c1-4-6-7-8-9-10-11-12-15(17)16-13-14(3)5-2/h9-12,14H,4-8,13H2,1-3H3,(H,16,17)/b10-9+,12-11+/t14-/m1/s1",DNFXVYXFGYXVTF-HVMMISARSA-N
FLA_Acacetin-7-O-rutinoside_text_480-36-4_records.sdf,0,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@@H](O)[C@@H]4O)cc3o2)cc1,"InChI=1S/C28H32O14/c1-11-21(31)23(33)25(35)27(39-11)38-10-19-22(32)24(34)26(36)28(42-19)40-14-7-15(29)20-16(30)9-17(41-18(20)8-14)12-3-5-13(37-2)6-4-12/h3-9,11,19,21-29,31-36H,10H2,1-2H3/t11-,19-,21+,22-,23-,24-,25-,26+,27-,28-/m1/s1",YFVGIJBUXMQFOF-AOVGAYHLSA-N
FLA_Acacetin-7-O-rutinoside_text_480-36-4_records.sdf,1,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1,"InChI=1S/C28H32O14/c1-11-21(31)23(33)25(35)27(39-11)38-10-19-22(32)24(34)26(36)28(42-19)40-14-7-15(29)20-16(30)9-17(41-18(20)8-14)12-3-5-13(37-2)6-4-12/h3-9,11,19,21-29,31-36H,10H2,1-2H3/t11-,19+,21-,22+,23+,24-,25+,26+,27+,28+/m0/s1",YFVGIJBUXMQFOF-PJOVQGMDSA-N
FLA_Apigenin-7-O-b-D-glucoside_578-74-5_records.sdf,0,O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)cc(O)c12,"InChI=1S/C21H20O10/c22-8-16-18(26)19(27)20(28)21(31-16)29-11-5-12(24)17-13(25)7-14(30-15(17)6-11)9-1-3-10(23)4-2-9/h1-7,16,18-24,26-28H,8H2/t16-,18-,19-,20+,21-/m1/s1",KMOUJOKENFFTPU-LELZANKISA-N
FLA_Apigenin-7-O-b-D-glucoside_578-74-5_records.sdf,1,O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,"InChI=1S/C21H20O10/c22-8-16-18(26)19(27)20(28)21(31-16)29-11-5-12(24)17-13(25)7-14(30-15(17)6-11)9-1-3-10(23)4-2-9/h1-7,16,18-24,26-28H,8H2/t16-,18-,19+,20-,21-/m1/s1",KMOUJOKENFFTPU-QNDFHXLGSA-N
FLA_Apigenin_text_520-36-5_records.sdf,0,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N
FLA_artemetin_text_479-90-3_records.sdf,0,COc1ccc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)cc1OC,"InChI=1S/C20H20O8/c1-23-11-7-6-10(8-12(11)24-2)18-20(27-5)17(22)15-13(28-18)9-14(25-3)19(26-4)16(15)21/h6-9,21H,1-5H3",RIGYMJVFEJNCKD-UHFFFAOYSA-N
FLA_Artemitin_text_479-90-3_records.sdf,0,COc1ccc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)cc1OC,"InChI=1S/C20H20O8/c1-23-11-7-6-10(8-12(11)24-2)18-20(27-5)17(22)15-13(28-18)9-14(25-3)19(26-4)16(15)21/h6-9,21H,1-5H3",RIGYMJVFEJNCKD-UHFFFAOYSA-N
FLA_Chrysoeriol-7-O-rutinoside_text_32061-83-9_records.sdf,0,COc1cc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)ccc1O,"InChI=1S/C28H32O15/c1-10-21(32)23(34)25(36)27(40-10)39-9-19-22(33)24(35)26(37)28(43-19)41-12-6-14(30)20-15(31)8-16(42-18(20)7-12)11-3-4-13(29)17(5-11)38-2/h3-8,10,19,21-30,32-37H,9H2,1-2H3/t10-,19+,21-,22+,23+,24-,25+,26+,27+,28+/m0/s1",FVWCQCCVDNGNPX-YFAPSIMESA-N
FLA_Inquiry_text_855-96-9_records.sdf,0,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1O,"InChI=1S/C18H16O7/c1-22-12-5-4-9(6-10(12)19)13-7-11(20)16-14(25-13)8-15(23-2)18(24-3)17(16)21/h4-8,19,21H,1-3H3",KLAOKWJLUQKWIF-UHFFFAOYSA-N
