filename,mol_index,smiles,inchi,inchikey
FLA_Aromadendrin_CID_122850.sdf,0,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O,"InChI=1S/C15H12O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,14-18,20H/t14-,15+/m0/s1",PADQINQHPQKXNL-LSDHHAIUSA-N
FLA_catechin_CID_9064.sdf,0,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m0/s1",PFTAWBLQPZVEMU-DZGCQCFKSA-N
FLA_Dihydrokaempferol_CID_122850 (1).sdf,0,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O,"InChI=1S/C15H12O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,14-18,20H/t14-,15+/m0/s1",PADQINQHPQKXNL-LSDHHAIUSA-N
FLA_Kaempferol_CID_5280863 (1).sdf,0,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N
FLA_NaringeninCID_439246.sdf,0,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m0/s1",FTVWIRXFELQLPI-ZDUSSCGKSA-N
FLA_Naringin_CID_442428.sdf,0,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,"InChI=1S/C27H32O14/c1-10-20(32)22(34)24(36)26(37-10)41-25-23(35)21(33)18(9-28)40-27(25)38-13-6-14(30)19-15(31)8-16(39-17(19)7-13)11-2-4-12(29)5-3-11/h2-7,10,16,18,20-30,32-36H,8-9H2,1H3/t10-,16-,18+,20-,21+,22+,23-,24+,25+,26-,27+/m0/s1",DFPMSGMNTNDNHN-ZPHOTFPESA-N
FLA_Pinocembrin_CID_68071.sdf,0,O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21,"InChI=1S/C15H12O4/c16-10-6-11(17)15-12(18)8-13(19-14(15)7-10)9-4-2-1-3-5-9/h1-7,13,16-17H,8H2/t13-/m0/s1",URFCJEUYXNAHFI-ZDUSSCGKSA-N
GLU_1-O-(4-Coumaroyl)-beta-D-glucose_CID_14158117.sdf,0,O=C(/C=C/c1ccc(O)cc1)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C15H18O8/c16-7-10-12(19)13(20)14(21)15(22-10)23-11(18)6-3-8-1-4-9(17)5-2-8/h1-6,10,12-17,19-21H,7H2/b6-3+/t10-,12-,13+,14-,15+/m1/s1",DSNCQKUYZOSARM-QVLXMGEUSA-N
GLU_Prunasin_CID_119033.sdf,0,N#C[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,"InChI=1S/C14H17NO6/c15-6-9(8-4-2-1-3-5-8)20-14-13(19)12(18)11(17)10(7-16)21-14/h1-5,9-14,16-19H,7H2/t9-,10+,11+,12-,13+,14+/m0/s1",ZKSZEJFBGODIJW-GMDXDWKASA-N
lOTH_1-hexanol_CID_8103.sdf,0,CCCCCCO,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",ZSIAUFGUXNUGDI-UHFFFAOYSA-N
OTH_2-decenal_CID_5283345.sdf,0,CCCCCCC/C=C/C=O,"InChI=1S/C10H18O/c1-2-3-4-5-6-7-8-9-10-11/h8-10H,2-7H2,1H3/b9-8+",MMFCJPPRCYDLLZ-CMDGGOBGSA-N
OTH_2-heptanone_CID_8051.sdf,0,CCCCCC(C)=O,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3",CATSNJVOTSVZJV-UHFFFAOYSA-N
OTH_benzaldehyde_CID_240.sdf,0,O=Cc1ccccc1,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,HUMNYLRZRPPJDN-UHFFFAOYSA-N
OTH_cyclohexadecane_CID_67526.sdf,0,C1CCCCCCCCCCCCCCC1,InChI=1S/C16H32/c1-2-4-6-8-10-12-14-16-15-13-11-9-7-5-3-1/h1-16H2,JJWIOXUMXIOXQN-UHFFFAOYSA-N
OTH_Heptadecane_CID_12398.sdf,0,CCCCCCCCCCCCCCCCC,"InChI=1S/C17H36/c1-3-5-7-9-11-13-15-17-16-14-12-10-8-6-4-2/h3-17H2,1-2H3",NDJKXXJCMXVBJW-UHFFFAOYSA-N
OTH_Heptaldehyde_CID_8130.sdf,0,CCCCCCC=O,"InChI=1S/C7H14O/c1-2-3-4-5-6-7-8/h7H,2-6H2,1H3",FXHGMKSSBGDXIY-UHFFFAOYSA-N
OTH_hexadecanoic_acid_CID_985 (1).sdf,0,CCCCCCCCCCCCCCCC(=O)O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N
OTH_hexanal_CID_6184.sdf,0,CCCCCC=O,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3",JARKCYVAAOWBJS-UHFFFAOYSA-N
OTH_n-nonyl_aldehyde_CID_31289.sdf,0,CCCCCCCCC=O,"InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h9H,2-8H2,1H3",GYHFUZHODSMOHU-UHFFFAOYSA-N
OTH_Octanoic acid_CID_379.sdf,0,CCCCCCCC(=O)O,"InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)",WWZKQHOCKIZLMA-UHFFFAOYSA-N
OTH_pentacosane_CID_240 (1).sdf,0,O=Cc1ccccc1,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,HUMNYLRZRPPJDN-UHFFFAOYSA-N
