filename,mol_index,smiles,inchi,inchikey
ALK-Adenine_COMPOUND_CID_190.sdf,0,Nc1ncnc2nc[nH]c12,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",GFFGJBXGBJISGV-UHFFFAOYSA-N
ALK-Adenosine_COMPOUND_CID_60961.sdf,0,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",OIRDTQYFTABQOQ-KQYNXXCUSA-N
ALK-Allantoin_COMPOUND_CID_204.sdf,0,NC(=O)N[C@H]1NC(=O)NC1=O,"InChI=1S/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)/t1-/m0/s1",POJWUDADGALRAB-SFOWXEAESA-N
ALK-Guanosine_COMPOUND_CID_135398635.sdf,0,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,"InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1",NYHBQMYGNKIUIF-UUOKFMHZSA-N
ALK-Hypaphorine_COMPOUND_CID_442106.sdf,0,C[N+](C)(C)[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-],"InChI=1S/C14H18N2O2/c1-16(2,3)13(14(17)18)8-10-9-15-12-7-5-4-6-11(10)12/h4-7,9,13,15H,8H2,1-3H3/t13-/m0/s1",AOHCBEAZXHZMOR-ZDUSSCGKSA-N
"ALK-N,N-dimethyl-L-tryptophan_COMPOUND_CID_13946332.sdf",0,CN(C)[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,"InChI=1S/C13H16N2O2/c1-15(2)12(13(16)17)7-9-8-14-11-6-4-3-5-10(9)11/h3-6,8,12,14H,7H2,1-2H3,(H,16,17)/t12-/m0/s1",SOSHNYKNINOSTB-LBPRGKRZSA-N
ALK-Uridine_CID.sdf,0,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1",DRTQHJPVMGBUCF-XVFCMESISA-N
ALK-Xanthosine_COMPOUND_CID_64959.sdf,0,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,"InChI=1S/C10H12N4O6/c15-1-3-5(16)6(17)9(20-3)14-2-11-4-7(14)12-10(19)13-8(4)18/h2-3,5-6,9,15-17H,1H2,(H2,12,13,18,19)/t3-,5-,6-,9-/m1/s1",UBORTCNDUKBEOP-UUOKFMHZSA-N
AMI-Segetalin A_COMPOUND_CID_10483858.sdf,0,CC(C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)C)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,"InChI=1S/C31H43N7O6/c1-16(2)25-30(43)35-22(13-19-14-32-21-10-7-6-9-20(19)21)28(41)34-18(5)27(40)33-15-24(39)36-26(17(3)4)31(44)38-12-8-11-23(38)29(42)37-25/h6-7,9-10,14,16-18,22-23,25-26,32H,8,11-13,15H2,1-5H3,(H,33,40)(H,34,41)(H,35,43)(H,36,39)(H,37,42)/t18-,22-,23-,25-,26-/m0/s1",YVUZOKYOUUCVBV-WJTDBPPMSA-N
AMI-Segetalin B_COMPOUND_CID_10345235.sdf,0,CC(C)[C@@H]1NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](C)NC1=O,"InChI=1S/C24H32N6O5/c1-12(2)20-24(35)28-14(4)22(33)29-18(9-15-10-25-17-8-6-5-7-16(15)17)23(34)27-13(3)21(32)26-11-19(31)30-20/h5-8,10,12-14,18,20,25H,9,11H2,1-4H3,(H,26,32)(H,27,34)(H,28,35)(H,29,33)(H,30,31)/t13-,14-,18-,20-/m0/s1",VBQDUSUKSGAFMN-OACKDKIBSA-N
AMI-Segetalin G_COMPOUND_CID_10436647.sdf,0,CC(C)[C@@H]1NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCCCN)NC1=O,"InChI=1S/C25H38N6O6/c1-14(2)21-25(37)29-18(6-4-5-11-26)23(35)30-19(12-16-7-9-17(32)10-8-16)24(36)28-15(3)22(34)27-13-20(33)31-21/h7-10,14-15,18-19,21,32H,4-6,11-13,26H2,1-3H3,(H,27,34)(H,28,36)(H,29,37)(H,30,35)(H,31,33)/t15-,18-,19-,21-/m0/s1",UGXIEHVKQAMBQN-QTWZMDIBSA-N
AMI-Segetalin H_COMPOUND_CID_10054463.sdf,0,NC(N)=NCCC[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](Cc2ccccc2)NC1=O,"InChI=1S/C29H38N8O7/c30-29(31)32-12-4-7-20-26(42)36-22(13-17-5-2-1-3-6-17)28(44)37-23(16-38)25(41)33-15-24(40)34-21(27(43)35-20)14-18-8-10-19(39)11-9-18/h1-3,5-6,8-11,20-23,38-39H,4,7,12-16H2,(H,33,41)(H,34,40)(H,35,43)(H,36,42)(H,37,44)(H4,30,31,32)/t20-,21-,22-,23-/m0/s1",MFTFAHIWRYRALU-MLCQCVOFSA-N
AMI-Tryptophan_COMPOUND_CID_6305.sdf,0,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",QIVBCDIJIAJPQS-VIFPVBQESA-N
COU-Coumarin_COMPOUND_CID_323.sdf,0,O=c1ccc2ccccc2o1,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N
