filename,mol_index,smiles,inchi,inchikey
FLA_3-O-Methylquercetin_CID_5280681.sdf,0,COc1c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c2c1=O,"InChI=1S/C16H12O7/c1-22-16-14(21)13-11(20)5-8(17)6-12(13)23-15(16)7-2-3-9(18)10(19)4-7/h2-6,17-20H,1H3",WEPBGSIAWZTEJR-UHFFFAOYSA-N
FLA_6-Prenylquercetin-3-methylether_44259677.sdf,0,COc1c(-c2ccc(O)c(O)c2)oc2cc(O)c(CC=C(C)C)c(O)c2c1=O,"InChI=1S/C21H20O7/c1-10(2)4-6-12-14(23)9-16-17(18(12)25)19(26)21(27-3)20(28-16)11-5-7-13(22)15(24)8-11/h4-5,7-9,22-25H,6H2,1-3H3",XREZFYPTHFWMDM-UHFFFAOYSA-N
FLA_8-Prenylquercetin_CID_9799499.sdf,0,CC(C)=CCc1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc12,"InChI=1S/C20H18O7/c1-9(2)3-5-11-13(22)8-15(24)16-17(25)18(26)19(27-20(11)16)10-4-6-12(21)14(23)7-10/h3-4,6-8,21-24,26H,5H2,1-2H3",ZHTTWVRMGWQEOH-UHFFFAOYSA-N
FLA_citrusinol_CID_44259051.sdf,0,CC1(C)C=Cc2c(cc(O)c3c(=O)c(O)c(-c4ccc(O)cc4)oc23)O1,"InChI=1S/C20H16O6/c1-20(2)8-7-12-14(26-20)9-13(22)15-16(23)17(24)18(25-19(12)15)10-3-5-11(21)6-4-10/h3-9,21-22,24H,1-2H3",OKQQXHUICMLKQI-UHFFFAOYSA-N
FLA_Desmethylanhydroicaritin_CID_5318624.sdf,0,CC(C)=CCc1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc12,"InChI=1S/C20H18O6/c1-10(2)3-8-13-14(22)9-15(23)16-17(24)18(25)19(26-20(13)16)11-4-6-12(21)7-5-11/h3-7,9,21-23,25H,8H2,1-2H3",NADCVNHITZNGJU-UHFFFAOYSA-N
FLA_Kaempferide_CID_5281666.sdf,0,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1,"InChI=1S/C16H12O6/c1-21-10-4-2-8(3-5-10)16-15(20)14(19)13-11(18)6-9(17)7-12(13)22-16/h2-7,17-18,20H,1H3",SQFSKOYWJBQGKQ-UHFFFAOYSA-N
FLA_Kaempferol_CID_5280863.sdf,0,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N
FLA_Podoverine_A_CID_13911680.sdf,0,COc1c(-c2ccc(O)c(O)c2CC=C(C)C)oc2cc(O)cc(O)c2c1=O,"InChI=1S/C21H20O7/c1-10(2)4-5-12-13(6-7-14(23)18(12)25)20-21(27-3)19(26)17-15(24)8-11(22)9-16(17)28-20/h4,6-9,22-25H,5H2,1-3H3",MGFXFQXRHGAKQN-UHFFFAOYSA-N
FLA_quercetin_3-O-b-D-glucoside_CID_5280804.sdf,0,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,"InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15-,17+,18-,21+/m1/s1",OVSQVDMCBVZWGM-QSOFNFLRSA-N
FLA_Quercetin_CID_5280343 (1).sdf,0,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N
