filename,mol_index,smiles,inchi,inchikey
ALK_(+)-Bicuculline_CID_10237.sdf,0,CN1CCc2cc3c(cc2[C@H]1[C@@H]1OC(=O)c2c1ccc1c2OCO1)OCO3,"InChI=1S/C20H17NO6/c1-21-5-4-10-6-14-15(25-8-24-14)7-12(10)17(21)18-11-2-3-13-19(26-9-23-13)16(11)20(22)27-18/h2-3,6-7,17-18H,4-5,8-9H2,1H3/t17-,18+/m0/s1",IYGYMKDQCDOMRE-ZWKOTPCHSA-N
ALK_(+)-Corydaline_CID_101301.sdf,0,COc1cc2c(cc1OC)[C@H]1[C@@H](C)c3ccc(OC)c(OC)c3CN1CC2,"InChI=1S/C22H27NO4/c1-13-15-6-7-18(24-2)22(27-5)17(15)12-23-9-8-14-10-19(25-3)20(26-4)11-16(14)21(13)23/h6-7,10-11,13,21H,8-9,12H2,1-5H3/t13-,21+/m0/s1",VRSRXLJTYQVOHC-YEJXKQKISA-N
ALK_(+)-hydrastine_CID_656743.sdf,0,COc1ccc2c(c1OC)C(=O)O[C@H]2[C@@H]1c2cc3c(cc2CCN1C)OCO3,"InChI=1S/C21H21NO6/c1-22-7-6-11-8-15-16(27-10-26-15)9-13(11)18(22)19-12-4-5-14(24-2)20(25-3)17(12)21(23)28-19/h4-5,8-9,18-19H,6-7,10H2,1-3H3/t18-,19+/m0/s1",JZUTXVTYJDCMDU-RBUKOAKNSA-N
ALK_(+)-kikemanine_CID_161665.sdf,0,COc1cc2c(cc1OC)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2,"InChI=1S/C20H23NO4/c1-23-18-9-13-6-7-21-11-15-12(4-5-17(22)20(15)25-3)8-16(21)14(13)10-19(18)24-2/h4-5,9-10,16,22H,6-8,11H2,1-3H3/t16-/m0/s1",DIHXHTWYVOYYDC-INIZCTEOSA-N
ALK_(-)-capnoidine_CID_120698.sdf,0,CN1CCc2cc3c(cc2[C@@H]1[C@@H]1OC(=O)c2c1ccc1c2OCO1)OCO3,"InChI=1S/C20H17NO6/c1-21-5-4-10-6-14-15(25-8-24-14)7-12(10)17(21)18-11-2-3-13-19(26-9-23-13)16(11)20(22)27-18/h2-3,6-7,17-18H,4-5,8-9H2,1H3/t17-,18-/m1/s1",IYGYMKDQCDOMRE-QZTJIDSGSA-N
ALK_(-)-corypalmine_CID_11186895.sdf,0,COc1cc2c(cc1O)CCN1Cc3c(ccc(OC)c3OC)C[C@@H]21,"InChI=1S/C20H23NO4/c1-23-18-5-4-12-8-16-14-10-19(24-2)17(22)9-13(14)6-7-21(16)11-15(12)20(18)25-3/h4-5,9-10,16,22H,6-8,11H2,1-3H3/t16-/m0/s1",BMCZTYDZHNTKPR-INIZCTEOSA-N
ALK_acetylcorynoline_CID_177015.sdf,0,CC(=O)O[C@H]1Cc2cc3c(cc2[C@H]2N(C)Cc4c(ccc5c4OCO5)[C@@]12C)OCO3,"InChI=1S/C23H23NO6/c1-12(25)30-20-7-13-6-18-19(28-10-27-18)8-14(13)22-23(20,2)16-4-5-17-21(29-11-26-17)15(16)9-24(22)3/h4-6,8,20,22H,7,9-11H2,1-3H3/t20-,22+,23-/m0/s1",PUHCFWFODBLSAP-WWNPGLIZSA-N
ALK_b-sitosterol_CID_22012.sdf,0,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",KZJWDPNRJALLNS-VJSFXXLFSA-N
ALK_berberine_CID_2353.sdf,0,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,"InChI=1S/C20H18NO4/c1-22-17-4-3-12-7-16-14-9-19-18(24-11-25-19)8-13(14)5-6-21(16)10-15(12)20(17)23-2/h3-4,7-10H,5-6,11H2,1-2H3/q+1",YBHILYKTIRIUTE-UHFFFAOYSA-N
ALK_bicuculline_CID_10237.sdf,0,CN1CCc2cc3c(cc2[C@H]1[C@@H]1OC(=O)c2c1ccc1c2OCO1)OCO3,"InChI=1S/C20H17NO6/c1-21-5-4-10-6-14-15(25-8-24-14)7-12(10)17(21)18-11-2-3-13-19(26-9-23-13)16(11)20(22)27-18/h2-3,6-7,17-18H,4-5,8-9H2,1H3/t17-,18+/m0/s1",IYGYMKDQCDOMRE-ZWKOTPCHSA-N
ALK_bulbocapnine_CID_12441.sdf,0,COc1ccc2c(c1O)-c1c3c(cc4c1[C@H](C2)N(C)CC4)OCO3,"InChI=1S/C19H19NO4/c1-20-6-5-11-8-14-19(24-9-23-14)17-15(11)12(20)7-10-3-4-13(22-2)18(21)16(10)17/h3-4,8,12,21H,5-7,9H2,1-2H3/t12-/m0/s1",LODGIKWNLDQZBM-LBPRGKRZSA-N
ALK_Cavidine_CID_193148.sdf,0,COc1cc2c(cc1OC)[C@H]1[C@@H](C)c3ccc4c(c3CN1CC2)OCO4,"InChI=1S/C21H23NO4/c1-12-14-4-5-17-21(26-11-25-17)16(14)10-22-7-6-13-8-18(23-2)19(24-3)9-15(13)20(12)22/h4-5,8-9,12,20H,6-7,10-11H2,1-3H3/t12-,20+/m0/s1",JTZZGWPIBBTYNE-FKIZINRSSA-N
ALK_columbamine_CID_72310.sdf,0,COc1cc2c(cc1O)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2,"InChI=1S/C20H19NO4/c1-23-18-5-4-12-8-16-14-10-17(22)19(24-2)9-13(14)6-7-21(16)11-15(12)20(18)25-3/h4-5,8-11H,6-7H2,1-3H3/p+1",YYFOFDHQVIODOQ-UHFFFAOYSA-O
ALK_Coptisine_CID_72322.sdf,0,c1c2c(cc3c1OCO3)-c1cc3ccc4c(c3c[n+]1CC2)OCO4,"InChI=1S/C19H14NO4/c1-2-16-19(24-10-21-16)14-8-20-4-3-12-6-17-18(23-9-22-17)7-13(12)15(20)5-11(1)14/h1-2,5-8H,3-4,9-10H2/q+1",XYHOBCMEDLZUMP-UHFFFAOYSA-N
