filename,mol_index,smiles,inchi,inchikey
ALK_Allocryptopine_CID_98570.sdf,0,COc1ccc2c(c1OC)CN(C)CCc1cc3c(cc1C(=O)C2)OCO3,"InChI=1S/C21H23NO5/c1-22-7-6-14-9-19-20(27-12-26-19)10-15(14)17(23)8-13-4-5-18(24-2)21(25-3)16(13)11-22/h4-5,9-10H,6-8,11-12H2,1-3H3",HYBRYAPKQCZIAE-UHFFFAOYSA-N
ALK_berberine_CID_2353.sdf,0,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,"InChI=1S/C20H18NO4/c1-22-17-4-3-12-7-16-14-9-19-18(24-11-25-19)8-13(14)5-6-21(16)10-15(12)20(17)23-2/h3-4,7-10H,5-6,11H2,1-2H3/q+1",YBHILYKTIRIUTE-UHFFFAOYSA-N
ALK_Berberrubine_CID_160521.sdf,0,COc1cc([C@H]2c3cc(O)c(OC)cc3C[C@@H](CO)[C@@H]2CO)ccc1O,"InChI=1S/C20H24O6/c1-25-18-6-11(3-4-16(18)23)20-14-8-17(24)19(26-2)7-12(14)5-13(9-21)15(20)10-22/h3-4,6-8,13,15,20-24H,5,9-10H2,1-2H3/t13-,15-,20-/m0/s1",OGFXBIXJCWAUCH-KPHUOKFYSA-N
ALK_Bicuculline_CID_185838.sdf,0,CN1CCc2cc3c(cc2[C@@H]1[C@H]1OC(=O)c2c1ccc1c2OCO1)OCO3,"InChI=1S/C20H17NO6/c1-21-5-4-10-6-14-15(25-8-24-14)7-12(10)17(21)18-11-2-3-13-19(26-9-23-13)16(11)20(22)27-18/h2-3,6-7,17-18H,4-5,8-9H2,1H3/t17-,18+/m1/s1",IYGYMKDQCDOMRE-MSOLQXFVSA-N
ALK_Canadine_CID_21171.sdf,0,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3[C@@H]1C2)OCO4,"InChI=1S/C20H21NO4/c1-22-17-4-3-12-7-16-14-9-19-18(24-11-25-19)8-13(14)5-6-21(16)10-15(12)20(17)23-2/h3-4,8-9,16H,5-7,10-11H2,1-2H3/t16-/m0/s1",VZTUIEROBZXUFA-INIZCTEOSA-N
ALK_columbamine_CID_72310.sdf,0,COc1cc2c(cc1O)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2,"InChI=1S/C20H19NO4/c1-23-18-5-4-12-8-16-14-10-17(22)19(24-2)9-13(14)6-7-21(16)11-15(12)20(18)25-3/h4-5,8-11H,6-7H2,1-3H3/p+1",YYFOFDHQVIODOQ-UHFFFAOYSA-O
ALK_coptisine_CID_72322.sdf,0,c1c2c(cc3c1OCO3)-c1cc3ccc4c(c3c[n+]1CC2)OCO4,"InChI=1S/C19H14NO4/c1-2-16-19(24-10-21-16)14-8-20-4-3-12-6-17-18(23-9-22-17)7-13(12)15(20)5-11(1)14/h1-2,5-8H,3-4,9-10H2/q+1",XYHOBCMEDLZUMP-UHFFFAOYSA-N
ALK_corybulbine_CID_10316181.sdf,0,COc1cc2c(cc1O)CCN1Cc3c(ccc(OC)c3OC)[C@H](C)[C@H]21,"InChI=1S/C21H25NO4/c1-12-14-5-6-18(24-2)21(26-4)16(14)11-22-8-7-13-9-17(23)19(25-3)10-15(13)20(12)22/h5-6,9-10,12,20,23H,7-8,11H2,1-4H3/t12-,20+/m0/s1",OBVLTWCOTSTMNM-FKIZINRSSA-N
ALK_corydaline_CID_101301.sdf,0,COc1cc2c(cc1OC)[C@H]1[C@@H](C)c3ccc(OC)c(OC)c3CN1CC2,"InChI=1S/C22H27NO4/c1-13-15-6-7-18(24-2)22(27-5)17(15)12-23-9-8-14-10-19(25-3)20(26-4)11-16(14)21(13)23/h6-7,10-11,13,21H,8-9,12H2,1-5H3/t13-,21+/m0/s1",VRSRXLJTYQVOHC-YEJXKQKISA-N
ALK_Corydalmine_CID_161665.sdf,0,COc1cc2c(cc1OC)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2,"InChI=1S/C20H23NO4/c1-23-18-9-13-6-7-21-11-15-12(4-5-17(22)20(15)25-3)8-16(21)14(13)10-19(18)24-2/h4-5,9-10,16,22H,6-8,11H2,1-3H3/t16-/m0/s1",DIHXHTWYVOYYDC-INIZCTEOSA-N
ALK_Cryptopine_CID_72616.sdf,0,COc1cc2c(cc1OC)C(=O)Cc1ccc3c(c1CN(C)CC2)OCO3,"InChI=1S/C21H23NO5/c1-22-7-6-14-9-19(24-2)20(25-3)10-15(14)17(23)8-13-4-5-18-21(16(13)11-22)27-12-26-18/h4-5,9-10H,6-8,11-12H2,1-3H3",XPOJSWHIKCNLEQ-UHFFFAOYSA-N
ALK_dehydrocorybulbine_CID_5316439.sdf,0,COc1cc2c(cc1O)CC[n+]1cc3c(OC)c(OC)ccc3c(C)c1-2,"InChI=1S/C21H21NO4/c1-12-14-5-6-18(24-2)21(26-4)16(14)11-22-8-7-13-9-17(23)19(25-3)10-15(13)20(12)22/h5-6,9-11H,7-8H2,1-4H3/p+1",XWCVASCMRTXXRY-UHFFFAOYSA-O
ALK_dehydrocorydaline_CID_34781.sdf,0,COc1cc2c(cc1OC)-c1c(C)c3ccc(OC)c(OC)c3c[n+]1CC2,"InChI=1S/C22H24NO4/c1-13-15-6-7-18(24-2)22(27-5)17(15)12-23-9-8-14-10-19(25-3)20(26-4)11-16(14)21(13)23/h6-7,10-12H,8-9H2,1-5H3/q+1",RFKQJTRWODZPHF-UHFFFAOYSA-N
ALK_dehydroglaucine_CID_398788.sdf,0,COc1cc2cc3c4c(cc(OC)c(OC)c4c2cc1OC)CCN3C,"InChI=1S/C21H23NO4/c1-22-7-6-12-9-18(25-4)21(26-5)20-14-11-17(24-3)16(23-2)10-13(14)8-15(22)19(12)20/h8-11H,6-7H2,1-5H3",RZUHGAKUNBFQJS-UHFFFAOYSA-N
ALK_Dehydronantenine_CID_151328.sdf,0,COc1cc2c3c(cc4cc5c(cc4c3c1OC)OCO5)N(C)CC2,"InChI=1S/C20H19NO4/c1-21-5-4-11-7-17(22-2)20(23-3)19-13-9-16-15(24-10-25-16)8-12(13)6-14(21)18(11)19/h6-9H,4-5,10H2,1-3H3",WJGFWJOXVNVISL-UHFFFAOYSA-N
ALK_Dihydrochelerythrine_CID_485077.sdf,0,COc1ccc2c(c1OC)CN(C)c1c-2ccc2cc3c(cc12)OCO3,"InChI=1S/C21H19NO4/c1-22-10-16-13(6-7-17(23-2)21(16)24-3)14-5-4-12-8-18-19(26-11-25-18)9-15(12)20(14)22/h4-9H,10-11H2,1-3H3",ALZAZMCIBRHMFF-UHFFFAOYSA-N
ALK_Dihydrosanguinarine_CID_124069.sdf,0,CN1Cc2c(ccc3c2OCO3)-c2ccc3cc4c(cc3c21)OCO4,"InChI=1S/C20H15NO4/c1-21-8-15-12(4-5-16-20(15)25-10-22-16)13-3-2-11-6-17-18(24-9-23-17)7-14(11)19(13)21/h2-7H,8-10H2,1H3",CIUHLXZTZWTVFL-UHFFFAOYSA-N
ALK_glaucine_CID_16754.sdf,0,COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,"InChI=1S/C21H25NO4/c1-22-7-6-12-9-18(25-4)21(26-5)20-14-11-17(24-3)16(23-2)10-13(14)8-15(22)19(12)20/h9-11,15H,6-8H2,1-5H3/t15-/m0/s1",RUZIUYOSRDWYQF-HNNXBMFYSA-N
ALK_Isoboldine_CID_133323.sdf,0,COc1cc2c(cc1O)C[C@H]1c3c(cc(OC)c(O)c3-2)CCN1C,"InChI=1S/C19H21NO4/c1-20-5-4-10-8-16(24-3)19(22)18-12-9-15(23-2)14(21)7-11(12)6-13(20)17(10)18/h7-9,13,21-22H,4-6H2,1-3H3/t13-/m0/s1",LINHZVMHXABQLB-ZDUSSCGKSA-N
ALK_isocorybulbine_CID_12310873.sdf,0,COc1cc2c(cc1O)[C@H]1[C@@H](C)c3ccc(OC)c(OC)c3CN1CC2,"InChI=1S/C21H25NO4/c1-12-14-5-6-18(24-2)21(26-4)16(14)11-22-8-7-13-9-19(25-3)17(23)10-15(13)20(12)22/h5-6,9-10,12,20,23H,7-8,11H2,1-4H3/t12-,20+/m0/s1",UABBYTGYXLXVNA-FKIZINRSSA-N
ALK_isocorypalmine_CID_10220.sdf,0,COc1cc2c(cc1O)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2,"InChI=1S/C20H23NO4/c1-23-18-5-4-12-8-16-14-10-17(22)19(24-2)9-13(14)6-7-21(16)11-15(12)20(18)25-3/h4-5,9-10,16,22H,6-8,11H2,1-3H3/t16-/m0/s1",KDFKJOFJHSVROC-INIZCTEOSA-N
ALK_jatrorrhizine_CID_72323.sdf,0,COc1cc2c(cc1O)CC[n+]1cc3c(OC)c(OC)ccc3cc1-2,"InChI=1S/C20H19NO4/c1-23-18-5-4-12-8-16-14-10-19(24-2)17(22)9-13(14)6-7-21(16)11-15(12)20(18)25-3/h4-5,8-11H,6-7H2,1-3H3/p+1",MXTLAHSTUOXGQF-UHFFFAOYSA-O
ALK_Norglaucine_CID_30835.sdf,0,COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1[C@H](C2)NCC3,"InChI=1S/C20H23NO4/c1-22-15-9-12-7-14-18-11(5-6-21-14)8-17(24-3)20(25-4)19(18)13(12)10-16(15)23-2/h8-10,14,21H,5-7H2,1-4H3/t14-/m0/s1",MZSUVQFIWWXTFR-AWEZNQCLSA-N
ALK_noroxyhydrastinine_CID_89047.sdf,0,O=C1NCCc2cc3c(cc21)OCO3,"InChI=1S/C10H9NO3/c12-10-7-4-9-8(13-5-14-9)3-6(7)1-2-11-10/h3-4H,1-2,5H2,(H,11,12)",VSOJKDUWYQCWFM-UHFFFAOYSA-N
ALK_oxoglaucine_CID_97662.sdf,0,COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3ccnc(c13)C2=O,"InChI=1S/C20H17NO5/c1-23-13-8-11-12(9-14(13)24-2)19(22)18-16-10(5-6-21-18)7-15(25-3)20(26-4)17(11)16/h5-9H,1-4H3",ZYKCETVKVRJFGD-UHFFFAOYSA-N
ALK_palmatine_CID_19009.sdf,0,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2,"InChI=1S/C21H22NO4/c1-23-18-6-5-13-9-17-15-11-20(25-3)19(24-2)10-14(15)7-8-22(17)12-16(13)21(18)26-4/h5-6,9-12H,7-8H2,1-4H3/q+1",QUCQEUCGKKTEBI-UHFFFAOYSA-N
ALK_Pontevedrine_CID_11047165.sdf,0,COc1cc2cc3c4c(cc(OC)c(OC)c4c2cc1OC)C(=O)C(=O)N3C,"InChI=1S/C21H19NO6/c1-22-13-6-10-7-14(25-2)15(26-3)8-11(10)18-17(13)12(19(23)21(22)24)9-16(27-4)20(18)28-5/h6-9H,1-5H3",LXPLOLZBVGECDJ-UHFFFAOYSA-N
ALK_protopine_CID_4970.sdf,0,CN1CCc2cc3c(cc2C(=O)Cc2ccc4c(c2C1)OCO4)OCO3,"InChI=1S/C20H19NO5/c1-21-5-4-13-7-18-19(25-10-24-18)8-14(13)16(22)6-12-2-3-17-20(15(12)9-21)26-11-23-17/h2-3,7-8H,4-6,9-11H2,1H3",GPTFURBXHJWNHR-UHFFFAOYSA-N
ALK_scoulerine_CID_439654.sdf,0,COc1cc2c(cc1O)[C@@H]1Cc3ccc(OC)c(O)c3CN1CC2,"InChI=1S/C19H21NO4/c1-23-17-4-3-11-7-15-13-9-16(21)18(24-2)8-12(13)5-6-20(15)10-14(11)19(17)22/h3-4,8-9,15,21-22H,5-7,10H2,1-2H3/t15-/m0/s1",KNWVMRVOBAFFMH-HNNXBMFYSA-N
ALK_stepharanine_CID_10358881.sdf,0,COc1cc2c(cc1O)-c1cc3ccc(O)c(OC)c3c[n+]1CC2,"InChI=1S/C19H17NO4/c1-23-18-8-12-5-6-20-10-14-11(3-4-16(21)19(14)24-2)7-15(20)13(12)9-17(18)22/h3-4,7-10H,5-6H2,1-2H3,(H-,21,22)/p+1",BENXORZPKXUGMY-UHFFFAOYSA-O
ALK_stylopine_CID_440583.sdf,0,c1cc2c(c3c1C[C@H]1c4cc5c(cc4CCN1C3)OCO5)OCO2,"InChI=1S/C19H17NO4/c1-2-16-19(24-10-21-16)14-8-20-4-3-12-6-17-18(23-9-22-17)7-13(12)15(20)5-11(1)14/h1-2,6-7,15H,3-5,8-10H2/t15-/m0/s1",UXYJCYXWJGAKQY-HNNXBMFYSA-N
