filename,mol_index,smiles,inchi,inchikey
ALK-Protostemonine_COMPOUND_CID_25256772.sdf,0,COC1=C(C)C(=O)O/C1=C1\O[C@@H]2CCCN3[C@@H](CC[C@H]3[C@@H]3C[C@H](C)C(=O)O3)[C@H]2[C@@H]1C,"InChI=1S/C23H31NO6/c1-11-10-17(29-22(11)25)14-7-8-15-18-12(2)20(28-16(18)6-5-9-24(14)15)21-19(27-4)13(3)23(26)30-21/h11-12,14-18H,5-10H2,1-4H3/b21-20-/t11-,12-,14-,15-,16+,17-,18+/m0/s1",JDGNFRYDHRYXNL-ROHJGGRPSA-N
FAT-Azelaic Acid_COMPOUND_CID_2266.sdf,0,O=C(O)CCCCCCCC(=O)O,"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)",BDJRBEYXGGNYIS-UHFFFAOYSA-N
FAT-D-glucaric acid_COMPOUND_CID_33037.sdf,0,O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,"InChI=1S/C6H10O8/c7-1(3(9)5(11)12)2(8)4(10)6(13)14/h1-4,7-10H,(H,11,12)(H,13,14)/t1-,2-,3-,4+/m0/s1",DSLZVSRJTYRBFB-LLEIAEIESA-N
FAT-Ethyl linolenate_COMPOUND_CID_5367460.sdf,0,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OCC,"InChI=1S/C20H34O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-4-2/h5-6,8-9,11-12H,3-4,7,10,13-19H2,1-2H3/b6-5-,9-8-,12-11-",JYYFMIOPGOFNPK-AGRJPVHOSA-N
FAT-Linoleic Acid_COMPOUND_CID_5280450.sdf,0,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",OYHQOLUKZRVURQ-HZJYTTRNSA-N
FLA-(-)-Catechin_COMPOUND_CID_73160.sdf,0,Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@H](O)C2,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m1/s1",PFTAWBLQPZVEMU-HIFRSBDPSA-N
FLA-(-)-Epigallocatechin_COMPOUND_CID_72277.sdf,0,Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@H](O)C2,"InChI=1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2/t12-,15-/m1/s1",XMOCLSLCDHWDHP-IUODEOHRSA-N
FLA-(-)-Gallocatechin_COMPOUND_CID_9882981.sdf,0,Oc1cc(O)c2c(c1)O[C@@H](c1cc(O)c(O)c(O)c1)[C@H](O)C2,"InChI=1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2/t12-,15+/m1/s1",XMOCLSLCDHWDHP-DOMZBBRYSA-N
"FLA-2,3-Dihydro-5,5'',7''-trihydroxy-4',4''',7-trimethoxy-3',8''-biflavone_COMPOUND_CID_91886695.sdf",0,COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc([C@@H]5CC(=O)c6c(O)cc(OC)cc6O5)ccc4OC)c3o2)cc1,"InChI=1S/C33H26O10/c1-39-18-7-4-16(5-8-18)27-15-25(38)32-23(36)13-22(35)30(33(32)43-27)20-10-17(6-9-26(20)41-3)28-14-24(37)31-21(34)11-19(40-2)12-29(31)42-28/h4-13,15,28,34-36H,14H2,1-3H3/t28-/m0/s1",IHBQEDJQLPQAHW-NDEPHWFRSA-N
"FLA-4',5-DIHYDROXY-7-METHOXYFLAVONE_COMPOUND_CID_5281617.sdf",0,COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,"InChI=1S/C16H12O5/c1-20-11-6-12(18)16-13(19)8-14(21-15(16)7-11)9-2-4-10(17)5-3-9/h2-8,17-18H,1H3",JPMYFOBNRRGFNO-UHFFFAOYSA-N
FLA-5'-Methoxybilobetin_COMPOUND_CID_5319411.sdf,0,COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc(-c2c(O)cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc23)c1OC,"InChI=1S/C32H22O11/c1-40-27-8-15(25-12-22(38)29-19(35)9-17(34)10-26(29)42-25)7-18(31(27)41-2)28-20(36)11-21(37)30-23(39)13-24(43-32(28)30)14-3-5-16(33)6-4-14/h3-13,33-37H,1-2H3",RQNXAFVREOYDNA-UHFFFAOYSA-N
"FLA-5,7-dihydroxy-8-[2-hydroxy-5-(5-hydroxy-7-methoxy-4-oxo-4H-1-benzopyran-2-yl)phenyl]-2-(4-hydroxyphenyl)-4-benzopyrone_COMPOUND_CID_5484010.sdf",0,COc1cc(O)c2c(=O)cc(-c3ccc(O)c(-c4c(O)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1,"InChI=1S/C31H20O10/c1-39-17-9-20(34)29-23(37)12-26(40-27(29)10-17)15-4-7-19(33)18(8-15)28-21(35)11-22(36)30-24(38)13-25(41-31(28)30)14-2-5-16(32)6-3-14/h2-13,32-36H,1H3",TYUMAYSMJLPFAN-UHFFFAOYSA-N
FLA-Amentoflavone_COMPOUND_CID_5281600.sdf,0,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,"InChI=1S/C30H18O10/c31-15-4-1-13(2-5-15)24-12-23(38)29-21(36)10-20(35)27(30(29)40-24)17-7-14(3-6-18(17)33)25-11-22(37)28-19(34)8-16(32)9-26(28)39-25/h1-12,31-36H",YUSWMAULDXZHPY-UHFFFAOYSA-N
FLA-Apigenin 7-glucoside_COMPOUND_CID_5280704.sdf,0,O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,"InChI=1S/C21H20O10/c22-8-16-18(26)19(27)20(28)21(31-16)29-11-5-12(24)17-13(25)7-14(30-15(17)6-11)9-1-3-10(23)4-2-9/h1-7,16,18-24,26-28H,8H2/t16-,18-,19+,20-,21-/m1/s1",KMOUJOKENFFTPU-QNDFHXLGSA-N
