filename,mol_index,smiles,inchi,inchikey
COU_11-O-Galloylbergenin_text_82958-44-9_records.sdf,0,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](COC(=O)c3cc(O)c(O)c(O)c3)[C@@H](O)[C@H](O)[C@H]1OC2=O,"InChI=1S/C21H20O13/c1-31-17-10(24)4-7-12(15(17)27)18-19(34-21(7)30)16(28)14(26)11(33-18)5-32-20(29)6-2-8(22)13(25)9(23)3-6/h2-4,11,14,16,18-19,22-28H,5H2,1H3/t11-,14-,16+,18+,19-/m1/s1",CDRRULDABVKKHU-YQBPHPIXSA-N
COU_4-Methylumbelliferyl-beta-D-glucuronide_text_6160-80-1_records.sdf,0,Cc1cc(=O)oc2cc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)ccc12,"InChI=1S/C16H16O9/c1-6-4-10(17)24-9-5-7(2-3-8(6)9)23-16-13(20)11(18)12(19)14(25-16)15(21)22/h2-5,11-14,16,18-20H,1H3,(H,21,22)/t11-,12-,13+,14-,16+/m0/s1",ARQXEQLMMNGFDU-JHZZJYKESA-N
"COU_6,7-Dihydroxycoumarin_text_305-01-1_records.sdf",0,O=c1ccc2cc(O)c(O)cc2o1,"InChI=1S/C9H6O4/c10-6-3-5-1-2-9(12)13-8(5)4-7(6)11/h1-4,10-11H",ILEDWLMCKZNDJK-UHFFFAOYSA-N
"COU_6,7-dimethoxy-2H-chromen-2-one_text_120-08-1_records.sdf",0,COc1cc2ccc(=O)oc2cc1OC,"InChI=1S/C11H10O4/c1-13-9-5-7-3-4-11(12)15-8(7)6-10(9)14-2/h3-6H,1-2H3",GUAFOGOEJLSQBT-UHFFFAOYSA-N
COU_Bergenin_text_477-90-7_records.sdf,0,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,"InChI=1S/C14H16O9/c1-21-11-5(16)2-4-7(9(11)18)12-13(23-14(4)20)10(19)8(17)6(3-15)22-12/h2,6,8,10,12-13,15-19H,3H2,1H3/t6-,8-,10+,12+,13-/m1/s1",YWJXCIXBAKGUKZ-HJJNZUOJSA-N
COU_Fraxetin_text_574-84-5_records.sdf,0,COc1cc2ccc(=O)oc2c(O)c1O,"InChI=1S/C10H8O5/c1-14-6-4-5-2-3-7(11)15-10(5)9(13)8(6)12/h2-4,12-13H,1H3",HAVWRBANWNTOJX-UHFFFAOYSA-N
COU_norbergenin_text_79595-97-4_records.sdf,0,O=C1O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2c2c1cc(O)c(O)c2O,"InChI=1S/C13H14O9/c14-2-5-8(17)10(19)12-11(21-5)6-3(13(20)22-12)1-4(15)7(16)9(6)18/h1,5,8,10-12,14-19H,2H2/t5-,8-,10+,11+,12-/m1/s1",GDYGAIKPBLFCKR-OIPGZRGRSA-N
FAT_(E)-3-hexenoic acid_text_1577-18-0_records.sdf,0,CC/C=C/CC(=O)O,"InChI=1S/C6H10O2/c1-2-3-4-5-6(7)8/h3-4H,2,5H2,1H3,(H,7,8)/b4-3+",XXHDAWYDNSXJQM-ONEGZZNKSA-N
FAT_1-Hexanoic acid_text_142-62-1_records.sdf,0,CCCCCC(=O)O,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",FUZZWVXGSFPDMH-UHFFFAOYSA-N
FAT_3-hexenoic acid_text_4219-24-3_records.sdf,0,CCC=CCC(=O)O,"InChI=1S/C6H10O2/c1-2-3-4-5-6(7)8/h3-4H,2,5H2,1H3,(H,7,8)",XXHDAWYDNSXJQM-UHFFFAOYSA-N
FAT_4-Hydroxy-4-methyl-2-pentanone_text_123-42-2_records.sdf,0,CC(=O)CC(C)(C)O,"InChI=1S/C6H12O2/c1-5(7)4-6(2,3)8/h8H,4H2,1-3H3",SWXVUIWOUIDPGS-UHFFFAOYSA-N
FAT_Acetic_Acid_text_77671-22-8_records.sdf,0,CC(=O)O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",QTBSBXVTEAMEQO-UHFFFAOYSA-N
FAT_Lauric_acid_text_143-07-7_records.sdf,0,CCCCCCCCCCCC(=O)O,"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)",POULHZVOKOAJMA-UHFFFAOYSA-N
FAT_Linoleic_acid_text_60-33-3_records.sdf,0,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",OYHQOLUKZRVURQ-HZJYTTRNSA-N
FAT_Margaric_acid_text_506-12-7_records.sdf,0,CCCCCCCCCCCCCCCCC(=O)O,"InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)",KEMQGTRYUADPNZ-UHFFFAOYSA-N
FAT_Methyl_Linolenate_text_301-00-8_records.sdf,0,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC,"InChI=1S/C19H32O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h4-5,7-8,10-11H,3,6,9,12-18H2,1-2H3/b5-4-,8-7-,11-10-",DVWSXZIHSUZZKJ-YSTUJMKBSA-N
FAT_Nonanoic_acid_text_112-05-0_records.sdf,0,CCCCCCCCC(=O)O,"InChI=1S/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)",FBUKVWPVBMHYJY-UHFFFAOYSA-N
FAT_oleic_acid_text_112-80-1_records.sdf,0,CCCCCCCC/C=C\CCCCCCCC(=O)O,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-",ZQPPMHVWECSIRJ-KTKRTIGZSA-N
FAT_Palmitic_acid_text_57-10-3_records.sdf,0,CCCCCCCCCCCCCCCC(=O)O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N
FAT_Propionic_acid_text_79-09-4_records.sdf,0,CCC(=O)O,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",XBDQKXXYIPTUBI-UHFFFAOYSA-N
FAT_trans-Hex-2-enoic acid_text_13419-69-7_records.sdf,0,CCC/C=C/C(=O)O,"InChI=1S/C6H10O2/c1-2-3-4-5-6(7)8/h4-5H,2-3H2,1H3,(H,7,8)/b5-4+",NIONDZDPPYHYKY-SNAWJCMRSA-N
FLA_(-)-Gallocatechin gallate_text_4233-96-9_records.sdf,0,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,"InChI=1S/C22H18O11/c23-10-5-12(24)11-7-18(33-22(31)9-3-15(27)20(30)16(28)4-9)21(32-17(11)6-10)8-1-13(25)19(29)14(26)2-8/h1-6,18,21,23-30H,7H2/t18-,21+/m1/s1",WMBWREPUVVBILR-NQIIRXRSSA-N
"FLA_2,3-Dihydrofisetin_text_20725-03-5_records.sdf",0,O=C1c2ccc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,"InChI=1S/C15H12O6/c16-8-2-3-9-12(6-8)21-15(14(20)13(9)19)7-1-4-10(17)11(18)5-7/h1-6,14-18,20H/t14-,15+/m0/s1",FNUPUYFWZXZMIE-LSDHHAIUSA-N
FLA_catechin_text_18829-70-4_records.sdf,0,Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@H](O)C2,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m1/s1",PFTAWBLQPZVEMU-HIFRSBDPSA-N
FLA_Gallocatechin_text_3371-27-5_records.sdf,0,Oc1cc(O)c2c(c1)O[C@@H](c1cc(O)c(O)c(O)c1)[C@H](O)C2,"InChI=1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2/t12-,15+/m1/s1",XMOCLSLCDHWDHP-DOMZBBRYSA-N
FLA_Kaempferol_text_520-18-3_records.sdf,0,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N
