编号,中文名,英文名,分子式,分子量,分子结构,CAS号,文献来源,类型,smiles,inchi,inchikey,药材名称
DS-001,原儿茶醛,Protocatechualdehyde,C7H6O3,138.12 ,,139-85-5,1,酚酸类,OC1=CC(C=O)=CC=C1O,"InChI=1S/C7H6O3/c8-4-5-1-2-6(9)7(10)3-5/h1-4,9-10H",IBGBGRVKPALMCQ-UHFFFAOYSA-N,丹参
DS-002,丹参素,Danshensu,C9H10O5,198.17 ,,76822-21-4,1,酚酸类,O=C(O)[C@H](O)CC1=CC(O)=C(O)C=C1,"InChI=1S/C9H10O5/c10-6-2-1-5(3-7(6)11)4-8(12)9(13)14/h1-3,8,10-12H,4H2,(H,13,14)/t8-/m1/s1",PAFLSMZLRSPALU-MRVPVSSYSA-N,丹参
DS-003,丹酚酸 A,Salvianolic Acid A,C26H22O10,494.45 ,,96574-01-5,1,酚酸类,OC1=C(/C=C/C(C=C2)=CC(O)=C2O)C(/C=C/C(O[C@@H](C(O)=O)CC3=CC=C(O)C(O)=C3)=O)=CC=C1O,"InChI=1S/C26H22O10/c27-18-7-2-14(11-21(18)30)1-6-17-16(4-9-20(29)25(17)33)5-10-24(32)36-23(26(34)35)13-15-3-8-19(28)22(31)12-15/h1-12,23,27-31,33H,13H2,(H,34,35)/b6-1+,10-5+/t23-/m1/s1",YMGFTDKNIWPMGF-UCPJVGPRSA-N,丹参
DS-004,丹酚酸 B,Salvianolic Acid B ,C36H30O16,718.61 ,,121521-90-2,1,酚酸类,OC1=C(O)C=C([C@@]2([H])OC(C(O)=CC=C3/C=C/C(O[C@@H](C(O)=O)CC4=CC=C(O)C(O)=C4)=O)=C3[C@@H]2C(O[C@@H](C(O)=O)CC5=CC(O)=C(O)C=C5)=O)C=C1,"InChI=1S/C36H30O16/c37-20-6-1-16(11-24(20)41)13-27(34(45)46)50-29(44)10-5-18-3-9-23(40)33-30(18)31(32(52-33)19-4-8-22(39)26(43)15-19)36(49)51-28(35(47)48)14-17-2-7-21(38)25(42)12-17/h1-12,15,27-28,31-32,37-43H,13-14H2,(H,45,46)(H,47,48)/b10-5+/t27-,28-,31+,32-/m1/s1",SNKFFCBZYFGCQN-VWUOOIFGSA-N,丹参
DS-005,丹酚酸 C,Salvianolic Acid C,C26H20O10,492.43 ,,115841-09-3,1,酚酸类,O=C(C(CC1=CC=C(O)C(O)=C1)OC(/C=C/C2=C3C(OC(C4=CC(O)=C(O)C=C4)=C3)=C(O)C=C2)=O)O,"InChI=1S/C26H20O10/c27-17-5-1-13(9-20(17)30)10-23(26(33)34)35-24(32)8-4-14-2-7-19(29)25-16(14)12-22(36-25)15-3-6-18(28)21(31)11-15/h1-9,11-12,23,27-31H,10H2,(H,33,34)/b8-4+",GCJWPRRNLSHTRY-XBXARRHUSA-N,丹参
DS-006,丹酚酸 D,Salvianolic Acid D,C20H18O10,418.35 ,,142998-47-8,1,酚酸类,OC1=C(O)C=C(C[C@@H](OC(/C=C/C2=C(CC(O)=O)C(O)=C(O)C=C2)=O)C(O)=O)C=C1,"InChI=1S/C20H18O10/c21-13-4-1-10(7-15(13)23)8-16(20(28)29)30-18(26)6-3-11-2-5-14(22)19(27)12(11)9-17(24)25/h1-7,16,21-23,27H,8-9H2,(H,24,25)(H,28,29)/b6-3+/t16-/m1/s1",KFCMFABBVSIHTB-WUTVXBCWSA-N,丹参
DS-007,丹酚酸 E,Salvianolic Acid E,C36H30O16,718.61 ,,142998-46-7,1,酚酸类,OC1=C(O)C=CC(C[C@@H](OC(/C=C/C2=C(C(C(O[C@H](CC3=CC(O)=C(O)C=C3)C(O)=O)=O)=CC4=CC(O)=C(O)C=C4)C(O)=C(O)C=C2)=O)C(O)=O)=C1,"InChI=1S/C36H30O16/c37-22-6-1-17(12-26(22)41)11-21(36(50)52-30(35(48)49)16-19-3-8-24(39)28(43)14-19)32-20(4-9-25(40)33(32)45)5-10-31(44)51-29(34(46)47)15-18-2-7-23(38)27(42)13-18/h1-14,29-30,37-43,45H,15-16H2,(H,46,47)(H,48,49)/b10-5+,21-11?/t29-,30-/m1/s1",SOXUSBQFIOBYJU-DDPMSQIOSA-N,丹参
DS-008,丹酚酸 F,Salvianolic Acid F,C17H14O6,314.29 ,,158732-59-3,1,酚酸类,OC(/C=C/C1=C(/C=C/C2=CC(O)=C(O)C=C2)C(O)=C(O)C=C1)=O,"InChI=1S/C17H14O6/c18-13-6-2-10(9-15(13)20)1-5-12-11(4-8-16(21)22)3-7-14(19)17(12)23/h1-9,18-20,23H,(H,21,22)/b5-1+,8-4+",PULWRMOKQNWQBD-LZSLGQGWSA-N,丹参
DS-009,丹酚酸 G,Salvianolic Acid G,C18H12O7,340.30 ,,136112-79-3,1,酚酸类,OC1=C(O)C2=C(C=C3C(C(O2)=C(O)C=C4)=C4CC(C(O)=O)C3=O)C=C1,"InChI=1S/C18H12O7/c19-11-3-2-8-6-9-13-7(5-10(14(9)21)18(23)24)1-4-12(20)17(13)25-16(8)15(11)22/h1-4,6,10,19-20,22H,5H2,(H,23,24)",AMPDZVASNOBSQZ-UHFFFAOYSA-N,丹参
DS-010,丹酚酸 H,Salvianolic Acid H,C27H22O12,538.50 ,,444179-57-1,1,酚酸类,OC1=C(O)C=CC(/C=C(OC2=C(O)C=CC(/C=C/C(O[C@H](CC3=CC(O)=C(O)C=C3)C(O)=O)=O)=C2)/C(O)=O)=C1,"InChI=1S/C27H22O12/c28-17-5-2-15(9-20(17)31)12-23(26(34)35)38-22-11-14(1-7-19(22)30)4-8-25(33)39-24(27(36)37)13-16-3-6-18(29)21(32)10-16/h1-12,24,28-32H,13H2,(H,34,35)(H,36,37)/b8-4+,23-12-/t24-/m1/s1",HFTLCJIFEZUOCR-RAXODLQLSA-N,丹参
