编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材名称
JLX-001,7-甲氧基-8-异戊二烯基香豆素/蛇床子素,Osthole,484-12-8,244.28,"	
C15H16O3",,香豆素类,COC1=C(C/C=C(C)/C)C(OC(C=C2)=O)=C2C=C1,"InChI=1S/C15H16O3/c1-10(2)4-7-12-13(17-3)8-5-11-6-9-14(16)18-15(11)12/h4-6,8-9H,7H2,1-3H3",MBRLOUHOWLUMFF-UHFFFAOYSA-N,九里香
JLX-002,小叶九里香内酯,Murraxocin,88478-44-8,304.338,C17H20O5,,香豆素类,CCOC(C(O)C(C)=C)C1=C(C=CC2=C1OC(C=C2)=O)OC,"InChI=1S/C17H20O5/c1-5-21-17(15(19)10(2)3)14-12(20-4)8-6-11-7-9-13(18)22-16(11)14/h6-9,15,17,19H,2,5H2,1,3-4H3",GDLSTIJVZWVVPB-UHFFFAOYSA-N,九里香
JLX-003,海南九里香内酯,Hainanmurpanin,00-00-3416,318.33,C17H18O6,,香豆素类,O=C1C=CC2=CC=C(OC)C(C(OC(C)=O)C(C(C)C)=O)=C2O1,"InChI=1S/C17H18O6/c1-9(2)15(20)17(22-10(3)18)14-12(21-4)7-5-11-6-8-13(19)23-16(11)14/h5-9,17H,1-4H3",VLHOVPZUSXEINR-UHFFFAOYSA-N,九里香
JLX-004,小芸木香豆精,Minumicrolin,88546-96-7,276.28,C15H16O5,,香豆素类,CC([C@@H](O)[C@H](O)C1=C(OC)C=CC2=C1OC(C=C2)=O)=C,"InChI=1S/C15H16O5/c1-8(2)13(17)14(18)12-10(19-3)6-4-9-5-7-11(16)20-15(9)12/h4-7,13-14,17-18H,1H2,2-3H3/t13-,14-/m1/s1",DKEANOQWICTXTP-ZIAGYGMSSA-N,九里香
JLX-005,长叶九里香内酯二醇/九里香亭/九里香素,Murrangatin,37126-91-3,276.284,C15H16O5,,香豆素类,O=C1C=CC2=CC=C(OC)C([C@@H](O)[C@@H](O)C(C)=C)=C2O1,"InChI=1S/C15H16O5/c1-8(2)13(17)14(18)12-10(19-3)6-4-9-5-7-11(16)20-15(9)12/h4-7,13-14,17-18H,1H2,2-3H3/t13-,14+/m0/s1",DKEANOQWICTXTP-UONOGXRCSA-N,九里香
JLX-006,水合橙皮内酯,"(-)-8-[(S)-2,3-Dihydroxy-3-methylbutyl]-7-methoxy-2H-1-benzopyran-2-one",5875-49-0,278.3,C15H18O5,,香豆素类,O=C1C=CC2=CC=C(OC)C(C[C@H](O)C(C)(O)C)=C2O1,"InChI=1S/C15H18O5/c1-15(2,18)12(16)8-10-11(19-3)6-4-9-5-7-13(17)20-14(9)10/h4-7,12,16,18H,8H2,1-3H3/t12-/m0/s1",KGGUASRIGLRPAX-LBPRGKRZSA-N,九里香
JLX-007,过氧九里香醇,"	peroxymurraol","	121994-13-6","	276.285","	C15H16O5",,香豆素类,O=C1OC2=C(C=C1)C=CC(OC)=C2/C([H])=C([H])/C(C)(C)OO[H],"InChI=1S/C15H16O5/c1-15(2,20-17)9-8-11-12(18-3)6-4-10-5-7-13(16)19-14(10)11/h4-9,17H,1-3H3/b9-8+",ATDXJDJBKABJRA-CMDGGOBGSA-N,九里香
JLX-008,异长叶九里香醇乙酸酯,IsoMurralonginol acetate,139115-59-6,302.322,C17H18O5,,香豆素类,O=C1OC2=C(C=CC(OC)=C2C(COC(C)=O)C(C)=C)C=C1,"InChI=1S/C17H18O5/c1-10(2)13(9-21-11(3)18)16-14(20-4)7-5-12-6-8-15(19)22-17(12)16/h5-8,13H,1,9H2,2-4H3",KJRYZFDEVYMOEY-UHFFFAOYSA-N,九里香
JLX-009, 顺式脱氢蛇床子素,cis-Dehydroosthol,109741-40-4,242.27,C15H14O3,,香豆素类,O=C1OC2=C(/C=C\C(C)=C)C(OC)=CC=C2C=C1,"InChI=1S/C15H14O3/c1-10(2)4-7-12-13(17-3)8-5-11-6-9-14(16)18-15(11)12/h4-9H,1H2,2-3H3/b7-4-",PJCYDTKNZVGNGP-DAXSKMNVSA-N,九里香
JLX-010,九里香醇,"	Murraol",109741-38-0,"	260.29",C15H16O4,,香豆素类,O=C1C=CC2=CC=C(OC)C(/C=C/C(C)(O)C)=C2O1,"InChI=1S/C15H16O4/c1-15(2,17)9-8-11-12(18-3)6-4-10-5-7-13(16)19-14(10)11/h4-9,17H,1-3H3/b9-8+",MDKAWXCQYALXRL-CMDGGOBGSA-N,九里香
JLX-011,脱水长叶九里香内酯,phebalosin,"	6545-99-9","	258.27",C15H14O4,,香豆素类,O=C1C=CC2=C(O1)C([C@H]3O[C@@H]3C(C)=C)=C(OC)C=C2,"InChI=1S/C15H14O4/c1-8(2)13-15(19-13)12-10(17-3)6-4-9-5-7-11(16)18-14(9)12/h4-7,13,15H,1H2,2-3H3/t13-,15-/m1/s1",YTDNHMHONBWCBV-UKRRQHHQSA-N,九里香
JLX-012,橙皮内酯,Meranzin,23971-42-8,260.285,C15H16O4,,香豆素类,COC1=C(C[C@H](O2)C2C)C(OC3=O)=C(C=C3)C=C1,"InChI=1S/C14H14O4/c1-8-12(17-8)7-10-11(16-2)5-3-9-4-6-13(15)18-14(9)10/h3-6,8,12H,7H2,1-2H3/t8?,12-/m0/s1",TYCQVTWLZXYVST-MYIOLCAUSA-N,九里香
JLX-013,九里香甲素,Isomexoticin,88585-86-8,308.326,C16H20O6,,香豆素类,O=C(C=C1)OC2=C1C(OC)=CC(OC)=C2C[C@H](O)C(C)(O)C,"InChI=1S/C16H20O6/c1-16(2,19)13(17)7-10-12(21-4)8-11(20-3)9-5-6-14(18)22-15(9)10/h5-6,8,13,17,19H,7H2,1-4H3/t13-/m0/s1",JVCJUTNJQMKKCK-ZDUSSCGKSA-N,九里香
JLX-014,葡萄内酯/橙皮油内酯,Auraptene,495-02-3,298.376,C19H22O3,,香豆素类,C/C(C)=C/CC/C(C)=C/COC1=CC=C(C=CC(O2)=O)C2=C1,"InChI=1S/C19H22O3/c1-14(2)5-4-6-15(3)11-12-21-17-9-7-16-8-10-19(20)22-18(16)13-17/h5,7-11,13H,4,6,12H2,1-3H3/b15-11+",RSDDHGSKLOSQFK-RVDMUPIBSA-N,九里香
JLX-015,异橙皮内酯,"	IsoMeranzin",1088-17-1,260.29,"	C15H16O4",,香豆素类,O=C1OC2=C(C=CC(OC)=C2CC(C(C)C)=O)C=C1,"InChI=1S/C15H16O4/c1-9(2)12(16)8-11-13(18-3)6-4-10-5-7-14(17)19-15(10)11/h4-7,9H,8H2,1-3H3",OMOYQLRHKFGVGN-UHFFFAOYSA-N,九里香
JLX-016,伞形花内酯,"	7-Hydroxycoumarin",93-35-6,"	162.14","	C9H6O3",,香豆素类,O=C1OC2=C(C=CC(O)=C2)C=C1,"InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H",ORHBXUUXSCNDEV-UHFFFAOYSA-N,九里香
JLX-017,东莨菪素,"	Scopoletin",92-61-5,192.17,C10H8O4,,香豆素类,O=C1OC2=C(C=C(C(O)=C2)OC)C=C1,"InChI=1S/C10H8O4/c1-13-9-4-6-2-3-10(12)14-8(6)5-7(9)11/h2-5,11H,1H3",RODXRVNMMDRFIK-UHFFFAOYSA-N,九里香
