编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,smiles,inchi,inchikey,药材名称
HJT-1,草质素,Herbacetin, 527-95-7,302.236,C15H10O7,,黄酮,OC1=C(O)C2=C(C(C(O)=C(C3=CC=C(O)C=C3)O2)=O)C(O)=C1,"InChI=1S/C15H10O7/c16-7-3-1-6(2-4-7)14-13(21)12(20)10-8(17)5-9(18)11(19)15(10)22-14/h1-5,16-19,21H",ZDOTZEDNGNPOEW-UHFFFAOYSA-N,红景天
HJT-2,/,Alginin,54869-23-7,478.366,C21H18O13,,黄酮,O=C([C@@H]1[C@@H](O)[C@H](O)[C@@H](O)C(OC2=CC=C(C3=C(O)C(C4=C(O3)C(O)=C(O)C=C4O)=O)C=C2)O1)O,"InChI=1S/C21H18O13/c22-8-5-9(23)11(24)18-10(8)12(25)14(27)17(33-18)6-1-3-7(4-2-6)32-21-16(29)13(26)15(28)19(34-21)20(30)31/h1-5,13,15-16,19,21-24,26-29H,(H,30,31)/t13-,15-,16+,19-,21?/m0/s1",YZSVAZVBCCBFBG-RXRVISKUSA-N,红景天
HJT-3,/,"3,5,7,8-tetrahydroxy-2-(4-methoxyphenyl)chromen-4-one",96238-95-8,316.262,C16H12O7,,黄酮,O=C1C(O)=C(C2=CC=C(OC)C=C2)OC3=C1C(O)=CC(O)=C3O,"InChI=1S/C16H12O7/c1-22-8-4-2-7(3-5-8)15-14(21)13(20)11-9(17)6-10(18)12(19)16(11)23-15/h2-6,17-19,21H,1H3",JENUDBBUZMVAMW-UHFFFAOYSA-N,红景天
HJT-4,/,Rhodalin,54676-60-7,434.356,C20H18O11,,黄酮,O=C1C(O)=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3O[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O,"InChI=1S/C20H18O11/c21-8-3-1-7(2-4-8)17-15(27)14(26)12-9(22)5-10(23)18(19(12)30-17)31-20-16(28)13(25)11(24)6-29-20/h1-5,11,13,16,20-25,27-28H,6H2/t11-,13+,16-,20+/m1/s1",HSBPTANNLNRKFF-AGOBOLRFSA-N,红景天
HJT-5,/,Gelidolin,/,464.383,C21H20O12,,黄酮,OC1=C(O)C2=C(C(C(O)=C(C3=CC=C(OC[C@@H](O4)[C@@H](O)[C@H](O)[C@@H](O)[C@H]4O)C=C3)O2)=O)C(O)=C1,"InChI=1S/C21H20O12/c22-9-5-10(23)13(24)20-12(9)15(26)17(28)19(33-20)7-1-3-8(4-2-7)31-6-11-14(25)16(27)18(29)21(30)32-11/h1-5,11,14,16,18,21-25,27-30H,6H2/t11-,14-,16+,18-,21+/m1/s1",VPNMXLKTRVLYIB-VSUBPPGOSA-N,红景天
HJT-6,/,Rhodiolatuntoside,/,448.383,C21H20O11,,黄酮,OC1=C(O)C2=C(C(C(O)=C(C3=CC=C(O[C@@H]4O[C@H]([C@@H]([C@H]([C@H]4O)O)O)C)C=C3)O2)=O)C(O)=C1,"InChI=1S/C21H20O11/c1-7-13(24)16(27)18(29)21(30-7)31-9-4-2-8(3-5-9)19-17(28)15(26)12-10(22)6-11(23)14(25)20(12)32-19/h2-7,13,16,18,21-25,27-29H,1H3/t7-,13-,16+,18+,21-/m0/s1",PCIFIRKCZSRGAZ-JOEVVYSCSA-N,红景天
HJT-7,/,Rodalgin,/,434.356,C20H18O11,,黄酮,O=C1C(O)=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3OC4[C@@H]([C@H]([C@H](CO4)O)O)O,"InChI=1S/C20H18O11/c21-8-3-1-7(2-4-8)17-15(27)14(26)12-9(22)5-10(23)18(19(12)30-17)31-20-16(28)13(25)11(24)6-29-20/h1-5,11,13,16,20-25,27-28H,6H2/t11-,13-,16+,20?/m0/s1",HSBPTANNLNRKFF-GFBCHJGFSA-N,红景天
HJT-8,/,Litvinolin,/,448.383,C21H20O11,,黄酮,O=C1C(O)=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3O[C@H]4[C@@H]([C@@H]([C@H]([C@H](C)O4)O)O)O,"InChI=1S/C21H20O11/c1-7-13(25)15(27)17(29)21(30-7)32-19-11(24)6-10(23)12-14(26)16(28)18(31-20(12)19)8-2-4-9(22)5-3-8/h2-7,13,15,17,21-25,27-29H,1H3/t7-,13-,15+,17+,21-/m0/s1",PJZKCQPCHMMPJZ-LCAKQTEZSA-N,红景天
HJT-9,草质素苷,Rhodionin,85571-15-9,448.377,C21H20O11,,黄酮,O=C1C(O)=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(OC4OC(C)C(O)C(O)C4O)=C3O,"InChI=1S/C21H20O11/c1-7-13(24)16(27)18(29)21(30-7)31-11-6-10(23)12-15(26)17(28)19(32-20(12)14(11)25)8-2-4-9(22)5-3-8/h2-7,13,16,18,21-25,27-29H,1H3",CIAXXTSXVCLEJK-UHFFFAOYSA-N,红景天
HJT-10,红景天素,Rhodiosin,86831-54-1,610.518,C27H30O16,,黄酮,O=C1C(O)=C(C2=CC=C(O)C=C2)OC3=C(O)C(O[C@H]4[C@@H]([C@@H]([C@H]([C@H](C)O4)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O)O)=CC(O)=C13,"InChI=1S/C27H30O16/c1-8-15(31)25(43-26-21(37)19(35)16(32)13(7-28)41-26)22(38)27(39-8)40-12-6-11(30)14-18(34)20(36)23(42-24(14)17(12)33)9-2-4-10(29)5-3-9/h2-6,8,13,15-16,19,21-22,25-33,35-38H,7H2,1H3/t8-,13+,15-,16+,19-,21+,22+,25+,26-,27-/m0/s1",WXBBQBYCUTXTJQ-ULMXTSOFSA-N,红景天
HJT-11,/,Gelolin,/,434.356,C20H18O11,,黄酮,O=C1C(O)=C(C2=CC=C(O)C=C2)OC3=C(O)C(OC4[C@@H]([C@H]([C@H](CO4)O)O)O)=CC(O)=C13,"InChI=1S/C20H18O11/c21-8-3-1-7(2-4-8)18-16(27)15(26)12-9(22)5-11(14(25)19(12)31-18)30-20-17(28)13(24)10(23)6-29-20/h1-5,10,13,17,20-25,27-28H,6H2/t10-,13-,17+,20?/m0/s1",QFHQDJUXTPBNLQ-AQMWBSTASA-N,红景天
HJT-12,/,Rhodionidin,94696-40-9,610.517,C27H30O16,,黄酮,O=C1C(O)=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O[C@@H]4[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O4)=C3O[C@H]5[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O5,"InChI=1S/C27H30O16/c1-8-15(31)18(34)21(37)26(39-8)40-12-6-11(30)14-17(33)20(36)23(9-2-4-10(29)5-3-9)42-25(14)24(12)43-27-22(38)19(35)16(32)13(7-28)41-27/h2-6,8,13,15-16,18-19,21-22,26-32,34-38H,7H2,1H3/t8-,13+,15-,16+,18+,19-,21+,22+,26+,27-/m0/s1",CQFZDNWCTZWQSH-YKGJKWNLSA-N,红景天
