编号,化合物名称,化学结构,分子式,分子量,CAS号,化合物种类,smiles,inchi,inchikey,,药材
1,"齐墩果酸
Oleanic acid
",,C30H48O3,456.7,508-02-1,三萜,C[C@]12CC[C@H](O)C(C)(C)[C@@H]1CC[C@]3(C)[C@@H]2CC=C4[C@@]3(C)CC[C@]5(C(O)=O)[C@H]4CC(C)(C)CC5,"InChI=1S/C30H48O3/c1-25(2)14-16-30(24(32)33)17-15-28(6)19(20(30)18-25)8-9-22-27(5)12-11-23(31)26(3,4)21(27)10-13-29(22,28)7/h8,20-23,31H,9-18H2,1-7H3,(H,32,33)/t20-,21-,22+,23-,27-,28+,29+,30-/m0/s1",MIJYXULNPSFWEK-GTOFXWBISA-N,,凌霄花化学成分
2,"山楂酸
Maslinic acid
",,C30H48O4,472.7,4373-41-5,三萜,C[C@@]12CC[C@@H]3[C@@](C[C@@H](O)[C@@H](O)C3(C)C)(C)[C@H]1CC=C4[C@@]2(C)CC[C@]5(C(O)=O)[C@H]4CC(C)(C)CC5,"InChI=1S/C30H48O4/c1-25(2)12-14-30(24(33)34)15-13-28(6)18(19(30)16-25)8-9-22-27(5)17-20(31)23(32)26(3,4)21(27)10-11-29(22,28)7/h8,19-23,31-32H,9-17H2,1-7H3,(H,33,34)/t19-,20+,21-,22+,23+,27-,28+,29+,30-/m0/s1",MDZKJHQSJHYOHJ-HFYZCPLSSA-N,,凌霄花化学成分
3,"阿江榄仁酸
Arjunolic acid
",,C30H48O5,488.699,465-00-9,三萜,C[C@@]12CC[C@@H]3[C@@](C[C@@H](O)[C@H](O)[C@]3(CO)C)(C)[C@H]1CC=C4[C@@]2(C)CC[C@]5(C(O)=O)[C@H]4CC(C)(C)CC5,"InChI=1S/C30H48O5/c1-25(2)11-13-30(24(34)35)14-12-28(5)18(19(30)15-25)7-8-22-26(3)16-20(32)23(33)27(4,17-31)21(26)9-10-29(22,28)6/h7,19-23,31-33H,8-17H2,1-6H3,(H,34,35)/t19-,20+,21+,22+,23-,26-,27-,28+,29+,30-/m0/s1",RWNHLTKFBKYDOJ-DDHMHSPCSA-N,,凌霄花化学成分
4,"β-香树脂醇
β-Amyrin
",,C30H50O,426.717,559-70-6,三萜,C[C@@]12CC[C@]3(C)C([C@@H]1CC(C)(C)CC2)=CC[C@H]4[C@@]3(C)CC[C@@H]5[C@]4(C)CC[C@H](O)C5(C)C,"InChI=1S/C30H50O/c1-25(2)15-16-27(5)17-18-29(7)20(21(27)19-25)9-10-23-28(6)13-12-24(31)26(3,4)22(28)11-14-30(23,29)8/h9,21-24,31H,10-19H2,1-8H3/t21-,22-,23+,24-,27+,28-,29+,30+/m0/s1",JFSHUTJDVKUMTJ-QHPUVITPSA-N,,凌霄花化学成分
5,"熊果酸
Ursolic Acid
",,C30H48O3,456.7,77-52-1,三萜,C[C@@H]1CC[C@]2(C(O)=O)CC[C@]3(C)C([C@@H]2[C@H]1C)=CC[C@H]4[C@@]3(C)CC[C@@H]5[C@]4(C)CC[C@H](O)C5(C)C,"InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-24,31H,9-17H2,1-7H3,(H,32,33)/t18-,19+,21+,22-,23+,24+,27+,28-,29-,30+/m1/s1",WCGUUGGRBIKTOS-GPOJBZKASA-N,,凌霄花化学成分
6,"熊果醛
Ursolic aldehyde
",,C30H48O2,440.7,19132-81-1,三萜,CC1CCC2(C=O)CCC3(C)C(C2C1C)=CCC4C3(C)CCC5C4(C)CCC(O)C5(C)C,"InChI=1S/C30H48O2/c1-19-10-15-30(18-31)17-16-28(6)21(25(30)20(19)2)8-9-23-27(5)13-12-24(32)26(3,4)22(27)11-14-29(23,28)7/h8,18-20,22-25,32H,9-17H2,1-7H3",VLFUANNVMXKBPF-UHFFFAOYSA-N,,凌霄花化学成分
7,"23-hydroxyursolic 
acid",,C30H48O4,472.69972,94414-19-4,三萜,C[C@@H]1CC[C@]2(C(O)=O)CC[C@]3(C)C([C@@H]2[C@H]1C)=CC[C@H]4[C@@]3(C)CC[C@@H]5[C@]4(C)CC[C@H](O)[C@]5(CO)C,"InChI=1S/C30H48O4/c1-18-9-14-30(25(33)34)16-15-28(5)20(24(30)19(18)2)7-8-22-26(3)12-11-23(32)27(4,17-31)21(26)10-13-29(22,28)6/h7,18-19,21-24,31-32H,8-17H2,1-6H3,(H,33,34)/t18-,19+,21-,22-,23+,24+,26+,27+,28-,29-,30+/m1/s1",NZCULBURCGAPSF-PQWKYGPVSA-N,,凌霄花化学成分
8,"科罗索酸
Corosolic acid
",,C30H48O4,472.7,52213-27-1,三萜,C[C@@H]1CC[C@]2(C(O)=O)CC[C@]3(C)C([C@@H]2[C@H]1C)=CC[C@H]4[C@@]3(C)CC[C@@H]5[C@]4(C)C[C@@H](O)[C@H](O)C5(C)C,"InChI=1S/C30H48O4/c1-17-10-13-30(25(33)34)15-14-28(6)19(23(30)18(17)2)8-9-22-27(5)16-20(31)24(32)26(3,4)21(27)11-12-29(22,28)7/h8,17-18,20-24,31-32H,9-16H2,1-7H3,(H,33,34)/t17-,18+,20-,21+,22-,23+,24+,27+,28-,29-,30+/m1/s1",HFGSQOYIOKBQOW-ZSDYHTTISA-N,,凌霄花化学成分
9,"α-香树脂醇
α-amyrin
",,C30H50O,426.717,5937-48-4,三萜,C[C@@H]1CC[C@]2(C)CC[C@]3(C)C([C@@H]2[C@H]1C)=CC[C@H]4[C@@]3(C)CC[C@@H]5[C@]4(C)CC[C@@H](O)C5(C)C,"InChI=1S/C30H50O/c1-19-11-14-27(5)17-18-29(7)21(25(27)20(19)2)9-10-23-28(6)15-13-24(31)26(3,4)22(28)12-16-30(23,29)8/h9,19-20,22-25,31H,10-18H2,1-8H3/t19-,20+,22+,23-,24-,25+,27-,28+,29-,30-/m1/s1",FSLPMRQHCOLESF-ACUMZOKISA-N,,凌霄花化学成分
10,"委陵菜酸
Tormentic acid
",,C30H48O5,488.699,13850-16-3,三萜,C[C@@H]1CC[C@]2(C(O)=O)CC[C@]3(C)C([C@@H]2[C@@]1(O)C)=CC[C@H]4[C@@]3(C)CC[C@@H]5[C@]4(C)C[C@@H](O)[C@H](O)C5(C)C,"InChI=1S/C30H48O5/c1-17-10-13-30(24(33)34)15-14-27(5)18(22(30)29(17,7)35)8-9-21-26(4)16-19(31)23(32)25(2,3)20(26)11-12-28(21,27)6/h8,17,19-23,31-32,35H,9-16H2,1-7H3,(H,33,34)/t17-,19-,20+,21-,22-,23+,26+,27-,28-,29-,30+/m1/s1",OXVUXGFZHDKYLS-BLIWDXROSA-N,,凌霄花化学成分
