编号,名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材
QJZ-001,/,Euphornin A,/,642.75,C38H42O9,,萜类,O=C(O[C@@H]1[C@@]([C@@H](OC(C)=O)C([C@@H](OC(C2=CC=CC=C2)=O)C[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C4=O)=C)([H])[C@]4(OC(C)=O)C[C@@H]1C)C5=CC=CC=C5,"InChI=1S/C38H42O9/c1-21-18-28-29(37(28,6)7)19-30(45-35(42)26-14-10-8-11-15-26)23(3)33(44-24(4)39)31-32(46-36(43)27-16-12-9-13-17-27)22(2)20-38(31,34(21)41)47-25(5)40/h8-18,22,28-33H,3,19-20H2,1-2,4-7H3/b21-18+/t22-,28+,29-,30-,31+,32-,33-,38+/m0/s1",AFRGWGGHJYMSDU-HQYMUBRJSA-N,千金子
QJZ-002,/,Euphornin B,/,642.75,C38H42O9,,萜类,O=C(O[C@@H]1[C@@]([C@@H](OC(C)=O)C([C@@H](OC(C2=CC=CC=C2)=O)C[C@@](C3(C)C)([H])[C@]3([H])/C=C(C)/C4=O)=C)([H])[C@]4(OC(C)=O)C[C@@H]1C)C5=CC=CC=C5,"InChI=1S/C38H42O9/c1-21-18-28-29(37(28,6)7)19-30(45-35(42)26-14-10-8-11-15-26)23(3)33(44-24(4)39)31-32(46-36(43)27-16-12-9-13-17-27)22(2)20-38(31,34(21)41)47-25(5)40/h8-18,22,28-33H,3,19-20H2,1-2,4-7H3/b21-18+/t22-,28-,29-,30-,31+,32-,33-,38+/m0/s1",AFRGWGGHJYMSDU-VJWICQTNSA-N,千金子
QJZ-003,/,Euphornin C,/,642.75,C38H42O9,,萜类,O=C(O[C@@H]1[C@@]([C@@H](OC(C)=O)C([C@@H](OC(C2=CC=CC=C2)=O)C[C@@](C3(C)C)([H])[C@]3([H])/C=C(C)/C4=O)=C)([H])[C@]4(OC(C)=O)C[C@@H]1C)C5=CC=CC=C5,"InChI=1S/C38H42O9/c1-21-18-28-29(37(28,6)7)19-30(45-35(42)26-14-10-8-11-15-26)23(3)33(44-24(4)39)31-32(46-36(43)27-16-12-9-13-17-27)22(2)20-38(31,34(21)41)47-25(5)40/h8-18,22,28-33H,3,19-20H2,1-2,4-7H3/b21-18+/t22-,28-,29-,30-,31+,32-,33-,38+/m0/s1",AFRGWGGHJYMSDU-VJWICQTNSA-N,千金子
QJZ-004,/,Euphornin D,/,558.67,C34H38O7,,萜类,O=C(O[C@@H]1[C@@]([C@@H](O)C([C@@H](OC(C2=CC=CC=C2)=O)C[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C4=O)=C)([H])[C@]4(O)C[C@@H]1C)C5=CC=CC=C5,"InChI=1S/C34H38O7/c1-19-16-24-25(33(24,4)5)17-26(40-31(37)22-12-8-6-9-13-22)21(3)28(35)27-29(20(2)18-34(27,39)30(19)36)41-32(38)23-14-10-7-11-15-23/h6-16,20,24-29,35,39H,3,17-18H2,1-2,4-5H3/b19-16+/t20-,24+,25-,26-,27-,28-,29-,34+/m0/s1",ZMNHZBLPHKUOCL-ZLRZCHFPSA-N,千金子
QJZ-005,/,Euphornin E,/,570.68,C32H42O9,,萜类,O=C(O[C@@H]1[C@]([H])([C@@H](OC(C)=O)[C@@](CC[C@@]2([H])[C@@]3([H])[C@@H](O)C2(C)C)(O)C[C@@]3(C)C4=O)[C@]4(OC(C)=O)C[C@@H]1C)CC5=CC=CC=C5,"InChI=1S/C32H42O9/c1-17-15-32(41-19(3)34)24(25(17)40-22(35)14-20-10-8-7-9-11-20)27(39-18(2)33)31(38)13-12-21-23(26(36)29(21,4)5)30(6,16-31)28(32)37/h7-11,17,21,23-27,36,38H,12-16H2,1-6H3/t17-,21-,23-,24+,25-,26+,27+,30+,31-,32+/m0/s1",KEMVMEFYQHAJPB-XTIUZVTHSA-N,千金子
QJZ-006,/,euplarisans A,/,523.63,C30H37O7,,萜类,O=C(O[C@@H]1[C@@](/C=C(COC(C)=O)\CC[C@@](C2(C)C)([H])[C@@]2([H])/C=C(C)/C3=O)([H])[C@]3(OC(C)=O)C[C@@H]1C)C4=CC=CN=C4,"InChI=1S/C30H37NO7/c1-17-12-24-23(29(24,5)6)10-9-21(16-36-19(3)32)13-25-26(37-28(35)22-8-7-11-31-15-22)18(2)14-30(25,27(17)34)38-20(4)33/h7-8,11-13,15,18,23-26H,9-10,14,16H2,1-6H3/b17-12+,21-13+/t18-,23-,24+,25-,26-,30+/m0/s1",RXRBPDLZCYZJSR-UYNYFSGESA-N,千金子
QJZ-007,/,euplarisans B,/,480.6,C29H36O6,,萜类,O=C(O[C@@H]1[C@@](/C=C(CO)\C([H])C[C@@](C2(C)C)([H])[C@@]2([H])/C=C(C)/C3=O)([H])[C@]3(OC(C)=O)C[C@@H]1C)C4=CC=CC=C4,"InChI=1S/C29H36O6/c1-17-13-23-22(28(23,4)5)12-11-20(16-30)14-24-25(34-27(33)21-9-7-6-8-10-21)18(2)15-29(24,26(17)32)35-19(3)31/h6-10,13-14,18,22-25,30H,11-12,15-16H2,1-5H3/b17-13+,20-14+/t18-,22-,23+,24-,25-,29+/m0/s1",OPDKEOYCNVZZFC-YAGDOOEQSA-N,千金子
QJZ-008,/,euplarisans C,/,580.67,C33H40O9,,萜类,O=C(O[C@@H]1[C@@](/C=C(COC(C)=O)\[C@H](OC(C)=O)C[C@@](C2(C)C)([H])[C@@]2([H])/C=C(C)/C3=O)([H])[C@]3(OC(C)=O)C[C@@H]1C)C4=CC=CC=C4,"InChI=1S/C33H40O9/c1-18-13-25-26(32(25,6)7)15-28(40-21(4)35)24(17-39-20(3)34)14-27-29(41-31(38)23-11-9-8-10-12-23)19(2)16-33(27,30(18)37)42-22(5)36/h8-14,19,25-29H,15-17H2,1-7H3/b18-13+,24-14-/t19-,25+,26-,27-,28+,29-,33+/m0/s1",YEFKKGRJCNGUOF-VTNSPCDQSA-N,千金子
QJZ-009,/,euplarisans E,/,538.64,C31H38O8,,萜类,O=C(O[C@@H]1[C@]([H])([C@@H](OC(C)=O)/C(CO)=C\C[C@](C2(C)C)([H])[C@@]2([H])/C=C(C)\C3=O)[C@]3(OC(C)=O)C[C@@H]1C)C4=CC=CC=C4,"InChI=1S/C31H38O8/c1-17-14-24-23(30(24,5)6)13-12-22(16-32)27(37-19(3)33)25-26(38-29(36)21-10-8-7-9-11-21)18(2)15-31(25,28(17)35)39-20(4)34/h7-12,14,18,23-27,32H,13,15-16H2,1-6H3/b17-14-,22-12-/t18-,23+,24+,25+,26-,27-,31+/m0/s1",YLLBXYRNXBAADG-ZCLKNFQTSA-N,千金子
QJZ-010,/,euplarisans F,/,642.75,C38H42O9,,萜类,O=C(O[C@@H]1[C@]([H])([C@@H](OC(C)=O)/C(COC(C2=CC=CC=C2)=O)=C\C[C@](C3(C)C)([H])[C@@]3([H])/C=C(C)\C4=O)[C@]4(OC(C)=O)C[C@@H]1C)C5=CC=CC=C5,"InChI=1S/C38H42O9/c1-22-19-30-29(37(30,5)6)18-17-28(21-44-35(42)26-13-9-7-10-14-26)33(45-24(3)39)31-32(46-36(43)27-15-11-8-12-16-27)23(2)20-38(31,34(22)41)47-25(4)40/h7-17,19,23,29-33H,18,20-21H2,1-6H3/b22-19-,28-17-/t23-,29+,30+,31+,32-,33-,38+/m0/s1",UWIACYLABHOMJR-YWQQPPFFSA-N,千金子
QJZ-011,/,euplarisans G,/,581.66,C32H39O9,,萜类,O=C(O[C@@H]1[C@@]([C@@H](OC(C)=O)/C(COC(C)=O)=C/C[C@@](C2(C)C)([H])[C@@]2([H])/C=C(C)/C3=O)([H])[C@]3(OC(C)=O)C[C@@H]1C)C4=CC=CN=C4,"InChI=1S/C32H39NO9/c1-17-13-25-24(31(25,6)7)11-10-23(16-39-19(3)34)28(40-20(4)35)26-27(41-30(38)22-9-8-12-33-15-22)18(2)14-32(26,29(17)37)42-21(5)36/h8-10,12-13,15,18,24-28H,11,14,16H2,1-7H3/b17-13+,23-10+/t18-,24-,25+,26+,27-,28-,32+/m0/s1",GKNCYFGAMBHBJX-FPVINUOJSA-N,千金子
QJZ-012,/,euplarisans H,/,552.66,C32H40O8,,萜类,O=C(O[C@@H]1[C@]([H])([C@@H](OC(C)=O)[C@@](CC[C@@]2([H])[C@]3([H])C2(C)C)(CO4)[C@]3([H])[C@@]4(C)C5=O)[C@]5(OC(C)=O)C[C@@H]1C)CC6=CC=CC=C6,"InChI=1S/C32H40O8/c1-17-15-32(40-19(3)34)24(25(17)39-22(35)14-20-10-8-7-9-11-20)27(38-18(2)33)31-13-12-21-23(29(21,4)5)26(31)30(6,28(32)36)37-16-31/h7-11,17,21,23-27H,12-16H2,1-6H3/t17-,21-,23-,24+,25-,26-,27+,30-,31-,32+/m0/s1",DACUBTHAHCADTJ-RTPPRBPYSA-N,千金子
QJZ-013,/,euplarisans J,/,580.67,C33H40O9,,萜类,C[C@@H]1[C@H](OC(C2=CC=CC=C2)=O)[C@@]([C@@H](OC(C)=O)C([C@@H](OC(C)=O)C[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C4=O)=C)([H])[C@]4(OC(C)=O)C1,"InChI=1S/C33H40O9/c1-17-14-24-25(32(24,7)8)15-26(39-20(4)34)19(3)29(40-21(5)35)27-28(41-31(38)23-12-10-9-11-13-23)18(2)16-33(27,30(17)37)42-22(6)36/h9-14,18,24-29H,3,15-16H2,1-2,4-8H3/b17-14+/t18-,24+,25-,26-,27+,28-,29-,33+/m0/s1",PTSHQWKMFOMIER-MIVDMJLNSA-N,千金子
QJZ-014,/,euplarisans K,/,568.66,C32H42O9,,萜类,O=C(O[C@@H]1[C@@]([C@@H](OC(C)=O)[C@@]2(CO2)CC[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C4=O)([H])[C@]4(OC(C)=O)C[C@@H]1C)CC5=CC=C(O)C=C5,"InChI=1S/C32H40O9/c1-17-13-24-23(30(24,5)6)11-12-31(16-38-31)29(39-19(3)33)26-27(18(2)15-32(26,28(17)37)41-20(4)34)40-25(36)14-21-7-9-22(35)10-8-21/h7-10,13,18,23-24,26-27,29,35H,11-12,14-16H2,1-6H3/b17-13+/t18-,23-,24+,26+,27-,29+,31-,32+/m0/s1",GNGQUCPOZRICTK-MHZGYTBXSA-N,千金子
QJZ-015,/,euplarisans L,/,510.63,C32H40O8,,萜类,C[C@@H]1[C@H](OC(CC2=CC=CC=C2)=O)[C@@]([C@@H](O)[C@@]3(CO3)CC[C@@](C4(C)C)([H])[C@@]4([H])/C=C(C)/C5=O)([H])[C@]5(OC(C)=O)C1,"InChI=1S/C30H38O7/c1-17-13-22-21(28(22,4)5)11-12-29(16-35-29)27(34)24-25(36-23(32)14-20-9-7-6-8-10-20)18(2)15-30(24,26(17)33)37-19(3)31/h6-10,13,18,21-22,24-25,27,34H,11-12,14-16H2,1-5H3/b17-13+/t18-,21-,22+,24+,25-,27+,29-,30+/m0/s1",PVPOOBYGMMEPJG-SVBCGKPCSA-N,千金子
QJZ-016,大戟因子L1,Euphorbia factor L1,76376-43-7,552.27,C32H40O8,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](OC(C)=O)[C@]3(OC3)CC[C@@](C4(C)C)([H])[C@@]4([H])/C=C(C)/C2=O)([H])[C@H]1OC(CC5=CC=CC=C5)=O,"InChI=1S/C32H40O8/c1-18-14-24-23(30(24,5)6)12-13-31(17-37-31)29(38-20(3)33)26-27(39-25(35)15-22-10-8-7-9-11-22)19(2)16-32(26,28(18)36)40-21(4)34/h7-11,14,19,23-24,26-27,29H,12-13,15-17H2,1-6H3/b18-14+/t19-,23-,24+,26+,27-,29+,31-,32+/m0/s1",SDGDWRYYHQOQOJ-QZVJJNCDSA-N,千金子
QJZ-017,大戟因子L2,Euphorbia factor L2,218916-51-9,656.77,C39H44O9,,萜类,CC1(C)[C@@]2([H])C[C@H](OC(C3=CC=CC=C3)=O)C([C@H](OC(C)=O)[C@]4(C)[C@](C(/C(C)=C/[C@]21[H])=O)(OC(C)=O)C[C@H](C)[C@@H]4OC(C5=CC=CC=C5)=O)=C,"InChI=1S/C39H44O9/c1-22-19-29-30(37(29,6)7)20-31(46-35(43)27-15-11-9-12-16-27)24(3)34(45-25(4)40)38(8)33(47-36(44)28-17-13-10-14-18-28)23(2)21-39(38,32(22)42)48-26(5)41/h9-19,23,29-31,33-34H,3,20-21H2,1-2,4-8H3/b22-19+/t23-,29+,30-,31-,33-,34-,38+,39-/m0/s1",KWWXQLWVUDTNGR-KKRILNJZSA-N,千金子
QJZ-018,大戟因子L3,Euphorbia factor L3,218916-52-0,522.26,C31H38O7,,萜类,CC1(C)[C@@]2([H])C[C@H](OC(C3=CC=CC=C3)=O)C([C@H](OC(C)=O)[C@]4(C)[C@](C(/C(C)=C/[C@]21[H])=O)(OC(C)=O)C[C@H](C)[C@@H]4OC(C5=CC=CC=C5)=O)=C,"InChI=1S/C39H44O9/c1-22-19-29-30(37(29,6)7)20-31(46-35(43)27-15-11-9-12-16-27)24(3)34(45-25(4)40)38(8)33(47-36(44)28-17-13-10-14-18-28)23(2)21-39(38,32(22)42)48-26(5)41/h9-19,23,29-31,33-34H,3,20-21H2,1-2,4-8H3/b22-19+/t23-,29+,30-,31-,33-,34-,38+,39-/m0/s1",KWWXQLWVUDTNGR-KKRILNJZSA-N,千金子
QJZ-019,大戟因子L4,Euphorbia factor L4,/,586.42,C36H58O6,,萜类,CC1=C[C@@]23[C@@]([C@H](O)C(COC(CCCCCCCCCCCCCCC)=O)=C[C@@H](C(C4(C)C)C4C[C@H]3C)C2=O)(O)[C@H]1O,"InChI=1S/C36H58O6/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-29(37)42-23-26-21-27-30-28(34(30,4)5)20-25(3)35(33(27)40)22-24(2)31(38)36(35,41)32(26)39/h21-22,25,27-28,30-32,38-39,41H,6-20,23H2,1-5H3/t25-,27+,28?,30?,31+,32-,35+,36-/m1/s1",DSTCZBGJCUOFLM-COECVNONSA-N,千金子
QJZ-020,大戟因子L5,Euphorbia factor L5,/,586.42,C36H58O6,,萜类,CC1=C[C@@]23[C@@]([C@H](O)C(COC(CCCCCCCCCCCCCCC)=O)=C[C@@H](C(C4(C)C)C4C[C@H]3C)C2=O)(O)[C@H]1O,"InChI=1S/C36H58O6/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-29(37)42-23-26-21-27-30-28(34(30,4)5)20-25(3)35(33(27)40)22-24(2)31(38)36(35,41)32(26)39/h21-22,25,27-28,30-32,38-39,41H,6-20,23H2,1-5H3/t25-,27+,28?,30?,31+,32-,35+,36-/m1/s1",DSTCZBGJCUOFLM-COECVNONSA-N,千金子
QJZ-021,大戟因子L6,Euphorbia factor L6,/,548.31,C34H44O6,,萜类,CC1=C[C@@]23[C@@]([C@H](O)C(CO)=C[C@@H](C(C4(C)C)C4C[C@H]3C)C2=O)(O)[C@H]1OC(C=CC=CC=CC=CC=CCCC)=O,"InChI=1S/C34H44O6/c1-6-7-8-9-10-11-12-13-14-15-16-17-27(36)40-31-22(2)20-33-23(3)18-26-28(32(26,4)5)25(30(33)38)19-24(21-35)29(37)34(31,33)39/h8-17,19-20,23,25-26,28-29,31,35,37,39H,6-7,18,21H2,1-5H3/t23-,25+,26?,28?,29-,31?,33+,34+/m1/s1",XFAWWGCMJACTJT-IRRCVDQRSA-N,千金子
QJZ-022,大戟因子L7,Euphorbia factor L7a,93550-94-8,550.29,C33H42O7,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@](CC(COC(C)=O)CC[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)([H])[C@H]1OC(/C=C/C4=CC=CC=C4)=O,"InChI=1S/C33H42O7/c1-20-16-27-26(32(27,5)6)14-12-25(19-38-22(3)34)17-28-30(21(2)18-33(28,31(20)37)40-23(4)35)39-29(36)15-13-24-10-8-7-9-11-24/h7-11,13,15-16,21,25-28,30H,12,14,17-19H2,1-6H3/b15-13+,20-16+/t21-,25?,26-,27+,28-,30-,33+/m0/s1",HBNAIBGQEANCPA-KETRSYMZSA-N,千金子
QJZ-023,大戟因子L8,Euphorbia factor L8,/,523.26,C30H37NO7,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](OC(C)=O)C(CC[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)=C)([H])[C@H]1OC(C4=CC=CN=C4)=O,"InChI=1S/C30H37NO7/c1-16-10-11-22-23(29(22,6)7)13-17(2)27(34)30(38-20(5)33)14-18(3)26(24(30)25(16)36-19(4)32)37-28(35)21-9-8-12-31-15-21/h8-9,12-13,15,18,22-26H,1,10-11,14H2,2-7H3/b17-13+/t18-,22-,23+,24-,25-,26-,30+/m0/s1",PJHBZROILRCFRB-RBZGWYANSA-N,千金子
QJZ-024,大戟因子L9,Euphorbia factor L9,129393-28-8,643.28,C37H41NO9,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](OC(C)=O)C([C@@H](OC(C3=CC=CN=C3)=O)C[C@@](C4(C)C)([H])[C@@]4([H])/C=C(C)/C2=O)=C)([H])[C@H]1OC(C5=CC=CC=C5)=O,"InChI=1S/C37H41NO9/c1-20-16-27-28(36(27,6)7)17-29(45-35(43)26-14-11-15-38-19-26)22(3)32(44-23(4)39)30-31(46-34(42)25-12-9-8-10-13-25)21(2)18-37(30,33(20)41)47-24(5)40/h8-16,19,21,27-32H,3,17-18H2,1-2,4-7H3/b20-16+/t21-,27+,28-,29-,30+,31-,32-,37+/m0/s1",KJVZJVTXTSJYTG-RNCIUFRCSA-N,千金子
QJZ-025,大戟因子L10,Euphorbia factor L10,/,502.29,C29H42O7,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@](/C=C(CO)\CC[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)([H])[C@H]1OC(C(CCCCC)=O)=O,"InChI=1S/C29H42O7/c1-7-8-9-10-24(32)27(34)35-25-18(3)15-29(36-19(4)31)23(25)14-20(16-30)11-12-21-22(28(21,5)6)13-17(2)26(29)33/h13-14,18,21-23,25,30H,7-12,15-16H2,1-6H3/b17-13+,20-14+/t18-,21-,22+,23-,25-,29+/m0/s1",VAPIOXNDYGTYGW-KJUXZIHXSA-N,千金子
QJZ-026,大戟因子L11,Euphorbia factor L11,/,600.27,C36H40O8,,萜类,C[C@H]1C[C@@]2(O)[C@]([C@@H](OC(C)=O)C([C@@H](OC(C3=CC=CC=C3)=O)C[C@@](C4(C)C)([H])[C@@]4([H])/C=C(C)/C2=O)=C)([H])[C@H]1OC(C5=CC=CC=C5)=O,"InChI=1S/C36H40O8/c1-20-17-26-27(35(26,5)6)18-28(43-33(39)24-13-9-7-10-14-24)22(3)31(42-23(4)37)29-30(21(2)19-36(29,41)32(20)38)44-34(40)25-15-11-8-12-16-25/h7-17,21,26-31,41H,3,18-19H2,1-2,4-6H3/b20-17+/t21-,26+,27-,28-,29+,30-,31-,36+/m0/s1",NELSZIWJYBGDFE-GTXNWLRFSA-N,千金子
QJZ-027,大戟因子L12,Euphorbia factor L12,/,480.25,C29H36O6,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@H](O3)[C@@]3(C)CC[C@@](C4(C)C)([H])[C@@]4([H])/C=C(C)/C2=O)([H])[C@H]1OC(C5=CC=CC=C5)=O,"InChI=1S/C29H36O6/c1-16-14-21-20(27(21,4)5)12-13-28(6)25(35-28)22-23(33-26(32)19-10-8-7-9-11-19)17(2)15-29(22,24(16)31)34-18(3)30/h7-11,14,17,20-23,25H,12-13,15H2,1-6H3/b16-14+/t17-,20-,21+,22+,23-,25-,28+,29+/m0/s1",LDPYFVODKJALRT-PNBSJNBFSA-N,千金子
QJZ-028,大戟因子L13,Euphorbia factor L13,/,494.27,C30H38O6,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@H](O3)[C@@]3(C)CC[C@@](C4(C)C)([H])[C@@]4([H])/C=C(C)/C2=O)([H])[C@H]1OC(CC5=CC=CC=C5)=O,"InChI=1S/C30H38O6/c1-17-14-22-21(28(22,4)5)12-13-29(6)27(36-29)24-25(34-23(32)15-20-10-8-7-9-11-20)18(2)16-30(24,26(17)33)35-19(3)31/h7-11,14,18,21-22,24-25,27H,12-13,15-16H2,1-6H3/b17-14+/t18-,21-,22+,24+,25-,27-,29+,30+/m0/s1",LDXSJNYVUSWVFH-WIPKOTHDSA-N,千金子
QJZ-029,大戟因子L14,Euphorbia factor L14,/,642.28,C38H42O9,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](OC(C)=O)C([C@@H](OC(C3=CC=CC=C3)=O)C[C@@](C4(C)C)([H])[C@@]4([H])/C=C(C)/C2=O)=C)([H])[C@H]1OC(C5=CC=CC=C5)=O,"InChI=1S/C38H42O9/c1-21-18-28-29(37(28,6)7)19-30(45-35(42)26-14-10-8-11-15-26)23(3)33(44-24(4)39)31-32(46-36(43)27-16-12-9-13-17-27)22(2)20-38(31,34(21)41)47-25(5)40/h8-18,22,28-33H,3,19-20H2,1-2,4-7H3/b21-18+/t22-,28+,29-,30-,31+,32-,33-,38+/m0/s1",AFRGWGGHJYMSDU-HQYMUBRJSA-N,千金子
