编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,smiles,inchi,inchikey,药材名称
BZL-001,,Barbaolide A,/,497.5700,C28H35NO7,,二萜,,,,半枝莲
BZL-002,,Barbaolide B,/,646.7160,C36H42N2O9,,二萜,,,,半枝莲
BZL-003,,Barbaolide C,/,583.6580,C32H41NO9,,二萜,,,,半枝莲
BZL-004,,Barbaolide D,/,583.6580,C32H41NO9,,二萜,,,,半枝莲
BZL-005,,Barbaolide E,/,462.5640,C26H38O7,,二萜,,,,半枝莲
BZL-006,,Barbaolide F,/,462.5640,C26H38O7,,二萜,,,,半枝莲
BZL-007,,Barbaolide G,/,470.5420,C27H34O7,,二萜,,,,半枝莲
BZL-008,,Barbaolide H,/,512.5780,C29H36O8,,二萜,,,,半枝莲
BZL-009,,Barbaolide I,/,555.6060,C30H37NO9,,二萜,,,,半枝莲
BZL-010,,Barbaolide J,/,455.5340,C26H33NO6,,二萜,,,,半枝莲
BZL-011,,Barbaolide K,/,618.6640,C34H38N2O9,,二萜,,,,半枝莲
BZL-012,,Barbaolide L,/,481.5700,C28H35NO6,,二萜,,,,半枝莲
BZL-013,,Barbaolide M,/,516.6100,C29H40O8,,二萜,,,,半枝莲
BZL-014,,Barbatin A,/,574.6440,C34H38O8,,二萜,CC1=CCC[C@@]2(C)[C@@]1(C)[C@@]([H])(OC(C3=CC=CC=C3)=O)[C@@](O)([H])[C@@]4(C)[C@@H]2[C@@H](OC(C5=CC=CC=C5)=O)C[C@]6(COC(C6)=O)O4,"InChI=1S/C34H38O8/c1-21-12-11-17-31(2)26-24(40-29(37)22-13-7-5-8-14-22)18-34(19-25(35)39-20-34)42-33(26,4)27(36)28(32(21,31)3)41-30(38)23-15-9-6-10-16-23/h5-10,12-16,24,26-28,36H,11,17-20H2,1-4H3/t24-,26+,27-,28-,31+,32+,33+,34-/m0/s1",MKTJFCAKZSIMSM-KEXHBWIDSA-N,半枝莲
BZL-015,,Barbatin B,/,574.6440,C34H38O8,,二萜,C=C1CCC[C@@]2([H])[C@@]1(C)[C@@]([H])(OC(C3=CC=CC=C3)=O)[C@@](OC(C4=CC=CC=C4)=O)([H])[C@@]5(C)[C@]2(C)[C@@H](O)C[C@]6(COC(C6)=O)O5,"InChI=1S/C34H38O8/c1-21-12-11-17-24-31(21,2)27(40-29(37)22-13-7-5-8-14-22)28(41-30(38)23-15-9-6-10-16-23)33(4)32(24,3)25(35)18-34(42-33)19-26(36)39-20-34/h5-10,13-16,24-25,27-28,35H,1,11-12,17-20H2,2-4H3/t24-,25-,27-,28-,31-,32-,33-,34-/m0/s1",XDBXJSPSWNIIHW-RJGRQJGLSA-N,半枝莲
BZL-016,,Barbatin C,/,348.4240,C20H28O5,,二萜,O=C(OC1)C=C1/C=C/[C@@]2(C)[C@](O)(C)[C@](O)([H])[C@]([H])(O)[C@@]3(C)C(C)=CCC[C@@]32[H],"InChI=1S/C20H28O5/c1-12-6-5-7-14-18(2,9-8-13-10-15(21)25-11-13)20(4,24)17(23)16(22)19(12,14)3/h6,8-10,14,16-17,22-24H,5,7,11H2,1-4H3/b9-8+/t14-,16+,17+,18-,19+,20+/m1/s1",RVXNORLERZFOTB-RMVVWZLHSA-N,半枝莲
BZL-017,,Barbatin D,/,556.6280,C34H36O7,,二萜,,,,半枝莲
BZL-018,,Barbatin E,/,588.6720,C32H44O10,,二萜,,,,半枝莲
