编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,分类,smiles,inchi,inchikey,药材名称
JB-001,芹菜素,apigenin,520-36-5,270.24,C15H10O5,,黄酮类,O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,卷柏
JB-002,槲皮素,quercetin,117-39-5,302.24,C15H10O7,,黄酮类,O=C1C(O)=C(C2=CC(O)=C(O)C=C2)OC3=C1C(O)=CC(O)=C3,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,卷柏
JB-003,芫花素,genkwanin,437-64-9,284.268,C16H12O5,,黄酮类,O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(OC)=C3,"InChI=1S/C16H12O5/c1-20-11-6-12(18)16-13(19)8-14(21-15(16)7-11)9-2-4-10(17)5-3-9/h2-8,17-18H,1H3",JPMYFOBNRRGFNO-UHFFFAOYSA-N,卷柏
JB-004,木犀草素,luteolin,491-70-3,286.23,C15H10O6,,黄酮类,OC(C=C1OC(C2=CC(O)=C(O)C=C2)=C3)=CC(O)=C1C3=O,"InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H",IQPNAANSBPBGFQ-UHFFFAOYSA-N,卷柏
JB-005,"芹菜素-6,8-二-c-β-葡萄糖苷","apigenin-6,8-c-β-glucopyranoside",23666-13-9,594.5181,C27H30O15,,黄酮类,O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=C(C4OC(C(C(C4O)O)O)CO)C(O)=C3C5OC(C(C(C5O)O)O)CO,"InChI=1S/C27H30O15/c28-6-12-17(32)21(36)23(38)26(41-12)15-19(34)14-10(31)5-11(8-1-3-9(30)4-2-8)40-25(14)16(20(15)35)27-24(39)22(37)18(33)13(7-29)42-27/h1-5,12-13,17-18,21-24,26-30,32-39H,6-7H2",FIAAVMJLAGNUKW-UHFFFAOYSA-N,卷柏
JB-006,槲皮素-3-O-α-L-鼠李糖苷,quercetin-3-O-α-L-rhamnopyranoside,64543-29-9,464.376,C21H20O12,,黄酮类,O=C1C(OC2OC(C(C(C2O)O)O)C)=C(C3=CC(O)=C(O)C=C3)OC4=CC(O)=C(C(O)=C14)O,"InChI=1S/C21H20O12/c1-6-13(25)17(29)18(30)21(31-6)33-20-16(28)12-11(5-10(24)14(26)15(12)27)32-19(20)7-2-3-8(22)9(23)4-7/h2-6,13,17-18,21-27,29-30H,1H3",VYOQGRXSRQMRAZ-UHFFFAOYSA-N,卷柏
JB-007,山奈酚-3-O-α-L-鼠李糖苷,kaempferol-3-O-α-L-rhamnopyranoside,1473419-87-2,594.52,C27H30O15,,黄酮类,O=C1C(OC2OC(C(C(C2O)OC3OC(C(C(C3O)O)O)CO)O)C)=C(C4=CC=C(O)C=C4)OC5=C1C(O)=CC(O)=C5,"InChI=1S/C27H30O15/c1-9-17(32)24(41-26-21(36)20(35)18(33)15(8-28)40-26)22(37)27(38-9)42-25-19(34)16-13(31)6-12(30)7-14(16)39-23(25)10-2-4-11(29)5-3-10/h2-7,9,15,17-18,20-22,24,26-33,35-37H,8H2,1H3",JAQAIBSNJJWIKR-UHFFFAOYSA-N,卷柏
JB-008,"6,8-二-C-β-D-吡喃葡萄糖基芹菜素","6,8-di-C-β-D-glucopyranosyl apigenin",23666-13-9,594.52,C27H30O15,,黄酮类,OC1=C([C@@H]2O[C@@H]([C@H]([C@@H]([C@H]2O)O)O)CO)C(O)=C(C(C=C(C3=CC=C(C=C3)O)O4)=O)C4=C1[C@@H]5O[C@@H]([C@H]([C@@H]([C@H]5O)O)O)CO,"InChI=1S/C27H30O15/c28-6-12-17(32)21(36)23(38)26(41-12)15-19(34)14-10(31)5-11(8-1-3-9(30)4-2-8)40-25(14)16(20(15)35)27-24(39)22(37)18(33)13(7-29)42-27/h1-5,12-13,17-18,21-24,26-30,32-39H,6-7H2/t12-,13-,17-,18-,21+,22+,23-,24-,26+,27+/m1/s1",FIAAVMJLAGNUKW-VQVVXJKKSA-N,卷柏
JB-009,漆树黄酮,sumaflavone,528-48-3,286.2363,C15H10O6,,黄酮类,O=C1C(O)=C(C2=CC(O)=C(O)C=C2)OC3=CC(O)=CC=C13,"InChI=1S/C15H10O6/c16-8-2-3-9-12(6-8)21-15(14(20)13(9)19)7-1-4-10(17)11(18)5-7/h1-6,16-18,20H",XHEFDIBZLJXQHF-UHFFFAOYSA-N,卷柏
JB-010,柳杉黄素 B,cryptomerin B,22012-98-2,566.51,C32H22O10,,黄酮类,COC1=CC=C(C2=CC(C3=C(O)C(OC4=CC=C(C5=CC(C6=C(O)C=C(O)C=C6O5)=O)C=C4)=C(OC)C=C3O2)=O)C=C1,"InChI=1S/C32H22O10/c1-38-19-7-3-16(4-8-19)25-14-23(36)30-27(42-25)15-28(39-2)32(31(30)37)40-20-9-5-17(6-10-20)24-13-22(35)29-21(34)11-18(33)12-26(29)41-24/h3-15,33-34,37H,1-2H3",XLXOFHHXAZAIHM-UHFFFAOYSA-N,卷柏
