编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey,药材名称
ILCH-001,洋芹素,Apigenin,520-36-5,270.2400 ,C15H10O5,,黄酮,O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,四季青
ILCH-002,槲皮素,Quercetin,117-39-5,302.2380 ,C15H10O7,,黄酮,OC1=C(C2=CC=C(O)C(O)=C2)OC3=C(C(O)=CC(O)=C3)C1=O,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,四季青
ILCH-003,山柰酚,Kaempferol,520-18-3,286.2390 ,C15H10O6,,黄酮,OC1=C(C2=CC=C(O)C=C2)OC3=C(C(O)=CC(O)=C3)C1=O,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,四季青
ILCH-004,山奈素3-O-β-D-半乳糖苷,Kaempferol 3-O-galactoside,23627-87-4,448.3800 ,C21H20O11,,黄酮,O=C1C(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)=C(C3=CC=C(O)C=C3)OC4=C1C(O)=CC(O)=C4,"InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2/t13-,15+,17+,18-,21+/m1/s1",JPUKWEQWGBDDQB-DTGCRPNFSA-N,四季青
ILCH-005,紫云英苷,Astragalin,480-10-4,448.3800 ,C21H20O11,,黄酮,O=C1C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C(C3=CC=C(O)C=C3)OC4=CC(O)=CC(O)=C14,"InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2/t13-,15-,17+,18-,21+/m1/s1",JPUKWEQWGBDDQB-QSOFNFLRSA-N,四季青
ILCH-006,23-羟基乌索酸,23-hydroxyursolic acid,94414-19-4,472.7100 ,C30H48O4,,三萜,C[C@@]12CC[C@@]3([H])[C@@](CO)(C)[C@@H](O)CC[C@]3(C)[C@@]1([H])CC=C4[C@]5([H])[C@@H](C)[C@H](C)CC[C@@](C(O)=O)5CC[C@@]24C,"InChI=1S/C30H48O4/c1-18-9-14-30(25(33)34)16-15-28(5)20(24(30)19(18)2)7-8-22-26(3)12-11-23(32)27(4,17-31)21(26)10-13-29(22,28)6/h7,18-19,21-24,31-32H,8-17H2,1-6H3,(H,33,34)/t18-,19+,21-,22-,23+,24+,26+,27+,28-,29-,30+/m1/s1",NZCULBURCGAPSF-PQWKYGPVSA-N,四季青
ILCH-007,积雪草酸,Asiatic acid,464-92-6,488.7090 ,C30H48O5,,三萜,[H][C@]12[C@@](CO)(C)[C@@H](O)[C@H](O)C[C@]1(C)[C@@]3([H])CC=C4[C@]5([H])[C@@H](C)[C@H](C)CC[C@@](C(O)=O)5CC[C@](C)4[C@@](C)3CC2,"InChI=1S/C30H48O5/c1-17-9-12-30(25(34)35)14-13-28(5)19(23(30)18(17)2)7-8-22-26(3)15-20(32)24(33)27(4,16-31)21(26)10-11-29(22,28)6/h7,17-18,20-24,31-33H,8-16H2,1-6H3,(H,34,35)/t17-,18+,20-,21-,22-,23+,24+,26+,27+,28-,29-,30+/m1/s1",JXSVIVRDWWRQRT-UYDOISQJSA-N,四季青
ILCH-008,,"2α,3β,23-trihydroxyurs-12,18-dien-28-oic 
acid",178268-31-0,486.6930 ,C30H46O5,,三萜,[H][C@]12[C@@](CO)(C)[C@@H](O)[C@H](O)C[C@]1(C)[C@@]3([H])CC=C4C5=C(C)[C@H](C)CC[C@@](C(O)=O)5CC[C@](C)4[C@@](C)3CC2,"InChI=1S/C30H46O5/c1-17-9-12-30(25(34)35)14-13-28(5)19(23(30)18(17)2)7-8-22-26(3)15-20(32)24(33)27(4,16-31)21(26)10-11-29(22,28)6/h7,17,20-22,24,31-33H,8-16H2,1-6H3,(H,34,35)/t17-,20-,21-,22-,24+,26+,27+,28-,29-,30+/m1/s1",VGQCVDQJFOPLQF-VENSNSCWSA-N,四季青
ILCH-009,"3β,23-二羟基-12,18-二烯-乌索酸","3β,23-dihydroxyursa-12,18-dien-28-oic acid",121476-45-6,470.6940 ,C30H46O4,,三萜,[H][C@]12[C@@](CO)(C)[C@@H](O)CC[C@]1(C)[C@@]3([H])CC=C4C5=C(C)[C@H](C)CC[C@@](C(O)=O)5CC[C@](C)4[C@@](C)3CC2,"InChI=1S/C30H46O4/c1-18-9-14-30(25(33)34)16-15-28(5)20(24(30)19(18)2)7-8-22-26(3)12-11-23(32)27(4,17-31)21(26)10-13-29(22,28)6/h7,18,21-23,31-32H,8-17H2,1-6H3,(H,33,34)/t18-,21-,22-,23+,26+,27+,28-,29-,30+/m1/s1",INRVYCZOJKUGPC-IUBAMSIYSA-N,四季青
ILCH-010,,Ilexosapogenin A,148031-70-3,488.7090 ,C30H48O5,,三萜,[H][C@]12[C@@](CO)(C)[C@@H](O)CC[C@]1(C)[C@@]3([H])CC=C4[C@]5([H])[C@H](O)C(C)(C)CC[C@@](C(O)=O)5CC[C@](C)4[C@@](C)3CC2,"InChI=1S/C30H48O5/c1-25(2)13-15-30(24(34)35)16-14-28(5)18(22(30)23(25)33)7-8-20-26(3)11-10-21(32)27(4,17-31)19(26)9-12-29(20,28)6/h7,19-23,31-33H,8-17H2,1-6H3,(H,34,35)/t19-,20-,21+,22-,23+,26+,27+,28-,29-,30+/m1/s1",TUOYZAJHBIXONX-UFYILQQBSA-N,四季青
