编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,smiles,inchi,inchikey,药材名称,,
TNX-001,齐墩果酸,Oleanolic acid,508-02-1,456.3603 ,C30H48O3,,三萜,C[C@]12[C@@](CC[C@](CC3)(C(O)=O)[C@@]4([H])CC3(C)C)(C)C4=CC[C@]1([H])[C@](CC[C@H](O)C5(C)C)(C)[C@@]5([H])CC2,"InChI=1S/C30H48O3/c1-25(2)14-16-30(24(32)33)17-15-28(6)19(20(30)18-25)8-9-22-27(5)12-11-23(31)26(3,4)21(27)10-13-29(22,28)7/h8,20-23,31H,9-18H2,1-7H3,(H,32,33)/t20-,21-,22+,23-,27-,28+,29+,30-/m0/s1",MIJYXULNPSFWEK-GTOFXWBISA-N,土牛膝,,
TNX-002,白桦脂酸,Betulinic acid,472-15-1,456.3603 ,C30H48O3,,三萜,OC([C@]1(CC[C@H]2C(C)=C)[C@@]2([H])[C@](CC[C@@]3([H])[C@]4(CC[C@]5([H])[C@@]3(CC[C@H](O)C5(C)C)C)C)([H])[C@@]4(C)CC1)=O,"InChI=1S/C30H48O3/c1-18(2)19-10-15-30(25(32)33)17-16-28(6)20(24(19)30)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h19-24,31H,1,8-17H2,2-7H3,(H,32,33)/t19-,20+,21-,22+,23-,24+,27-,28+,29+,30-/m0/s1",QGJZLNKBHJESQX-FZFNOLFKSA-N,土牛膝,,
TNX-003,熊果酸,Ursolic acid,77-52-1,456.3603 ,C30H48O3,,三萜,OC([C@]1(CC[C@@H](C)[C@@H]2C)[C@]2([H])C3=CC[C@@]4([H])[C@@](C)(CC[C@]5([H])[C@@]4(CC[C@H](O)C5(C)C)C)[C@]3(C)CC1)=O,"InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-24,31H,9-17H2,1-7H3,(H,32,33)/t18-,19+,21+,22-,23+,24+,27+,28-,29-,30+/m1/s1",WCGUUGGRBIKTOS-GPOJBZKASA-N,土牛膝,,
TNX-004,科罗索酸,Corosolic acid,4547-24-4,472.3553 ,C30H48O4,,三萜,O=C(O)[C@@]12[C@]([C@@H](C)[C@H](C)CC1)([H])C([C@](CC2)(C)[C@@](C)3CC4)=CC[C@]3([H])[C@](C[C@@H](O)[C@@H]5O)(C)[C@]4([H])C5(C)C,"InChI=1S/C30H48O4/c1-17-10-13-30(25(33)34)15-14-28(6)19(23(30)18(17)2)8-9-22-27(5)16-20(31)24(32)26(3,4)21(27)11-12-29(22,28)7/h8,17-18,20-24,31-32H,9-16H2,1-7H3,(H,33,34)/t17-,18+,20-,21+,22-,23+,24+,27+,28-,29-,30+/m1/s1",HFGSQOYIOKBQOW-ZSDYHTTISA-N,土牛膝,,
TNX-005,齐墩果酸-28-O-β-D-吡喃葡萄糖苷, Oleanolic acid-28-O-β-D-Pyranoglucoside,无,618.4132 ,C36H58O8,,三萜,O[C@H]1CC[C@@]2(C)[C@](CC[C@]3(C)[C@]2([H])CC=C4[C@@]3(C)CC[C@]5(C(OC6C(O)C(O)C(O)C(CO)O6)=O)[C@@]4([H])CC(C)(C)CC5)([H])C1(C)C,"InChI=1S/C36H58O8/c1-31(2)14-16-36(30(42)44-29-28(41)27(40)26(39)22(19-37)43-29)17-15-34(6)20(21(36)18-31)8-9-24-33(5)12-11-25(38)32(3,4)23(33)10-13-35(24,34)7/h8,21-29,37-41H,9-19H2,1-7H3/t21-,22?,23-,24+,25-,26?,27?,28?,29?,33-,34+,35+,36-/m0/s1",KMKFOIBUKYMVRJ-UOIDGVBTSA-N,土牛膝,,
TNX-006,牛膝皂苷A,Achyranthes saponin A,无,778.4503 ,C42H66O13,,三萜,OC([C@]1(CCC(C)(C)C2)[C@]2([H])C3=CC[C@@]4([H])[C@@](C)(CC[C@]5([H])[C@@]4(CC[C@H](O[C@@](O[C@H](C(O)=O)[C@@H](O)[C@@H]6O[C@@](O[C@@H](C)[C@H](O)[C@H]7O)([H])[C@@H]7O)([H])[C@@H]6O)C5(C)C)C)[C@]3(C)CC1)=O,"InChI=1S/C42H66O13/c1-20-26(43)27(44)28(45)34(52-20)54-31-29(46)32(33(48)49)55-35(30(31)47)53-25-12-13-39(6)23(38(25,4)5)11-14-41(8)24(39)10-9-21-22-19-37(2,3)15-17-42(22,36(50)51)18-16-40(21,41)7/h9,20,22-32,34-35,43-47H,10-19H2,1-8H3,(H,48,49)(H,50,51)/t20-,22-,23-,24+,25-,26-,27+,28+,29-,30+,31-,32-,34-,35+,39-,40+,41+,42-/m0/s1",NSJVFPXRIPXFLW-RWTBGSELSA-N,土牛膝,,
TNX-007,牛膝皂苷B,Cyaonoside B,51161-58-1,940.5032 ,C48H76O18,,三萜,O=C([C@]1(CCC(C)(C)C2)[C@]2([H])C3=CC[C@@]4([H])[C@@](C)(CC[C@]5([H])[C@@]4(CC[C@H](O[C@@](O[C@H](C(O)=O)[C@@H](O)[C@@H]6O[C@@](O[C@@H](C)[C@H](O)[C@H]7O)([H])[C@@H]7O)([H])[C@@H]6O)C5(C)C)C)[C@]3(C)CC1)O[C@@H]([C@@H]([C@@H](O)[C@@H]8O)O)O[C@@H]8CO,"InChI=1S/C48H76O18/c1-21-28(50)30(52)32(54)39(61-21)64-36-34(56)37(38(58)59)65-41(35(36)57)63-27-12-13-45(6)25(44(27,4)5)11-14-47(8)26(45)10-9-22-23-19-43(2,3)15-17-48(23,18-16-46(22,47)7)42(60)66-40-33(55)31(53)29(51)24(20-49)62-40/h9,21,23-37,39-41,49-57H,10-20H2,1-8H3,(H,58,59)/t21-,23-,24+,25-,26+,27-,28-,29+,30+,31-,32+,33+,34-,35+,36-,37-,39-,40-,41+,45-,46+,47+,48-/m0/s1",LBHYRBPEXITYTN-WYPLEBMUSA-N,土牛膝,,
TNX-008,竹节人参皂苷 IVA,Chikusetsu saponin IVa,51415-02-2,794.4453 ,C42H66O14,,三萜,O=C([C@]12[C@](C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C2([H])[H])([H])C3=C([H])C([H])([H])[C@@]([C@](C([H])([H])C4([H])[H])(C([H])([H])[H])[C@@](C(C([H])([H])[H])(C([H])([H])[H])[C@@]4([H])O[C@]([C@]([C@@]5([H])O[H])([H])O[H])([H])O[C@@](C(O[H])=O)([H])[C@@]5([H])O[H])([H])C([H])([H])C6([H])[H])([H])[C@]6(C([H])([H])[H])[C@]3(C([H])([H])[H])C([H])([H])C1([H])[H])O[C@]([C@]([C@@]7([H])O[H])([H])O[H])([H])O[C@@](C([H])([H])O[H])([H])[C@@]7([H])O[H],"InChI=1S/C42H66O14/c1-37(2)14-16-42(36(52)56-34-30(48)27(45)26(44)22(19-43)53-34)17-15-40(6)20(21(42)18-37)8-9-24-39(5)12-11-25(38(3,4)23(39)10-13-41(24,40)7)54-35-31(49)28(46)29(47)32(55-35)33(50)51/h8,21-32,34-35,43-49H,9-19H2,1-7H3,(H,50,51)/t21-,22+,23-,24+,25-,26+,27-,28-,29-,30+,31+,32-,34-,35+,39-,40+,41+,42-/m0/s1",YOSRLTNUOCHBEA-SGVKAIFKSA-N,土牛膝,,
TNX-009,人参皂苷RO,Chikusetsu saponinⅤ,34367-04-9,956.4981 ,C48H76O19,,三萜,O=C(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@]2(CCC(C)(C)C3)[C@]3([H])C4=CC[C@@]5([H])[C@](CC[C@]6([H])[C@]5(C)CC[C@@](O[C@H](O[C@@H]7C(O)=O)[C@@H]([C@@H](O)[C@@H]7O)O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)([H])C6(C)C)(C)[C@]4(C)CC2,"InChI=1S/C48H76O19/c1-43(2)14-16-48(42(61)67-40-35(58)31(54)29(52)24(20-50)63-40)17-15-46(6)21(22(48)18-43)8-9-26-45(5)12-11-27(44(3,4)25(45)10-13-47(26,46)7)64-41-37(33(56)32(55)36(65-41)38(59)60)66-39-34(57)30(53)28(51)23(19-49)62-39/h8,22-37,39-41,49-58H,9-20H2,1-7H3,(H,59,60)/t22-,23+,24+,25-,26+,27-,28+,29+,30-,31-,32-,33-,34+,35+,36-,37+,39-,40-,41+,45-,46+,47+,48-/m0/s1",NFZYDZXHKFHPGA-QQHDHSITSA-N,土牛膝,,
TNX-010,人参皂苷 Rg2,Chikusetsu saponin Ⅰ,52286-74-5,784.4973 ,C42H72O13,,三萜,C[C@]([C@@](C[C@H]1O)([H])[C@]2(CC[C@@H]3O)C)(C[C@H](O[C@@](O[C@H](CO)[C@@H](O)[C@@H]4O)([H])[C@@H]4O[C@@](O[C@@H](C)[C@H](O)[C@H]5O)([H])[C@@H]5O)[C@@]2([H])C3(C)C)[C@]6([C@@]1([H])[C@]([C@@](C)(O)CCC=C(C)C)([H])CC6)C,"InChI=1S/C42H72O13/c1-20(2)11-10-14-42(9,51)22-12-16-40(7)28(22)23(44)17-26-39(6)15-13-27(45)38(4,5)35(39)24(18-41(26,40)8)53-37-34(32(49)30(47)25(19-43)54-37)55-36-33(50)31(48)29(46)21(3)52-36/h11,21-37,43-51H,10,12-19H2,1-9H3/t21-,22-,23+,24-,25+,26+,27-,28-,29-,30+,31+,32-,33+,34+,35-,36-,37+,39+,40+,41+,42-/m0/s1",AGBCLJAHARWNLA-DQUQINEDSA-N,土牛膝,,
TNX-011,蜕皮激素,Ecdysterone,5289-74-7,480.3087 ,C27H44O7,,甾体,O[C@@H]1[C@H](O)C[C@](C(C=C2[C@]3([H])CC[C@@]4(C)[C@@]2(O)CC[C@]4([H])[C@@]([C@H](O)CCC(O)(C)C)(C)O)=O)([H])[C@]3(C)C1,"InChI=1S/C27H44O7/c1-23(2,32)9-8-22(31)26(5,33)21-7-11-27(34)16-12-18(28)17-13-19(29)20(30)14-24(17,3)15(16)6-10-25(21,27)4/h12,15,17,19-22,29-34H,6-11,13-14H2,1-5H3/t15-,17-,19+,20-,21-,22+,24+,25+,26+,27+/m0/s1",NKDFYOWSKOHCCO-YPVLXUMRSA-N,土牛膝,,
TNX-012,牛膝甾酮,Inokosterone,15130-85-5,480.3087 ,C27H44O7,,甾体,O[C@]([C@@](CC1)(C)[C@H]2[C@@](C)(O)[C@H](O)CCC(C)CO)(CC2)C([C@@]1([H])[C@]3(C)[C@@]4([H])C[C@@H](O)[C@@H](O)C3)=CC4=O,"InChI=1S/C27H44O7/c1-15(14-28)5-6-23(32)26(4,33)22-8-10-27(34)17-11-19(29)18-12-20(30)21(31)13-24(18,2)16(17)7-9-25(22,27)3/h11,15-16,18,20-23,28,30-34H,5-10,12-14H2,1-4H3/t15?,16-,18-,20+,21-,22-,23+,24+,25+,26+,27+/m0/s1",JQNVCUBPURTQPQ-XDWLXSIGSA-N,土牛膝,,
TNX-013,"牛膝甾酮,25R",25R-Inokosterone,19682-38-3,480.3087 ,C27H44O7,,甾体,C[C@@H](CO)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC([C@]4([H])C[C@@H](O)[C@@H](O)C[C@]4(C)[C@@]3([H])CC[C@]12C)=O,"InChI=1S/C27H44O7/c1-15(14-28)5-6-23(32)26(4,33)22-8-10-27(34)17-11-19(29)18-12-20(30)21(31)13-24(18,2)16(17)7-9-25(22,27)3/h11,15-16,18,20-23,28,30-34H,5-10,12-14H2,1-4H3/t15-,16+,18+,20-,21+,22+,23-,24-,25-,26-,27-/m1/s1",JQNVCUBPURTQPQ-GYVHUXHASA-N,土牛膝,,
TNX-014,红苋甾酮,Rubrosterone,19466-41-2,334.1780 ,C19H26O5,,甾体,O=C1C=C([C@@]2([H])[C@]3(C)[C@]([H])1C[C@@H](O)[C@@H](O)C3)[C@@](CC4)(O)[C@@](CC2)(C)C4=O,"InChI=1S/C19H26O5/c1-17-9-15(22)14(21)8-12(17)13(20)7-11-10(17)3-5-18(2)16(23)4-6-19(11,18)24/h7,10,12,14-15,21-22,24H,3-6,8-9H2,1-2H3/t10-,12-,14+,15-,17+,18+,19+/m0/s1",OMQCWEJQYPUGJG-DTDIXVHCSA-N,土牛膝,,
TNX-015,24（28）-蜕皮甾酮,24(28)-Ecdysterone,无,492.3087 ,C28H44O7,,甾体,O[C@@H]1[C@H](O)C[C@](C(C=C2C3CC[C@@]4(C)[C@@]2(O)CCC4[C@@]([C@H](O)CC(C(C)(O)C)=C)(C)O)=O)([H])[C@]3(C)C1,"InChI=1S/C28H44O7/c1-15(24(2,3)33)11-23(32)27(6,34)22-8-10-28(35)17-12-19(29)18-13-20(30)21(31)14-25(18,4)16(17)7-9-26(22,28)5/h12,16,18,20-23,30-35H,1,7-11,13-14H2,2-6H3/t16?,18-,20+,21-,22?,23+,25+,26+,27+,28+/m0/s1",XTSYLJLNVWBIFH-GSMSNTICSA-N,土牛膝,,
TNX-016,25-S-牛膝甾酮,25S-Inokosterone,19595-18-7,480.3087 ,C27H44O7,,甾体,O=C1[C@@](C([H])([H])[C@@]2([H])O[H])([H])[C@@](C([H])([H])[C@]2([H])O[H])(C([H])([H])[H])[C@]3([H])C([C@]4([C@@](C([H])([H])C3([H])[H])(C([H])([H])[H])[C@]([C@@]([C@](C([H])([H])C([H])([H])[C@@](C([H])([H])[H])([H])C([H])([H])O[H])([H])O[H])(C([H])([H])[H])O[H])([H])C([H])([H])C4([H])[H])O[H])=C1[H],"InChI=1S/C27H44O7/c1-15(14-28)5-6-23(32)26(4,33)22-8-10-27(34)17-11-19(29)18-12-20(30)21(31)13-24(18,2)16(17)7-9-25(22,27)3/h11,15-16,18,20-23,28,30-34H,5-10,12-14H2,1-4H3/t15-,16-,18-,20+,21-,22-,23+,24+,25+,26+,27+/m0/s1",JQNVCUBPURTQPQ-BMZRUTLMSA-N,土牛膝,,
TNX-017,,β-D-Glucopyranosyl 3-(O-β-D-glucopyranosyloxy)-oleanolate,无,794.4453 ,C42H66O14,,皂苷,OC1C(O)C(C(O)=O)OC(O[C@H]2CC[C@@]3(C)C(CC[C@]4(C)C3CC=C5[C@@]4(C)CC[C@]6(C(OC7OC(CO)C(O)C(O)C7O)=O)C5CC(C)(C)CC6)C2(C)C)C1O,"InChI=1S/C42H66O14/c1-37(2)14-16-42(36(52)56-34-30(48)27(45)26(44)22(19-43)53-34)17-15-40(6)20(21(42)18-37)8-9-24-39(5)12-11-25(38(3,4)23(39)10-13-41(24,40)7)54-35-31(49)28(46)29(47)32(55-35)33(50)51/h8,21-32,34-35,43-49H,9-19H2,1-7H3,(H,50,51)/t21?,22?,23?,24?,25-,26?,27?,28?,29?,30?,31?,32?,34?,35?,39-,40+,41+,42-/m0/s1",YOSRLTNUOCHBEA-AENFVHEISA-N,土牛膝,,
