编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,类别,smiles,inchi,inchikey,药材名称,,,,,,
EUHU-001,槲皮素,Quercetin,117-39-5,302.2380 ,C15H10O7,,黄酮,OC1=CC(O)=C(C(C(O)=C(C2=CC(O)=C(O)C=C2)O3)=O)C3=C1,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,,,,,,,
EUHU-002,槲皮素-3-O-β-D-半乳糖苷,Hyperoside,482-36-0,464.3790 ,C21H20O12,,黄酮,O[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]1OC2=C(C3=CC(O)=C(O)C=C3)OC4=CC(O)=CC(O)=C4C2=O,"InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15+,17+,18-,21+/m1/s1",OVSQVDMCBVZWGM-DTGCRPNFSA-N,,,,,,,
EUHU-003,槲皮素-3-O-β-D-葡萄糖苷,Quercetin 3-glucoside,482-35-9,464.3790 ,C21H20O12,,黄酮,OC1=CC(O)=C(C(C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C(C3=CC(O)=C(O)C=C3)O4)=O)C4=C1,"InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15-,17+,18-,21+/m1/s1",OVSQVDMCBVZWGM-QSOFNFLRSA-N,,,,,,,
EUHU-004,槲皮素-7-O-β-D-葡萄糖苷,Quercetin 7-O-glucoside,491-50-9,464.3790 ,C21H20O12,,黄酮,OC1=C(C(C(O)=C(C2=CC(O)=C(O)C=C2)O3)=O)C3=CC(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C1,"InChI=1S/C21H20O12/c22-6-13-15(26)17(28)19(30)21(33-13)31-8-4-11(25)14-12(5-8)32-20(18(29)16(14)27)7-1-2-9(23)10(24)3-7/h1-5,13,15,17,19,21-26,28-30H,6H2/t13-,15-,17+,19-,21-/m1/s1",BBFYUPYFXSSMNV-HMGRVEAOSA-N,,,,,,,
EUHU-005,槲皮素-3-O-阿拉伯糖苷,Quercetin 3-O-arabinoside,22255-13-6,434.3530 , C20H18O11,,黄酮,OC1=CC(O)=C(C(C(O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)CO2)=C(C3=CC(O)=C(O)C=C3)O4)=O)C4=C1,"InChI=1S/C20H18O11/c21-8-4-11(24)14-13(5-8)30-18(7-1-2-9(22)10(23)3-7)19(16(14)27)31-20-17(28)15(26)12(25)6-29-20/h1-5,12,15,17,20-26,28H,6H2/t12-,15-,17+,20-/m0/s1",PZZRDJXEMZMZFD-IEGSVRCHSA-N,,,,,,,
EUHU-006,槲皮素-3-O-α-L-鼠李糖(1→6)-β-D-半乳糖苷,Quercetin 3-O-α-L-rhamnosyl(1→6)-β-D-galactoside,52525-35-6,610.5210 ,C27H30O16,,黄酮,OC1=CC(O)=C(C(C(O[C@@H]2O[C@H](CO[C@H]3[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O3)[C@H](O)[C@H](O)[C@H]2O)=C(C4=CC(O)=C(O)C=C4)O5)=O)C5=C1,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18-,20+,21-,22+,23+,26+,27-/m0/s1",IKGXIBQEEMLURG-IEBISRBZSA-N,,,,,,,
EUHU-007,槲皮素-3-O-(2''-O-没食子酰)-葡萄糖苷,Isoquercitin 2"-O-gallate,69624-79-9,616.4840 ,C28H24O16,,黄酮,OC1=CC(O)=C(C(C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2OC(C3=CC(O)=C(O)C(O)=C3)=O)=C(C4=CC(O)=C(O)C=C4)O5)=O)C5=C1,"InChI=1S/C28H24O16/c29-8-18-21(37)23(39)26(43-27(40)10-4-15(34)20(36)16(35)5-10)28(42-18)44-25-22(38)19-14(33)6-11(30)7-17(19)41-24(25)9-1-2-12(31)13(32)3-9/h1-7,18,21,23,26,28-37,39H,8H2/t18-,21-,23+,26-,28+/m1/s1",PXGWEUQZDRUMRE-KQOASZHBSA-N,,,,,,,
EUHU-008,槲皮素-3-O-(2"-O-没食子酰)-鼠李糖苷,Quercitrin 2"-O-gallate,80229-08-9,600.4850 ,C28H24O15,,黄酮,OC1=CC(O)=C(C(C(O[C@H]2[C@H](OC(C3=CC(O)=C(O)C(O)=C3)=O)[C@H](O)[C@@H](O)[C@H](C)O2)=C(C4=CC(O)=C(O)C=C4)O5)=O)C5=C1,"InChI=1S/C28H24O15/c1-9-20(35)23(38)26(42-27(39)11-5-16(33)21(36)17(34)6-11)28(40-9)43-25-22(37)19-15(32)7-12(29)8-18(19)41-24(25)10-2-3-13(30)14(31)4-10/h2-9,20,23,26,28-36,38H,1H3/t9-,20-,23+,26+,28-/m0/s1",KTTNFIOZYNBKEY-YIOJSCHVSA-N,,,,,,,
EUHU-009,"槲皮素-3-O-(2"",3''-二-O-没食子酰)-β-D-葡萄糖苷","Quercitrin-3-O-(2"",3''-di-O-galloyl)-β-D-glucopyranoside",194852-68-1,768.5890 ,C35H28O20,,黄酮,O[C@@H]1[C@@H](CO)O[C@@H](OC2=C(C3=CC(O)=C(O)C=C3)OC4=CC(O)=CC(O)=C4C2=O)[C@H](OC(C5=CC(O)=C(C(O)=C5)O)=O)[C@H]1OC(C6=CC(O)=C(O)C(O)=C6)=O,"InChI=1S/C35H28O20/c36-10-23-27(47)30(53-33(49)12-4-18(41)25(45)19(42)5-12)32(54-34(50)13-6-20(43)26(46)21(44)7-13)35(52-23)55-31-28(48)24-17(40)8-14(37)9-22(24)51-29(31)11-1-2-15(38)16(39)3-11/h1-9,23,27,30,32,35-47H,10H2/t23-,27-,30+,32-,35+/m1/s1",SDOROZFSWAADKQ-FGQFUJKUSA-N,,,,,,,
EUHU-010,木犀草素,Luteolin,491-70-3,286.2390 ,C15H10O6,,黄酮,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=C(O)C(O)=C3)=C1,"InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H",IQPNAANSBPBGFQ-UHFFFAOYSA-N,,,,,,,
