编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化学种类,smiles,inchi,inchikey,药材名称
XTW-001,"	原阿片碱",protopine,"	130-86-9",353.369,C20H19N05,,生物碱类,CN(CCC1=C2C=C3C(OCO3)=C1)CC4=C(CC2=O)C=CC5=C4OCO5,"InChI=1S/C20H19NO5/c1-21-5-4-13-7-18-19(25-10-24-18)8-14(13)16(22)6-12-2-3-17-20(15(12)9-21)26-11-23-17/h2-3,7-8H,4-6,9-11H2,1H3",GPTFURBXHJWNHR-UHFFFAOYSA-N,夏天无
XTW-002,,R-(+)-corypalmine,,,C20H23NO4,,生物碱类,OC1=CC2=C([C@]3([H])N(CC2)CC4=C(C=CC(OC)=C4OC)C3)C=C1OC,"InChI=1S/C20H23NO4/c1-23-18-5-4-12-8-16-14-10-19(24-2)17(22)9-13(14)6-7-21(16)11-15(12)20(18)25-3/h4-5,9-10,16,22H,6-8,11H2,1-3H3/t16-/m1/s1",BMCZTYDZHNTKPR-MRXNPFEDSA-N,夏天无
XTW-003,"	黄藤素",palmatine,"	3486-67-7","	352.403",C21H22NO4+,,生物碱类,CC1=CC=C2C=C([N+](C=C3)=CC2=C1C)C4=C3C=C(C)C(C)=C4.[O]C.CC.CC.CC.[O].[CH3].[CH3].[O].[CH3].[O].[CH3],"InChI=1S/C21H20N.3C2H6.CH3O.4CH3.3O/c1-13-5-6-17-11-21-19-10-15(3)14(2)9-18(19)7-8-22(21)12-20(17)16(13)4;4*1-2;;;;;;;/h5-12H,1-4H3;3*1-2H3;1H3;4*1H3;;;/q+1;;;;;;;;;;;",QSNUPHNJCGQCBL-UHFFFAOYSA-N,夏天无
XTW-004,"	四氢帕马丁",tetrahydropalmatine,2934-97-6,355.427,C21H25N04,,生物碱类,CC1=CC2=C(C=C1C)CCN3CC4=C(C)C(C)=CC=C4CC32.CC.CC.[O]C.[O]C.[O].[O],"InChI=1S/C21H25N.2C2H6.2CH3O.2O/c1-13-5-6-17-11-21-19-10-15(3)14(2)9-18(19)7-8-22(21)12-20(17)16(13)4;4*1-2;;/h5-6,9-10,21H,7-8,11-12H2,1-4H3;2*1-2H3;2*1H3;;",OBFNGGJYDJNYMC-UHFFFAOYSA-N,夏天无
XTW-005,,egenine,,,C19H19NO6,,生物碱类,O[C@H]1O[C@@H]([C@H]2N(C)CCC3=CC4=C(OCO4)C=C23)C5=CC=C6OCOC6=C51,"InChI=1S/C20H19NO6/c1-21-5-4-10-6-14-15(25-8-24-14)7-12(10)17(21)18-11-2-3-13-19(26-9-23-13)16(11)20(22)27-18/h2-3,6-7,17-18,20,22H,4-5,8-9H2,1H3/t17-,18+,20-/m0/s1",YMHFBUOKLSWOQF-NSHGMRRFSA-N,夏天无
XTW-006,"名	(S)-金黄紫堇碱",scoulerine,"	6451-73-6","	327.374",C19H21NO4,,生物碱类,CC1=C(C)C=C(CCN2C3CC4=C(C(O)=C(C)C=C4)C2)C3=C1.CC.CC.[OH].[O].[CH3].[O],"InChI=1S/C20H23NO.2C2H6.CH3.HO.2O/c1-12-4-5-15-10-19-17-9-14(3)13(2)8-16(17)6-7-21(19)11-18(15)20(12)22;2*1-2;;;;/h4-5,8-9,19,22H,6-7,10-11H2,1-3H3;2*1-2H3;1H3;1H;;",CIGCOPDZMDRWBW-UHFFFAOYSA-N,夏天无
XTW-007,空褐麟碱,bulbocapnine,298-45-3,325.358,C19H19NO4,,生物碱类,CC1=C(C)C=CC(C2)=C1C3=C([C@@]2(C)N(C)CC4)C4=CC5=C3OCO5.[O]C.[OH].[CH3].[CH3].[H],"InChI=1S/C21H23NO2.CH3O.2CH3.HO.H/c1-12-5-6-15-10-21(3)19-14(7-8-22(21)4)9-16-20(24-11-23-16)18(19)17(15)13(12)2;1-2;;;;/h5-6,9H,7-8,10-11H2,1-4H3;1H3;2*1H3;1H;/t21-;;;;;/m0...../s1",JRWZMAKUDQRRPY-DHOIFHORSA-N,夏天无
XTW-009,金罂粟碱,stylopine,"	84-39-9",323.343,"	C19H17NO4",,生物碱类,C12OCOC1C=C3C(C(CC4=CC=C(OCO5)C5=C4C6)N6CC3)=C2,"InChI=1S/C19H19NO4/c1-2-16-19(24-10-21-16)14-8-20-4-3-12-6-17-18(23-9-22-17)7-13(12)15(20)5-11(1)14/h1-2,6-7,15,17-18H,3-5,8-10H2",BUKNBOPYZNDERA-UHFFFAOYSA-N,夏天无
XTW-010,延胡索甲素,corydaline,518-69-4,369.454,C22H27NO4,,生物碱类,C[C@@]12N(C=CC3=C2C=C(OC)C(OC)=C3)CC4=C(OC)C(OC)=CC=C4[C@@H]1C.[H],"InChI=1S/C23H27NO4.H/c1-14-16-7-8-19(25-3)22(28-6)17(16)13-24-10-9-15-11-20(26-4)21(27-5)12-18(15)23(14,24)2;/h7-12,14H,13H2,1-6H3;/t14-,23+;/m0./s1",RWFMNEXVLHNTQI-CSBFSMSVSA-N,夏天无
XTW-011,"	黄连碱",coptisine,3486-66-6,"	320.32",C19H14NO4,,生物碱类,C1(OCO2)=C2C=C(CC[N+]3=C4C=C5C(C(OCO6)=C6C=C5)=C3)C4=C1,"InChI=1S/C19H14NO4/c1-2-16-19(24-10-21-16)14-8-20-4-3-12-6-17-18(23-9-22-17)7-13(12)15(20)5-11(1)14/h1-2,5-8H,3-4,9-10H2/q+1",XYHOBCMEDLZUMP-UHFFFAOYSA-N,夏天无
XTW-012,卡维丁,cavidine,"	32728-75-9",353.412,C21H23NO4,,生物碱类,[O]C1=CC([C@]([C@@]2(C)C(C=CC3=C4OCO3)=C4C5)([HH]2)N5CC6)=C6C=C1OC.CC,"InChI=1S/C20H20NO4.C2H6/c1-19-13-3-4-16-18(25-10-24-16)12(13)9-21-6-5-11-7-17(23-2)15(22)8-14(11)20(19,21)26-19;1-2/h3-4,7-8,26H,5-6,9-10H2,1-2H3;1-2H3/t19-,20-;/m1./s1",KVGXAPRETDABOC-GZJHNZOKSA-N,夏天无
XTW-013,,bicuculline,,,,,生物碱类,O=C1O[C@@H]([C@H]2N(C)CCC3=CC4=C(OCO4)C=C23)C5=CC=C6OCOC6=C51,"InChI=1S/C20H17NO6/c1-21-5-4-10-6-14-15(25-8-24-14)7-12(10)17(21)18-11-2-3-13-19(26-9-23-13)16(11)20(22)27-18/h2-3,6-7,17-18H,4-5,8-9H2,1H3/t17-,18+/m0/s1",IYGYMKDQCDOMRE-ZWKOTPCHSA-N,夏天无
XTW-014,,humosine A,11014-02-1,369.368,C20H19NO6,,生物碱类,O[C@@H]1O[C@H]([C@H]2N(C)CCC3=CC4=C(OCO4)C=C23)C5=CC=C6OCOC6=C51,"InChI=1S/C20H19NO6/c1-21-5-4-10-6-14-15(25-8-24-14)7-12(10)17(21)18-11-2-3-13-19(26-9-23-13)16(11)20(22)27-18/h2-3,6-7,17-18,20,22H,4-5,8-9H2,1H3/t17-,18-,20+/m0/s1",YMHFBUOKLSWOQF-CMKODMSKSA-N,夏天无
XTW-015,,(+)-hydrastine,,, C21H21NO6,,生物碱类,O=C1O[C@@H]([C@H]2N(C)CCC3=CC4=C(OCO4)C=C23)C5=CC=C(OC)C(OC)=C15,"InChI=1S/C21H21NO6/c1-22-7-6-11-8-15-16(27-10-26-15)9-13(11)18(22)19-12-4-5-14(24-2)20(25-3)17(12)21(23)28-19/h4-5,8-9,18-19H,6-7,10H2,1-3H3/t18-,19+/m0/s1",JZUTXVTYJDCMDU-RBUKOAKNSA-N,夏天无
XTW-016,堇醇灵碱,corynoline,18797-79-0,367.395,C21H21NO5,,生物碱类,O[C@H]1CC2=CC3=C(OCO3)C=C2[C@@]4([H])N(C)CC5=C(C=CC6=C5OCO6)[C@@]14C,"InChI=1S/C21H21NO5/c1-21-14-3-4-15-19(27-10-24-15)13(14)8-22(2)20(21)12-7-17-16(25-9-26-17)5-11(12)6-18(21)23/h3-5,7,18,20,23H,6,8-10H2,1-2H3/t18-,20+,21-/m0/s1",IQUGPRHKZNCHGC-TYPHKJRUSA-N,夏天无
XTW-017,乙酰紫堇灵,acetylcorynoline,"	18797-80-3",409.432,C23H23NO6,,生物碱类,CC(O[C@H]1CC2=CC3=C(OCO3)C=C2[C@@]4([H])N(C)CC5=C(C=CC6=C5OCO6)[C@@]14C)=O,"InChI=1S/C23H23NO6/c1-12(25)30-20-7-13-6-18-19(28-10-27-18)8-14(13)22-23(20,2)16-4-5-17-21(29-11-26-17)15(16)9-24(22)3/h4-6,8,20,22H,7,9-11H2,1-3H3/t20-,22+,23-/m0/s1",PUHCFWFODBLSAP-WWNPGLIZSA-N,夏天无
