编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey
JH-001,吉马酮,Germacrone,6902-91-6,218.3351 ,C15H22O,,挥发油类,CC1=CCC(=C(C)C)C(=O)CC(=CCC1)C,"InChI=1S/C15H22O/c1-11(2)14-9-8-12(3)6-5-7-13(4)10-15(14)16/h7,11,14H,5-6,8-10H2,1-4H3/b12-8+,13-7+",CAULGCQHVOVVRN-SWZPTJTJSA-N
JH-002,姜黄素,Curcumin,458-37-7,368.3807 ,C21H20O6,,其他,COC1=CC(/C=C/C(=O)C/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O,"InChI=1S/C21H20O6/c1-26-17-8-12(5-6-15(17)23)4-11-16(22)10-13-7-14(20(24)25-2)9-18(19(13)21(11)24)27-3/h4-10,20,23H,1-3H3/b11-4+,12-6+",ZIUSSTSXXLLKKK-KOBPDPAPSA-N
JH-003,莪术烯醇,Curcumenol,19431-84-6,234.3345 ,C15H22O2,,挥发油类,C/C1=C\CC2=C(C/C(=C\CC1)/C)OC=C2C,"InChI=1S/C15H22O2/c1-9(2)13-8-14-11(4)5-6-12(14)10(3)7-15(13,16)17-14/h7,11-12,16H,5-6,8H2,1-4H3/t11-,12-,14-,15+/m0/s1",ISFMXVMWEWLJGJ-NZBPQXDJSA-N
JH-004,新莪术二酮,"(6e)-3-isopropyl-6,10-dimethylcyclodec-6-ene-1,4-dione",108944-67-8,236.3504 ,C15H24O2,,挥发油类,C/C1=C\CCC@HC(=O)CC(C(C)C)C(=O)C1,"InChI=1S/C15H24O2/c1-10(2)13-9-14(16)12(4)7-5-6-11(3)8-15(13)17/h6,10,12-13H,5,7-9H2,1-4H3/b11-6+",KDPFMRXIVDLQKX-URRARWPDSA-N
JH-005,樟脑,Camphor,76-22-2,152.2338 ,C10H16O,,挥发油类,CC1(C)C2CCC1(C)C(=O)C2,"InChI=1S/C10H16O/c1-9(2)8-4-6-10(9,3)7-5-8/h8H,4-7H2,1-3H3",DSSYKIVIOFKYAU-UHFFFAOYSA-N
JH-006,β-蒎烯,Β-pinene,127-91-3,136.2344 ,C10H16,,挥发油类,CC1(C)C2CC1C(=C)CC2,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3",WTARULDDTDQWMU-UHFFFAOYSA-N
JH-007,去甲氧基姜黄素,Demethoxycurcumin,22608-11-3,338.3547 ,C20H18O5,,其他,COC1=CC(/C=C/C(=O)C/C=C/C2=CC=C(O)C=C2)=CC=C1O,"InChI=1S/C20H18O5/c1-24-18-8-12(5-6-16(18)22)4-11-17(21)10-14-7-13(19(14)20(11)23)2-3-15(20)23/h2-8,10,19,22H,9H2,1H3/b11-4+,12-6+",MEYBTZRBKDWAHI-IPSUFFRPSA-N
JH-008,α-蒎烯,Α-pinene,2437-95-8,136.2344 ,C10H16,,挥发油类,CC1=CCC2CC1C2(C)C,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3/t8-,9-/m1/s1",GRWFGVWFFZKLTI-JQEWEITDNA-N
JH-009,双去甲氧基姜黄素,Bisdemethoxycurcumin,33171-05-0,308.3287,C19H16O4,,其他,OC1=CC(/C=C/C(=O)C/C=C/C2=CC=C(O)C=C2)=CC=C1,"InChI=1S/C19H16O4/c20-16-7-1-14(2-8-16)5-11-18(22)13-19(23)12-6-15-3-9-17(21)10-4-15/h1-12,20-21H,13H2/b11-5+,12-6+",PREBVFJICNPEKM-YDWXAUTNSA-N
JH-010,芳樟醇,"Linalool, (+-)-",78-70-6,154.2497,C10H18O,,挥发油类,CC(=CCCC(C)(C=C)O)C,"InChI=1S/C10H18O/c1-6-10(5,11)8-4-7(2)9(3)6/h6,8-9,11H,4-5H2,1-3H3",CDOSHBSSFJOMGT-UHFFFAOYSA-N
JH-011,冰片,Borneol,507-70-0,154.2497,C10H18O,,挥发油类,CC(C)C1CCC(C)C1C(=O)C(C)C,"InChI=1S/C10H16O/c1-7(2)10-5-4-9(3)6-8(10)11/h7-9H,4-6H2,1-3H3/t8-,9+/m1/s1",LHXVMTKBNIYLQZ-UHFFFAOYSA-N
JH-012,β-石竹烯,Caryophyllene,87-44-5,204.3516,C15H24,,挥发油类,CC1=CCCC(=C)C2CC(C2CC1)(C)C,"InChI=1S/C15H24/c1-11-6-5-7-12(2)13-10-15(3,4)14(13)9-8-11/h6,13-14H,2,5,7-10H2,1,3-4H3/b11-6+",NPNUFJAVOOONJE-IZZDOVSWSA-N
JH-013,4-表-莪术醇,"(1s,5r,8r)-2,6-dimethyl-9-(propan-2-ylidene)-11-oxatricyclo[6.2.1.0¹,⁵]undec-6-en-8-ol",350602-21-0,234.3345,C15H22O2,,挥发油类,CC1CCC2C13CC(=C(C)C)C(O3)(C=C2C)O,"InChI=1S/C15H22O2/c1-9(2)13-8-14-11(4)5-6-12(14)10(3)7-15(13,16)17-14/h7,11-12,16H,5-6,8H2,1-4H3/t11-,12+,14+,15-/m1/s1",ISFMXVMWEWLJGJ-PAPYEOQZSA-N
JH-014,,"(6z)-6,10-dimethyl-3-(propan-2-ylidene)cyclodec-6-ene-1,4-dione",69239-71-0,234.3345,C15H22O2,,挥发油类,C/C(C)=C1CC(C(C)CC/C=C(C)\CC\1=O)=O,"InChI=1S/C15H22O2/c1-10(2)13-9-14(16)12(4)7-5-6-11(3)8-15(13)17/h6,12H,5,7-9H2,1-4H3/b11-6-",ZYPUZCWWTYIGFV-WDZFZDKYSA-N
JH-015,"1,7-双(4-羟基-3-甲氧基苯基)-1,6-庚二烯-3,5-二酮",Turmeric,458-37-7,368.3807,C21H20O6,,其他,COC1=CC(/C=C/C(=O)CC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O,"InChI=1S/C21H20O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h3-12,24-25H,13H2,1-2H3/b7-3+,8-4+",VFLDPWHFBUODDF-FCXRPNKRSA-N
JH-016,松油醇,Terpineol,8000-41-7,154.2497,C10H18O,,挥发油类,CC1(C)C2CCC1(C)C2=C,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,4-6H2,1-3H3",CRPUJAZIXJMDBK-UHFFFAOYSA-N
JH-017,莰烯,Camphene,79-92-5,136.2344,C10H16,,挥发油类,CC(C)C1=CC2C(CCC2(C)O)C(CC1)(C)O,"InChI=1S/C15H26O2/c1-10(2)11-5-7-14(3,16)12-6-8-15(4,17)13(12)9-11/h9-10,12-13,16-17H,5-8H2,1-4H3/t12-,13+,14-,15+/m1/s1",IWQURBSTAIRNAE-BARDWOONSA-N
JH-018,环氧泽泻烯,"(1s,3ar,4r,8as)-1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-hexahydroazulen-6-one",87701-68-6,252.3498,C15H24O3,,挥发油类,C/C1=C\CC2=C(C/C(=C\CC1)/C)OC=C2C,"InChI=1S/C15H20O/c1-11-5-4-6-12(2)13-8-14-10(15(13)16)7-9-11/h5-6,10,13H,4,7-9H2,1-3H3/b11-5-,12-6+",VMDXHYHOJPKFEK-LPBQMQTMSA-N
JH-019,,"1-hydroxy-1,4-dimethyl-7-(propan-2-ylidene)-3,3a,8,8a-tetrahydro-2h-azulen-6-one",,234.3345,C15H22O2,,挥发油类,O=C(C=C(C)C(CCC1(O)C)C1C/2)C2=C(C)/C,"InChI=1S/C15H22O2/c1-9(2)12-8-13-11(5-6-15(13,4)17)10(3)7-14(12)16/h7,11,13,17H,5-6,8H2,1-4H3",RHBOHEXDGUVIIY-UHFFFAOYSA-N
JH-020,芳姜黄酮,Ar-turmerone,C15H20O,216.3193,C15H20O,,挥发油类,CC1=CC=C([C@@H](C)CC(/C=C(C)/C)=O)C=C1,"InChI=1S/C15H20O/c1-11(2)9-15(16)10-13(4)14-7-5-12(3)6-8-14/h5-9,13H,10H2,1-4H3/t13-/m0/s1",NAAJVHHFAXWBOK-ZDUSSCGKSA-N
