编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材名称
XYL-001,山柰酚,Kaempferol,520-18-3,286.24,"	
C15H10O6",,黄酮类,OC1=C(C2=CC=C(O)C=C2)OC3=C(C(O)=CC(O)=C3)C1=O,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,小叶莲
XYL-002,山柰素,Kaempferide,491-54-3,300.26,"	
C16H12O6",,黄酮类,OC1=C(C2=CC=C(O)C=C2)OC3=C(C(O)=CC(O)=C3)C1=O,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,小叶莲
XYL-003,槲皮素,Quercetin,117-39-5,302.23,C15H10O7,,黄酮类,OC1=C(C2=CC=C(O)C(O)=C2)OC3=C(C(O)=CC(O)=C3)C1=O,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,小叶莲
XYL-004,槲皮素-3-甲醚,3-O-Methylquercetin,1486-70-0,316.26,C16H12O7,,黄酮类,O=C1C(OC)=C(C2=CC=C(O)C(O)=C2)OC3=C1C(O)=CC(O)=C3,"InChI=1S/C16H12O7/c1-22-16-14(21)13-11(20)5-8(17)6-12(13)23-15(16)7-2-3-9(18)10(19)4-7/h2-6,17-20H,1H3",WEPBGSIAWZTEJR-UHFFFAOYSA-N,小叶莲
XYL-005,8-异戊烯基山柰酚,Desmethylanhydroicaritin,28610-31-3,354.35,"	C20H18O6",,黄酮类,O=C1C2=C(O)C=C(O)C(C/C=C(C)/C)=C2OC(C3=CC=C(O)C=C3)=C1O,"InChI=1S/C20H18O6/c1-10(2)3-8-13-14(22)9-15(23)16-17(24)18(25)19(26-20(13)16)11-4-6-12(21)7-5-11/h3-7,9,21-23,25H,8H2,1-2H3",NADCVNHITZNGJU-UHFFFAOYSA-N,小叶莲
XYL-006,6-异戊烯基槲皮素-3-甲醚,6-Prenylquercetin-3-methylether,,384.38, C21H20O7,,黄酮类,O=C1C(OC)=C(C2=CC=C(O)C(O)=C2)OC3=C1C(O)=C(C/C=C(C)\C)C(O)=C3,"InChI=1S/C21H20O7/c1-10(2)4-6-12-14(23)9-16-17(18(12)25)19(26)21(27-3)20(28-16)11-5-7-13(22)15(24)8-11/h4-5,7-9,22-25H,6H2,1-3H3",XREZFYPTHFWMDM-UHFFFAOYSA-N,小叶莲
XYL-007,8-异戊烯基槲皮素-3-甲醚,8-Prenylquercetin-3-methylether,,384.38, C21H20O7,,黄酮类,O=C1C(OC)=C(C2=CC=C(O)C(O)=C2)OC3=C1C(O)=CC(O)=C3C/C=C(C)\C,"InChI=1S/C21H20O7/c1-10(2)4-6-12-14(23)9-16(25)17-18(26)21(27-3)19(28-20(12)17)11-5-7-13(22)15(24)8-11/h4-5,7-9,22-25H,6H2,1-3H3",VUWRPEGSZKAYCY-UHFFFAOYSA-N,小叶莲
XYL-008,8-异戊烯基槲皮 素,8-Prenylquercetin,,370.11,C20H18O7,,黄酮类,OC1=C(C2=CC=C(O)C(O)=C2)OC3=C(C(O)=CC(O)=C3C/C=C(C)\C)C1=O,"InChI=1S/C20H18O7/c1-9(2)3-5-11-13(22)8-15(24)16-17(25)18(26)19(27-20(11)16)10-4-6-12(21)14(23)7-10/h3-4,6-8,21-24,26H,5H2,1-2H3",ZHTTWVRMGWQEOH-UHFFFAOYSA-N,小叶莲
XYL-009,,Podoverine A,107882-43-9,384.38,C21H20O7,,黄酮类,O=C1C(OC)=C(C2=CC=C(O)C(O)=C2C/C=C(C)\C)OC3=CC(O)=CC(O)=C13,"InChI=1S/C21H20O7/c1-10(2)4-5-12-13(6-7-14(23)18(12)25)20-21(27-3)19(26)17-15(24)8-11(22)9-16(17)28-20/h4,6-9,22-25H,5H2,1-3H3",MGFXFQXRHGAKQN-UHFFFAOYSA-N,小叶莲
XYL-010,5'-异戊烯基槲皮素-3-甲醚,5'-Prenylquercetin-3-methylether,,384.38, C21H20O7,,黄酮类,O=C1C(OC)=C(C2=CC(C/C=C(C)\C)=C(O)C(O)=C2)OC3=C1C(O)=CC(O)=C3,"InChI=1S/C21H20O7/c1-10(2)4-5-11-6-12(7-15(24)18(11)25)20-21(27-3)19(26)17-14(23)8-13(22)9-16(17)28-20/h4,6-9,22-25H,5H2,1-3H3",VCKYLOIMXUHPDA-UHFFFAOYSA-N,小叶莲
