编号,分类,英文名称,化合物名称,分子式,分子量,CAS号,2D图,smiles,inchi,inchikey,药材名称
SZ-001,黄酮类,vitexin,牡荆素,C21H20O10,432.378,3681-93-4,,O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3C4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O,"InChI=1S/C21H20O10/c22-7-14-17(27)18(28)19(29)21(31-14)16-11(25)5-10(24)15-12(26)6-13(30-20(15)16)8-1-3-9(23)4-2-8/h1-6,14,17-19,21-25,27-29H,7H2/t14-,17-,18+,19-,21?/m1/s1",SGEWCQFRYRRZDC-YWFAZRBLSA-N,山楂
SZ-002,黄酮类,vitexin-6″-O-acetyl,6″-O-乙酰基牡荆素,C21H19O9,415.10 ,\,,O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3C4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)[OAcetyl])O)O,,,山楂
SZ-003,黄酮类,vitexin-2″-O-acetyl,2″-O-乙酰基牡荆素,C21H19O9,415.10 ,\,,O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3C4[C@@H]([C@H]([C@@H]([C@@H](C[OAcetyl])O4)O)O)O,,,山楂
SZ-004,黄酮类,vitexin-2″-O-rhamnosyl,牡荆素-2″-O-鼠李糖苷,C21H19O9,415.1029,\,,O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3C4[C@@H]([C@H]([C@@H]([C@@H](C[ORhal])O4)O)O)O,,,山楂
SZ-005,黄酮类,vitexin-4′-rhamnosyl,牡荆素-4′-鼠李糖苷,C21H19O9,415.1029,\,,O=C1C=C(C2=CC=C([ORha])C=C2)OC3=C1C(O)=CC(O)=C3C4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O,,,山楂
SZ-006,黄酮类,vitexin-4′-rhamnosyl-O-glucoside,牡荆素-4′-鼠李糖葡萄糖苷,C21H19O9,415.1029,\,,O=C1C=C(C2=CC=C([ORha-Glc])C=C2)OC3=C1C(O)=CC(O)=C3C4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O,,,山楂
SZ-007,黄酮类,"vitexin-4′,7-diglucosyl","牡荆素-4′,7-双葡萄糖苷",C25H24O14,548.1166,\,,O=C1C=C(C2=CC=C(OC(CO)=O)C=C2)OC3=C1C(O)=CC(OC(CO)=O)=C3C4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O,"InChI=1S/C25H24O14/c26-7-16-21(33)22(34)23(35)25(39-16)20-15(37-18(32)9-28)6-13(30)19-12(29)5-14(38-24(19)20)10-1-3-11(4-2-10)36-17(31)8-27/h1-6,16,21-23,25-28,30,33-35H,7-9H2/t16-,21-,22+,23-,25?/m1/s1",AYVVMYLOKMYDCD-LTPCHLQRSA-N,山楂
SZ-008,黄酮类,vitexin-2′′-O-ramnosyl(4′′′-O-acetyl),牡荆素-2′′-O-鼠李糖-(4′′′-O-乙酰基),C33H36O19,736.1851,\,\,O=C1C=C(C(C=C2)=CC=C2OC(CO)=O)OC3=C1C(O)=CC(OC(CO)=O)=C3C4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)OC5OC(C)C(OC(C)=O)C(O)C5O,"InChI=1S/C33H36O19/c1-12-29(47-13(2)37)27(44)28(45)33(46-12)52-32-26(43)25(42)20(9-34)51-31(32)24-19(49-22(41)11-36)8-17(39)23-16(38)7-18(50-30(23)24)14-3-5-15(6-4-14)48-21(40)10-35/h3-8,12,20,25-29,31-36,39,42-45H,9-11H2,1-2H3/t12?,20-,25-,26+,27?,28?,29?,31?,32-,33?/m1/s1",QLUJSRVGEJOLEX-DHZVNNAOSA-N,山楂
SZ-009,黄酮类,cratenacin,山楂纳新,\,\,\,\,,,,山楂
SZ-010,黄酮类,deacetyl-cratenacin,去乙酰基山楂纳新,\,\,\,\,,,,山楂
SZ-011,黄酮类,"5, 7, 4′-trihydroxyflavone 8-C-[β-D-glucopyranosyl (1—4) ]-α-L-rhamnopyranoside","5,7,4′-三羟基黄酮 8-C-［β-D-吡喃葡萄糖基(1—4)］-α-L-鼠李糖苷",\,\,\,\,,,,山楂
SZ-012,黄酮类,cosmosiin,大波斯菊苷,C21H20O10,432.378,578-74-5,,OC1=C(C(=CC(C2=CC=C(O)C=C2)=O3)=O)C3=CC(ON[C@H](C=O)CC(C(O)=O)C(O)=O)=C1,"InChI=1S/C21H17NO10/c23-9-11(5-14(20(27)28)21(29)30)22-32-13-6-15(25)19-16(26)8-17(31-18(19)7-13)10-1-3-12(24)4-2-10/h1-4,6-9,11,14,22,24-25H,5H2,(H,27,28)(H,29,30)/t11-/m0/s1",KBDGVPOVZJAZLR-NSHDSACASA-N,山楂
SZ-013,黄酮类,"5,4′-dihydroxl-7-O-rhamnosyl (Apigenin)","5,4′-二羟基黄酮-7-O-鼠李糖苷芹菜素",C15H9O4,253.0501,\,,[ORha]C1=CC(O)=C(C(=CC(C2=CC=C(O)C=C2)=O3)=O)C3=C1,,,山楂
SZ-014,黄酮类,isovitexin,异牡荆素,C21H20O10,432.378,29702-25-8,,OC1=C(C(CO)=O)C(O)=C(C(=CC(C2=CC=C(O)C=C2)=O3)=O)C3=C1,"InChI=1S/C17H12O7/c18-7-12(22)15-10(20)6-14-16(17(15)23)11(21)5-13(24-14)8-1-3-9(19)4-2-8/h1-6,18-20,23H,7H2",VZEPNCLHZQTLKR-UHFFFAOYSA-N,山楂
SZ-015,黄酮类,isovitexin-2″-O-rhamnosyl,异牡荆素-2″-O-鼠李糖苷,C15H9O5,269.045,\,,OC1=C([Neohesperidosyl])C(O)=C(C(=CC(C2=CC=C(O)C=C2)=O3)=O)C3=C1,,,山楂
SZ-016,黄酮类,vicenin-1,维采宁-1,C26H28O14,564.492,35927-38-9,,OC1=C([C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)C(OC(C3=CC=C(O)C=C3)=CC4=O)=C4C(O)=C1[C@H]5[C@H](O)[C@@H](O)[C@H](O)CO5,"InChI=1S/C26H28O14/c27-6-13-18(32)21(35)23(37)26(40-13)16-20(34)15(25-22(36)17(31)11(30)7-38-25)19(33)14-10(29)5-12(39-24(14)16)8-1-3-9(28)4-2-8/h1-5,11,13,17-18,21-23,25-28,30-37H,6-7H2/t11-,13-,17+,18-,21+,22-,23-,25+,26+/m1/s1",OVMFOVNOXASTPA-MCIQUCDDSA-N,山楂
