序号,类别,成分编号,中文名,英文名,CAS号,分子式MF,分子量MW,结构,参考文献,smiles,inchi,inchikey,药材名称
1,黄酮及其苷类,SZY-001,"	荭草素","Orientin
",28608-75-5,C21H20O11,448.377,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(C1=C(C([C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)=C(O)C=C1O)O3)C=C3C4=CC(O)=C(O)C=C4,"InChI=1S/C21H20O11/c22-6-14-17(28)18(29)19(30)21(32-14)16-11(26)4-10(25)15-12(27)5-13(31-20(15)16)7-1-2-8(23)9(24)3-7/h1-5,14,17-19,21-26,28-30H,6H2/t14-,17-,18+,19-,21+/m1/s1",PLAPMLGJVGLZOV-VPRICQMDSA-N,山楂叶
2,黄酮及其苷类,SZY-002,异荭草素,Isoorientin,"	4261-42-1",C21H20O11,448.38,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC[C@H]1O[C@@H](C2=C(C3=C(C=C2O)OC(C4=CC(O)=C(C=C4)O)=CC3=O)O)[C@@H]([C@H]([C@@H]1O)O)O,"InChI=1S/C21H20O11/c22-6-14-17(27)19(29)20(30)21(32-14)16-11(26)5-13-15(18(16)28)10(25)4-12(31-13)7-1-2-8(23)9(24)3-7/h1-5,14,17,19-24,26-30H,6H2/t14-,17-,19+,20-,21+/m1/s1",ODBRNZZJSYPIDI-VJXVFPJBSA-N,山楂叶
3,黄酮及其苷类,SZY-003,异荭草素-2´´-O-鼠李糖苷,Isoorientin 2''-O-rhamnoside,50980-94-4,C27H30O15,594.52,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=C([C@H]2[C@H](OC3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@@H](CO)O2)C(O)=CC(OC(C4=CC(O)=C(C=C4)O)=C5)=C1C5=O,"InChI=1S/C27H30O15/c1-8-19(33)22(36)24(38)27(39-8)42-26-23(37)20(34)16(7-28)41-25(26)18-13(32)6-15-17(21(18)35)12(31)5-14(40-15)9-2-3-10(29)11(30)4-9/h2-6,8,16,19-20,22-30,32-38H,7H2,1H3/t8-,16+,19-,20+,22+,23-,24+,25-,26+,27?/m0/s1",IUYFTHKQEWZTHY-LQQQXCKLSA-N,山楂叶
4,黄酮及其苷类,SZY-004,芹菜素,"Apigenin
","520-36-5
","C15H10O5	",270.237,,"[2]王双艳.山楂叶的化学成分研究[D].天津中医药大学,2020.",O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC=C(O)C=C3)=C1,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,山楂叶
5,黄酮及其苷类,SZY-005,"3, 4', 5, 8-四羟基黄酮-7-O-葡萄糖苷","3,4',5,8-tetrahyduoxyl-flavone-7-O-glucosyl",\,C21H20O12,464,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=CC(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C(O)C(OC(C3=CC=C(O)C=C3)=C4O)=C1C4=O,"InChI=1S/C21H20O12/c22-6-11-13(25)16(28)18(30)21(32-11)31-10-5-9(24)12-15(27)17(29)19(33-20(12)14(10)26)7-1-3-8(23)4-2-7/h1-5,11,13,16,18,21-26,28-30H,6H2/t11-,13-,16+,18-,21+/m1/s1",RSPZVQZNRINVPE-IWCNZLJZSA-N,山楂叶
6,黄酮及其苷类,SZY-006,"5, 4'-二羟基黄酮-7-O-鼠李糖苷芹菜素","5,4'-dihydorxl-7-O-rhamnosyl apigenin",\,C21H23O10,435.411,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(C=C1)=CC=C1C2=CC(C3=C(O)C=C(O[C@H]4O[C@@H](O)[C@H](O)[C@H](O)[C@H]4O)C=C3O2)=O,"InChI=1S/C20H18O10/c21-9-3-1-8(2-4-9)13-7-12(23)15-11(22)5-10(6-14(15)29-13)28-20-18(26)16(24)17(25)19(27)30-20/h1-7,16-22,24-27H/t16-,17+,18+,19+,20-/m0/s1",MTJBJCRARIQVEC-UTBUEMAESA-N,山楂叶
7,黄酮及其苷类,SZY-007,6，8-二葡萄糖芹菜素,6-C-pentosyl-8-C--pentosyl-Apigenin,\,C27H30O15,594.52,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(C=C1)=CC=C1C2=CC(C3=C(O)C=C(O[C@H]4O[C@@H](O)[C@H](O)[C@H](O)[C@H]4O)C=C3O2)=O,"InChI=1S/C20H18O10/c21-9-3-1-8(2-4-9)13-7-12(23)15-11(22)5-10(6-14(15)29-13)28-20-18(26)16(24)17(25)19(27)30-20/h1-7,16-22,24-27H/t16-,17+,18+,19+,20-/m0/s1",MTJBJCRARIQVEC-UTBUEMAESA-N,山楂叶
8,黄酮及其苷类,SZY-008,芹菜素-6-C-阿拉伯糖-8-C-葡萄糖苷,6-C-hexosyl-8-C-pentosyl-Apigenin,\,C26H28O14,564.5,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C(C(O)=C([C@H]2O[C@H](O)[C@H](O)[C@@H](O)C2)C(O)=C3[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C3OC(C5=CC=C(O)C=C5)=C1,"InChI=1S/C26H28O14/c27-7-14-19(32)22(35)23(36)25(39-14)17-21(34)16(13-6-11(30)18(31)26(37)40-13)20(33)15-10(29)5-12(38-24(15)17)8-1-3-9(28)4-2-8/h1-5,11,13-14,18-19,22-23,25-28,30-37H,6-7H2/t11-,13-,14+,18+,19+,22-,23+,25+,26-/m0/s1",IBPSANIEPQNYBB-DTBZVLMWSA-N,山楂叶
9,黄酮及其苷类,SZY-009,芹菜素-6-C-葡萄糖-8-C-阿拉伯糖苷,6-C-pentosyl-8-C-hexosyl-Apigenin,\,C26H28O14,564.5,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C(C(O)=C([C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(O)=C3[C@H]4O[C@H](O)[C@H](O)[C@@H](O)C4)=C3OC(C5=CC=C(O)C=C5)=C1,"InChI=1S/C26H28O14/c27-7-14-19(32)22(35)23(36)25(39-14)17-20(33)15-10(29)5-12(8-1-3-9(28)4-2-8)38-24(15)16(21(17)34)13-6-11(30)18(31)26(37)40-13/h1-5,11,13-14,18-19,22-23,25-28,30-37H,6-7H2/t11-,13-,14+,18+,19+,22-,23+,25+,26-/m0/s1",QJEAUOVQZVYCBQ-DTBZVLMWSA-N,山楂叶
10,黄酮及其苷类,SZY-010,芹菜素-8-C-葡萄糖鼠李糖苷,8-C-glucosyl-rhamnosl apigenin,\,C28H32O13,576.55,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C(C(O)=CC(O)=C2[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@H]4C[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)=C2OC(C5=CC=C(O)C=C5)=C1,"InChI=1S/C28H32O13/c1-10-6-17(22(35)24(37)21(10)34)40-28-25(38)23(36)18(9-29)41-27(28)20-14(32)7-13(31)19-15(33)8-16(39-26(19)20)11-2-4-12(30)5-3-11/h2-5,7-8,10,17-18,21-25,27-32,34-38H,6,9H2,1H3/t10-,17+,18-,21+,22+,23-,24-,25+,27-,28-/m1/s1",ALHVQGHLJVWKAG-DJGSNPDASA-N,山楂叶
