                                                                        山香圆叶化学成分分析,,,,,,,,,,,
编号,化合物名称,英文名称,分子式,分子量,CAS,2D图,化合物种类,smiles,inchi,inchikey,药材名称
SXYY-001,科罗索酸-28-O-β-D-吡喃葡萄糖苷,/,C36H58O9,634.4081,/,,三萜类[1],[H][C@@]12[C@@](CC[C@@H](C)[C@@H]2C)(C(O[C@@H]3[C@@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)=O)CC[C@@]4(C)[C@]5(C)CC[C@@]6([H])C(C)(C)[C@@H](O)[C@H](O)C[C@]6(C)[C@@]5([H])CC=C41,"InChI=1S/C36H58O9/c1-18-10-13-36(31(43)45-30-28(41)27(40)26(39)22(17-37)44-30)15-14-34(6)20(25(36)19(18)2)8-9-24-33(5)16-21(38)29(42)32(3,4)23(33)11-12-35(24,34)7/h8,18-19,21-30,37-42H,9-17H2,1-7H3/t18-,19+,21-,22-,23+,24-,25+,26-,27+,28+,29+,30-,33+,34-,35-,36+/m1/s1",HZKJZYRLLBKBHA-ZMTAGOGWSA-N,山香圆叶
SXYY-002,坡模酸,Pomolic acid,C30H48O4,472.3553,13849-91-7,,三萜类[1],OC([C@]12[C@]([C@](O)([C@@H](CC2)C)C)([H])C3=CC[C@@]([C@@]4([C@@](C(C)([C@H](CC4)O)C)([H])CC5)C)([H])[C@]5(C)[C@@]3(CC1)C)=O,"InChI=1S/C30H48O4/c1-18-10-15-30(24(32)33)17-16-27(5)19(23(30)29(18,7)34)8-9-21-26(4)13-12-22(31)25(2,3)20(26)11-14-28(21,27)6/h8,18,20-23,31,34H,9-17H2,1-7H3,(H,32,33)/t18-,20+,21-,22+,23-,26+,27-,28-,29-,30+/m1/s1",ZZTYPLSBNNGEIS-OPAXANQDSA-N,山香圆叶
SXYY-003,23-羟基齐墩果酸,/,C30H48O4,472.3553,168254-95-3,,三萜类[1],C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@@]1([H])CC[C@]3(C)[C@]2([H])CC=C4[C@@]3(C)CCC5(C(O)=O)[C@@]4([H])CC(C)(C)CC5,"InChI=1S/C30H48O4/c1-25(2)13-15-30(24(33)34)16-14-28(5)19(20(30)17-25)7-8-22-26(3)11-10-23(32)27(4,18-31)21(26)9-12-29(22,28)6/h7,20-23,31-32H,8-18H2,1-6H3,(H,33,34)/t20-,21+,22+,23+,26-,27-,28+,29+,30?/m0/s1",PGOYMURMZNDHNS-UGEREDLHSA-N,山香圆叶
SXYY-004,积雪草苷A,Madecassoside,C48H78O20,974.5086,34540-22-2,,三萜类[1],OC[C@H]([C@H]([C@@H]([C@H]1O)O)O[C@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)C)O)O)O)O[C@H]1OC[C@H]([C@H]([C@@H]([C@H]3O)O)O)O[C@H]3OC([C@]45[C@]([C@H]([C@@H](CC5)C)C)([H])C6=CC[C@@]([C@@]7([C@@]([C@@](C)([C@H]([C@@H](C7)O)O)CO)([H])[C@@H](C8)O)C)([H])[C@]8(C)[C@@]6(CC4)C)=O,"InChI=1S/C48H78O20/c1-19-10-11-48(13-12-46(6)22(28(48)20(19)2)8-9-27-44(4)14-24(52)39(61)45(5,18-50)38(44)23(51)15-47(27,46)7)43(62)68-42-35(59)32(56)30(54)26(66-42)17-63-40-36(60)33(57)37(25(16-49)65-40)67-41-34(58)31(55)29(53)21(3)64-41/h8,19-21,23-42,49-61H,9-18H2,1-7H3/t19-,20+,21+,23-,24-,25-,26-,27-,28+,29+,30-,31-,32+,33-,34-,35-,36-,37-,38-,39+,40-,41+,42+,44-,45+,46-,47-,48+/m1/s1",BNMGUJRJUUDLHW-HCZMHFOYSA-N,山香圆叶
SXYY-005,2α，3α，23-三羟乌苏酸,/,C30H48O5,488.3502,116348-15-3,,三萜类[1],[H][C@@]12[C@@](CC[C@@H](C)[C@@H]2C)(C(O)=O)CC[C@@]3(C)[C@]4(C)CC[C@@]5([H])C(CO)(C)[C@@H](O)[C@@H](O)C[C@]5(C)[C@@]4([H])CC=C31,"InChI=1S/C30H48O5/c1-17-9-12-30(25(34)35)14-13-28(5)19(23(30)18(17)2)7-8-22-26(3)15-20(32)24(33)27(4,16-31)21(26)10-11-29(22,28)6/h7,17-18,20-24,31-33H,8-16H2,1-6H3,(H,34,35)/t17-,18+,20+,21-,22-,23+,24+,26+,27?,28-,29-,30?/m1/s1",JXSVIVRDWWRQRT-IPLXRMMDSA-N,山香圆叶
SXYY-006,乌苏酸,Ursolic acid,C30H48O3,456.3603,77-52-1,,三萜类[1],OC([C@]12[C@]([C@H]([C@@H](CC2)C)C)([H])C3=CC[C@@]([C@@]4([C@@](C(C)([C@H](CC4)O)C)([H])CC5)C)([H])[C@]5(C)[C@@]3(CC1)C)=O,"InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-24,31H,9-17H2,1-7H3,(H,32,33)/t18-,19+,21+,22-,23+,24+,27+,28-,29-,30+/m1/s1",WCGUUGGRBIKTOS-GPOJBZKASA-N,山香圆叶
SXYY-007,咖啡酸,Caffeic acid,C9H8O4,180.0423,331-39-5,,酚酸类[1],OC1=C(O)C=C(/C=C/C(O)=O)C=C1,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+",QAIPRVGONGVQAS-DUXPYHPUSA-N,山香圆叶
SXYY-008,3，4-二羟基苯甲酸,Protocatechuic acid,C7H6O4,154.0266,99-50-3,,酚酸类[1],OC1=C(O)C=C(C(O)=O)C=C1,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",YQUVCSBJEUQKSH-UHFFFAOYSA-N,山香圆叶
SXYY-009,对羟基苯甲酸,4-Hydroxybenzoic acid,C7H6O3,138.0317,99-96-7,,酚酸类[1],OC1=CC=C(C(O)=O)C=C1,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",FJKROLUGYXJWQN-UHFFFAOYSA-N,山香圆叶
SXYY-010,绿原酸,Chlorogenic acid,C16H18O9,354.0951,327-97-9,,苯丙酸类[1],OC(C=C1/C=C/C(O[C@@H]2C[C@@](O)(C[C@H]([C@H]2O)O)C(O)=O)=O)=C(C=C1)O,"InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14-,16+/m1/s1",CWVRJTMFETXNAD-JUHZACGLSA-N,山香圆叶
