编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,,,,
CX-001,川芎嗪,Tetramethylpyrazine,C8H12N2,136.1980 ,1124-11-4,,生物碱,CC1=C(C)N=C(C)C(C)=N1,InChI=1S/C8H12N2/c1-5-6(2)10-8(4)7(3)9-5/h1-4H3,FINHMKGKINIASC-UHFFFAOYSA-N,川芎
CX-002,藁本内酯,Z-Ligustilide,C12H14O2,190.2420 ,81944-09-4,,挥发油,CCC/C=C1C2=C(C(O/1)=O)C=CCC2,"InChI=1S/C12H14O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h5,7-8H,2-4,6H2,1H3/b11-8-",IQVQXVFMNOFTMU-FLIBITNWSA-N,川芎
CX-003,欧当归内酯A,Levistilide A,C24H28O4,380.4840 ,88182-33-6,,挥发油,CCC/C=C1C2=C(C(O\1)=O)C3C(C4CCC35C(C(O/C5=C\CCC)=O)=C4)CC2,"InChI=1S/C24H28O4/c1-3-5-7-18-16-10-9-15-14-11-12-24(21(15)20(16)23(26)27-18)17(13-14)22(25)28-19(24)8-6-4-2/h7-8,13-15,21H,3-6,9-12H2,1-2H3/b18-7+,19-8-",UBBRXVRQZJSDAK-ASMCTYQMSA-N,川芎
CX-004,洋川芎内酯I,Senkyunolide I,C12H16O4,224.2560 ,94596-28-8,,挥发油,CCC/C=C1C2=C(C(O/1)=O)[C@@H](O)[C@H](O)CC2,"InChI=1S/C12H16O4/c1-2-3-4-9-7-5-6-8(13)11(14)10(7)12(15)16-9/h4,8,11,13-14H,2-3,5-6H2,1H3/b9-4-/t8-,11+/m1/s1",DQNGMIQSXNGHOA-BVVGKJRVSA-N,川芎
CX-005,洋川芎内酯H,Senkyunolide H,C12H16O4,224.2560 ,94596-27-7,,挥发油,CCC/C=C1C2=C(C(O/1)=O)[C@@H](O)[C@@H](O)CC2,"InChI=1S/C12H16O4/c1-2-3-4-9-7-5-6-8(13)11(14)10(7)12(15)16-9/h4,8,11,13-14H,2-3,5-6H2,1H3/b9-4-/t8-,11-/m0/s1",DQNGMIQSXNGHOA-RCBCECLLSA-N,川芎
CX-006,对羟基苯甲酸,4-Hydroxybenzoic acid,C7H6O3,138.1220 ,99-96-7,,酚酸,COC1=C(O)C=CC(C(O)=O)=C1,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)",WKOLLVMJNQIZCI-UHFFFAOYSA-N,川芎
CX-007,香草酸,Vanillic Acid,C8H8O4,168.1480 ,121-34-6,,酚酸,COC1=C(O)C=CC(C(O)=O)=C1,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)",WKOLLVMJNQIZCI-UHFFFAOYSA-N,川芎
CX-008,正壬醛,Nonanal,C9H18O,142.2420 ,124-19-6,,其他,CCCCCCCCC=O,"InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h9H,2-8H2,1H3",GYHFUZHODSMOHU-UHFFFAOYSA-N,川芎
CX-009,洋川芎内酯B,3-Butylidene-7-hydroxyphthalide/senkyunolide B,C12H12O3,204.2250 ,93236-67-0,,挥发油,CCC/C=C1C2=C(C(O/1)=O)C(O)=CC=C2,"InChI=1S/C12H12O3/c1-2-3-7-10-8-5-4-6-9(13)11(8)12(14)15-10/h4-7,13H,2-3H2,1H3/b10-7-",XLFDJKJEYMKLJX-YFHOEESVSA-N,川芎
CX-010,洋川芎内酯K,Senkyunolide K,C12H16O3,208.2570 ,114569-33-4,,挥发油,O=C1O[C@@H](CCCC)C2=C1C=CC[C@H]2O,"InChI=1S/C12H16O3/c1-2-3-7-10-11-8(12(14)15-10)5-4-6-9(11)13/h4-5,9-10,13H,2-3,6-7H2,1H3/t9-,10+/m1/s1",BPZGLXVGANTPTC-ZJUUUORDSA-N,川芎
