编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,类别,smiles,inchi,inchikey,药材名称
GZ-001,槲皮素,quercetin,117-39-5,302.238,C15H10O7,,黄酮,OC1=C(C2=CC=C(O)C(O)=C2)OC3=C(C1=O)C(O)=CC(O)=C3,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,广枣
GZ-002, 双氢槲皮素,dihydroquercetin,480-18-2,304.254, C15H12O7,,黄酮,OC1=CC(O[C@@H]([C@H]2O)C(C=C3O)=CC=C3O)=C(C(O)=C1)C2=O,"InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H/t14-,15+/m0/s1",CXQWRCVTCMQVQX-LSDHHAIUSA-N,广枣
GZ-003,山柰酚 ,kaempferol,520-18-3,286.239,C15H10O6,,黄酮,OC1=CC(OC(C(C=C2)=CC=C2O)=C3O)=C(C(O)=C1)C3=O,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,广枣
GZ-004,(+)-儿茶素,(+)- catechin,154-23-4,290.271,C15H14O6,,黄酮,O[C@H]([C@@H](C1=CC=C(O)C(O)=C1)O2)CC3=C2C=C(O)C=C3O,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m0/s1",PFTAWBLQPZVEMU-DZGCQCFKSA-N,广枣
GZ-005,表儿茶素, L-Epicatechin,490-46-0,290.271,C15H14O6,,黄酮,O[C@@H]([C@@H](C1=CC=C(O)C(O)=C1)O2)CC3=C2C=C(O)C=C3O,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m1/s1",PFTAWBLQPZVEMU-UKRRQHHQSA-N,广枣
GZ-006,二聚儿茶素 ,Dimeric catechin,29106-49-8,578.526,C30H26O12,,黄酮,O[C@@H]([C@@H](C1=CC=C(O)C(O)=C1)O2)C(C3=C(O)C=C(O)C4=C3O[C@H](C5=CC=C(O)C(O)=C5)[C@H](O)C4)C6=C2C=C(O)C=C6O,"InChI=1S/C30H26O12/c31-13-7-20(37)24-23(8-13)41-29(12-2-4-16(33)19(36)6-12)27(40)26(24)25-21(38)10-17(34)14-9-22(39)28(42-30(14)25)11-1-3-15(32)18(35)5-11/h1-8,10,22,26-29,31-40H,9H2/t22-,26?,27-,28-,29-/m1/s1",XFZJEEAOWLFHDH-ATEOAPGCSA-N,广枣
GZ-007,柚皮素,naringenin,480-41-1,272.256,C15H12O5,,黄酮,OC(C=C1)=CC=C1[C@@H](O2)CC(C3=C2C=C(O)C=C3O)=O,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m0/s1",FTVWIRXFELQLPI-ZDUSSCGKSA-N,广枣
GZ-008,芦丁,Rutin,153-18-4,610.521, C27H30O16,,黄酮,OC(C=C1)=C(O)C=C1C2=C(O[C@@H]3O[C@H](CO[C@H]4[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O4)[C@@H](O)[C@H](O)[C@H]3O)C(C5=C(O)C=C(O)C=C5O2)=O,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m0/s1",IKGXIBQEEMLURG-NVPNHPEKSA-N,广枣
GZ-009,金丝桃苷(槲皮素-3-O-β-D-吡喃半乳糖苷),Hyperoside,482-36-0,464.379,C21H20O12,,黄酮,OC(C=C1)=C(O)C=C1C2=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(C4=C(O)C=C(O)C=C4O2)=O,"InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15-,17+,18-,21+/m1/s1",OVSQVDMCBVZWGM-QSOFNFLRSA-N,广枣
GZ-010,槲皮苷(槲皮素-3-O-鼠李糖苷) ,quercetin,522-12-3,448.38,C21H20O11,,黄酮,OC(C(O)=C1)=CC=C1C(O2)=C(O[C@H]3[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O3)C(C4=C2C=C(O)C=C4O)=O,"InChI=1S/C21H20O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-18,21-26,28-29H,1H3/t7-,15-,17+,18+,21-/m0/s1",OXGUCUVFOIWWQJ-HQBVPOQASA-N,广枣
GZ-011,山柰酚-7-O-葡萄糖苷 ,Kaempferol-7-glucoside,16290-07-6,448.38,C21H20O11,,黄酮,O[C@@H]1[C@@H](O)[C@H](OC2=CC3=C(C(C(O)=C(C4=CC=C(O)C=C4)O3)=O)C(O)=C2)O[C@H](CO)[C@H]1O,"InChI=1S/C21H20O11/c22-7-13-15(25)17(27)19(29)21(32-13)30-10-5-11(24)14-12(6-10)31-20(18(28)16(14)26)8-1-3-9(23)4-2-8/h1-6,13,15,17,19,21-25,27-29H,7H2/t13-,15-,17+,19-,21-/m1/s1",YPWHZCPMOQGCDQ-HMGRVEAOSA-N,广枣
GZ-012,3-阿拉伯糖葡糖基槲皮素 (槲皮素-3-O-(阿拉伯糖苷-葡萄糖苷)  ,Peltatoside,23284-18-6,596.494,C26H28O16,,黄酮,OC1=CC=C(C(O2)=C(O[C@@H]3O[C@H](CO[C@H]4[C@H](O)[C@@H](O)[C@@H](O)CO4)[C@@H](O)[C@H](O)[C@H]3O)C(C5=C2C=C(O)C=C5O)=O)C=C1O,"InChI=1S/C26H28O16/c27-9-4-12(30)16-14(5-9)40-23(8-1-2-10(28)11(29)3-8)24(19(16)34)42-26-22(37)20(35)18(33)15(41-26)7-39-25-21(36)17(32)13(31)6-38-25/h1-5,13,15,17-18,20-22,25-33,35-37H,6-7H2/t13-,15+,17-,18+,20-,21+,22+,25-,26-/m0/s1",YNMFDPCLPIMRFD-KSPKLRDJSA-N,广枣
GZ-013,香草酸 ,vanillic acid,121-34-6,168.148,C8H8O4,,酚酸,OC1=CC=C(C(O2)=C(O[C@@H]3O[C@H](CO[C@H]4[C@H](O)[C@@H](O)[C@@H](O)CO4)[C@@H](O)[C@H](O)[C@H]3O)C(C5=C2C=C(O)C=C5O)=O)C=C1O,"InChI=1S/C26H28O16/c27-9-4-12(30)16-14(5-9)40-23(8-1-2-10(28)11(29)3-8)24(19(16)34)42-26-22(37)20(35)18(33)15(41-26)7-39-25-21(36)17(32)13(31)6-38-25/h1-5,13,15,17-18,20-22,25-33,35-37H,6-7H2/t13-,15+,17-,18+,20-,21+,22+,25-,26-/m0/s1",YNMFDPCLPIMRFD-KSPKLRDJSA-N,广枣
GZ-014,水杨酸,salicylic acid,69-72-7,138.122,C7H6O3,,酚酸,OC1=C(C(O)=O)C=CC=C1,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",YGSDEFSMJLZEOE-UHFFFAOYSA-N,广枣
GZ-015,对氢醌(对苯二酚),hydroquinone,123-31-9,110.112,C6H6O2,,酚酸,OC1=CC=C(O)C=C1,"InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H",QIGBRXMKCJKVMJ-UHFFFAOYSA-N,广枣
GZ-016,原儿茶酸,Protocatechuic acid,99-50-3,154.121,C7H6O4,,酚酸,OC1=C(O)C=CC(C(O)=O)=C1,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",YQUVCSBJEUQKSH-UHFFFAOYSA-N,广枣
GZ-017,没食子酸,gallic acid,149-91-7,170.12, C7H6O5,,酚酸,OC1=C(O)C(O)=CC(C(O)=O)=C1,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N,广枣
GZ-018,脱氢双没食子酸,dehydrodigallic acid,5693-34-5,338.224,C14H10O10,,酚酸,OC1=C(O)C(OC2=C(C(O)=O)C=C(O)C(O)=C2O)=CC(C(O)=O)=C1,"InChI=1S/C14H10O10/c15-6-1-4(13(20)21)2-8(9(6)17)24-12-5(14(22)23)3-7(16)10(18)11(12)19/h1-3,15-19H,(H,20,21)(H,22,23)",UFTJIVPLVDDULX-UHFFFAOYSA-N,广枣
GZ-019,对羟基苯甲酸 ,p-Hydroxybenzoic acid,99-96-7,138.122,C7H6O3,,酚酸,OC1=CC=C(C(O)=O)C=C1,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",FJKROLUGYXJWQN-UHFFFAOYSA-N,广枣
GZ-020,间羟基苯甲酸 ,m-Hydroxybenzoic acid,99-06-9、,138.122,C7H6O3,,酚酸,OC1=CC(C(O)=O)=CC=C1,"InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)",IJFXRHURBJZNAO-UHFFFAOYSA-N,广枣
GZ-021,诃子次酸 ,Chebulic acid,23725-05-5,356.239,C14H12O11,,酚酸,OC1=C(O)C=C2C([C@H]([C@@H](C(O)=O)CC(O)=O)[C@@H](C(O)=O)OC2=O)=C1O,"InChI=1S/C14H12O11/c15-5-1-4-7(10(19)9(5)18)8(3(12(20)21)2-6(16)17)11(13(22)23)25-14(4)24/h1,3,8,11,15,18-19H,2H2,(H,16,17)(H,20,21)(H,22,23)/t3-,8-,11-/m0/s1",COZMWVAACFYLBI-XJEVXTIOSA-N,广枣
GZ-022,没食子酸乙酯 ,Ethyl gallate,831-61-8,198.174,C9H10O5,,酚酸,OC1=C(O)C(O)=CC(C(OCC)=O)=C1,"InChI=1S/C9H10O5/c1-2-14-9(13)5-3-6(10)8(12)7(11)4-5/h3-4,10-12H,2H2,1H3",VFPFQHQNJCMNBZ-UHFFFAOYSA-N,广枣
GZ-023,邻苯二甲酸二丁酯 ,Dibuty phthalate,84-74-2,278.348,C16H22O4,,其他,O=C(OCCCC)C1=C(C(OCCCC)=O)C=CC=C1,"InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3",DOIRQSBPFJWKBE-UHFFFAOYSA-N,广枣
GZ-024,邻苯二甲酸二异丁酯 ,Diisobutyl phthalate,84-69-5,278.348,C16H22O4,,其他,O=C(OCC(C)C)C1=C(C(OCC(C)C)=O)C=CC=C1,"InChI=1S/C16H22O4/c1-11(2)9-19-15(17)13-7-5-6-8-14(13)16(18)20-10-12(3)4/h5-8,11-12H,9-10H2,1-4H3",MGWAVDBGNNKXQV-UHFFFAOYSA-N,广枣
GZ-025,邻苯二甲酸二 (2-乙基-己基) 酯,bis(2-ethylhexyl) phthalate,117-81-7,390.564,C24H38O4,,其他,O=C(OCC(CCCC)CC)C1=C(C(OCC(CC)CCCC)=O)C=CC=C1,"InChI=1S/C24H38O4/c1-5-9-13-19(7-3)17-27-23(25)21-15-11-12-16-22(21)24(26)28-18-20(8-4)14-10-6-2/h11-12,15-16,19-20H,5-10,13-14,17-18H2,1-4H3",BJQHLKABXJIVAM-UHFFFAOYSA-N,广枣
GZ-026,5-羟甲基糠醛 ,5-Hydroxymethylfurfural,67-47-0,126.111, C6H6O3,,其他,O=CC1=CC=C(CO)O1,"InChI=1S/C6H6O3/c7-3-5-1-2-6(4-8)9-5/h1-3,8H,4H2",NOEGNKMFWQHSLB-UHFFFAOYSA-N,广枣
GZ-027,原儿茶醛 ,"3,4-Dihydroxybenzaldehyde",139-85-5,138.122,C7H6O3,,酚酸,OC(C=C1)=C(C=C1C=O)O,"InChI=1S/C7H6O3/c8-4-5-1-2-6(9)7(10)3-5/h1-4,9-10H",IBGBGRVKPALMCQ-UHFFFAOYSA-N,广枣
GZ-028,异香草醛,isovanillin,621-59-0,152.149,C8H8O3,,酚酸,COC(C=C1)=C(C=C1C=O)O,"InChI=1S/C8H8O3/c1-11-8-3-2-6(5-9)4-7(8)10/h2-5,10H,1H3",JVTZFYYHCGSXJV-UHFFFAOYSA-N,广枣
GZ-029,丁香醛,Syringaldehyde,134-96-3,182.175, C9H10O4,,酚酸,COC1=CC(C=O)=CC(OC)=C1O,"InChI=1S/C9H10O4/c1-12-7-3-6(5-10)4-8(13-2)9(7)11/h3-5,11H,1-2H3",KCDXJAYRVLXPFO-UHFFFAOYSA-N,广枣
GZ-030,苹果酸,Malic acid,87-69-4,134.087,C4H6O5,,酚酸,OC(C(O)CC(O)=O)=O,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)",BJEPYKJPYRNKOW-UHFFFAOYSA-N,广枣
GZ-031,2-异丙基苹果酸 ,2-Isopropyl malic acid,3237-44-3,176.168,C7H12O5,,酚酸,OC(C(C(C)C)(O)CC(O)=O)=O,"InChI=1S/C7H12O5/c1-4(2)7(12,6(10)11)3-5(8)9/h4,12H,3H2,1-2H3,(H,8,9)(H,10,11)",BITYXLXUCSKTJS-UHFFFAOYSA-N,广枣
GZ-032,琥珀酸,Succinic acid,110-15-6,118.088,C4H6O4,,酚酸,OC(CCC(O)=O)=O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",KDYFGRWQOYBRFD-UHFFFAOYSA-N,广枣
GZ-033,泛酸  ,Vitamin B5,79-83-4,219.237,C9H17NO5,,酚酸,OC(C(O)CC(O)=O)=O,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)",BJEPYKJPYRNKOW-UHFFFAOYSA-N,广枣
GZ-034,葡萄糖酸,Gluconic acid,526-95-4,196.155,C6H12O7,,酚酸,OC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/t2-,3-,4+,5-/m1/s1",RGHNJXZEOKUKBD-SQOUGZDYSA-N,广枣
GZ-035,酒石酸,Tartaric acid,526-95-4,150.086,C4H6O6,,酚酸,OC([C@H](O)[C@@H](O)C(O)=O)=O,"InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)/t1-,2-/m1/s1",FEWJPZIEWOKRBE-JCYAYHJZSA-N,广枣
GZ-036,柠檬酸(2-羟基-2-羧基-戊二酸),citric acid,77-92-9,192.123,C6H8O7,,酚酸,OC(CC(O)=O)(C(O)=O)CC(O)=O,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",KRKNYBCHXYNGOX-UHFFFAOYSA-N,广枣
GZ-037,"柠檬酸甲酯( 2-羟基-1,2,3-丙烷三羧酸-2-甲酯)","2-Hydroxy-1,2,3-propane tricarboxylic acid-2-methyl ester",26163-65-5,206.15, C7H10O7,,酚酸,OC(CC(O)=O)(C(OC)=O)CC(O)=O,"InChI=1S/C7H10O7/c1-14-6(12)7(13,2-4(8)9)3-5(10)11/h13H,2-3H2,1H3,(H,8,9)(H,10,11)",HCVBQXINVUFVCE-UHFFFAOYSA-N,广枣
GZ-038,"柠檬酸乙酯( 2-羟基-1,2,3-丙烷三羧酸-2-乙酯)","2-Hydroxy-1,2,3-propane tricarboxylic acid-2-ethyl ester
",4552-01-6、,220.177, C8H12O7,,酚酸,OC(CC(O)=O)(C(OC)=O)CC(O)=O,"InChI=1S/C7H10O7/c1-14-6(12)7(13,2-4(8)9)3-5(10)11/h13H,2-3H2,1H3,(H,8,9)(H,10,11)",HCVBQXINVUFVCE-UHFFFAOYSA-N,广枣
GZ-039,十六烷酸(棕榈酸),palmitic acid,57-10-3、,256.43, C16H32O2,,脂肪酸,CCCCCCCCCCCCCCCC(O)=O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,广枣
GZ-040,十六烷二酸 ,Hexadecanedioic acid,505-54-4,286.412,C16H30O4,,脂肪酸,OC(CCCCCCCCCCCCCCC(O)=O)=O,"InChI=1S/C16H30O4/c17-15(18)13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(19)20/h1-14H2,(H,17,18)(H,19,20)",QQHJDPROMQRDLA-UHFFFAOYSA-N,广枣
GZ-041,十八烷酸(硬脂酸),stearic acid,57-11-4、,284.484,C18H36O2,,脂肪酸,O=C(O)CCCCCCCCCCCCCCCCC,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)",QIQXTHQIDYTFRH-UHFFFAOYSA-N,广枣
GZ-042,二十烷酸,arachidic acid,506-30-9,312.538, C20H40O2,,脂肪酸,O=C(O)CCCCCCCCCCCCCCCCCCC,"InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,22)",VKOBVWXKNCXXDE-UHFFFAOYSA-N,广枣
GZ-043,三十烷酸,triacontanoic acid,6915-15-7,452.808,C30H60O2,,脂肪酸,OC(CCCCCCCCCCCCCCCCCCCCCCCCCCCCC)=O,"InChI=1S/C30H60O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30(31)32/h2-29H2,1H3,(H,31,32)",VHOCUJPBKOZGJD-UHFFFAOYSA-N,广枣
GZ-044,蜡酸,Cerotic acid,506-46-7,396.7,C26H52O2,,脂肪酸,CCCCCCCCCCCCCCCCCCCCCCCCCC(O)=O,"InChI=1S/C26H52O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26(27)28/h2-25H2,1H3,(H,27,28)",XMHIUKTWLZUKEX-UHFFFAOYSA-N,广枣
GZ-045,亚油酸 ,Linoleic Acid,60-33-3,280.452,C18H32O2,,脂肪酸,CCCCC/C=C\C/C=C\CCCCCCCC(O)=O,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",OYHQOLUKZRVURQ-HZJYTTRNSA-N,广枣
GZ-046,棕榈油酸,palmitoleic acid,10030-73-6,254.414, C16H30O2,,脂肪酸,OC(CCCCCCC/C=C/CCCCCC)=O,"InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/b8-7+",SECPZKHBENQXJG-BQYQJAHWSA-N,广枣
GZ-047,十六酸乙酯 ,Palmitic acid ethyl ester,628-97-7,284.484,C18H36O2,,挥发油,CCCCCCCCCCCCCCCC(OCC)=O,"InChI=1S/C18H36O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20-4-2/h3-17H2,1-2H3",XIRNKXNNONJFQO-UHFFFAOYSA-N,广枣
GZ-048,二十八烷醇,octacosanol,68580-63-2,410.771, C28H58O,,挥发油,OCCCCCCCCCCCCCCCCCCCCCCCCCCCC,"InChI=1S/C28H58O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29/h29H,2-28H2,1H3",CNNRPFQICPFDPO-UHFFFAOYSA-N,广枣
GZ-049,,comenic acid ,499-78-5,156.093, C6H4O5,,酚酸,OC1=COC(C(O)=O)=CC1=O,"InChI=1S/C6H4O5/c7-3-1-5(6(9)10)11-2-4(3)8/h1-2,8H,(H,9,10)",UUUICOMMFFTCHS-UHFFFAOYSA-N,广枣
GZ-050,鞣花酸,ellagic acid,476-66-4,302.194,C14H6O8,,酚酸,O=C(C1=CC(O)=C2O)OC3=C(C1=C2OC4=O)C4=CC(O)=C3O,"InChI=1S/C14H6O8/c15-5-1-3-7-8-4(14(20)22-11(7)9(5)17)2-6(16)10(18)12(8)21-13(3)19/h1-2,15-18H",AFSDNFLWKVMVRB-UHFFFAOYSA-N,广枣
GZ-051,3-甲基鞣花酸,3-O-Methylellagic acid,51768-38-8,316.221,C15H8O8,,酚酸,COC1=C(O)C=C(C(C2=C(O3)C(O)=C(O)C=C24)=C1OC4=O)C3=O,"InChI=1S/C15H8O8/c1-21-11-7(17)3-5-9-8-4(15(20)23-13(9)11)2-6(16)10(18)12(8)22-14(5)19/h2-3,16-18H,1H3",FAARLWTXUUQFSN-UHFFFAOYSA-N,广枣
GZ-052,"3, 3’-二甲氧基鞣花酸 ","3,3'-Di-O-methylellagic acid",2239-88-5,330.248,C16H10O8,,酚酸,O=C(C1=CC(O)=C2OC)OC3=C(C1=C2OC4=O)C4=CC(O)=C3OC,"InChI=1S/C16H10O8/c1-21-11-7(17)3-5-9-10-6(15(19)23-13(9)11)4-8(18)12(22-2)14(10)24-16(5)20/h3-4,17-18H,1-2H3",KLAGYIBJNXLDTL-UHFFFAOYSA-N,广枣
GZ-053,甲基鞣花酸-葡萄糖苷 ,Methyl ellagic acid glucoside,864779-30-6,478.362, C21H18O13,,酚酸,O=C1OC2=C(C3=C1C=C(O)C(OC)=C3OC4=O)C4=CC(O[C@H]5OC(CO)[C@H](O)[C@@H](O)[C@@H]5O)=C2O,"InChI=1S/C21H18O13/c1-30-16-7(23)2-5-11-10-6(20(29)34-18(11)16)3-8(13(25)17(10)33-19(5)28)31-21-15(27)14(26)12(24)9(4-22)32-21/h2-3,9,12,14-15,21-27H,4H2,1H3/t9?,12-,14+,15-,21?/m0/s1",BBCVPHJIWIMGCN-HPUMAHOCSA-N,广枣
