编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey,药材名称
YHS-001,延胡索乙素；四氢巴马汀,tetrahydropalmatine,2934-97-6,355.42,C21H25O4N,,生物碱类,COC1=C(CN(CCC2=C3C=C(OC)C(OC)=C2)C3C4)C4=CC=C1OC,"InChI=1S/C21H25NO4/c1-23-18-6-5-13-9-17-15-11-20(25-3)19(24-2)10-14(15)7-8-22(17)12-16(13)21(18)26-4/h5-6,10-11,17H,7-9,12H2,1-4H3",AEQDJSLRWYMAQI-UHFFFAOYSA-N,化橘红
YHS-002,"延胡索碱,延胡索甲素",corydaline,518-69-4,369.44,C22H27NO4,,生物碱类,COC1=C(CN(CCC2=C3C=C(OC)C(OC)=C2)[C@]3([H])[C@H]4C)C4=CC=C1OC,"InChI=1S/C22H27NO4/c1-13-15-6-7-18(24-2)22(27-5)17(15)12-23-9-8-14-10-19(25-3)20(26-4)11-16(14)21(13)23/h6-7,10-11,13,21H,8-9,12H2,1-5H3/t13-,21+/m0/s1",,化橘红
YHS-003,原阿片碱,protopine,130-86-9,353.369,C20H19NO5,,生物碱类,O=C1C2=CC3=C(OCO3)C=C2CCN(C)CC4=C(C=C(OCO5)C5=C4)C1,"InChI=1S/C20H19NO5/c1-21-3-2-12-5-17-20(26-11-23-17)8-15(12)16(22)4-13-6-18-19(25-10-24-18)7-14(13)9-21/h5-8H,2-4,9-11H2,1H3",ZAALQOFZFANFTF-UHFFFAOYSA-N,化橘红
YHS-004,黄连素；小檗碱,berberine,2086-83-1,336.361,C20H18NO4+,,生物碱类,COC1=C(C=[N+](CCC2=C3C=C4C(OCO4)=C2)C3=C5)C5=CC=C1OC,"InChI=1S/C20H18NO4/c1-22-17-4-3-12-7-16-14-9-19-18(24-11-25-19)8-13(14)5-6-21(16)10-15(12)20(17)23-2/h3-4,7-10H,5-6,11H2,1-2H3/q+1",YBHILYKTIRIUTE-UHFFFAOYSA-N,化橘红
YHS-005,黄藤素,palmatine,3486-67-7,352.403,C21H22NO4+,,生物碱类,COC1=C(C=[N+](CCC2=C3C=C(OC)C(OC)=C2)C3=C4)C4=CC=C1OC,"InChI=1S/C21H22NO4/c1-23-18-6-5-13-9-17-15-11-20(25-3)19(24-2)10-14(15)7-8-22(17)12-16(13)21(18)26-4/h5-6,9-12H,7-8H2,1-4H3/q+1",QUCQEUCGKKTEBI-UHFFFAOYSA-N,化橘红
YHS-006,药根碱,jatrorrhizine,3621-38-3,338.377,C20H20NO4+,,生物碱类,OC1C(OC)CC(C2=CC(CCC(OC)C3OC)C3C=[N+]2CC4)C4C1,"InChI=1S/C20H32NO4/c1-23-18-5-4-12-8-16-14-10-19(24-2)17(22)9-13(14)6-7-21(16)11-15(12)20(18)25-3/h8,11-15,17-20,22H,4-7,9-10H2,1-3H3/q+1",SZRZEIBNTHMMEI-UHFFFAOYSA-N,化橘红
YHS-007,黄连碱,coptisine,3486-66-6,320.32,C19H14NO4,,生物碱类,C12=CC=C3C(C=[N+](CCC4=C5C=C6C(OCO6)=C4)C5=C3)=C1OCO2,"InChI=1S/C19H14NO4/c1-2-16-19(24-10-21-16)14-8-20-4-3-12-6-17-18(23-9-22-17)7-13(12)15(20)5-11(1)14/h1-2,5-8H,3-4,9-10H2/q+1",XYHOBCMEDLZUMP-UHFFFAOYSA-N,化橘红
YHS-008,脱氢紫堇碱,dehydrocorydaline,30045-16-0,366.43,C22H24NO4+,,生物碱类,CC1=C2[N+](CCC3=C2C=C(OC)C(OC)=C3)=CC4=C(OC)C(OC)=CC=C41,"InChI=1S/C22H24NO4/c1-13-15-6-7-18(24-2)22(27-5)17(15)12-23-9-8-14-10-19(25-3)20(26-4)11-16(14)21(13)23/h6-7,10-12H,8-9H2,1-5H3/q+1",RFKQJTRWODZPHF-UHFFFAOYSA-N,化橘红
YHS-009,,isocorypalmine,6487-33-8,341.401,C20H23NO4,,生物碱类,COC1=CC=C2C(CN(CCC3=C4C=C(O)C(OC)=C3)C4C2)=C1OC,"InChI=1S/C20H23NO4/c1-23-18-5-4-12-8-16-14-10-17(22)19(24-2)9-13(14)6-7-21(16)11-15(12)20(18)25-3/h4-5,9-10,16,22H,6-8,11H2,1-3H3",KDFKJOFJHSVROC-UHFFFAOYSA-N,化橘红
YHS-010,金罂粟碱,stylopine,84-39-9,323.343,C19H17NO4,,生物碱类,C12=CC3=C(C(CC(C=CC4=C5OCO4)=C5C6)N6CC3)C=C1OCO2,"InChI=1S/C19H17NO4/c1-2-16-19(24-10-21-16)14-8-20-4-3-12-6-17-18(23-9-22-17)7-13(12)15(20)5-11(1)14/h1-2,6-7,15H,3-5,8-10H2",UXYJCYXWJGAKQY-UHFFFAOYSA-N,化橘红
YHS-011,非洲防己碱,columbamine,3621-36-1,338.377,C20H20NO4,,生物碱类,COC1=CC=C2C(C=[N+](CCC3=C4C=C(O)C(OC)=C3)C4=C2)=C1OC,"InChI=1S/C20H19NO4/c1-23-18-5-4-12-8-16-14-10-17(22)19(24-2)9-13(14)6-7-21(16)11-15(12)20(18)25-3/h4-5,8-11H,6-7H2,1-3H3/p+1",YYFOFDHQVIODOQ-UHFFFAOYSA-O,化橘红
YHS-012,四氢黄连碱,tetrahydrocoptisine,4312-32-7,323.343,C19H17NO4,,生物碱类,C1(OCO2)=C2C=C(CCN3C4CC5=C(C(OCO6)=C6C=C5)C3)C4=C1,"InChI=1S/C19H17NO4/c1-2-16-19(24-10-21-16)14-8-20-4-3-12-6-17-18(23-9-22-17)7-13(12)15(20)5-11(1)14/h1-2,6-7,15H,3-5,8-10H2",UXYJCYXWJGAKQY-UHFFFAOYSA-N,化橘红
