编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,结构,,,,
DG-001,(E)-藁本内酯,(E)-ligustilide,4431-01-0,C12H14O2,190.2420 ,,挥发油,CCC/C=C1C2=C(C(O/1)=O)C=CCC2,"InChI=1S/C12H14O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h5,7-8H,2-4,6H2,1H3/b11-8-",IQVQXVFMNOFTMU-FLIBITNWSA-N,当归
DG-002,新藁本内酯,neoligustilide,/,C12H14O2,190.2420 ,,挥发油,O=C1O/C(C2=C1C=CCC2)=C/CCC,"InChI=1S/C12H14O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h5,7-8H,2-4,6H2,1H3/b11-8+",IQVQXVFMNOFTMU-DHZHZOJOSA-N,当归
DG-003,,homosenkyunolide H,/,C13H18O4,238.2830 ,,挥发油,OC1CCC2=C(C(O/C2=C\CCCC)=O)C1O,"InChI=1S/C13H18O4/c1-2-3-4-5-10-8-6-7-9(14)12(15)11(8)13(16)17-10/h5,9,12,14-15H,2-4,6-7H2,1H3/b10-5-",RPQMMYCOKKAFTQ-YHYXMXQVSA-N,当归
DG-004,,homosenkyunolide I,/,C13H18O4,238.2830 ,,挥发油,CCCC/C=C1OC(C2=C\1CC[C@@H](O)C2O)=O,"InChI=1S/C13H18O4/c1-2-3-4-5-10-8-6-7-9(14)12(15)11(8)13(16)17-10/h5,9,12,14-15H,2-4,6-7H2,1H3/b10-5-/t9-,12?/m1/s1",RPQMMYCOKKAFTQ-BTTZMSGNSA-N,当归
DG-005,当归酸(Z)-藁苯内酯-11-醇酯,11-angeloylsenkyunolide F,/,C17H20O4,288.3430 ,,苯丙素,O=C(O/C1=C\C(OC(/C(C)=C\C)=O)CC)C2=C1CCC=C2,"InChI=1S/C17H20O4/c1-4-11(3)16(18)20-12(5-2)10-15-13-8-6-7-9-14(13)17(19)21-15/h4,7,9-10,12H,5-6,8H2,1-3H3/b11-4-,15-10-",JZZIVNUYKVAAGC-ACUFNPKWSA-N,当归
DG-006,"2,7-二羟基-藁本内酯","1(3H)-isobenzofuranone, 3-butylidene-3a,4,5,7a-tetrahydro-3a,7a-dihydroxy- (9CI, ACI)",/,C12H16O4,224.2560 ,,挥发油,O=C(O/1)C2(O)C=CCCC2(O)C1=C\CCC,"InChI=1S/C12H16O4/c1-2-3-6-9-11(14)7-4-5-8-12(11,15)10(13)16-9/h5-6,8,14-15H,2-4,7H2,1H3/b9-6-",SDCZSDPLBVZMKJ-TWGQIWQCSA-N,当归
DG-007,"8,11-二羟基-藁本内酯","1(3H)-isobenzofuranone, 4,5-dihydro-3-hydroxy-3-(2-hydroxybutyl)- (9CI, ACI)",/,C17H20O4,288.3430 ,,挥发油,CC(OC(/C(C)=C\C)=O)CCC1OC(C2=CC=CC=C21)=O,"InChI=1S/C17H20O4/c1-4-11(2)16(18)20-12(3)9-10-15-13-7-5-6-8-14(13)17(19)21-15/h4-8,12,15H,9-10H2,1-3H3/b11-4-",JSAGVPHDQLARCV-WCIBSUBMSA-N,当归
DG-008,,10-angeloylbutylphthalide,/,C13H18O4,238.2830 ,,挥发油,O[C@H]1CCC2=C(C(O/C2=C\CCC)=O)[C@@H]1OC,"InChI=1S/C13H18O4/c1-3-4-5-10-8-6-7-9(14)12(16-2)11(8)13(15)17-10/h5,9,12,14H,3-4,6-7H2,1-2H3/b10-5-/t9-,12?/m0/s1",XJEUNELMMQEXLN-SCFYFGTPSA-N,当归
DG-009,Z-6-羟基-7-甲氧基-藁本内酯,Z-6-hydroxyl-7-methoxyligustilide,/,C14H18O5,266.2930 ,,挥发油,CCC/C=C1OC(C2=C\1CC[C@@H](O)[C@H]2OC(C)=O)=O,"InChI=1S/C14H18O5/c1-3-4-5-11-9-6-7-10(16)13(18-8(2)15)12(9)14(17)19-11/h5,10,13,16H,3-4,6-7H2,1-2H3/b11-5-/t10-,13-/m1/s1",YEQXOFUEVRHYOA-QAHDKZLHSA-N,当归
DG-010,洋川芎内酯 H-7-乙酸酯,senkyunolide H-7-acetate,/,C12H16O5,240.2550 ,,挥发油,CC[C@@H](O)/C=C1OC(C2=C\1CC[C@H](O)[C@H]2O)=O,"InChI=1S/C12H16O5/c1-2-6(13)5-9-7-3-4-8(14)11(15)10(7)12(16)17-9/h5-6,8,11,13-15H,2-4H2,1H3/b9-5-/t6-,8+,11-/m1/s1",XJGANEFDEDYAJS-QPICXUTDSA-N,当归
