编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,smiles,inchi,inchikey,药材名称
ZSG—1,岩白菜素,Bergenin,477-90-7,328.271 ,C14H16O9,,香豆素,O=C1O[C@@]([C@H]2O)([H])[C@](O[C@H](CO)[C@H]2O)([H])C3=C1C=C(O)C(OC)=C3O,"InChI=1S/C14H16O9/c1-21-11-5(16)2-4-7(9(11)18)12-13(23-14(4)20)10(19)8(17)6(3-15)22-12/h2,6,8,10,12-13,15-19H,3H2,1H3/t6-,8-,10+,12+,13-/m1/s1",YWJXCIXBAKGUKZ-HJJNZUOJSA-N,朱砂根
ZSG—2,[(7-羟基-4-甲基-2-氧代-2H-色烯-6-基)氧基]乙酸,[(7-hydroxy-4-methyl-2-oxo-2H-chromen-6-yl)oxy]acetic acid,/,249.200 ,C12H9O6,,香豆素,O=C(O)COC1=CC(C(C)=CC2=O)=C(O2)C=C1O,"InChI=1S/C12H10O6/c1-6-2-12(16)18-9-4-8(13)10(3-7(6)9)17-5-11(14)15/h2-4,13H,5H2,1H3,(H,14,15)",VVDLFTOOMLZFRO-UHFFFAOYSA-N,朱砂根
ZSG—3, 秦皮乙素,"6,7-Dihydroxycoumarin",305-01-1,178.141 ,C9H6O4,,香豆素,O=C1OC2=C(C=C(O)C(O)=C2)C=C1,"InChI=1S/C9H6O4/c10-6-3-5-1-2-9(12)13-8(5)4-7(6)11/h1-4,10-11H",ILEDWLMCKZNDJK-UHFFFAOYSA-N,朱砂根
ZSG—4,秦皮素,Fraxetin,574-84-5,208.167 ,C10H8O5,,香豆素,OC(C(OC1=O)=C(C=C1)C=C2OC)=C2O,"InChI=1S/C10H8O5/c1-14-6-4-5-2-3-7(11)15-10(5)9(13)8(6)12/h2-4,12-13H,1H3",HAVWRBANWNTOJX-UHFFFAOYSA-N,朱砂根
ZSG—5,4-甲基伞形酮葡萄糖醛酸,4-Methylumbelliferyl-beta-D-glucuronide,6160-80-1,352.293 ,C16H16O9,,香豆素,O[C@H]([C@H]([C@@H]([C@@H](C(O)=O)O1)O)O)C1OC2=CC(O3)=C(C=C2)C(C)=CC3=O,"InChI=1S/C16H16O9/c1-6-4-10(17)24-9-5-7(2-3-8(6)9)23-16-13(20)11(18)12(19)14(25-16)15(21)22/h2-5,11-14,16,18-20H,1H3,(H,21,22)/t11-,12-,13+,14-,16?/m0/s1",ARQXEQLMMNGFDU-AKFOCJAPSA-N,朱砂根
ZSG—6,滨蒿内酯,"6,7-dimethoxy-2H-chromen-2-one",120-08-1,206.195 ,C11H10O4,,香豆素,O=C(C=C1)OC2=C1C=C(OC)C(OC)=C2,"InChI=1S/C11H10O4/c1-13-9-5-7-3-4-11(12)15-8(7)6-10(9)14-2/h3-6H,1-2H3",GUAFOGOEJLSQBT-UHFFFAOYSA-N,朱砂根
ZSG—7,去甲岩白菜素,norbergenin,79595-97-4,314.245 ,C13H14O9,,香豆素,O=C1OC(C2O)C(OC(C2O)CO)C3=C1C=C(O)C(O)=C3O,"InChI=1S/C13H14O9/c14-2-5-8(17)10(19)12-11(21-5)6-3(13(20)22-12)1-4(15)7(16)9(6)18/h1,5,8,10-12,14-19H,2H2",GDYGAIKPBLFCKR-UHFFFAOYSA-N,朱砂根
ZSG—8,11-O-丁香酰基岩白菜素, 11-O-syringylbergenin,126485-47-0,508.429 ,C23H24O13,,香豆素,COC1=C(C=C(C(C2C(O3)C(O)C(O)C(COC(C4=CC(OC)=C(O)C(OC)=C4)=O)O2)=C1O)C3=O)O,"InChI=1S/C23H24O13/c1-31-11-4-8(5-12(32-2)15(11)25)22(29)34-7-13-16(26)18(28)21-20(35-13)14-9(23(30)36-21)6-10(24)19(33-3)17(14)27/h4-6,13,16,18,20-21,24-28H,7H2,1-3H3",GXCBETDJJWPGAQ-UHFFFAOYSA-N,朱砂根
ZSG—9,11-O-没食子酰岩白菜素,11-O-Galloylbergenin,82958-44-9,480.382 ,C21H20O13,,香豆素,O=C(OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@]([C@]1([H])C2=C3C=C(O)C(OC)=C2O)([H])OC3=O)C4=CC(O)=C(O)C(O)=C4,"InChI=1S/C21H20O13/c1-31-17-10(24)4-7-12(15(17)27)18-19(34-21(7)30)16(28)14(26)11(33-18)5-32-20(29)6-2-8(22)13(25)9(23)3-6/h2-4,11,14,16,18-19,22-28H,5H2,1H3/t11-,14-,16+,18+,19-/m1/s1",CDRRULDABVKKHU-YQBPHPIXSA-N,朱砂根
ZSG—10,朱砂根皂苷A,ardisicrenoside A, 160824-52-2,1077.270 ,C53H88O22,,三萜,O[C@H]1[C@H](O[C@H]2[C@H](O[C@H]3CO[C@@H](O[C@@H]4C(C)(C)[C@]5([H])CC[C@@]6(C)[C@]7(C)C[C@@H](O)[C@@]8(CO9)CC[C@](C)(CO)C[C@@]8([H])[C@]97CC[C@]6([H])[C@@]5(C)CC4)[C@H](O[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%10O)[C@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)O[C@@H](C)[C@H](O)[C@H]1O,"InChI=1S/C53H88O22/c1-23-32(58)36(62)39(65)43(69-23)75-42-38(64)34(60)25(19-55)71-46(42)72-26-20-67-45(41(35(26)61)74-44-40(66)37(63)33(59)24(18-54)70-44)73-31-10-11-49(5)27(47(31,2)3)8-12-50(6)28(49)9-13-53-29-16-48(4,21-56)14-15-52(29,22-68-53)30(57)17-51(50,53)7/h23-46,54-66H,8-22H2,1-7H3/t23-,24+,25+,26-,27-,28+,29+,30+,31-,32-,33+,34+,35-,36+,37-,38-,39+,40+,41+,42+,43-,44-,45-,46-,48-,49-,50+,51-,52+,53-/m0/s1",LTTSWSWZQNISIB-LLEYBADXSA-N,朱砂根
ZSG—11,"2α,3α,19α,23-四羟基乌苏-12-烯-28-酸",23-hydroxytormentic acid,89786-84-5,504.708 ,C30H48O6,,三萜,C[C@@]1(CO)[C@@H](O)[C@H](O)C[C@]2(C)[C@@]3([H])CC=C4[C@]5([H])[C@](C)(O)[C@H](C)CC[C@@](C(O)=O)5CC[C@](C)4[C@@](C)3CC[C@@]12[H],"InChI=1S/C30H48O6/c1-17-9-12-30(24(34)35)14-13-27(4)18(22(30)29(17,6)36)7-8-21-25(2)15-19(32)23(33)26(3,16-31)20(25)10-11-28(21,27)5/h7,17,19-23,31-33,36H,8-16H2,1-6H3,(H,34,35)/t17-,19-,20-,21-,22-,23+,25+,26+,27-,28-,29-,30+/m1/s1",YCOKATFNRPZIIU-NIZSJLHKSA-N,朱砂根
ZSG—12,朱砂根皂苷B,ardisicrenoside B,160791-12-8,1063.240 ,C52H86O22,,三萜,O[C@H]1[C@H](O[C@H]2[C@H](O[C@@H]3C(C)(C)[C@]4([H])CC[C@@]5(C)[C@]6(C)C[C@@H](O)[C@@]7(CO8)CC[C@](C)(CO)C[C@@]7([H])[C@]86CC[C@]5([H])[C@@]4(C)CC3)OC[C@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O[C@@H]%10OC[C@@H](O)[C@H](O)[C@H]%10O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,"InChI=1S/C52H86O22/c1-46(2)27-7-11-49(5)28(8-12-52-29-15-47(3,21-55)13-14-51(29,22-68-52)30(57)16-50(49,52)6)48(27,4)10-9-31(46)72-44-40(74-43-39(65)36(62)33(59)24(17-53)69-43)35(61)26(20-67-44)71-45-41(37(63)34(60)25(18-54)70-45)73-42-38(64)32(58)23(56)19-66-42/h23-45,53-65H,7-22H2,1-6H3/t23-,24-,25-,26+,27+,28-,29-,30-,31+,32+,33-,34-,35+,36+,37+,38-,39-,40-,41-,42+,43+,44+,45+,47+,48+,49-,50+,51-,52+/m1/s1",RDBUKNALARTFFW-VKKSEJOZSA-N,朱砂根
