编号,化合物名称,英文名称,CAS 号,分子量,分子式,2D 图,,smiles,inchi,inchikey,药物名称
TZ-001,苯甲醛,benzaldehyde,100-52-7,106.12,C7H6O,,其他,O=CC1=CC=CC=C1,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,HUMNYLRZRPPJDN-UHFFFAOYSA-N,桃枝
TZ-002,二十五(碳)烷,pentacosane,629-99-2,352.7,C25H52,,其他,CCCCCCCCCCCCCCCCCCCCCCCCC,"InChI=1S/C25H52/c1-3-5-7-9-11-13-15-17-19-21-23-25-24-22-20-18-16-14-12-10-8-6-4-2/h3-25H2,1-2H3",YKNWIILGEFFOPE-UHFFFAOYSA-N,桃枝
TZ-003,环-16-烷,cyclohexadecane,295-65-8,224.42,C16H32,,其他,C1CCCCCCCCCCCCCCC1,InChI=1S/C16H32/c1-2-4-6-8-10-12-14-16-15-13-11-9-7-5-3-1/h1-16H2,JJWIOXUMXIOXQN-UHFFFAOYSA-N,桃枝
TZ-004,己醛,hexanal,66-25-1,100.16,C6H12O,,其他,O=CCCCCC,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3",JARKCYVAAOWBJS-UHFFFAOYSA-N,桃枝
TZ-005,壬醛,n-nonyl aldehyde,124-19-6,142.24,C9H18O,,其他,O=CCCCCCCCC,"InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h9H,2-8H2,1H3",GYHFUZHODSMOHU-UHFFFAOYSA-N,桃枝
TZ-006,十六烷酸,hexadecanoic acid,1957/10/3,256.42,C16H32O,,其他,OC(CCCCCCCCCCCCCCC)=O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,桃枝
TZ-007,二十七(碳)烷,Heptadecane,593-49-7,380.7,C27H56,,其他,CCCCCCCCCCCCCCCCCCCCCCCCCCC,"InChI=1S/C27H56/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-26-24-22-20-18-16-14-12-10-8-6-4-2/h3-27H2,1-2H3",BJQWYEJQWHSSCJ-UHFFFAOYSA-N,桃枝
TZ-008,二十三(碳)烷,Tricosane,638-67-5,324.6,C23H48,,其他,CCCCCCCCCCCCCCCCCCCCCCC,"InChI=1S/C23H48/c1-3-5-7-9-11-13-15-17-19-21-23-22-20-18-16-14-12-10-8-6-4-2/h3-23H2,1-2H3",FIGVVZUWCLSUEI-UHFFFAOYSA-N,桃枝
TZ-009,2-庚酮,2-heptanone,110-43-0,114.19,C7H14O,,其他,O=C(C)CCCCC,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3",CATSNJVOTSVZJV-UHFFFAOYSA-N,桃枝
TZ-010,1-己醇,1-hexanol,111-27-3,102.17,C6H14O,,其他,OCCCCCC,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",ZSIAUFGUXNUGDI-UHFFFAOYSA-N,桃枝
TZ-011,2-癸烯醛,2-decenal,3913-71-1,154.25,C10H18O,,其他,O=C/C=C/CCCCCCC,"InChI=1S/C10H18O/c1-2-3-4-5-6-7-8-9-10-11/h8-10H,2-7H2,1H3/b9-8+",MMFCJPPRCYDLLZ-CMDGGOBGSA-N,桃枝
TZ-012,庚醛,Heptaldehyde,111-71-7,114.19,C7H14O,,其他,O=CCCCCCC,"InChI=1S/C7H14O/c1-2-3-4-5-6-7-8/h7H,2-6H2,1H3",FXHGMKSSBGDXIY-UHFFFAOYSA-N,桃枝
TZ-013,辛酸,Octanoic acid,124-07-2,144.21,C8H16O2,,其他,OC(CCCCCCC)=O,"InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)",WWZKQHOCKIZLMA-UHFFFAOYSA-N,桃枝
TZ-014,1-O-对香豆酰基葡萄糖,1-O-(4-Coumaroyl)-beta-D-glucose,7139-64-2,326.3,C15H18O8,,糖,O[C@@H]1[C@H](O)[C@@H](O)[C@@H](CO)O[C@H]1OC(/C=C/C2=CC=C(O)C=C2)=O,"InChI=1S/C15H18O8/c16-7-10-12(19)13(20)14(21)15(22-10)23-11(18)6-3-8-1-4-9(17)5-2-8/h1-6,10,12-17,19-21H,7H2/b6-3+/t10-,12+,13-,14-,15+/m1/s1",DSNCQKUYZOSARM-SUOGBZIXSA-N,桃枝
TZ-015,野黑樱苷,Prunasin,99-18-3,295.29,C14H17NO6,,糖,N#C[C@H](C1=CC=CC=C1)O[C@H]2[C@H](O)[C@H](O)[C@H](O)[C@@H](CO)O2,"InChI=1S/C14H17NO6/c15-6-9(8-4-2-1-3-5-8)20-14-13(19)12(18)11(17)10(7-16)21-14/h1-5,9-14,16-19H,7H2/t9-,10-,11-,12-,13-,14-/m1/s1",ZKSZEJFBGODIJW-FAYOZSNISA-N,桃枝
TZ-016,香橙素,Aromadendrin,480-20-6,288.25,C15H12O6,,黄酮,O[C@@H]1[C@@H](C(C=C2)=CC=C2O)OC3=CC(O)=CC(O)=C3C1=O,"InChI=1S/C15H12O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,14-18,20H/t14-,15+/m0/s1",PADQINQHPQKXNL-LSDHHAIUSA-N,桃枝
TZ-017,乔松素,Pinocembrin,480-39-7,256.25,C15H12O4,,黄酮,O=C1C[C@@H](C2=CC=CC=C2)OC3=CC(O)=CC(O)=C13,"InChI=1S/C15H12O4/c16-10-6-11(17)15-12(18)8-13(19-14(15)7-10)9-4-2-1-3-5-9/h1-7,13,16-17H,8H2/t13-/m0/s1",URFCJEUYXNAHFI-ZDUSSCGKSA-N,桃枝
