编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey,药材名称,,,
POOR-001,"3,5,7-三羟基色原酮","3,5,7-Trihydroxychromone",31721-95-6,194.1420 ,C9H6O5,,黄酮,OC1=CC(O)=C(C(C(O)=CO2)=O)C2=C1,"InChI=1S/C9H6O5/c10-4-1-5(11)8-7(2-4)14-3-6(12)9(8)13/h1-3,10-12H",OZNMEZAXFKUCPN-UHFFFAOYSA-N,水红花子,,,
POOR-002,"5,7-二羟基色原酮","5,7-Dihydroxychromone",31721-94-5,178.1430 ,C9H6O4,,黄酮,OC1=CC(O)=C(C(C=CO2)=O)C2=C1,"InChI=1S/C9H6O4/c10-5-3-7(12)9-6(11)1-2-13-8(9)4-5/h1-4,10,12H",NYCXYKOXLNBYID-UHFFFAOYSA-N,水红花子,,,
POOR-003,山奈酚,Kaempferol,520-18-3,286.2390 ,C20H18O10,,黄酮,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=C(O)C=C3)=C1O,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,水红花子,,,
POOR-004,山奈酚-3-O-β-D-葡萄糖苷,Kaempferol-3-O-β-D-glucopyranoside,480-10-4,448.3800 ,C21H20O11,,黄酮,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=C(O)C=C3)=C1O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O,"InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2/t13-,15-,17+,18-,21+/m1/s1",JPUKWEQWGBDDQB-QSOFNFLRSA-N,水红花子,,,
POOR-005,牡荆素,Vitexin,3681-93-4,448.3800 ,C21H20O10,,黄酮,OC1=CC(O)=C(C(C=C(C2=CC=C(O)C=C2)O3)=O)C3=C1[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O,"InChI=1S/C21H20O10/c22-7-14-17(27)18(28)19(29)21(31-14)16-11(25)5-10(24)15-12(26)6-13(30-20(15)16)8-1-3-9(23)4-2-8/h1-6,14,17-19,21-25,27-29H,7H2/t14-,17-,18+,19-,21-/m1/s1",SGEWCQFRYRRZDC-FKRBRYKNSA-N,水红花子,,,
POOR-006,异牡荆素,Isovitexin,29702-25-8,432.3810 ,C21H20O10,,黄酮,OC1=C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(O)=C(C(C=C(C3=CC=C(O)C=C3)O4)=O)C4=C1,"InChI=1S/C21H20O10/c22-7-14-17(26)19(28)20(29)21(31-14)16-11(25)6-13-15(18(16)27)10(24)5-12(30-13)8-1-3-9(23)4-2-8/h1-6,14,17,19-23,25-29H,7H2/t14-,17-,19+,20-,21+/m1/s1",MYXNWGACZJSMBT-VJXVFPJBSA-N,水红花子,,,
POOR-007,花旗松素,Taxifolin,480-18-2,304.2540 ,C15H12O7,,黄酮,OC1=CC(O)=C(C(C(O)C(C2=CC=C(O)C(O)=C2)O3)=O)C3=C1,"InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H",CXQWRCVTCMQVQX-UHFFFAOYSA-N,水红花子,,,
POOR-008,花旗松素-3-O-β-D-葡萄糖苷,Taxifolin 3-O-β-D-glucopyranoside,27297-45-6,466.3950 ,C21H22O12,,黄酮,OC1=CC(O)=C(C(C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(C3=CC=C(O)C(O)=C3)O4)=O)C4=C1,"InChI=1S/C21H22O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-27,29-30H,6H2/t13-,15-,17+,18-,19?,20?,21+/m1/s1",FVQOMEDMFUMIMO-UOAGQJRXSA-N,水红花子,,,
POOR-009,香橙素,Dihydrokaempferol,480-20-6,288.2550 ,C15H12O6,,黄酮,OC1=CC(O)=C(C(C(O)C(C2=CC=C(O)C=C2)O3)=O)C3=C1,"InChI=1S/C15H12O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,14-18,20H",PADQINQHPQKXNL-UHFFFAOYSA-N,水红花子,,,
POOR-010,阿福豆苷,Engeletin,572-31-6,434.3970 ,C21H22O10,,黄酮,OC1=CC(O)=C(C(C(O[C@H]2[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O2)C(C3=CC=C(O)C=C3)O4)=O)C4=C1,"InChI=1S/C21H22O10/c1-8-15(25)17(27)18(28)21(29-8)31-20-16(26)14-12(24)6-11(23)7-13(14)30-19(20)9-2-4-10(22)5-3-9/h2-8,15,17-25,27-28H,1H3/t8-,15-,17+,18+,19?,20?,21-/m0/s1",VQUPQWGKORWZII-CWJRJCQFSA-N,水红花子,,,
