编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材名称
1,Arjunetin,Arjunetin,31297-79-7,650.403,C36H58010,,三萜,O=C([C@]12[C@]([C@@H](C(C)(CC2)C)O)([H])C3=CC[C@@]([C@@]4([C@@](C(C)([C@H]([C@@H](C4)O)O)C)([H])CC5)C)([H])[C@]5(C)[C@@]3(CC1)C)O[C@H]6[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O6,"InChI=1S/C36H58O10/c1-31(2)12-14-36(30(44)46-29-26(41)25(40)24(39)20(17-37)45-29)15-13-34(6)18(23(36)28(31)43)8-9-22-33(5)16-19(38)27(42)32(3,4)21(33)10-11-35(22,34)7/h8,19-29,37-43H,9-17H2,1-7H3/t19-,20-,21+,22-,23-,24-,25+,26-,27+,28+,29+,33+,34-,35-,36+/m1/s1",CUOZRGBQTOSWAY-PWEPJYDOSA-N,泽兰
2,邻苯二甲酸二丁酯,"1,2-Benzenedicarboxylic acid",84-74-2,278.1518,C16H22O4,,酚酸,O=C(OCCCC)C1=CC=CC=C1C(OCCCC)=O,"InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3",DOIRQSBPFJWKBE-UHFFFAOYSA-N,泽兰
3,硬脂酸,Stearic acid-1-13C,85541-42-0,284.2715,C18CH36O2,,脂肪酸,O=C(O)CCCCCCCCCCCCCCCCC,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)",QIQXTHQIDYTFRH-UHFFFAOYSA-N,泽兰
4,齐墩果酸-28-O-β-D-葡萄糖酯,Oleanolic acid 28-O-β-D-glucopyranoside,14162-53-9,692.5227,C41H72O8,,三萜,C[C@H]1CC[C@@]2(C)[C@](CC[C@]3(C)[C@]2(C)CC=C4[C@@]3(C)CC[C@]5(C(O[C@H]6[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O6)=C)[C@@]4(C)CC(C)(C)CC5)(C)C1(C)C.[H].[H].[O].[OH].[H],"InChI=1S/C41H68O6.HO.O.3H/c1-25-13-15-39(11)37(9,34(25,5)6)19-20-38(10)35(7)18-22-41(26(2)46-32-31(45)30(44)29(43)27(23-42)47-32)21-17-33(3,4)24-36(41,8)28(35)14-16-40(38,39)12;;;;;/h14,25,27,29-32,42-45H,2,13,15-24H2,1,3-12H3;1H;;;;/t25-,27+,29+,30-,31+,32+,35+,36-,37-,38-,39-,40-,41+;;;;;/m0...../s1",XNGUFQGYNKBRAU-GMEGEFSNSA-N,泽兰
5,桦木酸,Betulinic acid,472-15-1,456.3603,C30H48O3,,三萜,O=C([C@]12[C@@]([C@H](C(C)=C)CC2)([H])[C@]3([H])[C@](CC1)(C)[C@@]4(C)[C@@](CC3)([H])[C@](CC5)(C)[C@@](C(C)(C)[C@H]5O[H])([H])CC4)O[H],"InChI=1S/C30H48O3/c1-18(2)19-10-15-30(25(32)33)17-16-28(6)20(24(19)30)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h19-24,31H,1,8-17H2,2-7H3,(H,32,33)/t19-,20+,21-,22+,23-,24+,27-,28+,29+,30-/m0/s1",QGJZLNKBHJESQX-FZFNOLFKSA-N,泽兰
6,2α-羟基熊果酸,Corosolic acid,4547-24-4,472.3553,C30H48O4,,三萜,O=C([C@]12[C@]([C@@H](C)[C@H](C)CC2)([H])C3=CC[C@@]([C@](C[C@H]4O[H])(C)[C@@](C(C)(C)[C@H]4O[H])([H])CC5)([H])[C@]5(C)[C@]3(C)CC1)O[H],"InChI=1S/C30H48O4/c1-17-10-13-30(25(33)34)15-14-28(6)19(23(30)18(17)2)8-9-22-27(5)16-20(31)24(32)26(3,4)21(27)11-12-29(22,28)7/h8,17-18,20-24,31-32H,9-16H2,1-7H3,(H,33,34)/t17-,18+,20-,21+,22-,23+,24+,27+,28-,29-,30+/m1/s1",HFGSQOYIOKBQOW-ZSDYHTTISA-N,泽兰
7,β-胡萝卜苷,Daucosterol,474-58-8,576.439,C35H60O6,,三萜,C[C@]([C@]([C@H](C)CC[C@@H](CC)C(C)C)([H])CC1)(CC2)[C@]1([H])[C@@]3([H])[C@@]2([H])[C@](CC[C@@H]4O[C@H]5[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O5)(C)C(C4)=CC3,"InChI=1S/C35H60O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h10,20-22,24-33,36-39H,7-9,11-19H2,1-6H3/t21-,22-,24+,25+,26-,27+,28+,29-,30-,31+,32-,33-,34+,35-/m1/s1",NPJICTMALKLTFW-OFUAXYCQSA-N,泽兰
8,β-胡萝卜素,β-Carotene,7235-40-7,536.4382,C40H56,,三萜,CC1(C)CCCC(C)=C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C,"InChI=1S/C40H56/c1-31(19-13-21-33(3)25-27-37-35(5)23-15-29-39(37,7)8)17-11-12-18-32(2)20-14-22-34(4)26-28-38-36(6)24-16-30-40(38,9)10/h11-14,17-22,25-28H,15-16,23-24,29-30H2,1-10H3/b12-11+,19-13+,20-14+,27-25+,28-26+,31-17+,32-18+,33-21+,34-22+",OENHQHLEOONYIE-JLTXGRSLSA-N,泽兰
9,α-香树脂醇,α-Amyrin,638-95-9,426.3862,C30H50O,,三萜,C[C@]1([C@@]2(C)C([C@@]([C@@H](C)[C@H](C)CC3)([H])[C@@]3(C)CC2)=CC4)[C@@]4([H])[C@](CC5)(C)[C@@](C(C)(C)[C@H]5O[H])([H])CC1,"InChI=1S/C30H50O/c1-19-11-14-27(5)17-18-29(7)21(25(27)20(19)2)9-10-23-28(6)15-13-24(31)26(3,4)22(28)12-16-30(23,29)8/h9,19-20,22-25,31H,10-18H2,1-8H3/t19-,20+,22+,23-,24+,25+,27-,28+,29-,30-/m1/s1",FSLPMRQHCOLESF-SFMCKYFRSA-N,泽兰
10,β-香树脂醇,β-Amyrin,559-70-6,426.3862,C30H50O,,三萜,C[C@]1([C@@]2(C)C([C@@](CC(C)(C)CC3)([H])[C@@]3(C)CC2)=CC4)[C@@]4([H])[C@](CC5)(C)[C@@](C(C)(C)[C@H]5O[H])([H])CC1,"InChI=1S/C30H50O/c1-25(2)15-16-27(5)17-18-29(7)20(21(27)19-25)9-10-23-28(6)13-12-24(31)26(3,4)22(28)11-14-30(23,29)8/h9,21-24,31H,10-19H2,1-8H3/t21-,22-,23+,24-,27+,28-,29+,30+/m0/s1",JFSHUTJDVKUMTJ-QHPUVITPSA-N,泽兰
