编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材名称
DJXT-001,,Schisandrin C,61301-33-5,384,C22H24O6,,苯丙素类,COC1=C2C(OCO2)=CC3=C1C4=C(OC)C(OCO5)=C5C=C4CC([H])C([H])C3,"InChI=1S/C20H20O6/c1-21-19-15-11(7-13-17(19)25-9-23-13)5-3-4-6-12-8-14-18(26-10-24-14)20(22-2)16(12)15/h7-8H,3-6,9-10H2,1-2H3",MVZNAIFCNUCCIP-UHFFFAOYSA-N,滇鸡血藤
DJXT-002,,Gomisin J,66280-25-9,388,C22H29O6,,苯丙素类,COC(C1=C2CC(C)C(C)CC3=CC(O)=C(OC)C(OC)=C13)=C(C(O)=C2)OC,"InChI=1S/C22H28O6/c1-11-7-13-9-15(23)19(25-3)21(27-5)17(13)18-14(8-12(11)2)10-16(24)20(26-4)22(18)28-6/h9-12,23-24H,7-8H2,1-6H3",PICOUNAPKDEPCA-UHFFFAOYSA-N,滇鸡血藤
DJXT-003,,Kadsurin ,51670-40-7,458,C25H30O8,,苯丙素类,C[C@@H]([C@H](CC1=CC(OC)=C2OC)C)[C@@H](OC(C)=O)C3=C(C(OC)=C(OCO4)C4=C3)C1=C2OC,"InChI=1S/C25H30O8/c1-12-8-15-9-17(27-4)22(28-5)24(29-6)19(15)20-16(21(13(12)2)33-14(3)26)10-18-23(25(20)30-7)32-11-31-18/h9-10,12-13,21H,8,11H2,1-7H3/t12-,13-,21+/m0/s1",QUGMSTJBNZWXQS-OYMPBJRDSA-N,滇鸡血藤
DJXT-004,,Heteroclitin A ,140369-75-1,500,C28H36O8,,苯丙素类,CCC(C)C(O[C@@H]1[C@H](C)[C@H](C)CC2=CC(OC)=C(OC)C(OC)=C2C3=C(OC)C4=C(OCO4)C=C13)=O,"InChI=1S/C28H36O8/c1-9-14(2)28(29)36-23-16(4)15(3)10-17-11-19(30-5)24(31-6)26(32-7)21(17)22-18(23)12-20-25(27(22)33-8)35-13-34-20/h11-12,14-16,23H,9-10,13H2,1-8H3/t14?,15-,16-,23-/m1/s1",ZYMOLSKOENTNSD-OHLCNSMISA-N,滇鸡血藤
DJXT-005,,Heteroclitin B,140461-47-8,498,C28H34O8,,苯丙素类,C/C=C(C)\C(O[C@@H]1[C@H](C)[C@H](C)CC2=CC(OC)=C(OC)C(OC)=C2C3=C1C=C4OCOC4=C3OC)=O,"InChI=1S/C28H34O8/c1-9-14(2)28(29)36-23-16(4)15(3)10-17-11-19(30-5)24(31-6)26(32-7)21(17)22-18(23)12-20-25(27(22)33-8)35-13-34-20/h9,11-12,15-16,23H,10,13H2,1-8H3/b14-9-/t15-,16-,23-/m1/s1",PZUDCPSZWPLXKT-UKAZLUAFSA-N,滇鸡血藤
DJXT-006,,Heteroclitin C,140460-42-0,498,C28H34O8,,苯丙素类,C/C=C(C(O[C@H]1[C@H](C)[C@H](C)CC2=CC(OC)=C(OC)C(OC)=C2C3=C(OC)C4=C(OCO4)C=C13)=O)\C,"InChI=1S/C28H34O8/c1-9-14(2)28(29)36-23-16(4)15(3)10-17-11-19(30-5)24(31-6)26(32-7)21(17)22-18(23)12-20-25(27(22)33-8)35-13-34-20/h9,11-12,15-16,23H,10,13H2,1-8H3/b14-9+/t15-,16-,23+/m1/s1",PZUDCPSZWPLXKT-WKYRDZLPSA-N,滇鸡血藤
DJXT-007,,Interiotherin A,181701-06-4,504,C29H28O8,,苯丙素类,O=C(O[C@H]1C2=CC3=C(OCO3)C(OC)=C2C4=C(OC)C5=C(OCO5)C=C4C[C@H](C)[C@@H]1C)C6=CC=CC=C6,"InChI=1S/C29H28O8/c1-15-10-18-11-20-25(35-13-33-20)27(31-3)22(18)23-19(12-21-26(28(23)32-4)36-14-34-21)24(16(15)2)37-29(30)17-8-6-5-7-9-17/h5-9,11-12,15-16,24H,10,13-14H2,1-4H3/t15-,16-,24+/m0/s1",MBGKPRSARHEFAG-CCHLGUQTSA-N,滇鸡血藤
DJXT-008,,Gomisin G,62956-48-3,536,C30H32O9,,苯丙素类,C[C@H]1CC2=CC(OC)=C(OC)C(OC)=C2C3=C(OC)C4=C(OCO4)C=C3[C@H](OC(C5=CC=CC=C5)=O)[C@]1(O)C,"InChI=1S/C30H32O9/c1-16-12-18-13-20(33-3)24(34-4)26(35-5)22(18)23-19(14-21-25(27(23)36-6)38-15-37-21)28(30(16,2)32)39-29(31)17-10-8-7-9-11-17/h7-11,13-14,16,28,32H,12,15H2,1-6H3/t16-,28-,30-/m0/s1",OFDWKHIQKPKRKY-DSASHONVSA-N,滇鸡血藤
DJXT-009,,Gomisin C ,58546-54-6,536,C30H32O9,,苯丙素类,O=C(C1=CC=CC=C1)O[C@H]([C@@]2(C)O)C(C(C3=C(C[C@@H]2C)C=C4OCOC4=C3OC)=C5OC)=CC(OC)=C5OC,"InChI=1S/C30H32O9/c1-16-12-18-13-21-25(38-15-37-21)26(35-5)22(18)23-19(14-20(33-3)24(34-4)27(23)36-6)28(30(16,2)32)39-29(31)17-10-8-7-9-11-17/h7-11,13-14,16,28,32H,12,15H2,1-6H3/t16-,28-,30-/m0/s1",UFCGDBKFOKKVAC-DSASHONVSA-N,滇鸡血藤
DJXT-010,,Schisantherin B,58546-55-7,514,C28H34O9,,苯丙素类,O=C(/C(C)=C\C)O[C@H]1C2=C(C(OC)=C(OC)C(OC)=C2)[C@@]3([H])C(OC)=C(OCO4)C4=C/C3=C/[C@H](C)[C@]1(C)O,"InChI=1S/C28H34O9/c1-9-14(2)27(29)37-26-17-12-18(31-5)22(32-6)25(34-8)21(17)20-16(10-15(3)28(26,4)30)11-19-23(24(20)33-7)36-13-35-19/h9-12,15,20,26,30H,13H2,1-8H3/b14-9-,16-10-/t15-,20-,26-,28-/m0/s1",XDVOVYYAPHHHBE-YGIMCSHQSA-N,滇鸡血藤
