编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,smiles,inchi,inchikey,药材名称
MDP-1,苯甲酸,benzoic acid,65-85-0,122.120 ,C7H6O2,,酚酸,O=C(O)C1=CC=CC=C1,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",WPYMKLBDIGXBTP-UHFFFAOYSA-N,牡丹皮
MDP-2,4-羟基苯甲酸,4-hydroxybenzoic acid,99-96-7,138.120 ,C7H6O3,,酚酸,O=C(O)C1=CC=C(O)C=C1,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",FJKROLUGYXJWQN-UHFFFAOYSA-N,牡丹皮
MDP-3,丹皮酚,paeonol,552-41-0,166.170 ,C9H10O3,,酚酸,OC1=CC(OC)=CC=C1C(C)=O,"InChI=1S/C9H10O3/c1-6(10)8-4-3-7(12-2)5-9(8)11/h3-5,11H,1-2H3",UILPJVPSNHJFIK-UHFFFAOYSA-N,牡丹皮
MDP-4,香草酸,vanillic acid,121-34-6,168.150 ,C8H8O4,,酚酸,O=C(OCC)C1=CC(O)=C(OC)C(O)=C1,"InChI=1S/C10H12O5/c1-3-15-10(13)6-4-7(11)9(14-2)8(12)5-6/h4-5,11-12H,3H2,1-2H3",GOZNKYAWCJCQEV-UHFFFAOYSA-N,牡丹皮
MDP-5,"3,5-二羟基-4-甲氧基苯甲酸甲酯","ethyl 3,5-dihydroxy-4-methoxybenzoate",24093-81-0,212.200 ,C10H12O5,,酚酸,O=C(OCC)C1=CC(O)=C(OC)C(O)=C1,"InChI=1S/C10H12O5/c1-3-15-10(13)6-4-7(11)9(14-2)8(12)5-6/h4-5,11-12H,3H2,1-2H3",GOZNKYAWCJCQEV-UHFFFAOYSA-N,牡丹皮
MDP-6,没食子酸,gallic acid,149-91-7,170.120 ,C7H6O5,,酚酸,OC1=CC(C(O)=O)=CC(O)=C1O,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N,牡丹皮
MDP-7,没食子酸甲酯,methyl gallate,99-24-1,184.150 ,C8H8O5,,酚酸,O=C(OC)C1=CC(O)=C(O)C(O)=C1,"InChI=1S/C8H8O5/c1-13-8(12)4-2-5(9)7(11)6(10)3-4/h2-3,9-11H,1H3",FBSFWRHWHYMIOG-UHFFFAOYSA-N,牡丹皮
MDP-8,/,ethyl gallate,831-61-8,198.170 ,C9H10O5,,酚酸,O=C(OCC)C1=CC(O)=C(O)C(O)=C1,"InChI=1S/C9H10O5/c1-2-14-9(13)5-3-6(10)8(12)7(11)4-5/h3-4,10-12H,2H2,1H3",VFPFQHQNJCMNBZ-UHFFFAOYSA-N,牡丹皮
MDP-9,阿魏酸,ferulic acid,1135-24-6,194.180 ,C10H10O4,,酚酸,COC1=CC(/C=C/C(O)=O)=CC=C1O,"InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",KSEBMYQBYZTDHS-HWKANZROSA-N,牡丹皮
MDP-10,异阿魏酸,isoferulic acid,537-73-5,194.180 ,C10H10O4,,酚酸,O=C(O)/C=C/C1=CC=C(OC)C(O)=C1,"InChI=1S/C10H10O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",QURCVMIEKCOAJU-HWKANZROSA-N,牡丹皮
MDP-11,阿魏酸乙酯,ethyl 3-(4-hydroxy-3-methoxyphenyl) acrylate,4046-02-0,222.240 ,C12H14O4,,酚酸,O=C(OCC)/C=C/C1=CC=C(O)C(OC)=C1,"InChI=1S/C12H14O4/c1-3-16-12(14)7-5-9-4-6-10(13)11(8-9)15-2/h4-8,13H,3H2,1-2H3/b7-5+",ATJVZXXHKSYELS-FNORWQNLSA-N,牡丹皮
MDP-12,芍药苷,paeoniflorin,23180-57-6,480.470 ,C23H28O11,,糖苷,O=C(OC[C@@]12[C@](O3)([H])O[C@@]4(C)C[C@]3(O)[C@]1([H])C[C@@]24O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C6=CC=CC=C6,"InChI=1S/C23H28O11/c1-20-9-22(29)13-7-23(20,32-18-16(27)15(26)14(25)12(8-24)31-18)21(13,19(33-20)34-22)10-30-17(28)11-5-3-2-4-6-11/h2-6,12-16,18-19,24-27,29H,7-10H2,1H3/t12-,13-,14-,15+,16-,18+,19-,20+,21+,22-,23+/m1/s1",YKRGDOXKVOZESV-WRJNSLSBSA-N,牡丹皮
MDP-13,苯甲酰芍药苷,benzoylpaeoniflorin,38642-49-8,584.570 ,C30H32O12,,糖苷,O=C(OC[C@H]1O[C@@H](O[C@]23[C@]4(COC(C5=CC=CC=C5)=O)[C@](O6)([H])O[C@@]2(C)C[C@]6(O)[C@]4([H])C3)[C@H](O)[C@@H](O)[C@@H]1O)C7=CC=CC=C7,"InChI=1S/C30H32O12/c1-27-14-29(36)19-12-30(27,28(19,26(41-27)42-29)15-38-24(35)17-10-6-3-7-11-17)40-25-22(33)21(32)20(31)18(39-25)13-37-23(34)16-8-4-2-5-9-16/h2-11,18-22,25-26,31-33,36H,12-15H2,1H3/t18-,19-,20-,21+,22-,25+,26-,27+,28+,29-,30+/m1/s1",LATYEZNGPQKAIK-HRCYFWENSA-N,牡丹皮
