编号,化合物名称,英文名称,CAS号,分子量,分子式,化学结构,化合物分类,smiles,inchi,inchikey,化合物名称
WBLX-001,二十酸,Arachic acid,506-30-9,312.5380 ,C20H40O2,,脂肪酸,O=C(O)CCCCCCCCCCCCCCCCCCC,"InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,22)",VKOBVWXKNCXXDE-UHFFFAOYSA-N,王不留行
WBLX-002,蠶豆氰苷,Vicianin,155-57-7,427.4060 ,C19H25NO10,,其他,O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO[C@H]2[C@H](O)[C@@H](O)[C@@H](O)CO2)O[C@H]1O[C@H](C3=CC=CC=C3)C#N,"InChI=1S/C19H25NO10/c20-6-11(9-4-2-1-3-5-9)29-19-17(26)15(24)14(23)12(30-19)8-28-18-16(25)13(22)10(21)7-27-18/h1-5,10-19,21-26H,7-8H2/t10-,11-,12+,13-,14+,15-,16+,17+,18-,19+/m0/s1",YYYCJNDALLBNEG-GNRUMFBNSA-N,王不留行
WBLX-003,氢氰酸,Hydrocyanic Acid,74-90-8,27.0260 ,CHN,,其他,C#N,InChI=1S/CHN/c1-2/h1H,LELOWRISYMNNSU-UHFFFAOYSA-N,王不留行
WBLX-004,异肥皂草苷,Isosaponarin,19416-87-6,594.5220 ,C27H30O15,,黄酮类,O=C1C=C(C2=CC=C(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)C=C2)OC4=CC(O)=C([C@H]5[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O5)C(O)=C14,"InChI=1S/C27H30O15/c28-7-15-19(32)22(35)24(37)26(41-15)18-12(31)6-14-17(21(18)34)11(30)5-13(40-14)9-1-3-10(4-2-9)39-27-25(38)23(36)20(33)16(8-29)42-27/h1-6,15-16,19-20,22-29,31-38H,7-8H2/t15-,16-,19-,20-,22+,23+,24-,25-,26+,27-/m1/s1",SFNFQCXADNWOCI-KETMJRJWSA-N,王不留行
WBLX-005,黑色素,Melanin,8049-97-6,318.2880 ,C18H10N2O4,,蒽醌类,O=C(C(C1=C23)=O)C(C)=C2NC=C3C4=C5C1=CNC5=C(C)C(C4=O)=O,"InChI=1S/C18H10N2O4/c1-5-13-9-7(3-19-13)12-10-8(11(9)17(23)15(5)21)4-20-14(10)6(2)16(22)18(12)24/h3-4,19-20H,1-2H3",XUMBMVFBXHLACL-UHFFFAOYSA-N,王不留行
WBLX-006,,Vaccaroside B,/,1279.3830 ,C60H94O29,,三萜类,CC1(C)CC[C@]2(C(O[C@H]3[C@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)[C@H](O)[C@@H](CO[C@H]5[C@H](O[C@H]6[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O6)[C@@H](O)[C@H](O)[C@@H](COC(CC(O)(C)CC(O)=O)=O)O5)O3)=O)CC[C@@]7(C)[C@]8(C)CC[C@@]9([H])[C@](C)(C(O)=O)[C@@H](O)CC[C@]9(C)[C@@]8([H])CC=C7[C@]2([H])C1,"InChI=1S/C60H94O29/c1-54(2)14-16-60(17-15-57(5)25(26(60)18-54)8-9-31-56(4)12-11-33(63)59(7,52(77)78)32(56)10-13-58(31,57)6)53(79)89-50-45(76)46(87-48-43(74)40(71)36(67)27(21-61)83-48)39(70)30(85-50)24-82-51-47(88-49-44(75)41(72)37(68)28(22-62)84-49)42(73)38(69)29(86-51)23-81-35(66)20-55(3,80)19-34(64)65/h8,26-33,36-51,61-63,67-76,80H,9-24H2,1-7H3,(H,64,65)(H,77,78)/t26-,27+,28+,29+,30+,31+,32+,33-,36+,37+,38+,39+,40-,41-,42-,43+,44+,45+,46-,47+,48-,49-,50-,51+,55?,56+,57+,58+,59-,60-/m0/s1",NMZXWJLQTSMVIG-VRYXALTJSA-N,王不留行
WBLX-007,,Segetoside A,/,518.5120 ,C22H32O14,,苯丙素类,OC1=C(OC)C=C(CCC(OC[C@H]2O[C@@H](O[C@@]3(CO)O[C@@H](CO)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)=O)C=C1,"InChI=1S/C22H32O14/c1-32-12-6-10(2-4-11(12)25)3-5-15(26)33-8-14-16(27)18(29)19(30)21(34-14)36-22(9-24)20(31)17(28)13(7-23)35-22/h2,4,6,13-14,16-21,23-25,27-31H,3,5,7-9H2,1H3/t13-,14+,16+,17-,18-,19+,20+,21-,22+/m0/s1",HBGHQKVJYBCGON-KXIQWMPQSA-N,王不留行
WBLX-008,,Segetoside B,/,1463.5740 ,C69H106O33,,三萜类,C[C@]12C(C(CC(C)(C)CC3)[C@]3(C(O[C@H]4[C@H](O[C@H]5[C@H](O)[C@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@H](O)CO6)[C@H](C)O5)[C@H](O[C@H]7[C@H](O)[C@@H](O)[C@H](COC(C)=O)O7)[C@@H](OC(C)=O)[C@H](C)O4)=O)CC2)=CCC8[C@]9(C)CC[C@@H](O[C@H]%10[C@H](O[C@H]%11[C@H](O)C(O)[C@H](O)[C@@H](CO)O%11)[C@@H](O)[C@H](O)[C@@H](C(OC)=O)O%10)[C@](C)(C=O)C9CC[C@@]81C,"InChI=1S/C69H106O33/c1-27-50(97-57-46(82)39(75)33(74)24-90-57)45(81)49(85)58(91-27)101-55-54(100-59-47(83)41(77)35(95-59)25-89-29(3)72)51(93-30(4)73)28(2)92-62(55)102-63(87)69-20-18-64(5,6)22-32(69)31-12-13-37-65(7)16-15-38(66(8,26-71)36(65)14-17-68(37,10)67(31,9)19-21-69)96-61-53(44(80)43(79)52(98-61)56(86)88-11)99-60-48(84)42(78)40(76)34(23-70)94-60/h12,26-28,32-55,57-62,70,74-85H,13-25H2,1-11H3/t27-,28-,32?,33+,34+,35-,36?,37?,38+,39-,40+,41-,42?,43-,44-,45-,46+,47+,48+,49+,50-,51-,52-,53+,54+,55+,57-,58-,59-,60-,61+,62-,65+,66+,67-,68-,69+/m0/s1",IJDFMBRLUKJENP-VFQKGCDBSA-N,王不留行
WBLX-009,,Segetoside C,/,1177.2940 ,C56H88O26,,三萜类,O=C(O)[C@]1(C)C2CC[C@]3(C)[C@@]4(C)CC[C@]5(C(O[C@H]6[C@H](O[C@H]7[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O7)[C@@H](O)[C@H](O)[C@@H](CO[C@H]8[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO[C@H]9[C@H](O)[C@@H](O)[C@H](O)[C@@H](COC(C)=O)O9)O8)O6)=O)CCC(C)(C)CC5C4=CCC3[C@]2(C)CC[C@H]1O,"InChI=1S/C56H88O26/c1-23(58)74-20-27-34(61)38(65)41(68)45(78-27)75-21-28-35(62)39(66)42(69)46(79-28)76-22-29-36(63)40(67)44(81-47-43(70)37(64)33(60)26(19-57)77-47)48(80-29)82-50(73)56-16-14-51(2,3)18-25(56)24-8-9-30-52(4)12-11-32(59)55(7,49(71)72)31(52)10-13-54(30,6)53(24,5)15-17-56/h8,25-48,57,59-70H,9-22H2,1-7H3,(H,71,72)/t25?,26-,27-,28-,29-,30?,31?,32-,33-,34-,35-,36-,37+,38+,39+,40+,41-,42-,43-,44-,45-,46-,47+,48+,52+,53+,54+,55-,56-/m1/s1",OTJXRCDFBVRETF-PLCWFRJLSA-N,王不留行
WBLX-010,,Segetoside D,/,1479.5730 ,C69H106O34,,三萜类,C[C@]12C(C(CC(C)(C)CC3)[C@]3(C(O[C@H]4[C@H](O[C@H]5[C@H](O)[C@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@H](O)CO6)[C@H](C)O5)[C@H](O[C@H]7[C@H](O)[C@@H](O)[C@H](COC(C)=O)O7)[C@@H](OC(C)=O)[C@H](C)O4)=O)[C@@H](O)C2)=CCC8[C@]9(C)CC[C@@H](O[C@H]%10[C@H](O[C@H]%11[C@H](O)C(O)[C@H](O)[C@@H](CO)O%11)[C@@H](O)[C@H](O)[C@@H](C(OC)=O)O%10)[C@](C)(C=O)C9CC[C@@]81C,"InChI=1S/C69H106O34/c1-26-50(98-57-46(83)39(76)32(74)23-91-57)45(82)49(86)58(92-26)102-55-54(101-59-47(84)41(78)34(96-59)24-90-28(3)72)51(94-29(4)73)27(2)93-62(55)103-63(88)69-19-18-64(5,6)20-31(69)30-12-13-36-65(7)16-15-38(66(8,25-71)35(65)14-17-67(36,9)68(30,10)21-37(69)75)97-61-53(44(81)43(80)52(99-61)56(87)89-11)100-60-48(85)42(79)40(77)33(22-70)95-60/h12,25-27,31-55,57-62,70,74-86H,13-24H2,1-11H3/t26-,27-,31?,32+,33+,34-,35?,36?,37-,38+,39-,40+,41-,42?,43-,44-,45-,46+,47+,48+,49+,50-,51-,52-,53+,54+,55+,57-,58-,59-,60-,61+,62-,65+,66+,67-,68-,69-/m0/s1",WDXOUDADETZGLM-DJUPGWQNSA-N,王不留行
