编号,英文名称,化合物名称,CAS号,分子式,分子量,2D图,结构,smiles,inchi,inchikey,药材名称
LEJA-001,Leonurusoide A,,1582306-44-2,C36H38O19,775.2076,,黄酮类,OC1=CC=C(C)C=C1.O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3OC(C)=O)O[C@H]2OCC4=COC5=CC(O)=CC(O)=C5C4=O.OC6=C(OC)C=CC=C6OC,"InChI=1S/C24H30O15.C8H10O3.C7H8O/c1-8-16(28)20(32)22(38-9(2)25)24(37-8)36-7-14-18(30)19(31)21(33)23(39-14)35-6-10-5-34-13-4-11(26)3-12(27)15(13)17(10)29;1-10-6-4-3-5-7(11-2)8(6)9;1-6-2-4-7(8)5-3-6/h3-5,8,14,16,18-24,26-28,30-33H,6-7H2,1-2H3;3-5,9H,1-2H3;2-5,8H,1H3/t8-,14+,16-,18-,19-,20+,21+,22+,23+,24+;;/m0../s1",QBCBKPKEVXYGDM-WPYWEHEXSA-N,益母草
LEJA-002,Leonurusoide B,kampferol-3-O-(2'''-syringyl)-α-L-rhamnopyranosyl(1→6)-β-D-glucopyranoside,1582306-45-3,C36H38O19,775.207,,黄酮类,OC1=CC=C(C)C=C1.O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3OC(C)=O)O[C@H]2OCC4=COC5=CC(O)=CC(O)=C5C4=O.OC6=C(OC)C=CC=C6OC,"InChI=1S/C24H30O15.C8H10O3.C7H8O/c1-8-16(28)20(32)22(38-9(2)25)24(37-8)36-7-14-18(30)19(31)21(33)23(39-14)35-6-10-5-34-13-4-11(26)3-12(27)15(13)17(10)29;1-10-6-4-3-5-7(11-2)8(6)9;1-6-2-4-7(8)5-3-6/h3-5,8,14,16,18-24,26-28,30-33H,6-7H2,1-2H3;3-5,9H,1-2H3;2-5,8H,1H3/t8-,14+,16-,18+,19-,20+,21+,22+,23+,24+;;/m0../s1",QBCBKPKEVXYGDM-SNQPTXNNSA-N,益母草
LEJA-003,Leonurusoide C,kampferol-3-O-(3'''-syringyl)-α-L-rhamnopyranosyl(1→6)-β-D-galactopyranoside,1582306-46-4,C36H38O19,797.1904,,黄酮类,OC1=CC=C(C)C=C1.O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](OC)[C@H]3O)O[C@H]2OCC4=COC5=CC(O)=CC(O)=C5C4=O.OC6=C(OC)C=CC=C6OC.O=CC,,NSYVYDFIVGWCGL-QEDSLKPVSA-N,益母草
LEJA-004,Leonurusoide D,kampferol-3-O-(3'''-syringyl)-α-L-rhamnopyranosyl(1→6)-β-D-glucopyranoside,1582306-63-5,C36H38O19,797.1901,,黄酮类,OC1=CC=C(C)(C2=C(CO[C@@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](OC)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)C(C5=C(O)C=C(O)C=C5O2)=O)C=C1.OC6=C(OC)C=CC=C6OC.O=CC,"InChI=1S/C30H37O15.C8H10O3.C2H4O/c1-12-20(34)26(40-3)25(39)29(43-12)42-11-18-22(36)23(37)24(38)28(45-18)41-10-15-21(35)19-16(33)8-14(32)9-17(19)44-27(15)30(2)6-4-13(31)5-7-30;1-10-6-4-3-5-7(11-2)8(6)9;1-2-3/h4-9,12,18,20,22-26,28-29,31-34,36-39H,10-11H2,1-3H3;3-5,9H,1-2H3;2H,1H3/t12-,18+,20-,22+,23-,24+,25+,26+,28+,29+;;/m0../s1",PBFDRBVSSHMMLF-WGCYWAGTSA-N,益母草
LEJA-005,Leonurusoide E,quercetin-3-O-(2'''-syringyl)-α-L-rhamnopyranosyl(1→6)-β-D-galactopyranoside,1582306-80-6,C36H38O20,813.1833,,黄酮类,OC1=C(O)C=C(C)C=C1.O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3OC(C)=O)O[C@H]2OCC4=COC5=CC(O)=CC(O)=C5C4=O.OC6=C(OC)C=CC=C6OC,"InChI=1S/C24H30O15.C8H10O3.C7H8O2/c1-8-16(28)20(32)22(38-9(2)25)24(37-8)36-7-14-18(30)19(31)21(33)23(39-14)35-6-10-5-34-13-4-11(26)3-12(27)15(13)17(10)29;1-10-6-4-3-5-7(11-2)8(6)9;1-5-2-3-6(8)7(9)4-5/h3-5,8,14,16,18-24,26-28,30-33H,6-7H2,1-2H3;3-5,9H,1-2H3;2-4,8-9H,1H3/t8-,14+,16-,18-,19-,20+,21+,22+,23+,24+;;/m0../s1",NTWDOCFUXPMPTO-WPYWEHEXSA-N,益母草
LEJA-006,Leonurulignanoide A,,/,C37H46O16,769.2682,,糖苷类,OCC(OC1=C(OC)C=C(C2C(CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(C=C(/C=C/CO)C=C4OC)=C4O2)C=C1OC)C(O)C5=CC=C(O)C(O)=C5,"InChI=1S/C36H44O16/c1-46-24-10-17(5-4-8-37)9-20-21(16-49-36-32(45)31(44)30(43)28(15-39)51-36)33(52-34(20)24)19-12-25(47-2)35(26(13-19)48-3)50-27(14-38)29(42)18-6-7-22(40)23(41)11-18/h4-7,9-13,21,27-33,36-45H,8,14-16H2,1-3H3/b5-4+/t21?,27?,28-,29?,30-,31+,32-,33?,36-/m1/s1",HOSCIDFPIWNNFY-ZGIOQZGRSA-N,益母草
LEJA-007,Leonurulignanoide B,,/,C37H46O16,769.2688,,糖苷类,OC1=C(OC)C=C(C2OCC3C(C4=CC(OC)=C(OC(C(C5=CC=CC=C5)O)CO[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(OC)=C4)OCC32)C=C1,"InChI=1S/C36H44O14/c1-43-24-11-19(9-10-23(24)38)33-21-15-47-34(22(21)16-46-33)20-12-25(44-2)35(26(13-20)45-3)49-28(29(39)18-7-5-4-6-8-18)17-48-36-32(42)31(41)30(40)27(14-37)50-36/h4-13,21-22,27-34,36-42H,14-17H2,1-3H3/t21?,22?,27-,28?,29?,30-,31+,32-,33?,34?,36-/m1/s1",OCQFCBFYAPHVFI-RQCQXEIQSA-N,益母草
LEJA-008,Apigenin,芹菜素,520-36-5,C15H10O5,269.0453,,黄酮类,OC1=CC(O)=C(C(C=C(C2=CC=C(O)C=C2)O3)=O)C3=C1,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,益母草
LEJA-009,Apigenin-7-O-β-D-glucopyranoside,芹菜素-7-O-β-D-葡萄吡喃糖苷,578-74-5,C21H20O10,433.1129,,黄酮类,OC(C=C1)=CC=C1C2=CC(C3=C(O)C=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C3O2)=O,"InChI=1S/C21H20O10/c22-8-16-18(26)19(27)20(28)21(31-16)29-11-5-12(24)17-13(25)7-14(30-15(17)6-11)9-1-3-10(23)4-2-9/h1-7,16,18-24,26-28H,8H2/t16-,18-,19+,20-,21-/m1/s1",KMOUJOKENFFTPU-QNDFHXLGSA-N,益母草
LEJA-010,Kaempferol-3-O-β-D-glucopyranoside,山奈酚-3-O-β-D-吡喃葡萄糖苷,480-10-4,C21H20O11,449.1079,,黄酮类,OC(C=C1)=CC=C1C2=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(C4=C(O)C=C(O)C=C4O2)=O,"InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2/t13-,15-,17+,18-,21+/m1/s1",JPUKWEQWGBDDQB-QSOFNFLRSA-N,益母草
