编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,结构,smiles,inchi,inchikey,药材名称
DISU-001,,"3‑O‑β‑D‑Glucopyranosylolean‑9(11),12‑diene‑23,28‑dioicacid-28‑O‑β‑D‑glucopyranoside",\,808.959,C42H64O15,,三萜类,C[C@@]1(C(O)=O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)CC[C@@]3(C)C1CC[C@]4(C)C3=CC=C5[C@@]4(C)CC[C@]6(C(O[C@H]7[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O7)=O)C5CC(C)(C)CC6,"InChI=1S/C42H64O15/c1-37(2)13-15-42(36(53)57-34-32(50)30(48)28(46)23(19-44)55-34)16-14-39(4)20(21(42)17-37)7-8-24-38(3)11-10-26(41(6,35(51)52)25(38)9-12-40(24,39)5)56-33-31(49)29(47)27(45)22(18-43)54-33/h7-8,21-23,25-34,43-50H,9-19H2,1-6H3,(H,51,52)/t21?,22?,23-,25?,26+,27-,28-,29-,30+,31?,32-,33+,34+,38-,39-,40-,41+,42+/m1/s1",ANAORBPKMIVKBL-XPIJHSPCSA-N,瞿麦
DISU-002,,"3‑O‑β‑D‑Glucopyranosylolean‑11,13(18)‑diene‑23,28‑dioicacid-28‑O‑β‑D‑glucopyranoside",\,646.818,C36H54O10,,三萜类,C[C@@]1(C(O)=O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)CC[C@@]3(C)C1CC[C@]4(C)C3C=CC5=C6[C@@](CCC(C)(C)C6)(C(O)=O)CC[C@@]45C,"InChI=1S/C36H54O10/c1-31(2)13-15-36(30(43)44)16-14-33(4)19(20(36)17-31)7-8-22-32(3)11-10-24(35(6,29(41)42)23(32)9-12-34(22,33)5)46-28-27(40)26(39)25(38)21(18-37)45-28/h7-8,21-28,37-40H,9-18H2,1-6H3,(H,41,42)(H,43,44)/t21?,22?,23?,24-,25+,26+,27?,28-,32+,33+,34+,35-,36-/m0/s1",DMBAFLGPQJLYQI-ITYBHZLWSA-N,瞿麦
DISU-003,,3‑O‑β‑D‑Glucopyranosyl gypsogenic acid 28‑O-[β‑D‑glucopyranosyl(1→3)β‑D‑6‑O‑((3S)‑hydroxyl‑3‑methylglutaryl)glucopyranosyl(1→6)]-β‑D‑glucopyranoside,\,1279.383,C60H94O29,,三萜类,C[C@@]1(C(O)=O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)CC[C@@]3(C)C1CC[C@]4(C)C3CC=C5[C@@]4(C)CC([H])[C@]6(C(O[C@H]7[C@H](O)[C@@H](O[C@H]8[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O8)[C@H](O)[C@@H](CO[C@H]9[C@H](O)[C@@H](O)[C@H](O)[C@@H](COC(CC(O)(C)CC(O)=O)=O)O9)O7)=O)C5CC(C)(C)CC6,"InChI=1S/C60H94O29/c1-54(2)14-16-60(17-15-57(5)25(26(60)18-54)8-9-31-56(4)12-11-33(59(7,52(77)78)32(56)10-13-58(31,57)6)87-49-44(74)40(70)36(66)27(21-61)83-49)53(79)89-51-46(76)47(88-50-45(75)41(71)37(67)28(22-62)84-50)39(69)30(86-51)24-82-48-43(73)42(72)38(68)29(85-48)23-81-35(65)20-55(3,80)19-34(63)64/h8,26-33,36-51,61-62,66-76,80H,9-24H2,1-7H3,(H,63,64)(H,77,78)/t26?,27?,28-,29-,30-,31?,32?,33+,36-,37-,38-,39-,40-,41+,42+,43-,44?,45-,46-,47+,48-,49+,50+,51+,55?,56-,57-,58-,59+,60+/m1/s1",ZOVRXYZUCPQWKN-YFJCNBPPSA-N,瞿麦
DISU-004,积雪草酸,Asiatic acid,464-92-6,488.709,C30H48O5,,三萜类,O[C@H]1C(O)C[C@@]2(C)C(CC[C@]3(C)C2CC=C4[C@@]3(C)CC[C@]5(C(O)=O)C4[C@@H](C)[C@H](C)CC5)[C@]1(C)CO,"InChI=1S/C30H48O5/c1-17-9-12-30(25(34)35)14-13-28(5)19(23(30)18(17)2)7-8-22-26(3)15-20(32)24(33)27(4,16-31)21(26)10-11-29(22,28)6/h7,17-18,20-24,31-33H,8-16H2,1-6H3,(H,34,35)/t17-,18+,20?,21?,22?,23?,24+,26+,27+,28-,29-,30+/m1/s1",JXSVIVRDWWRQRT-XMKMAYEPSA-N,瞿麦
DISU-005,,Dianchinenoside A,\,796.948,C41H64O15,,三萜类,C[C@@]1(C(O)=O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)CO2)CC[C@@]3(C)C1CC[C@]4(C)C3CC=C5[C@@]4(C)C[C@@H](O)[C@]6(C(O[C@H]7[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O7)=O)C5CC(C)(C)CC6,"InChI=1S/C41H64O15/c1-36(2)13-14-41(35(52)56-33-31(49)29(47)28(46)22(17-42)54-33)20(15-36)19-7-8-23-37(3)11-10-26(55-32-30(48)27(45)21(43)18-53-32)40(6,34(50)51)24(37)9-12-38(23,4)39(19,5)16-25(41)44/h7,20-33,42-49H,8-18H2,1-6H3,(H,50,51)/t20?,21-,22+,23?,24?,25+,26-,27+,28+,29-,30?,31+,32-,33-,37+,38+,39+,40-,41+/m0/s1",ARNBRPDSKOETGW-FVCYVIJRSA-N,瞿麦
DISU-006,地黄皂苷B,Dianchinenoside B,151466-56-7,796.948,C41H64O15,,三萜类,C[C@@]1(C(O)=O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)CO2)CC[C@@]3(C)C1CC[C@]4(C)C3CC=C5[C@@]4(C)C[C@@H](O)[C@]6(C(O[C@H]7[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O7)=O)C5CC(C)(C)CC6,"InChI=1S/C41H64O15/c1-36(2)13-14-41(35(52)56-33-31(49)29(47)28(46)22(17-42)54-33)20(15-36)19-7-8-23-37(3)11-10-26(55-32-30(48)27(45)21(43)18-53-32)40(6,34(50)51)24(37)9-12-38(23,4)39(19,5)16-25(41)44/h7,20-33,42-49H,8-18H2,1-6H3,(H,50,51)/t20?,21-,22-,23?,24?,25-,26+,27-,28-,29+,30?,31-,32+,33+,37-,38-,39-,40+,41-/m1/s1",ARNBRPDSKOETGW-PYWVFBBPSA-N,瞿麦
DISU-007,,Dianchinenoside C,156161-85-2,826.974,C42H66O16,,三萜类,O[C@H]1CC[C@@]2(C)C(CC[C@]3(C)C2CC=C4[C@@]3(C)C[C@@H](O)[C@]5(C(O[C@H]6[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O6)=O)C4CC(C)(C)CC5)[C@@]1(C(O[C@H]7[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O7)=O)C,"InChI=1S/C42H66O16/c1-37(2)13-14-42(36(54)58-34-32(52)30(50)28(48)22(18-44)56-34)20(15-37)19-7-8-23-38(3)11-10-25(45)41(6,24(38)9-12-39(23,4)40(19,5)16-26(42)46)35(53)57-33-31(51)29(49)27(47)21(17-43)55-33/h7,20-34,43-52H,8-18H2,1-6H3/t20?,21-,22-,23?,24?,25+,26-,27-,28-,29+,30+,31-,32-,33+,34+,38-,39-,40-,41+,42-/m1/s1",JCDZCMQWDDCDHF-NKKCBTGMSA-N,瞿麦
DISU-008,,Dianchinenoside D,156161-86-3,826.974,C42H66O16,,三萜类,O[C@H]1CC[C@@]2(C)C(CC[C@]3(C)C2CC=C4[C@@]3(C)C[C@@H](O)[C@]5(C(O[C@H]6[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO[C@H]7[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O7)O6)=O)C4CC(C)(C)CC5)[C@@]1(C(O)=O)C,"InChI=1S/C42H66O16/c1-37(2)13-14-42(36(54)58-34-32(51)30(49)28(47)22(57-34)18-55-33-31(50)29(48)27(46)21(17-43)56-33)20(15-37)19-7-8-23-38(3)11-10-25(44)41(6,35(52)53)24(38)9-12-39(23,4)40(19,5)16-26(42)45/h7,20-34,43-51H,8-18H2,1-6H3,(H,52,53)/t20?,21?,22?,23?,24?,25-,26+,27-,28-,29-,30-,31?,32?,33-,34+,38+,39+,40+,41-,42+/m0/s1",WBIQMFBPGXQYQQ-NULJJORASA-N,瞿麦
DISU-009,,Dianchinenoside E,160492-59-1,1193.337,C57H92O26,,三萜类,O[C@H]1CC[C@@]2(C)C(CC[C@]3(C)C2CC=C4[C@@]3(C)CC([H])[C@]5(C(O[C@H]6[C@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O7)[C@H](O)[C@@H](CO[C@H]8[C@H](O[C@H]9[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O9)[C@@H](O)[C@H](O)[C@@H](CO)O8)O6)=O)C4CC(C)(C)CC5)[C@@]1(C(OC[C@@](O)([H])C)=O)C,"InChI=1S/C57H92O26/c1-24(61)22-76-50(73)56(7)32-10-13-55(6)31(53(32,4)12-11-33(56)62)9-8-25-26-18-52(2,3)14-16-57(26,17-15-54(25,55)5)51(74)83-48-43(72)44(81-46-41(70)38(67)34(63)27(19-58)77-46)37(66)30(80-48)23-75-49-45(40(69)36(65)29(21-60)79-49)82-47-42(71)39(68)35(64)28(20-59)78-47/h8,24,26-49,58-72H,9-23H2,1-7H3/t24-,26?,27-,28-,29-,30-,31?,32?,33+,34-,35-,36-,37-,38+,39+,40+,41-,42-,43-,44+,45-,46+,47+,48+,49-,53-,54-,55-,56+,57+/m1/s1",DDSHHJOPMYTUMN-UMPWGUQTSA-N,瞿麦
DISU-010,,Dianchinenoside F,160492-58-0,1193.337,C57H92O26,,三萜类,O[C@H]1CC[C@@]2(C)C(CC[C@]3(C)C2CC=C4[C@@]3(C)CC([H])[C@]5(C(O[C@H]6[C@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O7)[C@H](O)[C@@H](CO[C@H]8[C@H](O[C@H]9[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O9)[C@@H](O)[C@H](O)[C@@H](CO)O8)O6)=O)C4CC(C)(C)CC5)[C@@]1(C(OC[C@](O)([H])C)=O)C,"InChI=1S/C57H92O26/c1-24(61)22-76-50(73)56(7)32-10-13-55(6)31(53(32,4)12-11-33(56)62)9-8-25-26-18-52(2,3)14-16-57(26,17-15-54(25,55)5)51(74)83-48-43(72)44(81-46-41(70)38(67)34(63)27(19-58)77-46)37(66)30(80-48)23-75-49-45(40(69)36(65)29(21-60)79-49)82-47-42(71)39(68)35(64)28(20-59)78-47/h8,24,26-49,58-72H,9-23H2,1-7H3/t24-,26?,27+,28+,29+,30+,31?,32?,33-,34+,35+,36+,37+,38-,39-,40-,41+,42+,43+,44-,45+,46-,47-,48-,49+,53+,54+,55+,56-,57-/m0/s1",DDSHHJOPMYTUMN-JBCIJQSLSA-N,瞿麦
