Number,compounds（英文）,compounds,Molecular formula,Molecular weight,CAS No.,结构式,,smiles,inchi,inchikey,药物名称
ADC-001,Benzoquinone,苯醌,C6H4O2,108.10 ,106-51-4,,蒽醌,O=C(C=C1)C=CC1=O,InChI=1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H,AZQWKYJCGOJGHM-UHFFFAOYSA-N,矮地茶
ADC-002,Fumaric acid,"富马酸,反丁烯二酸",C4H4O4,116.07 ,110-17-8,,脂肪酸,O=C(/C=C/C(O)=O)O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+",VZCYOOQTPOCHFL-OWOJBTEDSA-N,矮地茶
ADC-003,Succinic acid,琥珀酸； 丁二酸,C4H6O4,118.09 ,110-15-6,,脂肪酸,OC(CCC(O)=O)=O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",KDYFGRWQOYBRFD-UHFFFAOYSA-N,矮地茶
ADC-004,4-Hydroxybenzylalcohol,对羟基苯甲醇,C7H8O2,124.14 ,623-05-2,,其他,OC1=CC=C(CO)C=C1,"InChI=1S/C7H8O2/c8-5-6-1-3-7(9)4-2-6/h1-4,8-9H,5H2",BVJSUAQZOZWCKN-UHFFFAOYSA-N,矮地茶
ADC-005,Pyrogallol,邻苯三酚,C6H6O3,126.11 ,87-66-1,,酚酸,OC1=CC=CC(O)=C1O,"InChI=1S/C6H6O3/c7-4-2-1-3-5(8)6(4)9/h1-3,7-9H",WQGWDDDVZFFDIG-UHFFFAOYSA-N,矮地茶
ADC-006,DL-Malic acid,DL-苹果酸,C4H6O5,134.09 ,6915-15-7,,脂肪酸,OC(CC(O)C(O)=O)=O,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)",BJEPYKJPYRNKOW-UHFFFAOYSA-N,矮地茶
ADC-007,Phenylacetone,苯基丙酮,C9H10O,134.18 ,103-79-7,,其他,CC(CC1=CC=CC=C1)=O,"InChI=1S/C9H10O/c1-8(10)7-9-5-3-2-4-6-9/h2-6H,7H2,1H3",QCCDLTOVEPVEJK-UHFFFAOYSA-N,矮地茶
ADC-008,L-Threonic acid,,C4H8O5,136.10 ,7306-96-9,,脂肪酸,O[C@H]([C@H](CO)O)C(O)=O,"InChI=1S/C4H8O5/c5-1-2(6)3(7)4(8)9/h2-3,5-7H,1H2,(H,8,9)/t2-,3+/m0/s1",JPIJQSOTBSSVTP-STHAYSLISA-N,矮地茶
ADC-009,Salicylic acid,水杨酸,C7H6O3,138.12 ,69-72-7,,酚酸,OC1=CC=CC=C1C(O)=O,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",YGSDEFSMJLZEOE-UHFFFAOYSA-N,矮地茶
ADC-010,(+)-carvone,(S)-(+)-香芹酮,C10H14O,150.22 ,2244-16-8,,萜类,CC1=CC[C@H](C(C)=C)CC1=O,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9H,1,5-6H2,2-3H3/t9-/m0/s1",ULDHMXUKGWMISQ-VIFPVBQESA-N,矮地茶
