编号,化合物名称,英文名称,CAS号,分子量,分子式,2d图,分类,smiles,inchi,inchikey,药材名称
CSL-1,薯蓣皂苷,Dioscin,19057-60-4,869.06,C45H72O16,,三萜类,OCC1OC(C(C(C1OC2OC(C(C(C2O)O)O)C)O)OC3OC(C(C(C3O)O)O)C)OC4CC5=CCC6C(C5(CC4)C)CCC7(C6CC8OC9(C(C87)C)OCC(CC9)C)C,"InChI=1S/C45H72O16/c1-19-9-14-45(54-18-19)20(2)30-28(61-45)16-27-25-8-7-23-15-24(10-12-43(23,5)26(25)11-13-44(27,30)6)57-42-39(60-41-36(52)34(50)32(48)22(4)56-41)37(53)38(29(17-46)58-42)59-40-35(51)33(49)31(47)21(3)55-40/h7,19-22,24-42,46-53H,8-18H2,1-6H3",VNONINPVFQTJOC-UHFFFAOYSA-N,穿山龙
CSL-2,原薯蓣皂甙,Protodioscin,55056-80-9,1049.2,C51H84O22,,三萜类,OCC1OC(C(C(C1O)O)O)OCC(CCC2(OC3CC4C5CC=C6CC(CCC6(C5CCC4(C3C2C)C)C)OC7OC(C(C(C7OC8OC(C(C(C8O)O)O)C)O)OC9OC(C(C(C9O)O)O)C)CO)O)C,"InChI=1S/C51H84O22/c1-20(19-65-45-39(60)38(59)35(56)30(17-52)69-45)9-14-51(64)21(2)32-29(73-51)16-28-26-8-7-24-15-25(10-12-49(24,5)27(26)11-13-50(28,32)6)68-48-44(72-47-41(62)37(58)34(55)23(4)67-47)42(63)43(31(18-53)70-48)71-46-40(61)36(57)33(54)22(3)66-46/h7,20-23,25-48,52-64H,8-19H2,1-6H3",LVTJOONKWUXEFR-UHFFFAOYSA-N,穿山龙
CSL-3,纤细薯蓣皂苷,Gracillin,19083-00-2,885.04,C45H72O17,,三萜类,OCC1OC(C(C(C1O)O)O)OC2C(C(CO)OC(C2OC3OC(C(C(C3O)O)O)C)OC4CC5=CCC6C(C5(CC4)C)CCC7(C6CC8OC9(C(C87)C)OCC(CC9)C)C)O,"InChI=1S/C45H72O17/c1-19-8-13-45(55-18-19)20(2)30-27(62-45)15-26-24-7-6-22-14-23(9-11-43(22,4)25(24)10-12-44(26,30)5)57-42-39(61-40-36(53)34(51)31(48)21(3)56-40)38(33(50)29(17-47)59-42)60-41-37(54)35(52)32(49)28(16-46)58-41/h6,19-21,23-42,46-54H,7-18H2,1-5H3",YQEMAEKYNNOCBY-UHFFFAOYSA-N,穿山龙
CSL-4,伪原薯蓣皂苷,Pseudoprotodioscin,102115-79-7,1031.18,C51H82O21,,三萜类,OCC1OC(C(C(C1O)O)O)OCC(CCC2=C(C)C3C4(C)CCC5C6(C)CCC(OC7OC(C(C(C7OC8OC(C(C(C8O)O)O)C)O)OC9OC(C(C(C9O)O)O)C)CO)CC6=CCC5C4CC3O2)C,"InChI=1S/C51H82O21/c1-20(19-64-46-40(60)39(59)36(56)31(17-52)69-46)7-10-29-21(2)33-30(68-29)16-28-26-9-8-24-15-25(11-13-50(24,5)27(26)12-14-51(28,33)6)67-49-45(72-48-42(62)38(58)35(55)23(4)66-48)43(63)44(32(18-53)70-49)71-47-41(61)37(57)34(54)22(3)65-47/h8,20,22-23,25-28,30-49,52-63H,7,9-19H2,1-6H3",MDCUMTGKKLOMCW-UHFFFAOYSA-N,穿山龙
CSL-5,延龄草皂苷,Trillin,14144-06-0,576.76,C33H52O8,,三萜类,OCC1OC(C(C(C1O)O)O)OC2CC3=CCC4C(C3(CC2)C)CCC5(C4CC6OC7(C(C65)C)OCC(CC7)C)C,"InChI=1S/C33H52O8/c1-17-7-12-33(38-16-17)18(2)26-24(41-33)14-23-21-6-5-19-13-20(8-10-31(19,3)22(21)9-11-32(23,26)4)39-30-29(37)28(36)27(35)25(15-34)40-30/h5,17-18,20-30,34-37H,6-16H2,1-4H3",WXMARHKAXWRNDM-UHFFFAOYSA-N,穿山龙
CSL-6,山奈酚,Kaempferol,520-18-3,286.24,C15H10O6,,黄酮类,O=C1C(O)=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,穿山龙
CSL-7,山奈酚-3-β-D-吡喃葡萄糖苷,kaeMpferol 3-O--D-glucopyranoside,480-10-4,448.3769,C21H20O11,,黄酮类,O=C1C(OC2OC(C(C(C2O)O)O)CO)=C(C3=CC=C(O)C=C3)OC4=C1C(O)=CC(O)=C4,"InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2",JPUKWEQWGBDDQB-UHFFFAOYSA-N,穿山龙
CSL-8,山奈酚-3-O-β-芸香糖苷,Nicotiflorin,17650-84-9,594.518,C27H30O15,,黄酮类,O=C1C(OC2OC(C(C(C2O)O)O)COC3OC(C(C(C3O)O)O)C)=C(C4=CC=C(O)C=C4)OC5=C1C(O)=CC(O)=C5,"InChI=1S/C27H30O15/c1-9-17(31)20(34)22(36)26(39-9)38-8-15-18(32)21(35)23(37)27(41-15)42-25-19(33)16-13(30)6-12(29)7-14(16)40-24(25)10-2-4-11(28)5-3-10/h2-7,9,15,17-18,20-23,26-32,34-37H,8H2,1H3",RTATXGUCZHCSNG-UHFFFAOYSA-N,穿山龙
CSL-9,芦丁,Rutin,153-18-4,610.52,C27H30O16,,黄酮类,O=C1C(OC2OC(C(C(C2O)O)O)COC3OC(C(C(C3O)O)O)C)=C(C4=CC(O)=C(O)C=C4)OC5=C1C(O)=CC(O)=C5,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3",IKGXIBQEEMLURG-UHFFFAOYSA-N,穿山龙
CSL-10,苯甲酸,Benzoic acid,65-85-0,122.12,C7H6O2,,酚酸类,O=C(C1=CC=CC=C1)O,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",WPYMKLBDIGXBTP-UHFFFAOYSA-N,穿山龙
CSL-11,香草酸,Vanillic acid,121-34-6,168.15,C8H8O4,,酚酸类,O=C(C1=CC=C(C(OC)=C1)O)O,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)",WKOLLVMJNQIZCI-UHFFFAOYSA-N,穿山龙
CSL-12,原儿茶酸,Protocatechuic acid,99-50-3,154.12,C7H6O4,,酚酸类,O=C(C1=CC=C(C(O)=C1)O)O,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",YQUVCSBJEUQKSH-UHFFFAOYSA-N,穿山龙
