编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,InChI,inchikey,药材名称
ZJF-001,金粟兰内酯A,chloranthalactone A,66395-02-6,228.278,C15H16O2,,挥发油类,O=C1C(C)=C(C[C@@]23[H])C(O1)=C[C@@]3(C)C4C(C4)C2=C,"InChI=1S/C15H16O2/c1-7-9-4-12(9)15(3)6-13-10(5-11(7)15)8(2)14(16)17-13/h6,9,11-12H,1,4-5H2,2-3H3/t9?,11-,12?,15+/m0/s1",OVEQSZKTJIUNHZ-POSDNQMTSA-N,肿节风
ZJF-002,金粟兰内酯C ,chloranthalactone C,73215-91-5,288.33,C17H20O4,,挥发油类,CC(OC[C@@H]([C@]1([H])CC2=C3C)[C@@]4([H])C[C@@]4([H])[C@]1(C)C=C2OC3=O)=O,"InChI=1S/C17H20O4/c1-8-10-4-14-12(7-20-9(2)18)11-5-13(11)17(14,3)6-15(10)21-16(8)19/h6,11-14H,4-5,7H2,1-3H3/t11-,12-,13-,14+,17+/m1/s1",AFQYMJMJVURITP-MAKQCAJESA-N,肿节风
ZJF-003,金粟兰内酯B ,chloranthalactone B,66395-03-7,244.278,C15H16O3,,挥发油类,O=C(C(C)=C1C[C@@]23[H])O[C@]41O[C@@]4([H])[C@@]3(C)[C@]5([H])C[C@]5([H])C2=C,"InChI=1S/C15H16O3/c1-6-8-4-11(8)14(3)9(6)5-10-7(2)12(16)17-15(10)13(14)18-15/h8-9,11,13H,1,4-5H2,2-3H3/t8-,9+,11-,13+,14-,15-/m1/s1",ZKAVFYQAEVFXTE-NRLMIDHWSA-N,肿节风
ZJF-004,金粟兰内酯F ,chloranthalactone F,/,244.278,C15H16O3,,挥发油类,O=C1C=C2CC3C([C@H2](C4)C[C@H2]4C3(C)C(O5)C25O1)=C,"InChI=1S/C15H16O3/c1-7-8-3-9(4-8)14(2)11(7)5-10-6-12(16)17-15(10)13(14)18-15/h6,8-9,11,13H,1,3-5H2,2H3/t8-,9+,11?,13?,14?,15?",MPDCAHDMDMBGPP-RURUHLCHSA-N,肿节风
ZJF-005,金粟兰内酯G,chloranthalactone G,/,244.278,C15H16O3,,挥发油类,C[C@@]1([C@]23CO3)[C@](C1)(C)[C@]([C@@]2(C)C4)(C)C=C(O5)C4=C(C)C5=O,"InChI=1S/C18H22O3/c1-10-11-6-15(3)14(2,7-12(11)21-13(10)19)16(4)8-17(16,5)18(15)9-20-18/h7H,6,8-9H2,1-5H3/t14-,15-,16+,17+,18+/m1/s1",MVTTVHLACRZWRP-ZBRFXRBCSA-N,肿节风
ZJF-006,金粟兰内酯E ,chloranthalactone E,73215-92-6,262.294,C15H18O4,,挥发油类,O=C1C(C)=C(CC23)C(C(O)C3(C)C4C(C4)C2=C)(O)O1,"InChI=1S/C15H18O4/c1-6-8-4-11(8)14(3)9(6)5-10-7(2)12(16)19-15(10,18)13(14)17/h8-9,11,13,17-18H,1,4-5H2,2-3H3",LJLXBYGPGVKTBK-UHFFFAOYSA-N,肿节风
ZJF-007,肿节风苷A,sarcaglaboside A,/,410.45,C21H30O8,,糖苷类,O=C1O[C@@]2([H])C[C@]([C@H](CCC3=C)O[C@@H]([C@@H]([C@H]4O[H])O[H])O[C@H](CO[H])[C@H]4O[H])(C)[C@@]3([H])CC2=C1C,"InChI=1S/C21H30O8/c1-9-4-5-15(29-20-18(25)17(24)16(23)14(8-22)28-20)21(3)7-13-11(6-12(9)21)10(2)19(26)27-13/h12-18,20,22-25H,1,4-8H2,2-3H3/t12-,13-,14+,15-,16+,17-,18+,20-,21+/m0/s1",IGLQJWTUCUZHTP-BVFXZANDSA-N,肿节风
ZJF-008,肿节风苷C ,sarcaglaboside C,/,410.45,C21H30O8,,糖苷类,O=C1O[C@@]2([H])C[C@@](C)(C=C)[C@H](C(CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=C)CC2=C1C,"InChI=1S/C21H30O8/c1-5-21(4)7-14-12(11(3)19(26)28-14)6-13(21)10(2)9-27-20-18(25)17(24)16(23)15(8-22)29-20/h5,13-18,20,22-25H,1-2,6-9H2,3-4H3/t13-,14-,15+,16+,17-,18+,20+,21+/m0/s1",JQVQMIABESRMFA-YYDGTUDOSA-N,肿节风
ZJF-009,肿节风苷B ,sarcaglaboside B,/,408.434,C21H28O8,,糖苷类,O=C1O[C@@]2([H])C[C@]([C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C=CC4=C)(C)[C@@]4([H])CC2=C1C,"InChI=1S/C21H28O8/c1-9-4-5-15(29-20-18(25)17(24)16(23)14(8-22)28-20)21(3)7-13-11(6-12(9)21)10(2)19(26)27-13/h4-5,12-18,20,22-25H,1,6-8H2,2-3H3/t12-,13-,14+,15-,16+,17-,18+,20-,21+/m0/s1",IXPRKLBCFLYFKW-BVFXZANDSA-N,肿节风
ZJF-010,肿节风苷D,sarcaglaboside D,/,542.564,C26H38O12,,糖苷类,O=C1O[C@@]2([H])C[C@@](C)(C=C)[C@H](C(CO[C@@H]3O[C@H](CO[C@@H]4OC[C@@](CO)(O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)=C)CC2=C1C,"InChI=1S/C26H38O12/c1-5-25(4)7-16-14(13(3)22(32)37-16)6-15(25)12(2)8-34-23-20(30)19(29)18(28)17(38-23)9-35-24-21(31)26(33,10-27)11-36-24/h5,15-21,23-24,27-31,33H,1-2,6-11H2,3-4H3/t15-,16-,17+,18+,19-,20+,21-,23+,24+,25+,26+/m0/s1",NYVXYMLUZXJHAU-LVVJISPMSA-N,肿节风
