编号,化学名,英文名称,分子式,分子量,CAS号,2D图,分类,smiles,inchi,inchikey,药材名称
SM-001,原苏木素A, protosappanin A,C15H12O5,272.25 ,102036-28-2,,酚类,O=C1CC2=CC(O)=C(O)C=C2C(C=CC(O)=C3)=C3OC1,"InChI=1S/C15H12O5/c16-9-1-2-11-12-6-14(19)13(18)4-8(12)3-10(17)7-20-15(11)5-9/h1-2,4-6,16,18-19H,3,7H2",MUKYVRVYBBYJSI-UHFFFAOYSA-N,苏木
SM-002,原苏木素B,"(7S)-3,7,10,11-Tetrahydroxy-7,8-dihydro-6H-dibenzo[b,d]oxocin-7-methanol","	C16H16O6",304.29 ,102036-29-3,,酚类,OC1=CC2=C(C=C1O)CC(O)(OC)COC3=CC(O)=CC=C32,"InChI=1S/C16H16O6/c1-21-16(20)7-9-4-13(18)14(19)6-12(9)11-3-2-10(17)5-15(11)22-8-16/h2-6,17-20H,7-8H2,1H3",RBKGHIZGIPYHQI-UHFFFAOYSA-N,苏木
SM-003,原苏木素C,protosappanin C,C16H14O6,302.28 ,111534-98-6,,酚类,OC1=CC(OC[C@](C([H])=O)(O)CC2=CC(O)=C(O)C=C32)=C3C=C1,"InChI=1S/C16H14O6/c17-7-16(21)6-9-3-13(19)14(20)5-12(9)11-2-1-10(18)4-15(11)22-8-16/h1-5,7,18-21H,6,8H2",QNHPMVBTMIUVRU-UHFFFAOYSA-N,苏木
SM-004,10-O-甲基原苏木素 B,10-O_x005fmethylprotosappanin B,C17H18O6,318.32 ,111830-77-4,,酚类,OC1=CC2=C(C3=C(C[C@@](O)(CO2)CO)C=C(OC)C(O)=C3)C=C1,"InChI=1S/C17H18O6/c1-22-16-4-10-7-17(21,8-18)9-23-15-5-11(19)2-3-12(15)13(10)6-14(16)20/h2-6,18-21H,7-9H2,1H3/t17-/m0/s1",MPBIWBGTEYMVRN-KRWDZBQOSA-N,苏木
SM-005,原苏木素E1,protosappanin E1,C32H26O11,586.54 ,130233-78-2,,酚类,OC(C(O)=C1)=CC2=C1C(C=CC(O)=C3)=C3OCC(O)([C@H](O4)O[C@@]56[C@]4(C(C=C(O)C(O)=C7)=C7CC6)C8=CC=C(O)C=C8OC5)C2,"InChI=1S/C33H28O11/c34-18-1-3-20-21-11-26(38)25(37)8-17(21)13-31(40,14-41-28(20)9-18)30-43-32-6-5-16-7-24(36)27(39)12-23(16)33(32,44-30)22-4-2-19(35)10-29(22)42-15-32/h1-4,7-12,30,34-40H,5-6,13-15H2/t30-,31+,32+,33+/m0/s1",LDVDZTDHUKNWJL-LDLFXXLYSA-N,苏木
SM-006,"巴西苏木素(苏方木素、巴西红木
素)", Brazilin,C16H14O5,"	286.28","	474-07-7",,酚类,OC12CC(C=C(O)C(O)=C3)=C3C1C4=CC=C(O)C=C4OC2,"InChI=1S/C16H14O5/c17-9-1-2-10-14(4-9)21-7-16(20)6-8-3-12(18)13(19)5-11(8)15(10)16/h1-5,15,17-20H,6-7H2",UWHUTZOCTZJUKC-UHFFFAOYSA-N,苏木
SM-007,苏木精,hematoxylin,C16H14O6,302.28 ,517-28-2,,酚类,O[C@]12[C@](C(C=CC(O)=C3O)=C3OC2)([H])C4=CC(O)=C(O)C=C4C1,"InChI=1S/C16H14O6/c17-10-2-1-8-13-9-4-12(19)11(18)3-7(9)5-16(13,21)6-22-15(8)14(10)20/h1-4,13,17-21H,5-6H2/t13-,16+/m0/s1",WZUVPPKBWHMQCE-XJKSGUPXSA-N,苏木
SM-008,3'-O-甲氧基巴西苏木素,3'-O-Methylbrazilin, C17H16O5,300.30 ,/,,酚类,[H]C1=C2C(C(C(C=C(O)C(OC)=C3)=C3C4)([H])C4(O)CO2)=CC=C1O,"InChI=1S/C17H16O5/c1-21-15-4-9-7-17(20)8-22-14-5-10(18)2-3-11(14)16(17)12(9)6-13(15)19/h2-6,16,18-20H,7-8H2,1H3",RDWWRPSMRUBPHK-UHFFFAOYSA-N,苏木
SM-009,四乙酰基巴西灵,tetraacetylbrazilin,C24H22O9,454.40 ,2241-61-4,,其他,O=C(C)OC(C=C(C[C@]1(OC(C)=O)[C@@]2([H])C3=C(C=C(OC(C)=O)C=C3)OC1)C2=C4)=C4OC(C)=O,"InChI=1S/C24H22O9/c1-12(25)30-17-5-6-18-20(8-17)29-11-24(33-15(4)28)10-16-7-21(31-13(2)26)22(32-14(3)27)9-19(16)23(18)24/h5-9,23H,10-11H2,1-4H3/t23-,24+/m0/s1",QTWIUPRYNALMAA-BJKOFHAPSA-N,苏木
SM-010,氧化巴西苏木素（巴西苏木红素）,brazilein,C16H12O5,284.26,600-76-0,,酚类,OC(C1=C2C=C3O)(COC4=CC(O)=CC=C14)CC2=CC3=O,"InChI=1S/C16H12O5/c17-9-1-2-10-14(4-9)21-7-16(20)6-8-3-12(18)13(19)5-11(8)15(10)16/h1-5,17,19-20H,6-7H2",MLWIYODOURBGPI-UHFFFAOYSA-N,苏木
