编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey,药材名称
HZ-001,大黄素,Emodin,518-82-1,270.24,C15H10O5,,蒽醌类,CC1=CC(C(C2=C3C(O)=CC(O)=C2)=O)=C(C3=O)C(O)=C1,"InChI=1S/C15H10O5/c1-6-2-8-12(10(17)3-6)15(20)13-9(14(8)19)4-7(16)5-11(13)18/h2-5,16-18H,1H3",RHMXXJGYXNZAPX-UHFFFAOYSA-N,虎杖
HZ-002,大黄酸,Rhein,478-43-3,284.22,C15H8O6,,蒽醌类,OC1=CC=CC(C2=O)=C1C(C3=C2C=C(C(O)=O)C=C3O)=O,"InChI=1S/C15H8O6/c16-9-3-1-2-7-11(9)14(19)12-8(13(7)18)4-6(15(20)21)5-10(12)17/h1-5,16-17H,(H,20,21)",FCDLCPWAQCPTKC-UHFFFAOYSA-N,虎杖
HZ-003,大黄酚,Chrysophanic acid,481-74-3,254.24,C15H10O4,,蒽醌类,CC1=CC(C(C2=C(C3=O)C(O)=CC=C2)=O)=C3C(O)=C1,"InChI=1S/C15H10O4/c1-7-5-9-13(11(17)6-7)15(19)12-8(14(9)18)3-2-4-10(12)16/h2-6,16-17H,1H3",LQGUBLBATBMXHT-UHFFFAOYSA-N,虎杖
HZ-004,大黄素甲醚,Physcion,521-61-9,284.26,C16H12O5,,蒽醌类,O=C(C1=C2C(O)=CC(C)=C1)C3=C(C(O)=CC(OC)=C3)C2=O,"InChI=1S/C16H12O5/c1-7-3-9-13(11(17)4-7)16(20)14-10(15(9)19)5-8(21-2)6-12(14)18/h3-6,17-18H,1-2H3",FFWOKTFYGVYKIR-UHFFFAOYSA-N,虎杖
HZ-005,大黄素-8-甲醚,Questin,3774-64-9,284.26,C16H12O5,,蒽醌类,CC1=CC(C(C2=C3C(OC)=CC(O)=C2)=O)=C(C3=O)C(O)=C1,"InChI=1S/C16H12O5/c1-7-3-9-13(11(18)4-7)16(20)14-10(15(9)19)5-8(17)6-12(14)21-2/h3-6,17-18H,1-2H3",UUNPIWCQMVNINR-UHFFFAOYSA-N,虎杖
HZ-006,大黄素甲醚-8-O-β-D-葡萄糖苷,Physcion 8-O-beta-D-glucoside,26296-54-8,446.4,C22H22O10,,蒽醌类,O=C(C1=CC(OC)=CC(O)=C12)C3=CC(C)=CC(O[C@@H]4O[C@@H]([C@H]([C@@H]([C@H]4O)O)O)CO)=C3C2=O,"InChI=1S/C22H22O10/c1-8-3-10-16(19(27)15-11(17(10)25)5-9(30-2)6-12(15)24)13(4-8)31-22-21(29)20(28)18(26)14(7-23)32-22/h3-6,14,18,20-24,26,28-29H,7H2,1-2H3/t14-,18-,20+,21-,22-/m1/s1",WLXGUTUUWXVZNM-DQMLXFRHSA-N,虎杖
HZ-007,大黄素-1-O-β-D-葡萄糖苷,Emodin 1-O-beta-D-glucoside,38840-23-2,432.38,C21H20O10,,蒽醌类,O=C(C1=CC(O)=CC(O)=C12)C3=CC(C)=CC(O[C@@H]4O[C@@H]([C@H]([C@@H]([C@H]4O)O)O)CO)=C3C2=O,"InChI=1S/C21H20O10/c1-7-2-9-15(18(27)14-10(16(9)25)4-8(23)5-11(14)24)12(3-7)30-21-20(29)19(28)17(26)13(6-22)31-21/h2-5,13,17,19-24,26,28-29H,6H2,1H3/t13-,17-,19+,20-,21-/m1/s1",ZXXFEBMBNPRRSI-JNHRPPPUSA-N,虎杖
HZ-008,迷人醇,Fallacinol,569-05-1,300.26,C16H12O6,,蒽醌类,COC1=CC(C(C2=C(C3=O)C(O)=CC(CO)=C2)=O)=C3C(O)=C1,"InChI=1S/C16H12O6/c1-22-8-4-10-14(12(19)5-8)16(21)13-9(15(10)20)2-7(6-17)3-11(13)18/h2-5,17-19H,6H2,1H3",WJXSYUJKJSOJOG-UHFFFAOYSA-N,虎杖
HZ-009,6-羟基芦荟大黄素,Citreorosein,481-73-2,286.24,C15H10O6,,蒽醌类,OCC1=CC(C(C2=C3C(O)=CC(O)=C2)=O)=C(C3=O)C(O)=C1,"InChI=1S/C15H10O6/c16-5-6-1-8-12(10(18)2-6)15(21)13-9(14(8)20)3-7(17)4-11(13)19/h1-4,16-19H,5H2",YQHZABGPIPECSQ-UHFFFAOYSA-N,虎杖
HZ-010,6-羟基芦荟大黄素-8-甲醚,Questinol,35688-09-6,300.26,C16H12O6,,蒽醌类,COC1=CC(O)=CC2=C1C(C3=C(C2=O)C=C(CO)C=C3O)=O,"InChI=1S/C16H12O6/c1-22-12-5-8(18)4-10-14(12)16(21)13-9(15(10)20)2-7(6-17)3-11(13)19/h2-5,17-19H,6H2,1H3",SNBGJGNOQURXCI-UHFFFAOYSA-N,虎杖
