编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey,药材名称
PASC-001,芹菜素,Apigenin,520-36-5,270.2400 ,C15H10O5,,黄酮,OC(C=C1)=CC=C1C2=CC(C3=C(O)C=C(O)C=C3O2)=O,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,败酱草
PASC-002,Apigenin 7-O-glucoside,,578-74-5,432.3810 ,C21H20O10,,黄酮,OC(C=C1)=CC=C1C2=CC(C3=C(O)C=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C3O2)=O,"InChI=1S/C21H20O10/c22-8-16-18(26)19(27)20(28)21(31-16)29-11-5-12(24)17-13(25)7-14(30-15(17)6-11)9-1-3-10(23)4-2-9/h1-7,16,18-24,26-28H,8H2/t16-,18-,19+,20-,21-/m1/s1",KMOUJOKENFFTPU-QNDFHXLGSA-N,败酱草
PASC-003,Apigenin-7-O-β-D-glucuronide methyl ester,,53538-13-9,460.3910 ,C22H20O11,,黄酮,OC1=C(C(C=C(C2=CC=C(O)C=C2)O3)=O)C3=CC(O[C@@H]4O[C@H](C(OC)=O)[C@H]([C@H](O)[C@H]4O)O)=C1,"InChI=1S/C22H20O11/c1-30-21(29)20-18(27)17(26)19(28)22(33-20)31-11-6-12(24)16-13(25)8-14(32-15(16)7-11)9-2-4-10(23)5-3-9/h2-8,17-20,22-24,26-28H,1H3/t17-,18-,19+,20-,22+/m0/s1",XXKIWCKZQFBXIR-SXFAUFNYSA-N,败酱草
PASC-004,异牡荆苷,Apigenin-6-C-glucoside,29702-25-8,432.3810 ,C21H20O10,,黄酮,OC1=CC=C(C=C1)C2=CC(C3=C(O)C([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C(O)C=C3O2)=O,"InChI=1S/C21H20O10/c22-7-14-17(26)19(28)20(29)21(31-14)16-11(25)6-13-15(18(16)27)10(24)5-12(30-13)8-1-3-9(23)4-2-8/h1-6,14,17,19-23,25-29H,7H2/t14-,17-,19+,20-,21+/m1/s1",MYXNWGACZJSMBT-VJXVFPJBSA-N,败酱草
PASC-005,野黄芩苷,Scutellarin,27740-01-8,462.3630 , C21H18O12,,黄酮,OC1=CC=C(C=C1)C2=CC(C(C(O)=C3O)=C(O2)C=C3O[C@@H]4O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]4O)=O,"InChI=1S/C21H18O12/c22-8-3-1-7(2-4-8)10-5-9(23)13-11(31-10)6-12(14(24)15(13)25)32-21-18(28)16(26)17(27)19(33-21)20(29)30/h1-6,16-19,21-22,24-28H,(H,29,30)/t16-,17-,18+,19-,21+/m0/s1",DJSISFGPUUYILV-ZFORQUDYSA-N,败酱草
PASC-006,"8-C-葡萄糖基-7-甲氧基-4',5-二羟基黄酮",,52448-12-1,446.4080 ,C22H22O10,,黄酮,COC1=CC(O)=C2C(C=C(C3=CC=C(O)C=C3)OC2=C1[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=O,"InChI=1S/C22H22O10/c1-30-14-7-12(26)16-11(25)6-13(9-2-4-10(24)5-3-9)31-21(16)17(14)22-20(29)19(28)18(27)15(8-23)32-22/h2-7,15,18-20,22-24,26-29H,8H2,1H3/t15-,18-,19+,20-,22+/m1/s1",HHPLIFSIFJSIBY-PGPONNFDSA-N,败酱草
PASC-007,Acacetin,,480-44-4,284.2670 ,C16H12O5,,黄酮,COC(C=C1)=CC=C1C2=CC(C3=C(O)C=C(O)C=C3O2)=O,"InChI=1S/C16H12O5/c1-20-11-4-2-9(3-5-11)14-8-13(19)16-12(18)6-10(17)7-15(16)21-14/h2-8,17-18H,1H3",DANYIYRPLHHOCZ-UHFFFAOYSA-N,败酱草
PASC-008,"5-羟基-4',7-二甲氧基黄酮","7,4'-Di-O-methylapigenin",5128-44-9,298.2940 ,C17H14O5,,黄酮,O=C1C2=C(C=C(OC)C=C2O)OC(C3=CC=C(OC)C=C3)=C1,"InChI=1S/C17H14O5/c1-20-11-5-3-10(4-6-11)15-9-14(19)17-13(18)7-12(21-2)8-16(17)22-15/h3-9,18H,1-2H3",LZERJKGWTQYMBB-UHFFFAOYSA-N,败酱草
PASC-009,木犀草素, Luteolin,491-70-3,286.2390 ,C15H10O6,,黄酮,O=C1C2=C(C=C(O)C=C2O)OC(C3=CC=C(O)C(O)=C3)=C1,"InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H",IQPNAANSBPBGFQ-UHFFFAOYSA-N,败酱草
PASC-010,异荭草苷,Isoorientin,4261-42-1,448.3800 ,C21H20O11,,黄酮,O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1C2=C(O)C=C3C(C(C=C(C4=CC=C(O)C(O)=C4)O3)=O)=C2O,"InChI=1S/C21H20O11/c22-6-14-17(27)19(29)20(30)21(32-14)16-11(26)5-13-15(18(16)28)10(25)4-12(31-13)7-1-2-8(23)9(24)3-7/h1-5,14,17,19-24,26-30H,6H2/t14-,17-,19+,20-,21+/m1/s1",ODBRNZZJSYPIDI-VJXVFPJBSA-N,败酱草
PASC-011,"5-羟基-7,3',4'-三甲氧基黄酮","5-Hydroxy-3',4',7-trimethoxyflavone",29080-58-8,328.3200 ,C18H16O6,,黄酮,O=C1C2=C(C=C(OC)C=C2O)OC(C3=CC=C(OC)C(OC)=C3)=C1,"InChI=1S/C18H16O6/c1-21-11-7-12(19)18-13(20)9-15(24-17(18)8-11)10-4-5-14(22-2)16(6-10)23-3/h4-9,19H,1-3H3",HIXDQWDOVZUNNA-UHFFFAOYSA-N,败酱草
PASC-012,luteolin-7-O-glucoside-6''-methyl ester,,76939-42-9,476.3900 ,C22H20O12,,黄酮,O=C1C2=C(O)C=C(O[C@@H]3O[C@H](OC(C)=O)[C@@H](O)[C@H](O)[C@H]3O)C=C2OC(C4=CC(O)=C(O)C=C4)=C1,"InChI=1S/C22H20O12/c1-8(23)31-21-19(29)18(28)20(30)22(34-21)32-10-5-13(26)17-14(27)7-15(33-16(17)6-10)9-2-3-11(24)12(25)4-9/h2-7,18-22,24-26,28-30H,1H3/t18-,19-,20+,21-,22+/m0/s1",KXSLGUZORPOVOW-BIRZXAFVSA-N,败酱草
PASC-013,Luteolin-7-O-β-D-glucuronide ethyl ester,,320393-09-7,490.4170 ,C23H22O12,,黄酮,OC(C(O)=C1)=CC=C1C2=CC(C3=C(O)C=C(O[C@@H]4O[C@H](C(OCC)=O)[C@@H](O)[C@H](O)[C@H]4O)C=C3O2)=O,"InChI=1S/C23H22O12/c1-2-32-22(31)21-19(29)18(28)20(30)23(35-21)33-10-6-13(26)17-14(27)8-15(34-16(17)7-10)9-3-4-11(24)12(25)5-9/h3-8,18-21,23-26,28-30H,2H2,1H3/t18-,19-,20+,21-,23+/m0/s1",BEPOTAUCBSWOPK-KHYDEXNFSA-N,败酱草
PASC-014,Luteolin 7-O-rutinoside,,20633-84-5,594.5220 ,C27H30O15,,黄酮,O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)O[C@H]1OC3=CC(O)=C(C(C=C(C4=CC=C(O)C(O)=C4)O5)=O)C5=C3,"InChI=1S/C27H30O15/c1-9-20(32)22(34)24(36)26(39-9)38-8-18-21(33)23(35)25(37)27(42-18)40-11-5-14(30)19-15(31)7-16(41-17(19)6-11)10-2-3-12(28)13(29)4-10/h2-7,9,18,20-30,32-37H,8H2,1H3/t9-,18+,20-,21+,22+,23-,24+,25+,26+,27+/m0/s1",MGYBYJXAXUBTQF-FOBVWLSUSA-N,败酱草
PASC-015,"8-(7""R-(3""4""-dihydroxyphenyl) ethyl)-3',4',5,7-tetrahydroxyflavone.",,2243090-19-7,422.3890 ,C23H18O8,,黄酮,OC1=C(O)C=CC(C2=CC(C3=C(O)C=C(O)C([C@@H](C)C4=CC(O)=C(O)C=C4)=C3O2)=O)=C1,"InChI=1S/C23H18O8/c1-10(11-2-4-13(24)15(26)6-11)21-17(28)8-18(29)22-19(30)9-20(31-23(21)22)12-3-5-14(25)16(27)7-12/h2-10,24-29H,1H3/t10-/m0/s1",SUKQWHZUIJOUJD-JTQLQIEISA-N,败酱草
PASC-016,"7-O-β-Dglucuronide methyl ester-8-(7""R-(3"",4""-dihydroxyphenyl) ethyl)- 3',4',5- trihydroxyflavone",,,612.5400 , C30H28O14,,黄酮,OC1=CC=C([C@@H](C)C(C(O[C@@H]2O[C@H](C(OC)=O)[C@H]([C@H](O)[C@H]2O)O)=CC(O)=C34)=C3OC(C5=CC=C(O)C(O)=C5)=CC4=O)C=C1O,"InChI=1S/C30H28O14/c1-11(12-3-5-14(31)16(33)7-12)22-21(43-30-26(39)24(37)25(38)28(44-30)29(40)41-2)10-19(36)23-18(35)9-20(42-27(22)23)13-4-6-15(32)17(34)8-13/h3-11,24-26,28,30-34,36-39H,1-2H3/t11-,24+,25+,26-,28+,30-/m1/s1",QSEDTDJJYYSEAJ-XGZUIZPMSA-N,败酱草
