编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey,药材名称
CS-001,芍药苷,paeoniflorin,23180-57-6,480.1632 ,C23H28O11,,单萜类,O=C(C1=CC=CC=C1)OC[C@]([C@@]([C@]2(O)O3)([H])C4)([C@]3([H])O[C@]5(C2)C)[C@]45O[C@]([C@@H]([C@@H](O)[C@@H]6O)O)([H])O[C@@H]6CO,"InChI=1S/C23H28O11/c1-20-9-22(29)13-7-23(20,32-18-16(27)15(26)14(25)12(8-24)31-18)21(13,19(33-20)34-22)10-30-17(28)11-5-3-2-4-6-11/h2-6,12-16,18-19,24-27,29H,7-10H2,1H3/t12-,13-,14-,15+,16-,18+,19-,20+,21+,22-,23+/m1/s1",YKRGDOXKVOZESV-WRJNSLSBSA-N,赤芍
CS-002,芍药苷 A,paeonidanin A,/,332.1260 ,C18H20O6,,单萜类,O=C1C2CC(C2(COC(C3=CC=CC=C3)=O)C(OC)O4)(O)C4(C)C1,"InChI=1S/C18H20O6/c1-16-9-13(19)12-8-18(16,21)17(12,15(22-2)24-16)10-23-14(20)11-6-4-3-5-7-11/h3-7,12,15,21H,8-10H2,1-2H3",GHLQXVJMYVGPCU-UHFFFAOYSA-N,赤芍
CS-003,芍药苷 B,paeonidanin B,/,494.1788 ,C24H30O11,,单萜类,O[C@H]1[C@H](O)[C@@H](O)[C@H](OC23CC4C(CC2(C)OC(OC)C34COC(C5=CC=CC=C5)=O)=O)O[C@@H]1CO,"InChI=1S/C24H30O11/c1-22-9-14(26)13-8-24(22,34-20-18(29)17(28)16(27)15(10-25)33-20)23(13,21(31-2)35-22)11-32-19(30)12-6-4-3-5-7-12/h3-7,13,15-18,20-21,25,27-29H,8-11H2,1-2H3/t13?,15-,16-,17+,18-,20+,21?,22?,23?,24?/m1/s1",CUOSPKQOVDKAPD-BXOUWBQESA-N,赤芍
CS-004,芍药苷 C,paeonidanin C,/,598.2050 ,C31H34O12,,单萜类,O[C@H]1[C@H](O)[C@@H](O)[C@H](OC23CC4C(CC2(C)OC(OC)C34COC(C5=CC=CC=C5)=O)=O)O[C@@H]1COC(C6=CC=CC=C6)=O,"InChI=1S/C31H34O12/c1-29-14-20(32)19-13-31(29,30(19,28(38-2)43-29)16-40-26(37)18-11-7-4-8-12-18)42-27-24(35)23(34)22(33)21(41-27)15-39-25(36)17-9-5-3-6-10-17/h3-12,19,21-24,27-28,33-35H,13-16H2,1-2H3/t19?,21-,22-,23+,24-,27+,28?,29?,30?,31?/m1/s1",FHQISCVSTDQXSV-OARMZRQXSA-N,赤芍
CS-005,芍药苷 D,paeonidanin D,/,646.1898 ,C31H34O15,,单萜类,O[C@H]1[C@H](O)[C@@H](O)[C@H](OC23CC4C(CC2(C)OC(OC)C34COC(C5=CC=CC=C5)=O)=O)O[C@@H]1COC(C6=CC(O)=C(O)C(O)=C6)=O,"InChI=1S/C31H34O15/c1-29-11-19(34)16-10-31(29,30(16,28(41-2)46-29)13-43-25(39)14-6-4-3-5-7-14)45-27-24(38)23(37)22(36)20(44-27)12-42-26(40)15-8-17(32)21(35)18(33)9-15/h3-9,16,20,22-24,27-28,32-33,35-38H,10-13H2,1-2H3/t16?,20-,22-,23+,24-,27+,28?,29?,30?,31?/m1/s1",MCPINUIKOMHPEA-FMCPSKPUSA-N,赤芍
CS-006,芍药苷 E,paeonidanin E,/,614.1999 ,C31H34O13,,单萜类,O[C@H]1[C@H](O)[C@@H](O)[C@H](OC23CC4C(CC2(C)OC(OC)C34COC(C5=CC=CC=C5)=O)=O)O[C@@H]1COC(C6=CC=C(O)C=C6)=O,"InChI=1S/C31H34O13/c1-29-13-20(33)19-12-31(29,30(19,28(39-2)44-29)15-41-26(38)16-6-4-3-5-7-16)43-27-24(36)23(35)22(34)21(42-27)14-40-25(37)17-8-10-18(32)11-9-17/h3-11,19,21-24,27-28,32,34-36H,12-15H2,1-2H3/t19?,21-,22-,23+,24-,27+,28?,29?,30?,31?/m1/s1",TZMHQWSUGGVHRJ-OARMZRQXSA-N,赤芍
CS-007,芍药苷 F,paeonidanin F,/,968.3678 ,C49H60O20,,单萜类,O[C@H]1[C@H](O)[C@@H](O)[C@H](OC23CC4C(CC2(C)OC(OC)C34COC(C5=CC=CC=C5)=O)=O)O[C@@H]1CCOC6C7(COC(C8=CC=CC=C8)=O)C9(C[C@H]%10[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O%10)CC7C(CC9(C)O6)=O,"InChI=1S/C49H60O20/c1-44-18-28(51)26-16-46(44,20-31-34(54)36(56)35(55)32(21-50)65-31)47(26,22-63-39(59)24-10-6-4-7-11-24)43(69-44)62-15-14-30-33(53)37(57)38(58)41(66-30)67-49-17-27-29(52)19-45(49,2)68-42(61-3)48(27,49)23-64-40(60)25-12-8-5-9-13-25/h4-13,26-27,30-38,41-43,50,53-58H,14-23H2,1-3H3/t26?,27?,30-,31+,32-,33-,34+,35-,36-,37+,38-,41+,42?,43?,44?,45?,46?,47?,48?,49?/m1/s1",ZKYASVOAOMWKOX-OPKWLWMRSA-N,赤芍
CS-008,芍药苷 G,paeonidanin G,/,958.3107 ,C46H54O22,,单萜类,O[C@H]1[C@H](O)[C@@H](O)[C@H](OC23CC4[C@]5(O)C[C@@]2(C)O[C@@H](O5)C34COC(C6=CC=CC=C6)=O)O[C@@H]1COOC7C8(COC(C9=CC=CC=C9)=O)C%10(O[C@H]%11[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O%11)CC8C(CC%10(C)O7)=O,"InChI=1S/C46H54O22/c1-40-14-24(48)23-13-45(40,63-36-32(53)30(51)28(49)25(16-47)61-36)42(23,19-58-34(55)21-9-5-3-6-10-21)39(66-40)68-60-17-26-29(50)31(52)33(54)37(62-26)64-46-15-27-43(46,20-59-35(56)22-11-7-4-8-12-22)38-65-41(46,2)18-44(27,57)67-38/h3-12,23,25-33,36-39,47,49-54,57H,13-20H2,1-2H3/t23?,25-,26-,27?,28-,29-,30+,31+,32-,33-,36+,37+,38+,39?,40?,41-,42?,43?,44+,45?,46?/m1/s1",VWXSESJTTJUBMD-MUORYKGHSA-N,赤芍
CS-009,芍药苷 H,paeonidanin H,/,336.1209 ,C17H20O7,,单萜类,CC1(COC(C2=CC(O)=C(O)C(O)=C2)=O)C3(O)CC1C(CC3C)=O,"InChI=1S/C17H20O7/c1-8-3-11(18)10-6-17(8,23)16(10,2)7-24-15(22)9-4-12(19)14(21)13(20)5-9/h4-5,8,10,19-21,23H,3,6-7H2,1-2H3",BCWBVYONIOEKQB-UHFFFAOYSA-N,赤芍
CS-010,芍药新苷,lactiflorin,88623-95-4,462.1526 ,C23H26O10,,单萜类,O[C@@H]([C@@H]([C@@H](CO)O1)O)[C@@H](OC2(C)CC3O4)[C@@H]1OC52CC3C5(COC(C6=CC=CC=C6)=O)C4=O,"InChI=1S/C23H26O10/c1-21-8-13-12-7-23(21,33-19-17(32-21)16(26)15(25)14(9-24)30-19)22(12,20(28)31-13)10-29-18(27)11-5-3-2-4-6-11/h2-6,12-17,19,24-26H,7-10H2,1H3/t12?,13?,14-,15-,16+,17-,19+,21?,22?,23?/m1/s1",SKVHDMAJGHRJJZ-RPLHGOISSA-N,赤芍
