编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,类别,smiles,inchi,inchikey,药材名称
PECH-001,山奈酚-3-O-阿拉伯糖苷,Kaempferol-3-O-arabinoside,5041-67-8,418.3540,C20H18O10,,黄酮,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=C(O)C=C3)=C1O[C@H]4[C@H](O)[C@@H](O)[C@H](CO)O4,"InChI=1S/C20H18O10/c21-7-13-15(25)17(27)20(29-13)30-19-16(26)14-11(24)5-10(23)6-12(14)28-18(19)8-1-3-9(22)4-2-8/h1-6,13,15,17,20-25,27H,7H2/t13-,15-,17+,20-/m0/s1",POQICXMTUPVZMX-UXYNSRGZSA-N,赶黄草
PECH-002,槲皮素,Quercetin,117-39-5,302.2380,C15H10O7,,黄酮,OC(C(O)=C1)=CC=C1C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,赶黄草
PECH-003,槲皮素-3-O-阿拉伯糖苷,Avicularin,572-30-5,434.3530,C20H18O11,,黄酮,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=C(O)C(O)=C3)=C1O[C@H]4[C@H](O)[C@@H](O)[C@H](CO)O4,"InChI=1S/C20H18O11/c21-6-13-15(26)17(28)20(30-13)31-19-16(27)14-11(25)4-8(22)5-12(14)29-18(19)7-1-2-9(23)10(24)3-7/h1-5,13,15,17,20-26,28H,6H2/t13-,15-,17+,20-/m0/s1",BDCDNTVZSILEOY-UXYNSRGZSA-N,赶黄草
PECH-004,槲皮素-3-O-α-L-鼠李糖苷,Quercitrin,522-12-3,448.3800,C21H20O11,,黄酮,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=C(O)C(O)=C3)=C1O[C@H]4[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O4,"InChI=1S/C21H20O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-18,21-26,28-29H,1H3/t7-,15-,17+,18+,21-/m0/s1",OXGUCUVFOIWWQJ-HQBVPOQASA-N,赶黄草
PECH-005,"3-Phenyl-1-(2′,6′-dihydroxyphenyl-4′-O-β-D-glucopyranosyl)-1-propanone","3-Phenyl-1-(2′,6′-dihydroxyphenyl-4′-O-β-D-glucopyranosyl)-1-propanone",73519-16-1,420.4140,C21H24O9,,黄酮,OC1=CC(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)=CC(O)=C1C(CCC3=CC=CC=C3)=O,"InChI=1S/C21H24O9/c22-10-16-18(26)19(27)20(28)21(30-16)29-12-8-14(24)17(15(25)9-12)13(23)7-6-11-4-2-1-3-5-11/h1-5,8-9,16,18-22,24-28H,6-7,10H2/t16-,18-,19+,20-,21-/m1/s1",PDEJQNUGODFPTR-QNDFHXLGSA-N,赶黄草
PECH-006,"2′,6′-Dihydroxydihydro-chalcone-4′-O-[3′′-O-galloyl]-β-D-glucopyranoside","2′,6′-Dihydroxydihydro-chalcone-4′-O-[3′′-O-galloyl]-β-D-glucopyranoside",1885097-49-3,572.5190,C28H28O13,,黄酮,OC1=CC(OC2[C@@H](O)[C@H](OC(C3=CC(O)=C(O)C(O)=C3)=O)C(O)[C@@H](CO)O2)=CC(O)=C1C(CCC4=CC=CC=C4)=O,"InChI=1S/C28H28O13/c29-12-21-24(36)26(41-27(38)14-8-19(33)23(35)20(34)9-14)25(37)28(40-21)39-15-10-17(31)22(18(32)11-15)16(30)7-6-13-4-2-1-3-5-13/h1-5,8-11,21,24-26,28-29,31-37H,6-7,12H2/t21-,24?,25+,26-,28?/m1/s1",CEPQQERKIVVLGP-QUOSWKDLSA-N,赶黄草
PECH-007,6′-羟基-2′-甲氧基二氢查耳酮-4′-O-β-D-吡喃葡 萄糖苷,6'-hydroxy-2'-methoxy-dihydrochalcone-4'-β-D-glucopyranoside,/,434.4410,C22H26O9,,黄酮,O=C(CCC1=CC=CC=C1)C2=C(OC)C=C(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)C=C2O,"InChI=1S/C22H26O9/c1-29-16-10-13(30-22-21(28)20(27)19(26)17(11-23)31-22)9-15(25)18(16)14(24)8-7-12-5-3-2-4-6-12/h2-6,9-10,17,19-23,25-28H,7-8,11H2,1H3/t17-,19-,20+,21-,22-/m1/s1",OKUDOZQZDZDXJA-MIUGBVLSSA-N,赶黄草
PECH-008,4-O-β-D-Glucopyranosyl-6-hydroxy-2-methoxychalcone,4-O-β-D-Glucopyranosyl-6-hydroxy-2-methoxychalcone,1375457-41-2,432.4250,C22H24O9,,黄酮,OC1=CC(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)=CC(OC)=C1C(/C=C/C3=CC=CC=C3)=O,"InChI=1S/C22H24O9/c1-29-16-10-13(30-22-21(28)20(27)19(26)17(11-23)31-22)9-15(25)18(16)14(24)8-7-12-5-3-2-4-6-12/h2-10,17,19-23,25-28H,11H2,1H3/b8-7+/t17-,19-,20+,21-,22-/m1/s1",BOZCHAAEPGTZKL-XBYYYFBSSA-N,赶黄草
PECH-009,(2S)-乔松素,(+)-Pinocembrin,480-39-7,256.2570,C15H12O4,,黄酮,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=CC=C3)C1,"InChI=1S/C15H12O4/c16-10-6-11(17)15-12(18)8-13(19-14(15)7-10)9-4-2-1-3-5-9/h1-7,13,16-17H,8H2",URFCJEUYXNAHFI-UHFFFAOYSA-N,赶黄草
PECH-010,(2R/2S)-乔松素-7-O-β-D-葡萄糖苷,Pinocembrin-7-O-β-D-glucopyranoside,75829-43-5,418.3980,C21H22O9,,黄酮,O=C1C2=C(O)C=C(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)C=C2OC(C4=CC=CC=C4)C1,"InChI=1S/C21H22O9/c22-9-16-18(25)19(26)20(27)21(30-16)28-11-6-12(23)17-13(24)8-14(29-15(17)7-11)10-4-2-1-3-5-10/h1-7,14,16,18-23,25-27H,8-9H2/t14?,16-,18-,19+,20-,21-/m1/s1",GPGFGFUBECSNTG-RGHIGTIISA-N,赶黄草
