编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,化合物分类,SMILES,InChI,InChIKey,药材种类
YJ-001,/,1-p-coumaroyl-cinnamic acid,/,310.0841,C18H14O5,,,其他,OC(/C=C/C1=CC=C(OC2=CC=C(/C=C/C(O)=O)C=C2)C=C1)=O,"InChI=1S/C18H14O5/c19-17(20)11-5-13-1-7-15(8-2-13)23-16-9-3-14(4-10-16)6-12-18(21)22/h1-12H,(H,19,20)(H,21,22)/b11-5+,12-6+",ILNUBQRZEIITST-YDWXAUTNSA-N,郁金
YJ-002,/,1-feruloyloxy-2-methoxycinnamic acid,/,370.1053,C20H18O7,,,其他,OC(/C=C/C1=CC(OC)=C(OC2=CC=C(/C=C/C(O)=O)C=C2OC)C=C1)=O,"InChI=1S/C20H18O7/c1-25-17-11-13(5-9-19(21)22)3-7-15(17)27-16-8-4-14(6-10-20(23)24)12-18(16)26-2/h3-12H,1-2H3,(H,21,22)(H,23,24)/b9-5+,10-6+",BRYJSPGJWTUCLS-NXZHAISVSA-N,郁金
YJ-003,/,1-feruloyloxy-cinnamic acid,/,340.0947,C19H16O6,,,其他,OC(/C=C/C1=CC(OC)=C(OC2=CC=C(/C=C/C(O)=O)C=C2)C=C1)=O,,LIDBMKQHEFEVDP-YOYBCKCWSA-N,郁金
YJ-004, 芳樟醇,linalool,78-70-6,154.1358,C10H18O,,,萜类,CC(C)=C1C2C(C(C)C)C(C)(C)C1C(C)C2,"InChI=1S/C10H16/c1-7(2)9-5-8(3)4-6-10(9,3)4/h5H,6H2,1-4H3/t8-,9+,10+/m1/s1",LEPXBLXIMQIZNS-UHFFFAOYSA-N,郁金
YJ-005,柠檬烯,limonene,138-86-3,136.1252,C10H16,,,萜类,C=C(C)C1CC=C(C)C1,"InChI=1S/C10H16/c1-7(2)9-5-8(3)4-6-10(9,3)4/h5H,6H2,1-4H3/t8-,9+,10+/m1/s1",LEPXBLXIMQIZNS-UHFFFAOYSA-N,郁金
YJ-006,,Isobornylacetate,79-92-5,196.1463,C12H20O2,,,挥发油,CC1(C)C2CCC1(C)C(C)(C)C2,"InChI=1S/C10H16/c1-7(2)9-5-8(3)4-6-10(9,3)4/h5H,6H2,1-4H3/t8-,9+,10+/m1/s1",LEPXBLXIMQIZNS-UHFFFAOYSA-N,郁金
YJ-007,合成樟脑,Camphor,76-22-2,152.1201,C10H16O,,,萜类,CC1(C)C2CCC1(C)C(C)(C)C2,"InChI=1S/C10H16/c1-7(2)9-5-8(3)4-6-10(9,3)4/h5H,6H2,1-4H3/t8-,9+,10+/m1/s1",LEPXBLXIMQIZNS-UHFFFAOYSA-N,郁金
YJ-008,莰烯,Camphene,79-92-5,136.1252,C10H16,,,萜类,CC1(C2CCC(C2)C1=C)C,"InChI=1S/C10H16/c1-10(2)8-4-5-9(6-8)7-3-9/h6H,3-5,7-8H2,1-2H3",CRPUJAZIXJMDBK-UHFFFAOYSA-N,郁金
YJ-009,α-蒎烯,α-pinene,2437-95-8,136.1252,C10H16,,,萜类,CC1(C)C2CCC1(C)C(C)(C)C2,"InChI=1S/C10H16/c1-7(2)9-5-8(3)4-6-10(9,3)4/h5H,6H2,1-4H3/t8-,9+,10+/m1/s1",LEPXBLXIMQIZNS-UHFFFAOYSA-N,郁金
YJ-010,/,"7-hydroxy-5(10),6,8-cadinatriene-4-one",/,232.1463,C15H20O2,,,萜类,CC1=CC(O)=C(C(C)C)C2=C1CCC(C)C2=O,"InChI=1S/C15H20O2/c1-8(2)13-12(16)7-10(4)11-6-5-9(3)15(17)14(11)13/h7-9,16H,5-6H2,1-4H3",OOONMFDDROOGTL-UHFFFAOYSA-N,郁金
