编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,smiles,inchi,inchikey,药物名称
JTS-001,,tunicyclin A,,667.3177,C29H45N7O11,,其他,O[C@@]1(C[C@]2([H])N([H])C([C@H](CO)N([H])C3=O)=O)N(C2=O)[C@@H](CC(C)C)C(N(C(C(N([H])CC(N([H])[C@@H](CO)C(N4[C@@]3([H])CCC4)=O)=O)=O)C(C)([H])C)[C@@H]1O)=O,"InChI=1S/C29H45N7O11/c1-13(2)8-19-27(45)35-21(14(3)4)24(42)30-10-20(39)31-17(12-38)25(43)34-7-5-6-18(34)23(41)33-16(11-37)22(40)32-15-9-29(47,28(35)46)36(19)26(15)44/h13-19,21,28,37-38,46-47H,5-12H2,1-4H3,(H,30,42)(H,31,39)(H,32,40)(H,33,41)/t15-,16-,17-,18-,19-,21?,28+,29+/m0/s1",NAHYPMPMDSGFLX-HMUOZTDSSA-N,金铁锁
JTS-002,,tunicyclin D,,900.4606,C44H60N12O9,,其他,O=C([C@@]1([H])N(C([C@@]([C@@H](C)CC)([H])N([H])C([C@H](C([H])C(N([H])[H])=O)NC([C@@H](C(C[H])C)N([H])C2=O)=O)=O)=O)CC([H])([H])C1)N3[C@@](C(N([H])[C@H](C(N([H])[C@H](C(N([H])C2)=O)CC4=CN=CN4)=O)CC5=CN([H])C6=CC=CC=C56)=O)([H])CCC3,"InChI=1S/C44H60N12O9/c1-5-24(4)37-44(65)56-15-9-13-33(56)43(64)55-14-8-12-32(55)41(62)51-29(16-25-19-47-28-11-7-6-10-27(25)28)39(60)50-30(17-26-20-46-22-49-26)38(59)48-21-35(58)53-36(23(2)3)42(63)52-31(18-34(45)57)40(61)54-37/h6-7,10-11,19-20,22-24,29-33,36-37,47H,5,8-9,12-18,21H2,1-4H3,(H2,45,57)(H,46,49)(H,48,59)(H,50,60)(H,51,62)(H,52,63)(H,53,58)(H,54,61)/t24-,29-,30-,31-,32-,33-,36+,37-/m0/s1",RXDUUZAJNVJIAD-JAJVFMFWSA-N,金铁锁
JTS-003,,tunicyclin C,,712.3544,C34H48N8O9,,其他,O=C([C@@]([C@@H](C)O)([H])N([H])C(CN([H])C1=O)=O)N2[C@@](C(N([H])[C@@H](C([H])O)C(N([H])[C@H](C(N([H])[C@H](C(N([H])[C@H]1C)=O)CC(C)C)=O)CC3=CN([H])C4=CC=CC=C34)=O)=O)([H])C([H])CC2,"InChI=1S/C34H48N8O9/c1-17(2)12-23-30(47)37-18(3)29(46)36-15-27(45)41-28(19(4)44)34(51)42-11-7-10-26(42)33(50)40-25(16-43)32(49)39-24(31(48)38-23)13-20-14-35-22-9-6-5-8-21(20)22/h5-6,8-9,14,17-19,23-26,28,35,43-44H,7,10-13,15-16H2,1-4H3,(H,36,46)(H,37,47)(H,38,48)(H,39,49)(H,40,50)(H,41,45)/t18-,19+,23-,24-,25-,26-,28-/m0/s1",WKYUAYAMTGFDMV-VAFKGHBQSA-N,金铁锁
JTS-004,,tunicyclin B,,724.3544,C35H48N8O9,,其他,O=C([C@@]1([H])N(C([C@H](CO)N([H])C(CN([H])C([C@@](C(C)C)([H])N([H])C([C@H](CC(C)C)N([H])C2=O)=O)=O)=O)=O)CCC1)N([H])[C@H](C(N([H])C2=CC3=CN([H])C4=CC=CC=C34)=O)C([H])O,"InChI=1S/C35H48N8O9/c1-18(2)12-23-31(48)42-29(19(3)4)34(51)37-15-28(46)38-26(17-45)35(52)43-11-7-10-27(43)33(50)41-25(16-44)32(49)40-24(30(47)39-23)13-20-14-36-22-9-6-5-8-21(20)22/h5-6,8-9,13-14,18-19,23,25-27,29,36,44-45H,7,10-12,15-17H2,1-4H3,(H,37,51)(H,38,46)(H,39,47)(H,40,49)(H,41,50)(H,42,48)/b24-13+/t23-,25-,26-,27-,29-/m0/s1",GLZHBDNWBMMQBD-KWAQUAODSA-N,金铁锁
JTS-005,,tunicyclin E,,726.3701,C35H50N8O9,,其他,O=C([C@H](CC(C)C)NC([C@H](CC1=CNC2=CC=CC=C21)NC3=O)=O)N[C@H](C(NCC(N[C@H](C(N4CCC[C@H]4C(N[C@H]3CO)=O)=O)CO)=O)=O)C(C)C,"InChI=1S/C35H50N8O9/c1-18(2)12-23-31(48)42-29(19(3)4)34(51)37-15-28(46)38-26(17-45)35(52)43-11-7-10-27(43)33(50)41-25(16-44)32(49)40-24(30(47)39-23)13-20-14-36-22-9-6-5-8-21(20)22/h5-6,8-9,14,18-19,23-27,29,36,44-45H,7,10-13,15-17H2,1-4H3,(H,37,51)(H,38,46)(H,39,47)(H,40,49)(H,41,50)(H,42,48)/t23-,24-,25-,26-,27-,29-/m0/s1",DMMPEJVLGPQZJH-TXHOTXIUSA-N,金铁锁
JTS-006,,tunicyclin F,,729.3850 ,C39H51N7O7,,其他,O=C([C@H](CC(C)C)NC1=O)N2CCCC2C(N[C@H](C(N[C@H](C(N3CCC[C@H]3C(NCC(N[C@H]1CC4=CC=CC=C4)=O)=O)=O)CC5=CC=CC=C5)=O)C)=O,"InChI=1S/C39H51N7O7/c1-24(2)20-29-38(52)46-19-11-17-32(46)37(51)41-25(3)34(48)43-30(22-27-14-8-5-9-15-27)39(53)45-18-10-16-31(45)36(50)40-23-33(47)42-28(35(49)44-29)21-26-12-6-4-7-13-26/h4-9,12-15,24-25,28-32H,10-11,16-23H2,1-3H3,(H,40,50)(H,41,51)(H,42,47)(H,43,48)(H,44,49)/t25-,28-,29-,30-,31-,32?/m0/s1",VAKOVOAIBVYZDQ-CDJFICGJSA-N,金铁锁
JTS-007,,tunicyclin G,,758.3599,C35H50N8O11,,其他,O=C(C1(C[C@@H](C(N[C@@H](CC(C)C)C(N[C@@H](C(C)C)C(NCC(N[C@H](C(N2CCC[C@H]2C(N[C@H]3CO)=O)=O)CO)=O)=O)=O)=O)NC3=O)O)NC4=C1C=CC=C4,"InChI=1S/C35H50N8O11/c1-17(2)12-21-28(47)42-27(18(3)4)32(51)36-14-26(46)37-24(16-45)33(52)43-11-7-10-25(43)31(50)40-23(15-44)30(49)39-22(29(48)38-21)13-35(54)19-8-5-6-9-20(19)41-34(35)53/h5-6,8-9,17-18,21-25,27,44-45,54H,7,10-16H2,1-4H3,(H,36,51)(H,37,46)(H,38,48)(H,39,49)(H,40,50)(H,41,53)(H,42,47)/t21-,22-,23-,24-,25-,27-,35?/m0/s1",MSPYHWVWKKAYRP-HLPYTORNSA-N,金铁锁
JTS-008,,tunicyclin H,,730.3650 ,C34H50N8O10,,其他,NC1=C(C(C[C@@H](C(N[C@@H](CC(C)C)C(N[C@@H](C(C)C)C(NCC(N[C@H](C(N2CCC[C@H]2C(N[C@H]3CO)=O)=O)CO)=O)=O)=O)=O)NC3=O)=O)C=CC=C1,"InChI=1S/C34H50N8O10/c1-17(2)12-21-30(48)41-28(18(3)4)33(51)36-14-27(46)37-24(16-44)34(52)42-11-7-10-25(42)32(50)40-23(15-43)31(49)39-22(29(47)38-21)13-26(45)19-8-5-6-9-20(19)35/h5-6,8-9,17-18,21-25,28,43-44H,7,10-16,35H2,1-4H3,(H,36,51)(H,37,46)(H,38,47)(H,39,49)(H,40,50)(H,41,48)/t21-,22-,23-,24-,25-,28-/m0/s1",IHLKZRBQRZGCCJ-ORUZXOCWSA-N,金铁锁
JTS-009,,tunicyclin I,,710.3388,C34H46N8O9,,其他,C[C@@H](C(NCC(N[C@@H]([C@@H](C)O)C(N1CCC[C@H]1C(N[C@@H](CO)C(N/C(C(N[C@H]2CC(C)C)=O)=C\C3=CNC4=CC=CC=C43)=O)=O)=O)=O)=O)NC2=O,"InChI=1S/C34H46N8O9/c1-17(2)12-23-30(47)37-18(3)29(46)36-15-27(45)41-28(19(4)44)34(51)42-11-7-10-26(42)33(50)40-25(16-43)32(49)39-24(31(48)38-23)13-20-14-35-22-9-6-5-8-21(20)22/h5-6,8-9,13-14,17-19,23,25-26,28,35,43-44H,7,10-12,15-16H2,1-4H3,(H,36,46)(H,37,47)(H,38,48)(H,39,49)(H,40,50)(H,41,45)/b24-13-/t18-,19+,23-,25-,26-,28-/m0/s1",WDFWYCQBZFJPCF-XCAHXGASSA-N,金铁锁
JTS-010,,tunicyclin J,,1205.6332,C59H87N11O16,,其他,OC1=CC=C(C=C1)CC(C(NC(CC2=CC=CC=C2)C(NC(CC(C)C)C(NC(C(N(CCC3)C3C(N4CCCC4C(NC(CO)C(NC(CO)C(NC(C(NC(CO)C(NC5CC(C)C)=O)=O)C(C)O)=O)=O)=O)=O)=O)C(CC)C)=O)=O)=O)NC5=O,"InChI=1S/C59H87N11O16/c1-8-33(6)47-59(86)70-23-13-17-46(70)58(85)69-22-12-16-45(69)56(83)65-42(28-71)54(81)64-44(30-73)55(82)68-48(34(7)74)57(84)66-43(29-72)53(80)61-38(24-31(2)3)49(76)62-41(27-36-18-20-37(75)21-19-36)51(78)63-40(26-35-14-10-9-11-15-35)50(77)60-39(25-32(4)5)52(79)67-47/h9-11,14-15,18-21,31-34,38-48,71-75H,8,12-13,16-17,22-30H2,1-7H3,(H,60,77)(H,61,80)(H,62,76)(H,63,78)(H,64,81)(H,65,83)(H,66,84)(H,67,79)(H,68,82)",,金铁锁
JTS-011,,tunicosaponin A,,1598.7352,C74H118O37,,苷,O=C([C@H]([C@H]1O)O[C@H]([C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@H](CO)[C@@H]2O)[C@H]1O[C@@H]([C@@H]3O)OC[C@H]([C@@H]3O)O)O[C@@H](CC4)[C@@](C(CC5)[C@]4(C6[C@]5(C)[C@@](C[C@H]7O)(C)C(C([C@@]7(CC8)C(O[C@@H]([C@@H]9O[C@@H]([C@@H]%10O)O[C@H]([C@@H]([C@H]%10O[C@@H]([C@@H]([C@@H](O)[C@@H]%11O)O)O[C@@H]%11CO)O[C@@H]([C@@H]%12O)OC[C@H]%13[OH]([C@@H]%13%12)O)C)O[C@H](C)[C@@H]([C@@H]9O)O)=O)CC8(C)C)=CC6)C)(C)C=O)OCCCC,"InChI=1S/C74H118O37/c1-10-11-20-96-60(93)56-50(90)54(105-61-47(87)41(81)32(78)25-97-61)58(109-64-49(89)45(85)43(83)34(24-76)102-64)67(107-56)103-39-15-16-70(6)36(71(39,7)27-77)14-17-72(8)37(70)13-12-30-31-21-69(4,5)18-19-74(31,38(79)22-73(30,72)9)68(94)110-66-57(46(86)40(80)28(2)99-66)108-65-51(91)55(106-63-48(88)44(84)42(82)33(23-75)101-63)53(29(3)100-65)104-62-52(92)59-35(26-98-62)111(59)95/h12,27-29,31-59,61-67,75-76,78-92,95,111H,10-11,13-26H2,1-9H3/t28-,29+,31?,32-,33-,34-,35?,36?,37?,38-,39+,40+,41+,42-,43+,44+,45+,46+,47-,48-,49-,50+,51-,52-,53+,54+,55+,56+,57-,58-,59?,61+,62+,63+,64+,65+,66+,67-,70+,71?,72-,73-,74?/m1/s1",MNVAXDDBYCOLTK-WMGZPOCASA-N,金铁锁
JTS-012,,tunicosaponin B,,1570.7039,C72H114O37,,苷,O=C([C@H]([C@H]([C@@H]1O[C@@H]([C@@H]2O)OC[C@H]([C@@H]2O)O)O)O[C@H]([C@@H]1O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]([C@@H]3O)CO)O[C@@H](CC4)[C@@](C(CC5)[C@@]4(C)C6[C@]5(C)[C@@](C[C@H]7O)(C)C(C([C@@]7(CC8)C(O[C@@H]([C@@H]([C@H]9O)O[C@@H]([C@@H]([C@@H]%10O[C@@H]([C@@H]([C@@H](O)[C@@H]%11O)O)O[C@@H]%11CO)O)O[C@H]([C@@H]%10O[C@@H]([C@@H]%12O)OC[C@H]([C@@H]%12O)O)C)O[C@H](C)[C@@H]9O)=O)CC8(C)C)=CC6)(C)C=O)OCC,"InChI=1S/C72H114O37/c1-10-95-58(93)55-50(91)53(104-60-47(88)40(81)31(77)24-97-60)57(108-62-49(90)44(85)42(83)33(22-74)101-62)65(106-55)102-37-14-15-68(6)34(69(37,7)25-75)13-16-70(8)35(68)12-11-28-29-19-67(4,5)17-18-72(29,36(78)20-71(28,70)9)66(94)109-64-56(45(86)38(79)26(2)98-64)107-63-51(92)54(105-61-48(89)43(84)41(82)32(21-73)100-61)52(27(3)99-63)103-59-46(87)39(80)30(76)23-96-59/h11,25-27,29-57,59-65,73-74,76-92H,10,12-24H2,1-9H3/t26-,27+,29?,30-,31-,32-,33-,34?,35?,36-,37+,38+,39+,40+,41-,42+,43+,44+,45+,46-,47-,48-,49-,50+,51-,52+,53+,54+,55+,56-,57-,59+,60+,61+,62+,63+,64+,65-,68+,69?,70-,71-,72?/m1/s1",KPHNZNLGKGVVTP-NQMDPZQNSA-N,金铁锁
