编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,smiles,inchi,inchikey,药材名称
YXY-001,穗花杉双黄酮,Amentoflavone,1617-53-4,538.09,C30H18O10,,黄酮,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O)O,"InChI=1S/C30H18O10/c31-15-4-1-13(2-5-15)24-12-23(38)29-21(36)10-20(35)27(30(29)40-24)17-7-14(3-6-18(17)33)25-11-22(37)28-19(34)8-16(32)9-26(28)39-25/h1-12,31-36H",YUSWMAULDXZHPY-UHFFFAOYSA-N,银杏叶
YXY-002,去甲银杏双黄酮（7-去甲基银杏双黄酮）（白果素）,Bilobetin,521-32-4,552.1056,C31H20O10,,黄酮,O=C1C=C(C2=CC=C(O)C=C2)OC3=C(C4=CC(C5=CC(C6=C(O)C=C(O)C=C6O5)=O)=CC=C4OC)C(O)=CC(O)=C13,"InChI=1S/C31H20O10/c1-39-24-7-4-15(26-12-22(37)29-19(34)9-17(33)10-27(29)40-26)8-18(24)28-20(35)11-21(36)30-23(38)13-25(41-31(28)30)14-2-5-16(32)6-3-14/h2-13,32-36H,1H3",IWEIJEPIYMAGTH-UHFFFAOYSA-N,银杏叶
YXY-003,银杏双黄酮（银杏素）,Ginkgetin,481-46-9,566.1213,C32H22O10,,黄酮,O=C1C=C(C2=CC=C(O)C=C2)OC3=C(C4=CC(C5=CC(C6=C(O)C=C(OC)C=C6O5)=O)=CC=C4OC)C(O)=CC(O)=C13,"InChI=1S/C32H22O10/c1-39-18-10-20(34)30-23(37)13-27(41-28(30)11-18)16-5-8-25(40-2)19(9-16)29-21(35)12-22(36)31-24(38)14-26(42-32(29)31)15-3-6-17(33)7-4-15/h3-14,33-36H,1-2H3",AIFCFBUSLAEIBR-UHFFFAOYSA-N,银杏叶
YXY-004,异银杏双黄酮（异银杏素）,Isoginkgetin,548-19-6,566.1213,C32H22O10,,黄酮,O=C1C=C(C2=CC=C(OC)C=C2)OC3=C(C4=CC(C5=CC(C6=C(O)C=C(O)C=C6O5)=O)=CC=C4OC)C(O)=CC(O)=C13,"InChI=1S/C32H22O10/c1-39-18-6-3-15(4-7-18)26-14-24(38)31-22(36)12-21(35)29(32(31)42-26)19-9-16(5-8-25(19)40-2)27-13-23(37)30-20(34)10-17(33)11-28(30)41-27/h3-14,33-36H,1-2H3",HUOOMAOYXQFIDQ-UHFFFAOYSA-N,银杏叶
YXY-005,银杏内酯A,GinkgolideA,15291-75-5,408.142,C20H24O9,,萜类,C[C@@H]1C(=O)O[C@@H]2[C@]1([C@@]34C(=O)O[C@H]5[C@]3(C2)[C@@]6([C@@H](C5)C(C)(C)C)[C@H](C(=O)O[C@H]6O4)O)O,"InChI=1S/C20H24O9/c1-7-12(22)26-10-6-17-9-5-8(16(2,3)4)18(17)11(21)13(23)28-15(18)29-20(17,14(24)27-9)19(7,10)25/h7-11,15,21,25H,5-6H2,1-4H3/t7-,8+,9-,10+,11+,15+,17-,18+,19-,20-/m1/s1",FPUXKXIZEIDQKW-VKMVSBOZSA-N,银杏叶
YXY-006,银杏内酯B,GinkgolideB,15291-77-7,424.1369,C20H24O10,,萜类,C[C@@H]1C(=O)O[C@@H]2[C@]1([C@@]34C(=O)O[C@H]5[C@]3([C@@H]2O)[C@@]6([C@@H](C5)C(C)(C)C)[C@H](C(=O)O[C@H]6O4)O)O,"InChI=1S/C20H24O10/c1-6-12(23)28-11-9(21)18-8-5-7(16(2,3)4)17(18)10(22)13(24)29-15(17)30-20(18,14(25)27-8)19(6,11)26/h6-11,15,21-22,26H,5H2,1-4H3/t6-,7+,8-,9-,10+,11+,15+,17+,18+,19-,20-/m1/s1",SQOJOAFXDQDRGF-ZMVGXLHTSA-N,银杏叶
YXY-007,银杏内酯C,GinkgolideC,15291-76-6,440.1319,C20H24O11,,萜类,C[C@@H]1C(=O)O[C@@H]2[C@]1([C@@]34C(=O)O[C@H]5[C@]3([C@H]2O)[C@@]6([C@@H]([C@H]5O)C(C)(C)C)[C@H](C(=O)O[C@H]6O4)O)O,"InChI=1S/C20H24O11/c1-5-12(24)28-11-8(22)18-10-6(21)7(16(2,3)4)17(18)9(23)13(25)30-15(17)31-20(18,14(26)29-10)19(5,11)27/h5-11,15,21-23,27H,1-4H3/t5-,6-,7+,8+,9+,10-,11+,15+,17+,18-,19-,20-/m1/s1",AMOGMTLMADGEOQ-DTDWCABLSA-N,银杏叶
YXY-008,白果内酯,Bilobalide,33570-04-6,326.1002,C15H18O8,,萜类,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,"InChI=1S/C15H18O8/c1-12(2,3)14(20)4-6-13(5-7(16)21-6)10(19)23-11-15(13,14)8(17)9(18)22-11/h6,8,11,17,20H,4-5H2,1-3H3/t6-,8-,11-,13-,14+,15+/m0/s1",MOLPUWBMSBJXER-YDGSQGCISA-N,银杏叶
YXY-009,芹菜素,Apigenin,520-36-5,270.0528,C15H10O5,,黄酮,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,银杏叶
YXY-010,木犀草素,Luteolin,491-70-3,286.0477,C15H10O6,,黄酮,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,"InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H",IQPNAANSBPBGFQ-UHFFFAOYSA-N,银杏叶
YXY-011,山奈酚,Kaempferol,520-18-3,286.0477,C15H10O6,,黄酮,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,银杏叶
YXY-012,槲皮素,Quercetin,117-39-5,302.0427,C15H10O7,,黄酮,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,银杏叶
YXY-013,杨梅素,Myricetin,529-44-2,318.0376,C15H10O8,,黄酮,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,"InChI=1S/C15H10O8/c16-6-3-7(17)11-10(4-6)23-15(14(22)13(11)21)5-1-8(18)12(20)9(19)2-5/h1-4,16-20,22H",IKMDFBPHZNJCSN-UHFFFAOYSA-N,银杏叶
YXY-014,异鼠李素,Isorhamnetin,480-19-3,316.0583,C16H12O7,,黄酮,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,"InChI=1S/C16H12O7/c1-22-11-4-7(2-3-9(11)18)16-15(21)14(20)13-10(19)5-8(17)6-12(13)23-16/h2-6,17-19,21H,1H3",IZQSVPBOUDKVDZ-UHFFFAOYSA-N,银杏叶
