编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物类别,smiles,inchi,inchikey,药材名称
JX-001,,stevein,/,284.27,C16H12O5,,香豆素,OC1=CC=CC(C(C2=CC(O)=C(OC)C=C2O3)=CC3=O)=C1,"InChI=1S/C16H12O5/c1-20-15-8-14-12(6-13(15)18)11(7-16(19)21-14)9-3-2-4-10(17)5-9/h2-8,17-18H,1H3",MYVNFPJTNYAPDH-UHFFFAOYSA-N,降香
JX-002,"7-甲氧基-3,3?,4?,6-四羟基黄酮","7-methoxy-3,3?,4?,6-tetrahydroxyflavone",/,316.26,C16H12O7,,黄酮,OC1=C(C(C=C2)=CC(O)=C2O)OC(C(C1=O)=C3)=CC(OC)=C3O,"InChI=1S/C16H12O7/c1-22-13-6-12-8(5-11(13)19)14(20)15(21)16(23-12)7-2-3-9(17)10(18)4-7/h2-6,17-19,21H,1H3",DZMMKNCBWCZLDC-UHFFFAOYSA-N,降香
JX-003,山姜素,alpinetin,1090-65-9,270.28,C16H14O4,,黄酮,O=C1C[C@@H](C2=CC=CC=C2)OC3=C1C(OC)=CC(O)=C3,"InChI=1S/C16H14O4/c1-19-14-7-11(17)8-15-16(14)12(18)9-13(20-15)10-5-3-2-4-6-10/h2-8,13,17H,9H2,1H3/t13-/m0/s1",QQQCWVDPMPFUGF-ZDUSSCGKSA-N,降香
JX-004,黄颜木素/非瑟酮,fisetin,528-48-3,286.236,C15H10O6,,黄酮,OC1=C(C(C=C2)=CC(O)=C2O)OC3=C(C=CC(O)=C3)C1=O,"InChI=1S/C15H10O6/c16-8-2-3-9-12(6-8)21-15(14(20)13(9)19)7-1-4-10(17)11(18)5-7/h1-6,16-18,20H",XHEFDIBZLJXQHF-UHFFFAOYSA-N,降香
JX-005,木犀草素,luteolin,491-70-3,286.236,C15H10O6,,黄酮,OC1=C2C(OC(C(C=C3)=CC(O)=C3O)=CC2=O)=CC(O)=C1,"InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H",IQPNAANSBPBGFQ-UHFFFAOYSA-N,降香
JX-006,金合欢素,acacetin,480-44-4,284.263,C16H12O5,,黄酮,OC1=C2C(OC(C(C=C3)=CC=C3OC)=CC2=O)=CC(O)=C1,"InChI=1S/C16H12O5/c1-20-11-4-2-9(3-5-11)14-8-13(19)16-12(18)6-10(17)7-15(16)21-14/h2-8,17-18H,1H3",DANYIYRPLHHOCZ-UHFFFAOYSA-N,降香
JX-007,高北美圣草素,homoeridictyol,446-71-9,302.28,C16H14O6,,黄酮,OC1=CC2=C(C(C[C@@H](C3=CC=C(O)C(OC)=C3)O2)=O)C(O)=C1,"InChI=1S/C16H14O6/c1-21-14-4-8(2-3-10(14)18)13-7-12(20)16-11(19)5-9(17)6-15(16)22-13/h2-6,13,17-19H,7H2,1H3/t13-/m0/s1",FTODBIPDTXRIGS-ZDUSSCGKSA-N,降香
JX-008,"4?,5,7-三羟基-3-甲氧基黄酮","4?,5,7-trihydroxy-3-methoxyflavone",/,300.26,C16H12O6,,黄酮,OC1=C2C(OC(C(C=C3)=CC(OC)=C3O)=CC2=O)=CC(O)=C1,"InChI=1S/C16H12O6/c1-21-14-4-8(2-3-10(14)18)13-7-12(20)16-11(19)5-9(17)6-15(16)22-13/h2-7,17-19H,1H3",SCZVLDHREVKTSH-UHFFFAOYSA-N,降香
JX-009,"6,7,4?-三羟基黄酮","6,7,4?-trihydroxyflavone",/,270.237,C15H10O5,,黄酮,O=C1C(C(OC(C(C=C2)=CC=C2O)=C1)=C3)=C([H])C(O)=C3O,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)14-6-11(17)10-5-12(18)13(19)7-15(10)20-14/h1-7,16,18-19H",XADJWCRESPGUTB-UHFFFAOYSA-N,降香
JX-010,"3,7,4?-三羟基黄酮","3,7,4?-trihydroxyflavone",/,270.237,C15H10O5,,黄酮,OC1=C(C(C=C2)=CC=C2O)OC3=C(C=CC(O)=C3)C1=O,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)15-14(19)13(18)11-6-5-10(17)7-12(11)20-15/h1-7,16-17,19H",OBWHQJYOOCRPST-UHFFFAOYSA-N,降香
JX-011,块葛黄酮,tuberosin,41347-45-9,338.354,C20H20O4,,黄酮,O[C@]1(COC2=C3C=CC(O)=C2)[C@]3([H])OC4=C1C=C5C(OC(C)(C)C=C5)=C4,"InChI=1S/C20H18O5/c1-19(2)6-5-11-7-14-17(9-15(11)25-19)24-18-13-4-3-12(21)8-16(13)23-10-20(14,18)22/h3-9,18,21-22H,10H2,1-2H3/t18-,20+/m1/s1",ZBTYHECJEINCMD-QUCCMNQESA-N,降香
JX-012,柚皮素,naringenin,480-41-1,272.253,C15H12O5,,黄酮,O=C1C[C@@H](C(C=C2)=CC=C2O)OC3=CC(O)=CC(O)=C13,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m0/s1",,降香
JX-013,北美圣草素,eriodictyol,552-58-9,288.252,C15H12O6,,黄酮,O=C1C[C@@H](C(C=C2)=CC(O)=C2O)OC3=CC(O)=CC(O)=C13,"InChI=1S/C15H12O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-5,13,16-19H,6H2/t13-/m0/s1",SBHXYTNGIZCORC-ZDUSSCGKSA-N,降香
JX-014,松属素,pinocembrin,480-39-7,256.253,C15H12O4,,黄酮,O=C1C[C@@H](C2=CC=CC=C2)OC3=CC(O)=CC(O)=C13,"InChI=1S/C15H12O4/c16-10-6-11(17)15-12(18)8-13(19-14(15)7-10)9-4-2-1-3-5-9/h1-7,13,16-17H,8H2/t13-/m0/s1",URFCJEUYXNAHFI-ZDUSSCGKSA-N,降香
