编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,,smiles,inchi,inchikey,药材名称
GJY-001,雷公藤新碱,Evonimine,41758-69-4,805.776,C38H47NO18,C38H47NO18,生物碱,,C.C.C.C.C.C.C.C.C.C.[O].[O].C.[O].[O].C.[O].C.C.[O].C.C.[O].C.[O].C.C.C.[O].C.C.[O].[O].C.[O].C.C.C.C.C.C.C.C.[N].[OH].[@],C.C.C.C.C.C.C.C.C.C.[O].[O].C.[O].[O].C.[O].C.C.[O].C.C.[O].C.[O].C.C.C.[O].C.C.[O].[O].C.[O].C.C.C.C.C.C.C.C.[N].[OH].[@],C.C.C.C.C.C.C.C.C.C.[O].[O].C.[O].[O].C.[O].C.C.[O].C.C.[O].C.[O].C.C.C.[O].C.C.[O].[O].C.[O].C.C.C.C.C.C.C.C.[N].[OH].[@],鬼箭羽
GJY-002,雷公藤碱,Wilfordine,37239-51-3,883.844,C43H49NO19,C43H49NO19,生物碱,,,,,鬼箭羽
GJY-003,卫矛羰碱,Evonine,33458-82-1,805.776,C38H47NO18,C36H43NO17,生物碱,,,,,鬼箭羽
GJY-004,咖啡因,caffeine ,1958/8/2,194.19100 ,C8H10N4O2,C8H10N4O2,生物碱,,O=C(N(C1=O)C)N(C2=C1N(C=N2)C)C,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",RYYVLZVUVIJVGH-UHFFFAOYSA-N,鬼箭羽
GJY-005,松柏醛,coniferaldehyde,20649-42-7,178.18,C10H10O3,C10H10O3,酚酸,,COC1=CC(C=CC=O)=CC=C1O,"InChI=1S/C10H10O3/c1-13-10-7-8(3-2-6-11)4-5-9(10)12/h2-7,12H,1H3",DKZBBWMURDFHNE-UHFFFAOYSA-N,鬼箭羽
GJY-006,楝叶吴萸素B,evofolin B,1961305-60-1,318.32122,C17H18O6,C17H18O6,酚酸,,COC1=C(O)C=CC(C(C(C2=CC(OC)=C(O)C=C2)=O)CO)=C1,"InChI=1S/C17H18O6/c1-22-15-7-10(3-5-13(15)19)12(9-18)17(21)11-4-6-14(20)16(8-11)23-2/h3-8,12,18-20H,9H2,1-2H3",QMYGRGKKZBRZKH-UHFFFAOYSA-N,鬼箭羽
GJY-007,C-藜芦酰,C-veratroylglycol,168293-10-5,212.19928,C10H12O5,C10H12O5,酚酸,,O=C(C1=CC=C(O)C(OC)=C1)C(O)CO,"InChI=1S/C10H12O5/c1-15-9-4-6(2-3-7(9)12)10(14)8(13)5-11/h2-4,8,11-13H,5H2,1H3",UTXNRISXYKZJTH-UHFFFAOYSA-N,鬼箭羽
GJY-008,"豆甾-4-烯-3,6-二酮",stigmast-4-ene-3.6- dion,57458-57-8,426.674,C29H46O2,C29H46O2,甾体,,,,,鬼箭羽
GJY-009,β-谷甾醇,β-sitosterol,83-46-5,414.71,C29H50O,C29H50O,甾体,,,,,鬼箭羽
GJY-010,胡萝卜苷,胡萝卜苷,474-58-8,576.85,C35H60O6,C35H60O6,糖苷,,OC[C@H](O)[C@@H](CO)O[C@@H](O[C@@H]1CC2=CC[C@]([C@@](CC[C@]3([H])[C@@H](CC[C@H](CC)C(C)C)C)([H])[C@]3(C)CC4)([H])[C@@]4([H])[C@@]2(C)CC1)CO,"InChI=1S/C35H62O6/c1-7-24(22(2)3)9-8-23(4)28-12-13-29-27-11-10-25-18-26(40-33(21-38)41-32(20-37)31(39)19-36)14-16-34(25,5)30(27)15-17-35(28,29)6/h10,22-24,26-33,36-39H,7-9,11-21H2,1-6H3/t23-,24+,26+,27+,28-,29+,30+,31+,32-,33-,34+,35-/m1/s1",PRKRNPWUQSIHFD-CQDYSBQSSA-N,鬼箭羽
GJY-011,豆甾醇,stigmasterol,83-48-7,412.69,C29H48O,C29H48O,甾体,,O[C@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)C=C[C@H](C(C)C)CC)CC[C@@]4([H])[C@]3([H])CC=C2C1,"InChI=1S/C29H48O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h8-10,19-21,23-27,30H,7,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",HCXVJBMSMIARIN-VJSFXXLFSA-N,鬼箭羽
GJY-012,apigenin-3-O-L-rhamnopyranoside,apigenin-3-O-L-rhamnopyranoside,,,C21H20O10,C21H20O10,糖苷,,,,,鬼箭羽
GJY-013,hyperin,,65549-68-0,464.376,C21H20O12,C21H20O12,糖苷,,,,,鬼箭羽
GJY-014,香橙素,aromadendrin,480-20-6,288.252,C15H12O6,C19H26O6,黄酮,,CC1=CC(O)=C2C(OC[C@@H](C)C2=O)=C1.CC.OC3=CC=CC=C3.[OH].[OH],"InChI=1S/C11H12O3.C6H6O.C2H6.2HO/c1-6-3-8(12)10-9(4-6)14-5-7(2)11(10)13;7-6-4-2-1-3-5-6;1-2;;/h3-4,7,12H,5H2,1-2H3;1-5,7H;1-2H3;2*1H/t7-;;;;/m1..../s1",WYFPOEZAAFTDQJ-GITXNKFESA-N,鬼箭羽
GJY-015,花旗松素,taxifolin,98006-93-0,304.252,C15H12O7,C15H12O7,黄酮,,OC1=CC(O)=C2C(O[C@H](C3=CC(O)=C(O)C=C3)[C@@H](O)C2=O)=C1,"InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H/t14-,15+/m0/s1",CXQWRCVTCMQVQX-LSDHHAIUSA-N,鬼箭羽
GJY-016,dihydroquercetin,"3,3',4',5,7-PENTAHYDROXYFLAVANONE",215257-15-1,304.252,C15H12O7,C15H12O7,黄酮,,O=C1C(O)C(C2=CC=C(O)C(O)=C2)OC3=C1C(O)=CC(O)=C3,"InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H",CXQWRCVTCMQVQX-UHFFFAOYSA-N,鬼箭羽
