编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,结构,smiles,inchi,inchikey,药材名称
SPSU-01,"3',4',7-三羟基黄酮","7,3',4'-Trihydroxyflavone",2150-11-0,270.24,C15H10O5,,黄酮类,OC1=C(C=CC(C(OC2=C3C=CC(O)=C2)=CC3=O)=C1)O,"InChI=1S/C15H10O5/c16-9-2-3-10-12(18)7-14(20-15(10)6-9)8-1-4-11(17)13(19)5-8/h1-7,16-17,19H",PVFGJHYLIHMCQD-UHFFFAOYSA-N,鸡血藤
SPSU-02,7-羟基黄烷酮,7-Hydroxyflavanone,6515-36-2,240.25,C15H12O3,,黄酮类,OC1=CC=C(C(C[C@@H](C2=CC=CC=C2)O3)=O)C3=C1,"InChI=1S/C15H12O3/c16-11-6-7-12-13(17)9-14(18-15(12)8-11)10-4-2-1-3-5-10/h1-8,14,16H,9H2/t14-/m0/s1",SWAJPHCXKPCPQZ-AWEZNQCLSA-N,鸡血藤
SPSU-03,甘草素,Liquiritigenin,578-86-9,256.25,C15H12O4,,黄酮类,OC1=CC=C(C(C[C@@H](C2=CC=C(O)C=C2)O3)=O)C3=C1,"InChI=1S/C15H12O4/c16-10-3-1-9(2-4-10)14-8-13(18)12-6-5-11(17)7-15(12)19-14/h1-7,14,16-17H,8H2/t14-/m0/s1",FURUXTVZLHCCNA-AWEZNQCLSA-N,鸡血藤
SPSU-04,7-Hydroxy-6-methoxyflavanone,7-Hydroxy-6-methoxyflavanone,2432887-82-4,270.28,C16H14O4,,黄酮类,OC1=C(OC)C=C(C(C[C@@H](C2=CC=CC=C2)O3)=O)C3=C1,"InChI=1S/C16H14O4/c1-19-16-7-11-12(17)8-14(10-5-3-2-4-6-10)20-15(11)9-13(16)18/h2-7,9,14,18H,8H2,1H3/t14-/m0/s1",WCXMGPNELNHROM-AWEZNQCLSA-N,鸡血藤
SPSU-05,紫铆素,Butin,492-14-8,272.25,C15H12O5,,黄酮类,OC1=CC([C@@H]2CC(C3=CC=C(O)C=C3O2)=O)=CC=C1O,"InChI=1S/C15H12O5/c16-9-2-3-10-12(18)7-14(20-15(10)6-9)8-1-4-11(17)13(19)5-8/h1-6,14,16-17,19H,7H2/t14-/m0/s1",MJBPUQUGJNAPAZ-AWEZNQCLSA-N,鸡血藤
SPSU-06,柚皮素,Naringenin,67604-48-2,272.25,C15H12O5,,黄酮类,OC1=CC(O)=C(C(C[C@@H](C2=CC=C(O)C=C2)O3)=O)C3=C1,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m0/s1",FTVWIRXFELQLPI-ZDUSSCGKSA-N,鸡血藤
SPSU-07,"7,3', 5'-三羟基黄烷酮","7,3', 5'-Trihydroxyflavanone",896419-16-2,272.25,C15H12O5,,黄酮类,OC1=CC=C(C(C[C@@H](C2=CC(O)=CC(O)=C2)O3)=O)C3=C1,"InChI=1S/C15H12O5/c16-9-1-2-12-13(19)7-14(20-15(12)6-9)8-3-10(17)5-11(18)4-8/h1-6,14,16-18H,7H2/t14-/m0/s1",OVSYWZXDPOVKQU-AWEZNQCLSA-N,鸡血藤
SPSU-08,黄苏木素,Plathymenin,492-12-6,288.25,C15H12O6,,黄酮类,OC1=C(C=C2C(C[C@H](OC2=C1)C(C=C3O)=CC=C3O)=O)O,"InChI=1S/C15H12O6/c16-9-2-1-7(3-11(9)18)14-5-10(17)8-4-12(19)13(20)6-15(8)21-14/h1-4,6,14,16,18-20H,5H2/t14-/m0/s1",ZIKILYZOICUSQT-AWEZNQCLSA-N,鸡血藤
SPSU-09,"6,7,3', 5'-四羟基黄烷酮","6,7,3', 5'-Tetrahydroxyflavanone",2526536-59-2,288.25,C15H12O6,,黄酮类,OC1=C(O)C=C(C(C[C@@H](C2=CC(O)=CC(O)=C2)O3)=O)C3=C1,"InChI=1S/C15H12O6/c16-8-1-7(2-9(17)3-8)14-5-11(18)10-4-12(19)13(20)6-15(10)21-14/h1-4,6,14,16-17,19-20H,5H2/t14-/m0/s1",HJLFZEYXNKPTMH-AWEZNQCLSA-N,鸡血藤
SPSU-10,圣草酚,Eriodictyol,552-58-9,288.25,C15H12O6,,黄酮类,OC1=CC(O)=C(C(C[C@@H](C2=CC(O)=C(O)C=C2)O3)=O)C3=C1,"InChI=1S/C15H12O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-5,13,16-19H,6H2/t13-/m0/s1",SBHXYTNGIZCORC-ZDUSSCGKSA-N,鸡血藤
